,Adj Close,Close,High,Low,Open,Volume
2008-01-02,45.52,45.52,46.6,45.42,46.5,2765386.0
2008-01-03,45.48,45.48,45.84,45.34,45.53,1389300.0
2008-01-04,45.18,45.18,45.74,45.01,45.19,2320100.0
2008-01-07,46.1,46.1,46.22,45.5,45.51,2728178.0
2008-01-08,46.0,46.0,46.87,46.0,46.24,2492593.0
2008-01-09,46.2,46.2,46.26,45.7,46.08,3447676.0
2008-01-10,46.98,46.98,47.21,45.77,45.94,2787898.0
2008-01-11,46.4,46.4,46.88,46.15,46.46,2078200.0
2008-01-14,46.16,46.16,46.84,46.0,46.68,1585982.0
2008-01-15,45.28,45.28,45.94,44.52,45.67,2323525.0
2008-01-16,45.11,45.11,45.55,44.99,44.99,2108097.0
2008-01-17,44.47,44.47,45.34,44.42,45.15,2494096.0
2008-01-18,43.56,43.56,45.06,43.3,44.75,4139799.0
2008-01-22,43.01,43.01,43.55,41.37,41.37,3616701.0
2008-01-23,43.59,43.59,43.63,41.84,41.84,4384864.0
2008-01-24,43.3,43.3,43.77,43.01,43.7,2881296.0
2008-01-25,42.93,42.93,43.42,42.74,43.36,2460488.0
2008-01-28,43.68,43.68,43.68,42.95,43.0,2735612.0
2008-01-29,43.3,43.3,44.07,43.11,44.07,2015272.0
2008-01-30,42.86,42.86,43.68,42.72,43.6,2393088.0
2008-01-31,42.58,42.58,42.92,42.06,42.36,2980661.0
2008-02-01,43.04,43.04,43.33,42.59,42.59,2779347.0
2008-02-04,43.05,43.05,43.1,42.71,42.91,1678753.0
2008-02-05,41.91,41.91,42.91,41.89,42.83,2703400.0
2008-02-06,41.9,41.9,42.3,41.87,42.29,1339928.0
2008-02-07,42.09,42.09,42.3,41.6,41.6,1610384.0
2008-02-08,42.14,42.14,42.31,41.7,41.85,2656634.0
2008-02-11,42.59,42.59,42.77,42.14,42.23,1900610.0
2008-02-12,42.92,42.92,43.17,42.63,42.93,1677994.0
2008-02-13,43.1,43.1,43.45,42.78,43.35,1699773.0
2008-02-14,42.89,42.89,43.3,42.71,43.14,1827304.0
2008-02-15,45.12,45.12,45.17,43.67,43.72,5631522.0
2008-02-19,45.24,45.24,45.68,45.14,45.54,2255680.0
2008-02-20,45.42,45.42,45.53,44.84,44.94,1765341.0
2008-02-21,44.82,44.82,45.69,44.55,45.52,2759522.0
2008-02-22,45.29,45.29,45.3,44.61,44.95,1942158.0
2008-02-25,45.98,45.98,45.98,45.31,45.49,2384050.0
2008-02-26,45.6,45.6,46.2,44.0,44.0,2139121.0
2008-02-27,45.29,45.29,45.93,45.19,45.64,2374486.0
2008-02-28,44.86,44.86,45.27,44.77,44.91,1949509.0
2008-02-29,44.11,44.11,44.99,43.9,44.46,2913348.0
2008-03-03,43.87,43.87,44.11,43.48,44.11,3001382.0
2008-03-04,43.79,43.79,44.08,43.6,43.6,2746514.0
2008-03-05,44.09,44.09,44.23,43.68,43.81,2337356.0
2008-03-06,43.85,43.85,44.18,43.77,43.99,2481451.0
2008-03-07,43.85,43.85,44.21,43.53,43.59,2860122.0
2008-03-10,44.37,44.37,44.67,43.81,43.81,2859827.0
2008-03-11,45.2,45.2,45.2,44.28,44.67,2801599.0
2008-03-12,45.74,45.74,45.9,45.28,45.33,2967026.0
2008-03-13,45.71,45.71,45.86,44.96,45.2,3232046.0
2008-03-14,45.09,45.09,46.0,44.73,45.95,3733322.0
2008-03-17,44.43,44.43,44.89,43.79,44.12,2879370.0
2008-03-18,45.34,45.34,45.34,44.54,44.82,2485354.0
2008-03-19,44.66,44.66,45.81,44.59,45.79,2569589.0
2008-03-20,45.15,45.15,45.43,44.02,44.02,2812538.0
2008-03-24,45.32,45.32,45.46,44.9,45.24,1737495.0
2008-03-25,45.66,45.66,45.71,45.15,45.45,1554443.0
2008-03-26,45.85,45.85,46.0,45.25,45.3,2127950.0
2008-03-27,46.1,46.1,46.34,45.74,45.86,2742493.0
2008-03-28,46.89,46.89,47.25,46.76,46.83,2864914.0
2008-03-31,46.97,46.97,47.04,46.42,46.78,2961094.0
2008-04-01,47.64,47.64,47.68,47.14,47.14,3563055.0
2008-04-02,47.75,47.75,47.98,47.45,47.75,3124580.0
2008-04-03,47.42,47.42,47.58,46.96,47.56,1668499.0
2008-04-04,48.1,48.1,48.17,47.17,47.42,2542757.0
2008-04-07,47.3,47.3,48.25,47.3,48.2,2472779.0
2008-04-08,46.59,46.59,47.37,46.49,47.24,3045558.0
2008-04-09,46.81,46.81,46.9,46.57,46.88,1595513.0
2008-04-10,46.81,46.81,47.22,46.43,46.61,2821149.0
2008-04-11,46.7,46.7,47.11,46.59,46.79,2113327.0
2008-04-14,46.81,46.81,47.11,46.44,46.59,1734037.0
2008-04-15,47.18,47.18,47.46,46.82,47.0,2287069.0
2008-04-16,47.22,47.22,47.36,46.85,47.25,3126475.0
2008-04-17,47.15,47.15,47.5,47.0,47.0,2298006.0
2008-04-18,47.72,47.72,48.1,47.38,48.1,2012923.0
2008-04-21,47.55,47.55,47.61,47.21,47.37,1061813.0
2008-04-22,47.0,47.0,47.43,46.79,47.43,1487180.0
2008-04-23,47.35,47.35,47.47,47.01,47.29,1464196.0
2008-04-24,47.07,47.07,47.54,46.58,47.46,1539948.0
2008-04-25,46.75,46.75,47.2,46.43,47.2,1236220.0
2008-04-28,46.87,46.87,47.3,46.8,46.92,954414.0
2008-04-29,46.98,46.98,47.27,46.74,47.04,1466724.0
2008-04-30,47.03,47.03,47.65,47.03,47.1,1608407.0
2008-05-01,47.82,47.82,47.83,47.4,47.49,2200447.0
2008-05-02,47.46,47.46,48.25,47.3,48.0,1470122.0
2008-05-05,47.61,47.61,47.67,47.15,47.49,1456050.0
2008-05-06,47.66,47.66,47.84,47.2,47.5,1850040.0
2008-05-07,47.04,47.04,47.7,46.97,47.53,1739213.0
2008-05-08,47.55,47.55,47.6,47.04,47.38,2438393.0
2008-05-09,47.73,47.73,47.9,47.01,47.23,1710588.0
2008-05-12,48.58,48.58,48.58,47.74,47.94,1948905.0
2008-05-13,48.26,48.26,48.58,48.11,48.56,1674562.0
2008-05-14,48.6,48.6,48.75,48.1,48.38,1174301.0
2008-05-15,48.5,48.5,48.75,48.22,48.6,2697442.0
2008-05-16,48.66,48.66,48.79,48.22,48.55,1436701.0
2008-05-19,48.37,48.37,48.83,48.22,48.69,1754682.0
2008-05-20,48.27,48.27,48.39,47.75,48.11,2032752.0
2008-05-21,47.58,47.58,48.47,47.04,47.42,3465043.0
2008-05-22,47.19,47.19,47.6,47.02,47.55,2334566.0
2008-05-23,46.55,46.55,47.18,46.38,47.06,2635942.0
2008-05-27,46.85,46.85,47.03,46.35,46.36,1974762.0
2008-05-28,47.55,47.55,47.63,46.81,47.04,2794824.0
2008-05-29,49.25,49.25,49.29,47.64,48.45,3774506.0
2008-05-30,49.91,49.91,50.09,49.15,49.45,4313511.0
2008-06-02,49.7,49.7,49.9,48.7,49.68,3656458.0
2008-06-03,49.75,49.75,49.99,49.53,49.74,3536979.0
2008-06-04,50.06,50.06,50.14,49.67,49.75,4140199.0
2008-06-05,50.37,50.37,50.37,49.78,50.14,3300169.0
2008-06-06,49.7,49.7,50.16,49.42,49.89,3596094.0
2008-06-09,50.09,50.09,50.28,49.5,49.77,3667925.0
2008-06-10,50.43,50.43,50.54,49.59,49.83,2453564.0
2008-06-11,49.82,49.82,50.39,49.69,50.25,2225114.0
2008-06-12,49.54,49.54,50.22,49.37,49.98,2454799.0
2008-06-13,50.63,50.63,50.63,49.36,49.6,2795641.0
2008-06-16,50.39,50.39,50.63,49.87,50.63,2374314.0
2008-06-17,50.33,50.33,50.86,50.33,50.48,2735533.0
2008-06-18,49.79,49.79,50.49,49.79,50.12,2347939.0
2008-06-19,49.82,49.82,50.09,49.58,50.0,2394130.0
