,Adj Close,Close,High,Low,Open,Volume
2008-01-02,17.4,22.55,23.15,22.36,22.92,30826200.0
2008-01-03,17.4,22.55,22.63,22.29,22.46,23538200.0
2008-01-04,16.42,21.29,22.34,21.14,22.16,54436900.0
2008-01-07,15.89,20.59,21.41,20.08,21.37,69337000.0
2008-01-08,15.13,19.61,20.9,19.54,20.67,94068300.0
2008-01-09,15.57,20.18,20.26,19.42,19.58,67394400.0
2008-01-10,15.89,20.59,20.87,19.99,19.99,54328800.0
2008-01-11,15.77,20.44,20.73,20.37,20.66,40140000.0
2008-01-14,16.16,20.95,21.3,20.84,21.19,41575500.0
2008-01-15,15.78,20.46,20.77,20.44,20.71,35336800.0
2008-01-16,15.54,20.14,20.53,19.82,19.89,61638300.0
2008-01-17,15.07,19.53,20.35,19.3,20.19,53745300.0
2008-01-18,15.33,19.87,20.11,19.53,19.89,55236500.0
2008-01-22,14.97,19.4,19.75,18.39,18.39,71427300.0
2008-01-23,15.13,19.61,19.63,18.16,18.89,74560800.0
2008-01-24,15.73,20.39,20.52,19.29,19.65,49071700.0
2008-01-25,15.33,19.86,20.79,19.8,20.78,46897300.0
2008-01-28,15.35,19.89,20.35,19.71,19.87,31277200.0
2008-01-29,15.2,19.7,20.0,19.46,20.0,46600900.0
2008-01-30,15.26,19.77,20.11,19.46,19.59,43454900.0
2008-01-31,15.32,19.85,20.09,19.21,19.5,48722100.0
2008-02-01,15.56,20.17,20.19,19.74,19.88,40343700.0
2008-02-04,15.44,20.01,20.3,19.92,20.1,27414900.0
2008-02-05,15.06,19.52,19.96,19.44,19.96,40007000.0
2008-02-06,14.77,19.15,19.73,19.1,19.61,41052100.0
2008-02-07,14.19,18.39,18.98,18.24,18.98,107215100.0
2008-02-08,14.67,19.02,19.16,18.42,18.5,49548000.0
2008-02-11,14.94,19.36,19.36,19.04,19.18,29752500.0
2008-02-12,15.02,19.47,19.71,19.22,19.43,43568300.0
2008-02-13,15.43,20.0,20.2,19.58,19.58,38519500.0
2008-02-14,15.16,19.65,19.81,19.43,19.78,43709200.0
2008-02-15,15.37,19.92,20.11,19.44,19.6,41743500.0
2008-02-19,15.4,19.96,20.51,19.96,20.17,70195100.0
2008-02-20,16.62,21.54,21.68,20.66,20.83,88567700.0
2008-02-21,16.41,21.27,21.73,21.14,21.55,42128000.0
2008-02-22,16.61,21.53,21.57,21.05,21.31,31144200.0
2008-02-25,16.86,21.86,21.95,21.41,21.5,37159800.0
2008-02-26,17.24,22.34,22.57,21.63,21.75,44991900.0
2008-02-27,17.15,22.23,22.48,22.09,22.25,31914400.0
2008-02-28,17.01,22.05,22.16,21.87,22.08,34746600.0
2008-02-29,16.74,21.69,22.08,21.62,21.85,31239700.0
2008-03-03,16.68,21.62,21.74,21.41,21.63,26813900.0
2008-03-04,16.98,22.0,22.03,21.34,21.48,35650100.0
2008-03-05,16.93,21.94,22.18,21.71,22.07,27464600.0
2008-03-06,16.74,21.7,22.16,21.66,21.81,35416500.0
2008-03-07,16.58,21.49,21.88,21.23,21.49,27717400.0
2008-03-10,16.39,21.21,21.53,21.17,21.46,25183100.0
2008-03-11,16.82,21.76,21.8,21.17,21.65,32002100.0
2008-03-12,16.59,21.47,21.79,21.39,21.64,26981700.0
2008-03-13,16.5,21.35,21.58,20.93,21.16,34488100.0
2008-03-14,16.12,20.85,21.5,20.48,21.5,40414400.0
2008-03-17,16.29,21.08,21.34,20.21,20.4,38639100.0
2008-03-18,16.82,21.77,21.77,21.26,21.38,33076600.0
2008-03-19,16.35,21.16,21.73,21.14,21.57,45659300.0
2008-03-20,16.32,21.12,21.5,20.98,21.19,62210400.0
2008-03-24,16.82,21.77,22.02,21.02,21.21,36454300.0
2008-03-25,16.94,21.92,22.01,21.62,21.73,23042800.0
2008-03-26,16.62,21.5,21.91,21.19,21.8,30242700.0
2008-03-27,16.37,21.18,21.5,21.09,21.4,26909100.0
2008-03-28,16.18,20.93,21.44,20.86,21.32,22426200.0
2008-03-31,16.03,20.74,21.16,20.74,20.89,49361700.0
2008-04-01,16.7,21.61,21.73,20.94,20.94,38758700.0
2008-04-02,16.58,21.45,21.8,21.25,21.59,28822400.0
2008-04-03,16.48,21.33,21.47,21.06,21.28,33455400.0
2008-04-04,16.29,21.07,21.46,20.98,21.32,27220000.0
2008-04-07,16.12,20.85,21.31,20.77,21.09,31075000.0
2008-04-08,16.17,20.92,20.98,20.52,20.69,27289800.0
2008-04-09,16.18,20.93,20.99,20.55,20.92,26160200.0
2008-04-10,16.34,21.15,21.27,20.84,20.84,23886400.0
2008-04-11,15.96,20.65,21.05,20.59,21.01,22629900.0
2008-04-14,16.08,20.81,21.0,20.54,20.6,19190400.0
2008-04-15,16.08,20.81,20.95,20.57,20.91,18835900.0
2008-04-16,16.53,21.39,21.45,21.04,21.12,28398000.0
2008-04-17,16.6,21.49,21.57,21.22,21.51,20645000.0
2008-04-18,16.91,21.88,22.03,21.68,21.72,36858600.0
2008-04-21,17.0,22.0,22.04,21.62,21.78,17836600.0
2008-04-22,16.91,21.88,22.01,21.67,21.96,21637500.0
2008-04-23,16.85,21.81,22.06,21.68,21.88,23108800.0
2008-04-24,16.97,21.96,22.23,21.73,21.81,23119800.0
2008-04-25,16.65,21.55,21.93,21.24,21.93,27167300.0
2008-04-28,16.7,21.61,21.75,21.46,21.55,17874700.0
2008-04-29,16.79,21.73,21.81,21.49,21.61,20826200.0
2008-04-30,16.27,21.05,21.81,20.94,21.81,36430300.0
2008-05-01,16.86,21.81,21.88,21.0,21.05,36478700.0
2008-05-02,16.97,21.96,22.03,21.68,21.93,25672800.0
2008-05-05,16.94,21.93,22.07,21.71,21.83,19085800.0
2008-05-06,17.07,22.09,22.19,21.59,21.91,25449800.0
2008-05-07,17.07,22.09,22.65,21.97,22.06,41361400.0
2008-05-08,17.22,22.28,22.46,22.01,22.19,23282800.0
2008-05-09,17.24,22.31,22.41,22.07,22.18,21163800.0
2008-05-12,16.44,21.27,22.69,20.82,22.43,88435400.0
2008-05-13,15.54,20.1,20.82,19.65,20.16,312113000.0
2008-05-14,16.02,20.73,21.11,20.1,20.4,121108600.0
2008-05-15,16.4,21.22,21.38,20.56,20.83,63124000.0
2008-05-16,16.6,21.48,21.58,21.03,21.38,54706000.0
2008-05-19,16.39,21.21,21.82,21.09,21.49,45865000.0
2008-05-20,16.31,21.1,21.27,20.84,21.2,47797900.0
2008-05-21,15.72,20.35,21.05,20.16,20.98,75987200.0
2008-05-22,15.76,20.39,20.58,20.3,20.53,64460200.0
2008-05-23,15.78,20.42,20.5,20.3,20.34,36950600.0
2008-05-27,16.04,20.75,20.87,20.44,20.45,34436400.0
2008-05-28,16.33,21.13,21.19,20.86,20.89,39419100.0
2008-05-29,16.46,21.3,21.39,20.96,21.11,32093700.0
2008-05-30,16.52,21.37,21.62,21.31,21.37,38642600.0
2008-06-02,16.23,21.0,21.35,20.78,21.28,32123800.0
2008-06-03,16.23,21.0,21.33,20.91,21.15,32110400.0
2008-06-04,16.43,21.26,21.42,20.9,20.9,29005100.0
2008-06-05,17.03,22.03,22.13,21.32,21.4,50031600.0
2008-06-06,16.72,21.63,22.0,21.57,21.84,36927300.0
2008-06-09,16.74,21.63,21.73,21.43,21.65,23753600.0
