,Adj Close,Close,High,Low,Open,Volume
2008-01-02,28.71,38.77,39.45,38.7,39.45,1697100.0
2008-01-03,28.8,38.89,39.2,38.71,38.71,1951600.0
2008-01-04,28.55,38.55,39.08,38.5,38.64,1904500.0
2008-01-07,28.63,38.66,38.8,38.43,38.66,1527400.0
2008-01-08,28.04,37.86,38.9,37.82,38.77,1506900.0
2008-01-09,28.02,37.84,37.88,37.19,37.61,1869600.0
2008-01-10,28.08,37.92,38.21,37.51,37.64,1684100.0
2008-01-11,27.74,37.46,37.95,37.12,37.95,1377700.0
2008-01-14,27.68,37.37,37.83,37.2,37.83,1388000.0
2008-01-15,26.88,36.3,37.34,36.3,37.31,1714300.0
2008-01-16,27.48,37.1,37.4,36.2,36.21,2321500.0
2008-01-17,27.59,37.26,37.78,37.07,37.28,2752500.0
2008-01-18,27.21,36.74,37.62,36.48,37.58,2410000.0
2008-01-22,26.57,35.87,36.75,35.78,36.56,2630300.0
2008-01-23,26.95,36.39,36.51,35.1,35.89,2813000.0
2008-01-24,26.42,35.68,37.25,34.0,34.7,4426600.0
2008-01-25,25.21,34.04,36.02,33.54,35.95,5040300.0
2008-01-28,26.51,35.8,35.8,33.8,34.15,3533100.0
2008-01-29,27.17,36.68,36.91,35.45,35.7,2826900.0
2008-01-30,26.79,36.17,36.9,35.99,36.59,1950800.0
2008-01-31,26.79,36.17,36.42,35.36,35.72,2349000.0
2008-02-01,26.66,36.0,36.73,35.7,36.15,2865900.0
2008-02-04,26.37,35.6,36.27,35.54,36.0,1267300.0
2008-02-05,26.06,35.19,35.34,34.81,35.11,1727900.0
2008-02-06,25.94,35.02,35.58,35.0,35.36,1225700.0
2008-02-07,25.87,34.93,35.34,34.59,34.9,1704500.0
2008-02-08,25.49,34.42,34.79,34.18,34.68,1424900.0
2008-02-11,25.72,34.73,34.84,34.28,34.48,1458700.0
2008-02-12,26.71,36.07,36.07,34.93,35.15,2911300.0
2008-02-13,26.57,35.87,36.44,35.72,36.41,1409600.0
2008-02-14,26.39,35.63,35.95,35.61,35.95,1323000.0
2008-02-15,26.65,35.99,36.14,35.46,35.54,2082800.0
2008-02-19,27.44,37.05,37.25,36.02,36.05,3803100.0
2008-02-20,27.48,37.1,37.24,36.47,36.75,2098000.0
2008-02-21,27.34,36.62,37.15,36.58,37.15,1959500.0
2008-02-22,27.5,36.84,36.84,36.25,36.7,1256500.0
2008-02-25,28.3,37.91,38.04,36.55,36.79,3526900.0
2008-02-26,28.06,37.59,37.84,37.0,37.34,2380700.0
2008-02-27,27.83,37.28,37.7,37.09,37.44,2321000.0
2008-02-28,27.65,37.03,37.2,36.91,37.11,1233000.0
2008-02-29,27.68,37.08,37.44,36.71,36.71,2267600.0
2008-03-03,27.65,37.04,37.06,36.81,37.05,1588600.0
2008-03-04,27.58,36.94,37.11,36.79,36.8,1391000.0
2008-03-05,27.78,37.21,37.55,36.82,37.0,1803500.0
2008-03-06,26.59,35.62,36.97,35.62,36.96,2221900.0
2008-03-07,26.17,35.05,35.59,34.91,35.41,1705200.0
2008-03-10,26.35,35.29,35.63,34.76,34.76,1306200.0
2008-03-11,27.16,36.38,36.38,35.43,35.43,1804600.0
2008-03-12,27.55,36.9,36.96,36.2,36.45,2135400.0
2008-03-13,27.48,36.81,37.02,36.21,36.68,1881600.0
2008-03-14,27.22,36.46,37.22,36.03,37.0,1987200.0
2008-03-17,26.8,35.89,36.4,35.76,35.76,2360700.0
2008-03-18,27.18,36.4,36.57,35.87,36.25,1596800.0
2008-03-19,27.56,36.91,37.45,36.5,36.5,1826900.0
2008-03-20,28.36,37.98,38.06,36.8,36.96,1815900.0
2008-03-24,28.67,38.4,38.45,37.7,38.26,1383500.0
2008-03-25,28.85,38.64,38.74,38.3,38.32,1470500.0
2008-03-26,28.46,38.12,38.48,37.88,38.29,994300.0
2008-03-27,28.48,38.14,38.43,38.06,38.14,1122000.0
2008-03-28,28.21,37.79,38.67,37.7,38.35,1021300.0
2008-03-31,28.12,37.67,37.85,37.23,37.62,1879900.0
2008-04-01,29.3,39.24,39.24,37.63,37.95,1724400.0
2008-04-02,29.14,39.03,39.47,38.93,39.2,1020800.0
2008-04-03,29.08,38.95,39.09,38.6,38.81,720200.0
2008-04-04,29.14,39.03,39.17,38.83,38.94,932200.0
2008-04-07,29.22,39.14,39.35,38.97,39.24,708500.0
2008-04-08,29.06,38.93,39.16,38.72,39.11,527000.0
2008-04-09,28.74,38.5,39.33,38.46,38.93,1542800.0
2008-04-10,28.63,38.35,38.51,38.2,38.42,717600.0
2008-04-11,26.8,35.89,37.95,35.8,37.95,3122000.0
2008-04-14,27.01,36.18,36.59,35.76,35.76,1682100.0
2008-04-15,26.9,36.03,36.31,35.79,36.31,1644000.0
2008-04-16,26.87,35.99,36.26,35.87,36.26,2373800.0
2008-04-17,26.65,35.69,36.2,35.69,35.81,1429800.0
2008-04-18,26.53,35.53,36.22,35.32,36.0,1891900.0
2008-04-21,26.7,35.76,35.85,35.5,35.52,1652300.0
2008-04-22,26.44,35.41,35.81,35.25,35.68,1194300.0
2008-04-23,26.3,35.23,35.55,34.92,35.26,1703100.0
2008-04-24,25.94,34.75,35.55,34.25,35.34,2093100.0
2008-04-25,25.94,34.74,34.86,34.5,34.86,1391000.0
2008-04-28,27.14,36.35,37.29,36.08,36.23,4149800.0
2008-04-29,27.89,37.36,37.93,36.31,36.35,3721300.0
2008-04-30,27.91,37.38,37.9,37.29,37.57,1738700.0
2008-05-01,28.61,38.32,38.46,37.4,37.4,1858200.0
2008-05-02,28.5,38.17,38.76,37.94,38.6,1361500.0
2008-05-05,28.53,38.22,38.39,37.84,38.1,924000.0
2008-05-06,28.6,38.31,38.43,37.75,38.28,1075100.0
2008-05-07,28.38,38.01,38.48,37.96,38.41,1158000.0
2008-05-08,28.03,37.54,37.9,37.22,37.63,2570000.0
