,Adj Close,Close,High,Low,Open,Volume
2008-01-02,74.75,104.69,108.99,104.17,108.99,9503500.0
2008-01-03,74.9,104.9,105.57,103.98,104.83,7528900.0
2008-01-04,72.2,101.13,103.95,100.48,103.95,11034600.0
2008-01-07,71.43,100.05,101.0,99.03,100.25,12650400.0
2008-01-08,69.68,97.59,100.38,97.17,100.05,9434400.0
2008-01-09,70.19,98.31,99.15,97.16,97.76,10922100.0
2008-01-10,71.34,99.92,100.86,97.15,97.39,10634700.0
2008-01-11,69.73,97.67,99.46,97.04,99.2,8959900.0
2008-01-14,73.49,102.93,105.59,101.33,105.01,18009400.0
2008-01-15,72.7,101.83,104.64,101.23,102.03,11629500.0
2008-01-16,72.56,101.63,102.86,100.14,100.14,12681700.0
2008-01-17,72.18,101.1,103.45,100.05,102.0,11934000.0
2008-01-18,73.83,103.4,106.72,102.5,106.72,23871700.0
2008-01-22,72.27,101.22,103.09,98.55,98.55,15129500.0
2008-01-23,75.75,106.1,106.34,98.5,99.63,19588100.0
2008-01-24,76.33,106.91,107.51,104.68,106.38,13025700.0
2008-01-25,74.62,104.52,107.79,104.1,107.79,10025400.0
2008-01-28,74.95,104.98,105.77,103.83,104.44,7858500.0
2008-01-29,75.75,106.1,106.8,104.6,105.5,6616200.0
2008-01-30,75.43,105.65,107.65,104.86,105.85,7431100.0
2008-01-31,76.47,107.11,107.97,103.7,104.21,9054600.0
2008-02-01,77.88,109.08,109.4,105.86,107.16,8047100.0
2008-02-04,77.06,107.93,109.0,107.23,108.67,5985500.0
2008-02-05,74.98,105.02,108.05,104.68,107.06,9048900.0
2008-02-06,74.24,103.59,106.49,103.58,105.05,8265700.0
2008-02-07,73.35,102.34,104.0,100.6,102.89,11255800.0
2008-02-08,74.01,103.27,103.67,102.07,102.19,6085600.0
2008-02-11,75.35,105.14,105.55,102.87,103.05,6098300.0
2008-02-12,76.35,106.53,107.33,104.7,105.16,7650200.0
2008-02-13,77.71,108.42,108.93,106.8,107.13,6608200.0
2008-02-14,76.06,106.13,108.5,105.5,107.94,7340600.0
2008-02-15,76.09,106.16,106.25,105.0,105.27,6235600.0
2008-02-19,75.25,105.0,107.62,104.64,106.94,7376400.0
2008-02-20,77.3,107.85,108.21,104.53,105.43,7671000.0
2008-02-21,76.64,106.93,109.6,106.43,108.1,8328000.0
2008-02-22,77.45,108.07,108.48,105.71,107.14,7917200.0
2008-02-25,78.9,110.08,110.32,107.43,107.43,8158000.0
2008-02-26,81.98,114.38,114.99,109.05,109.52,18651500.0
2008-02-27,83.47,116.46,116.63,112.91,113.84,11854900.0
2008-02-28,82.59,115.24,115.9,114.56,115.6,7227200.0
2008-02-29,81.6,113.86,115.14,113.35,114.04,8475100.0
2008-03-03,81.87,114.23,114.81,113.48,113.86,6335700.0
2008-03-04,82.93,115.71,115.72,112.75,113.4,8593300.0
2008-03-05,82.7,115.39,116.41,114.25,116.41,8434200.0
2008-03-06,80.64,112.52,115.15,112.25,115.06,8018400.0
2008-03-07,81.66,113.94,114.75,111.8,111.85,8124900.0
2008-03-10,81.71,114.01,115.99,113.12,113.12,9747300.0
2008-03-11,83.49,116.49,116.56,114.04,115.8,10480600.0
2008-03-12,83.9,117.07,118.0,115.11,116.44,9083200.0
2008-03-13,83.07,115.91,116.78,113.64,115.69,9548900.0
2008-03-14,82.59,115.23,116.52,112.69,116.07,9734600.0
2008-03-17,82.82,115.55,117.04,113.0,113.0,9280300.0
2008-03-18,84.87,118.41,118.43,113.81,116.6,9966500.0
2008-03-19,83.81,116.94,118.5,116.65,118.29,9314400.0
2008-03-20,84.81,118.33,118.48,116.65,117.09,11417900.0
2008-03-24,85.33,119.06,119.79,118.13,118.57,8398000.0
2008-03-25,84.55,117.97,119.1,117.15,119.1,8443600.0
2008-03-26,83.79,116.91,117.97,114.96,117.59,9617100.0
2008-03-27,82.79,115.52,116.2,114.51,116.02,8437200.0
2008-03-28,82.11,114.57,116.75,114.21,115.86,6600900.0
2008-03-31,82.52,115.14,115.87,113.34,114.15,9707200.0
2008-04-01,83.49,116.49,118.37,114.97,115.2,11875400.0
2008-04-02,82.29,114.81,116.88,113.98,116.84,8007600.0
2008-04-03,83.15,116.02,116.82,113.86,114.35,7052900.0
