,Adj Close,Close,High,Low,Open,Volume
2008-01-02,28.44,35.86,37.2,35.7,37.08,4363900.0
2008-01-03,28.05,35.37,36.05,35.3,36.05,4038300.0
2008-01-04,26.99,34.03,35.21,33.94,35.14,7491700.0
2008-01-07,26.01,32.8,34.49,32.57,34.18,9791800.0
2008-01-08,25.32,31.93,33.14,31.6,32.91,12713300.0
2008-01-09,24.86,31.35,32.35,30.47,31.93,12071100.0
2008-01-10,25.62,32.3,32.7,31.2,31.85,7988600.0
2008-01-11,25.65,32.34,32.89,31.93,32.07,8126600.0
2008-01-14,26.22,33.07,33.2,32.35,32.66,4909400.0
2008-01-15,25.29,31.89,32.59,31.43,31.77,4732100.0
2008-01-16,24.89,31.38,32.29,30.93,31.69,5712100.0
2008-01-17,23.29,29.37,31.98,29.32,31.66,6474900.0
2008-01-18,23.52,29.66,30.42,28.91,30.26,4747700.0
2008-01-22,23.74,29.94,30.37,27.52,27.75,6924900.0
2008-01-23,24.86,31.35,31.45,28.42,29.0,9044000.0
2008-01-24,24.61,31.04,31.61,30.73,31.53,6110700.0
2008-01-25,24.54,30.95,31.94,30.77,31.53,5823000.0
2008-01-28,24.75,31.21,31.33,29.95,30.93,4970300.0
2008-01-29,25.16,31.73,32.0,31.4,31.47,9469600.0
2008-01-30,24.73,31.18,31.9,30.95,31.65,7308100.0
2008-01-31,25.01,31.54,31.76,30.12,30.64,10509900.0
2008-02-01,24.83,31.31,31.79,30.3,31.79,9491100.0
2008-02-04,24.82,31.3,31.45,30.86,31.31,4511900.0
2008-02-05,24.3,30.64,30.98,30.1,30.55,5687700.0
2008-02-06,24.5,30.89,31.83,30.72,30.85,6549700.0
2008-02-07,24.24,30.57,31.12,30.15,30.66,5539400.0
2008-02-08,23.68,29.86,30.54,29.7,30.46,5800500.0
2008-02-11,23.7,29.89,29.96,29.18,29.7,7426700.0
2008-02-12,24.43,30.81,31.32,30.03,30.03,10398100.0
2008-02-13,25.48,31.94,31.94,31.08,31.25,7184800.0
2008-02-14,25.21,31.61,32.5,31.45,32.5,11113500.0
2008-02-15,25.05,31.4,31.53,30.77,31.53,7994800.0
2008-02-19,25.19,31.58,32.23,31.44,31.69,4501900.0
2008-02-20,25.05,31.41,31.53,30.89,31.37,5869300.0
2008-02-21,24.94,31.26,31.94,31.09,31.46,3268700.0
2008-02-22,25.08,31.45,31.54,30.64,31.48,2881900.0
2008-02-25,25.73,32.26,32.31,30.94,31.41,6147400.0
2008-02-26,26.3,32.97,33.31,31.87,32.12,8257300.0
2008-02-27,27.06,33.92,34.58,32.65,32.71,7863600.0
2008-02-28,27.42,34.38,34.47,33.55,33.74,7298200.0
2008-02-29,26.67,33.43,34.09,32.89,33.57,8501200.0
2008-03-03,27.18,34.07,34.11,33.08,33.49,8560100.0
2008-03-04,26.81,33.61,34.1,32.84,33.95,7102400.0
