,Adj Close,Close,High,Low,Open,Volume
2008-01-02,107.98,107.98,110.16,105.0,107.88,2506800.0
2008-01-03,107.25,107.25,108.66,106.92,107.94,2130600.0
2008-01-04,101.67,101.67,106.11,100.76,105.18,3085200.0
2008-01-07,99.99,99.99,104.22,98.82,102.11,3513300.0
2008-01-08,90.58,90.58,97.54,90.22,95.33,6540900.0
2008-01-09,87.88,87.88,91.52,84.4,88.55,7086600.0
2008-01-10,89.21,89.21,90.26,84.77,85.82,5321700.0
2008-01-11,87.4,87.4,90.24,86.33,88.07,3518400.0
2008-01-14,88.56,88.56,89.58,87.44,88.86,2675400.0
2008-01-15,85.41,85.41,88.13,83.5,86.35,3928200.0
2008-01-16,88.35,88.35,90.0,83.07,83.52,5410500.0
2008-01-17,87.11,87.11,90.3,84.97,89.0,3367200.0
2008-01-18,87.36,87.36,88.7,85.34,87.0,3339900.0
2008-01-22,87.28,87.28,88.33,78.51,80.04,3345000.0
2008-01-23,90.29,90.29,90.38,81.69,84.99,3733500.0
2008-01-24,90.0,90.0,93.19,88.37,91.0,3178200.0
2008-01-25,89.67,89.67,92.84,89.41,91.66,2265900.0
2008-01-28,92.52,92.52,92.62,87.36,90.0,2499300.0
2008-01-29,81.43,81.43,91.32,81.33,91.32,5577600.0
2008-01-30,78.33,78.33,82.89,77.85,81.53,5817300.0
2008-01-31,84.67,84.67,85.0,75.75,76.35,6374100.0
2008-02-01,101.87,101.87,104.81,97.0,97.58,11978100.0
2008-02-04,102.5,102.5,105.27,101.17,102.31,4751100.0
2008-02-05,102.63,102.63,105.0,101.73,102.31,4312500.0
2008-02-06,97.93,97.93,104.0,97.67,103.27,3691800.0
2008-02-07,99.55,99.55,101.55,95.99,96.67,3886200.0
2008-02-08,100.23,100.23,101.12,98.4,100.0,1975800.0
2008-02-11,100.61,100.61,101.29,99.0,99.84,2118600.0
2008-02-12,98.89,98.89,101.33,97.76,101.33,2600700.0
2008-02-13,102.85,102.85,102.99,99.17,99.67,3311400.0
2008-02-14,100.03,100.03,104.3,100.03,103.33,2738100.0
2008-02-15,101.09,101.09,102.49,98.67,99.58,3506400.0
2008-02-19,96.83,96.83,103.15,95.71,102.77,3567900.0
2008-02-20,97.14,97.14,98.04,93.95,96.17,2582100.0
2008-02-21,95.42,95.42,98.33,95.01,97.83,1491300.0
2008-02-22,97.19,97.19,97.35,94.48,95.71,1550700.0
2008-02-25,97.86,97.86,98.16,95.19,97.01,1659900.0
2008-02-26,98.74,98.74,100.0,95.7,97.61,1604400.0
2008-02-27,98.31,98.31,99.13,96.68,98.25,1640100.0
2008-02-28,96.64,96.64,98.16,95.72,95.83,1602000.0
2008-02-29,93.97,93.97,96.17,93.47,95.33,2301300.0
2008-03-03,94.57,94.57,94.99,91.75,93.67,2510100.0
2008-03-04,93.36,93.36,95.63,91.12,93.96,1890900.0
2008-03-05,95.44,95.44,96.3,93.4,94.06,1792200.0
2008-03-06,90.25,90.25,96.22,89.94,94.44,4289100.0
2008-03-07,88.25,88.25,91.51,86.67,88.43,2800500.0
2008-03-10,85.19,85.19,89.69,84.79,87.6,3309900.0
2008-03-11,89.06,89.06,89.84,86.95,88.68,3696600.0
2008-03-12,91.46,91.46,93.33,88.34,89.0,3221700.0
2008-03-13,94.99,94.99,95.43,88.42,89.97,3276900.0
2008-03-14,94.36,94.36,97.03,91.92,96.67,2983800.0
2008-03-17,93.29,93.29,95.61,90.5,90.5,2409600.0
2008-03-18,98.25,98.25,99.06,94.52,95.77,2309400.0
2008-03-19,97.22,97.22,100.63,96.67,97.7,2091900.0
2008-03-20,100.23,100.23,100.47,96.15,97.15,2427300.0
2008-03-24,109.08,109.08,111.67,100.6,100.91,4460700.0
2008-03-25,108.64,108.64,110.29,107.26,109.97,2538000.0
2008-03-26,107.99,107.99,108.75,105.67,108.59,1597800.0
2008-03-27,107.29,107.29,109.31,107.01,108.34,1680300.0
2008-03-28,107.57,107.57,110.67,107.39,108.14,1959300.0
2008-03-31,108.12,108.12,110.33,106.76,108.65,2212800.0
2008-04-01,115.65,115.65,115.98,108.67,109.67,4421400.0
2008-04-02,113.34,113.34,116.63,112.67,115.45,2580000.0
2008-04-03,112.33,112.33,113.84,111.35,113.51,2257800.0
2008-04-04,112.81,112.81,114.0,110.74,113.52,2485500.0
2008-04-07,115.05,115.05,119.3,113.73,114.33,4062300.0
2008-04-08,115.7,115.7,117.14,113.75,114.98,2191800.0
2008-04-09,112.02,112.02,116.4,110.63,116.3,3884400.0
2008-04-10,117.96,117.96,119.33,113.25,114.28,4691400.0
2008-04-11,111.19,111.19,115.74,110.08,115.42,5981700.0
2008-04-14,108.28,108.28,111.0,105.26,110.75,4119900.0
2008-04-15,113.27,113.27,113.27,108.45,109.33,4325700.0
2008-04-16,115.33,115.33,115.52,113.04,114.47,3096600.0
2008-04-17,116.17,116.17,118.66,114.39,115.37,6257700.0
2008-04-18,96.17,96.17,103.98,95.07,103.51,15300600.0
2008-04-21,97.16,97.16,97.67,91.87,96.36,7013700.0
2008-04-22,91.84,91.84,95.66,91.67,95.01,4224600.0
2008-04-23,94.32,94.32,94.82,90.62,92.32,3987000.0
2008-04-24,92.87,92.87,95.83,91.36,93.67,3013200.0
2008-04-25,93.26,93.26,93.94,91.68,93.3,2536800.0
2008-04-28,95.17,95.17,96.56,94.06,94.32,3408300.0
2008-04-29,97.0,97.0,97.74,94.33,95.0,3322500.0
2008-04-30,96.42,96.42,98.62,95.43,96.37,3034200.0
2008-05-01,98.15,98.15,98.62,95.8,97.3,2068500.0
2008-05-02,96.68,96.68,99.5,96.22,99.01,1675800.0
2008-05-05,98.25,98.25,99.23,96.0,96.67,2285100.0
2008-05-06,97.78,97.78,98.31,95.54,97.86,1677300.0
2008-05-07,96.26,96.26,98.33,95.91,97.54,2317800.0
2008-05-08,95.86,95.86,96.91,94.25,96.59,2146500.0
2008-05-09,96.37,96.37,96.61,94.09,94.81,1363500.0
2008-05-12,97.08,97.08,97.2,95.19,96.17,1297500.0
2008-05-13,96.8,96.8,97.2,95.42,97.2,1103400.0
2008-05-14,95.28,95.28,97.96,95.23,96.78,1646400.0
2008-05-15,97.66,97.66,97.93,95.21,95.23,2348400.0
2008-05-16,99.92,99.92,101.43,97.43,97.66,3968400.0
2008-05-19,99.5,99.5,102.91,99.2,100.47,2814900.0
2008-05-20,99.45,99.45,99.89,97.97,99.34,1444200.0
2008-05-21,96.22,96.22,100.31,96.09,99.05,1945200.0
2008-05-22,91.58,91.58,94.93,90.94,94.37,4794600.0
2008-05-23,94.92,94.92,95.82,93.12,94.25,3207300.0
2008-05-27,95.36,95.36,95.48,93.75,95.33,1339500.0
2008-05-28,96.28,96.28,96.28,94.73,96.17,1101600.0
2008-05-29,97.16,97.16,98.33,95.42,95.42,1708500.0
2008-05-30,97.86,97.86,99.0,96.7,97.66,18638700.0
2008-06-02,96.19,96.19,98.85,95.33,97.78,2974200.0
2008-06-03,94.58,94.58,96.6,93.06,96.58,3017100.0
2008-06-04,95.36,95.36,96.51,94.05,94.8,2447400.0
2008-06-05,97.14,97.14,97.15,94.46,95.67,2000700.0
2008-06-06,93.64,93.64,96.58,92.89,96.33,2333400.0
2008-06-09,91.7,91.7,94.2,90.54,94.2,2445900.0
2008-06-10,90.09,90.09,90.49,87.76,90.42,3495000.0
2008-06-11,88.64,88.64,91.33,88.43,91.33,1844100.0
2008-06-12,89.89,89.89,91.52,87.84,89.0,2187300.0
2008-06-13,93.67,93.67,93.67,90.0,90.84,2184600.0
2008-06-16,93.5,93.5,93.72,91.52,92.35,1931100.0
2008-06-17,94.01,94.01,94.62,93.09,93.86,1582500.0
2008-06-18,94.37,94.37,94.92,93.02,93.17,2187000.0
2008-06-19,95.71,95.71,95.93,93.63,94.95,1773900.0
2008-06-20,94.17,94.17,94.89,93.57,94.33,2430600.0
2008-06-23,93.31,93.31,95.66,92.0,95.66,2959500.0
2008-06-24,91.78,91.78,92.9,90.04,92.05,2432400.0
2008-06-25,92.95,92.95,93.64,91.17,93.29,2103000.0
2008-06-26,90.26,90.26,92.16,90.02,91.02,2514000.0
2008-06-27,89.86,89.86,90.98,89.01,90.01,2353200.0
2008-06-30,89.8,89.8,91.61,89.33,89.5,1484100.0
2008-07-01,86.66,86.66,88.21,84.33,88.2,3108300.0
2008-07-02,83.39,83.39,88.66,83.28,87.09,2331300.0
2008-07-03,83.45,83.45,85.27,83.0,83.67,1478400.0
2008-07-07,84.4,84.4,86.92,82.59,85.67,2464200.0
2008-07-08,88.05,88.05,88.21,83.54,83.54,2148900.0
2008-07-09,87.5,87.5,91.67,87.37,88.05,2748600.0
2008-07-10,88.52,88.52,89.3,86.67,87.68,1868700.0
2008-07-11,89.99,89.99,91.11,87.43,87.82,2031300.0
2008-07-14,90.6,90.6,91.67,89.64,91.11,1642500.0
2008-07-15,90.16,90.16,91.43,88.18,89.8,2021400.0
2008-07-16,93.6,93.6,94.34,90.44,90.44,1982100.0
2008-07-17,94.08,94.08,94.88,92.53,94.88,1841700.0
2008-07-18,96.16,96.16,96.56,93.33,93.68,2289300.0
2008-07-21,94.9,94.9,96.57,94.27,96.01,1660800.0
2008-07-22,93.41,93.41,95.19,92.33,92.84,4371300.0
2008-07-23,110.38,110.38,111.08,104.33,104.5,7935600.0
2008-07-24,107.89,107.89,110.93,106.68,110.03,3252000.0
2008-07-25,107.36,107.36,108.61,106.24,106.52,2362800.0
2008-07-28,102.74,102.74,106.6,102.51,104.78,3306600.0
2008-07-29,103.98,103.98,104.95,102.81,103.33,2100000.0
2008-07-30,104.29,104.29,105.33,102.44,102.79,1559700.0
2008-07-31,103.76,103.76,105.33,102.84,103.17,1575900.0
2008-08-01,100.14,100.14,104.22,99.76,103.45,2093700.0
2008-08-04,99.96,99.96,101.93,98.33,99.95,2247300.0
2008-08-05,102.69,102.69,102.78,100.25,101.13,1755600.0
2008-08-06,103.6,103.6,104.88,100.85,101.81,2395200.0
2008-08-07,101.0,101.0,103.11,100.53,103.11,2112000.0
2008-08-08,102.75,102.75,103.25,100.62,101.07,1450500.0
2008-08-11,102.75,102.75,103.31,100.65,100.74,1299000.0
2008-08-12,102.0,102.0,103.07,101.52,103.02,1055400.0
2008-08-13,101.46,101.46,102.65,100.08,102.31,1221900.0
2008-08-14,101.42,101.42,102.57,100.45,100.86,1275900.0
