,Adj Close,Close,High,Low,Open,Volume
2008-01-02,17.14,17.14,17.53,17.01,17.44,466100.0
2008-01-03,16.83,16.83,17.22,16.83,17.16,463300.0
2008-01-04,15.98,15.98,16.64,15.85,16.64,614300.0
2008-01-07,16.51,16.51,16.82,16.03,16.09,873600.0
2008-01-08,16.79,16.79,17.3,16.64,16.66,1065900.0
2008-01-09,16.24,16.24,16.73,15.7,16.71,1009100.0
2008-01-10,16.68,16.68,16.86,15.92,16.05,692400.0
2008-01-11,16.08,16.08,16.47,16.04,16.38,341000.0
2008-01-14,16.0,16.0,16.31,15.93,16.16,449400.0
2008-01-15,15.61,15.61,15.99,15.46,15.85,639300.0
2008-01-16,15.62,15.62,16.15,15.56,15.73,880000.0
2008-01-17,15.4,15.4,16.4,15.33,16.2,976100.0
2008-01-18,14.72,14.72,15.49,14.54,15.49,1303600.0
2008-01-22,14.49,14.49,14.82,13.84,14.25,740300.0
2008-01-23,14.55,14.55,14.81,13.75,14.12,955900.0
2008-01-24,14.37,14.37,14.75,14.25,14.6,1031300.0
2008-01-25,14.36,14.36,14.75,14.12,14.5,1019900.0
2008-01-28,14.43,14.43,14.5,14.01,14.32,879500.0
2008-01-29,15.01,15.01,15.1,14.38,14.57,683300.0
2008-01-30,14.75,14.75,15.3,14.73,14.88,533100.0
2008-01-31,14.83,14.83,15.06,14.38,14.74,593500.0
2008-02-01,15.2,15.2,15.21,14.61,14.95,563500.0
2008-02-04,15.0,15.0,15.2,14.64,15.2,528500.0
2008-02-05,14.8,14.8,15.03,14.65,14.75,489000.0
2008-02-06,14.77,14.77,15.05,14.61,15.05,1221300.0
2008-02-07,17.25,17.25,17.42,15.6,15.75,1449800.0
2008-02-08,16.7,16.7,17.25,16.63,17.19,1173500.0
2008-02-11,16.59,16.59,16.75,16.09,16.6,875300.0
2008-02-12,17.43,17.43,17.57,16.5,16.6,601000.0
2008-02-13,18.53,18.53,18.53,17.56,17.61,1438600.0
2008-02-14,17.92,17.92,18.66,17.81,18.52,640000.0
2008-02-15,18.1,18.1,18.14,17.61,17.85,695400.0
2008-02-19,18.14,18.14,18.52,18.0,18.28,1542400.0
2008-02-20,18.97,18.97,19.0,17.88,18.03,810800.0
2008-02-21,18.86,18.86,19.19,18.68,18.7,996900.0
2008-02-22,19.01,19.01,19.12,18.73,18.97,706000.0
2008-02-25,19.37,19.37,19.4,18.81,18.85,541000.0
2008-02-26,19.91,19.91,20.13,19.11,19.38,925800.0
2008-02-27,19.52,19.52,20.05,19.22,19.8,713200.0
2008-02-28,19.4,19.4,19.67,18.86,19.39,526900.0
2008-02-29,18.91,18.91,19.37,18.69,19.2,686400.0
2008-03-03,19.22,19.22,19.4,18.68,18.91,612700.0
2008-03-04,19.56,19.56,19.67,18.87,18.98,793800.0
2008-03-05,19.5,19.5,19.78,19.25,19.71,535500.0
2008-03-06,19.01,19.01,19.53,18.95,19.36,763600.0
2008-03-07,18.45,18.45,18.99,18.25,18.7,882000.0
2008-03-10,17.98,17.98,18.37,17.65,18.37,1145700.0
2008-03-11,19.19,19.19,19.19,18.4,18.63,719800.0
2008-03-12,19.67,19.67,20.0,18.95,19.33,976500.0
2008-03-13,20.05,20.05,20.14,19.18,19.4,664900.0
2008-03-14,19.54,19.54,20.11,19.13,20.09,901200.0
2008-03-17,18.99,18.99,19.41,18.51,19.0,638900.0
2008-03-18,19.94,19.94,19.94,19.07,19.28,782600.0
2008-03-19,19.55,19.55,20.1,19.55,19.9,606200.0
2008-03-20,20.27,20.27,20.52,19.3,19.68,1636300.0
2008-03-24,21.21,21.21,21.29,20.3,20.31,668200.0
2008-03-25,21.06,21.06,21.18,20.79,21.18,922400.0
2008-03-26,20.5,20.5,20.82,20.08,20.79,1266000.0
2008-03-27,20.1,20.1,20.61,20.0,20.58,540300.0
2008-03-28,19.25,19.25,20.16,19.11,20.08,1200500.0
2008-03-31,19.34,19.34,19.56,18.85,19.25,1072400.0
2008-04-01,19.97,19.97,19.97,19.5,19.53,603900.0
2008-04-02,20.34,20.34,20.71,20.06,20.07,457900.0
2008-04-03,20.68,20.68,20.72,20.19,20.24,310100.0
2008-04-04,20.76,20.76,20.95,20.37,20.66,302500.0
2008-04-07,20.72,20.72,21.1,20.65,20.9,349100.0
2008-04-08,20.89,20.89,21.06,20.57,20.61,417000.0
2008-04-09,20.06,20.06,21.0,19.86,20.91,613400.0
2008-04-10,21.12,21.12,21.27,20.02,20.02,569700.0
2008-04-11,20.09,20.09,20.93,20.06,20.87,460300.0
2008-04-14,20.33,20.33,20.92,19.97,20.09,553200.0
2008-04-15,20.92,20.92,21.05,20.22,20.38,413500.0
2008-04-16,22.31,22.31,22.56,21.12,21.12,931000.0
