,Adj Close,Close,High,Low,Open,Volume
2008-01-02,15.61,21.18,21.89,20.98,21.82,5139000.0
2008-01-03,15.98,21.68,21.84,21.32,21.43,6024100.0
2008-01-04,15.6,21.16,21.53,21.16,21.52,4730600.0
2008-01-07,15.24,20.68,21.5,20.4,21.33,7567800.0
2008-01-08,14.82,20.1,20.77,20.04,20.77,6544000.0
2008-01-09,14.74,20.0,20.2,19.29,20.08,7132000.0
2008-01-10,14.91,20.23,20.38,19.6,19.74,4440500.0
2008-01-11,14.46,19.61,20.09,19.47,20.03,6019900.0
2008-01-14,14.73,19.99,20.01,19.66,19.76,4211300.0
2008-01-15,14.17,19.23,19.85,19.13,19.7,6012600.0
2008-01-16,14.17,19.23,19.54,18.95,19.07,4965300.0
2008-01-17,13.75,18.65,19.79,18.57,19.45,7212600.0
2008-01-18,13.71,18.6,19.11,18.41,18.78,6027400.0
2008-01-22,14.23,19.31,19.44,17.48,17.67,11936300.0
2008-01-23,14.29,19.39,19.41,18.24,18.71,8227300.0
2008-01-24,14.03,19.03,19.68,18.88,19.49,6528000.0
2008-01-25,14.17,19.23,19.56,19.08,19.2,5158600.0
2008-01-28,14.25,19.34,19.35,18.92,19.29,3437200.0
2008-01-29,14.24,19.32,19.48,19.2,19.48,3060000.0
2008-01-30,14.3,19.41,19.8,19.05,19.3,3887500.0
2008-01-31,14.52,19.7,19.85,18.95,19.06,3931200.0
2008-02-01,14.71,19.95,19.98,19.62,19.82,4438400.0
2008-02-04,14.63,19.84,19.96,19.7,19.96,2668500.0
2008-02-05,14.18,19.23,19.62,19.18,19.57,3054800.0
2008-02-06,14.14,19.18,19.7,18.99,19.3,4800300.0
2008-02-07,13.94,18.92,19.29,18.73,19.23,6428200.0
2008-02-08,13.77,18.68,18.9,18.57,18.85,6908900.0
2008-02-11,13.79,18.7,18.77,18.49,18.66,5599800.0
2008-02-12,13.93,18.9,19.05,18.71,18.98,5022900.0
2008-02-13,14.14,19.18,19.36,19.01,19.01,4503300.0
2008-02-14,14.24,19.32,19.76,19.17,19.19,7643200.0
2008-02-15,14.07,19.09,19.29,18.92,19.29,4306900.0
2008-02-19,13.93,18.9,19.26,18.83,19.16,4646800.0
2008-02-20,14.13,19.17,19.2,18.64,18.77,4258700.0
2008-02-21,13.81,18.73,19.36,18.66,19.32,4686600.0
2008-02-22,13.77,18.68,18.84,18.32,18.77,6765300.0
2008-02-25,14.15,19.19,19.23,18.63,18.73,4357300.0
2008-02-26,14.4,19.54,19.58,18.99,19.0,5011400.0
2008-02-27,14.36,19.48,19.67,19.35,19.46,3914300.0
2008-02-28,14.25,19.33,19.45,19.16,19.43,3470100.0
2008-02-29,13.75,18.65,19.11,18.59,19.11,4416400.0
2008-03-03,13.81,18.74,18.81,18.52,18.59,3726700.0
2008-03-04,13.66,18.53,18.69,18.31,18.53,3896500.0
2008-03-05,13.94,18.74,18.81,18.49,18.61,4491200.0
2008-03-06,13.64,18.33,18.68,18.3,18.65,3953200.0
2008-03-07,13.47,18.1,18.36,17.94,18.18,3858500.0
2008-03-10,13.1,17.6,18.1,17.55,18.08,4851600.0
2008-03-11,13.56,18.23,18.23,17.81,18.02,4027100.0
2008-03-12,13.53,18.18,18.51,18.14,18.43,2715900.0
2008-03-13,13.58,18.25,18.35,17.69,17.9,4484000.0
2008-03-14,13.18,17.72,18.44,17.52,18.35,7215600.0
2008-03-17,13.14,17.65,17.81,17.24,17.45,6548500.0
2008-03-18,13.53,18.19,18.19,17.72,17.97,7443300.0
2008-03-19,13.05,17.54,18.39,17.53,18.19,7401300.0
2008-03-20,13.02,17.5,17.65,16.89,17.65,9191100.0
2008-03-24,13.26,17.82,17.91,17.53,17.6,5494500.0
2008-03-25,13.43,18.05,18.17,17.69,17.9,4114800.0
2008-03-26,13.3,17.88,18.03,17.73,17.92,2863600.0
2008-03-27,12.88,17.3,18.04,17.28,17.97,4741500.0
2008-03-28,12.75,17.13,17.59,17.07,17.35,4801200.0
2008-03-31,12.78,17.18,17.32,17.0,17.14,4597400.0
2008-04-01,13.26,17.81,17.82,17.26,17.46,4223700.0
2008-04-02,13.23,17.78,18.0,17.68,17.91,3590700.0
2008-04-03,13.19,17.72,17.78,17.48,17.72,4361800.0
2008-04-04,13.5,18.15,18.24,17.63,17.73,5636300.0
2008-04-07,13.87,18.63,18.77,18.38,18.45,9424900.0
2008-04-08,13.83,18.59,18.61,18.38,18.61,5441700.0
2008-04-09,13.71,18.42,18.7,18.32,18.55,5218300.0
2008-04-10,13.96,18.77,18.89,18.29,18.46,5925200.0
2008-04-11,13.9,18.68,18.9,18.3,18.58,8482500.0
2008-04-14,13.93,18.72,18.86,18.51,18.71,5759000.0
2008-04-15,14.23,19.13,19.65,18.85,19.22,10925200.0
2008-04-16,14.2,19.09,19.23,18.85,18.93,9317200.0
2008-04-17,14.05,18.88,19.12,18.75,19.07,5606400.0
2008-04-18,14.31,19.23,19.34,19.12,19.17,5410400.0
2008-04-21,14.15,19.01,19.16,18.86,19.07,4136900.0
2008-04-22,13.86,18.62,19.05,18.51,18.97,5332300.0
2008-04-23,14.03,18.86,19.03,18.63,18.64,5900100.0
2008-04-24,14.21,19.1,19.23,18.85,18.99,8718000.0
2008-04-25,15.01,20.16,20.92,19.84,20.91,15407400.0
2008-04-28,15.31,20.57,20.72,19.88,19.88,6616700.0
2008-04-29,15.78,21.2,21.24,20.66,20.72,6788600.0
2008-04-30,15.79,21.22,21.42,21.12,21.12,7286700.0
2008-05-01,15.95,21.43,21.5,21.16,21.31,4245700.0
2008-05-02,15.86,21.31,21.89,21.21,21.46,3831400.0
2008-05-05,15.87,21.33,21.43,21.12,21.35,3693000.0
2008-05-06,16.09,21.62,21.7,21.14,21.14,3348000.0
2008-05-07,16.05,21.57,21.83,21.34,21.68,6598000.0
2008-05-08,16.1,21.63,21.75,21.46,21.64,5288200.0
2008-05-09,16.04,21.55,21.66,21.36,21.51,2541000.0
2008-05-12,16.43,22.08,22.13,21.56,21.57,2743900.0
2008-05-13,16.45,22.1,22.21,21.86,22.09,4150700.0
2008-05-14,16.43,22.07,22.42,22.02,22.27,3694800.0
2008-05-15,16.45,22.11,22.19,21.97,22.04,3537900.0
2008-05-16,16.35,21.97,22.15,21.75,22.1,3240900.0
2008-05-19,16.38,22.01,22.36,21.86,21.9,3357000.0
2008-05-20,16.12,21.66,21.95,21.54,21.95,3501200.0
