,Adj Close,Close,High,Low,Open,Volume
2008-01-02,22.85,26.03,27.64,25.94,27.33,2576600.0
2008-01-03,21.99,25.05,26.25,24.93,26.1,3180400.0
2008-01-04,21.29,24.25,24.71,24.04,24.64,4108900.0
2008-01-07,22.14,25.22,25.91,24.5,24.56,3171100.0
2008-01-08,20.89,23.8,25.43,23.8,25.12,2313900.0
2008-01-09,20.82,23.72,24.32,23.28,23.73,2951400.0
2008-01-10,22.06,25.13,25.43,23.5,23.5,2546300.0
2008-01-11,21.56,24.56,25.09,24.11,24.87,2968300.0
2008-01-14,22.4,25.52,25.58,24.51,24.8,2064500.0
2008-01-15,21.93,24.98,25.5,24.78,25.25,2464500.0
2008-01-16,22.5,25.63,25.78,24.55,24.89,2571100.0
2008-01-17,21.94,25.0,26.38,24.77,25.72,2610400.0
2008-01-18,22.46,25.59,25.73,24.87,25.1,2718600.0
2008-01-22,22.57,25.71,26.28,24.1,24.36,2665800.0
2008-01-23,24.53,27.94,28.41,25.03,25.03,4076300.0
2008-01-24,24.38,27.78,28.2,27.5,28.2,2616200.0
2008-01-25,24.36,27.75,28.72,27.63,28.03,3012100.0
2008-01-28,24.49,27.9,28.05,26.9,26.9,2804400.0
2008-01-29,24.98,28.46,28.65,27.95,28.03,1580400.0
2008-01-30,25.89,29.5,30.8,29.36,30.6,8367500.0
2008-01-31,27.3,31.1,31.86,29.29,29.3,5123000.0
2008-02-01,27.12,30.9,31.46,30.6,30.76,3691900.0
2008-02-04,26.52,30.21,31.04,30.19,30.77,2606100.0
2008-02-05,26.57,30.17,30.86,29.47,29.9,3298100.0
2008-02-06,26.22,29.77,30.52,29.63,30.3,2586300.0
2008-02-07,26.58,30.18,30.67,29.61,29.65,2389600.0
2008-02-08,26.32,29.88,30.5,29.49,30.05,2207900.0
2008-02-11,26.59,30.19,30.3,29.67,29.85,1372700.0
2008-02-12,26.72,30.34,30.66,30.19,30.41,1981400.0
2008-02-13,26.15,29.69,30.24,29.32,29.85,2412600.0
2008-02-14,26.28,29.84,30.26,29.64,30.14,1910900.0
2008-02-15,25.95,29.47,30.43,29.12,30.43,1698300.0
2008-02-19,25.95,29.47,29.99,28.95,29.84,1659400.0
2008-02-20,25.57,29.03,29.44,28.33,29.24,3912600.0
2008-02-21,25.14,28.55,29.64,28.5,29.2,2084200.0
2008-02-22,25.18,28.59,29.0,27.89,28.81,3333000.0
2008-02-25,25.53,28.99,29.11,28.33,28.51,1517600.0
2008-02-26,25.85,29.35,29.5,28.53,28.95,2426100.0
2008-02-27,25.25,28.67,29.5,28.2,29.11,4183700.0
2008-02-28,24.62,27.96,28.6,27.88,28.51,2661500.0
2008-02-29,24.1,27.37,28.15,27.28,27.8,2637100.0
2008-03-03,24.82,28.18,28.33,27.05,27.5,2124900.0
2008-03-04,24.91,28.28,28.39,27.31,27.71,3135300.0
2008-03-05,25.55,29.01,29.4,28.31,28.35,2643700.0
2008-03-06,24.86,28.23,29.13,28.18,28.96,2644900.0
2008-03-07,25.19,28.6,28.97,28.0,28.08,2397700.0
2008-03-10,23.74,26.96,28.87,26.94,28.61,3288200.0
2008-03-11,25.94,29.45,29.5,27.68,27.78,3738300.0
2008-03-12,25.21,28.62,29.67,28.59,29.37,2291200.0
2008-03-13,25.76,29.25,29.77,27.82,28.1,2995600.0
2008-03-14,26.06,29.59,30.0,29.24,29.75,3260100.0
2008-03-17,25.63,29.1,29.65,28.63,28.9,1927400.0
2008-03-18,27.09,30.76,30.82,29.45,29.65,2675500.0
2008-03-19,25.43,28.88,30.7,28.84,30.39,3406400.0
2008-03-20,27.04,30.7,30.97,28.5,28.9,2483300.0
2008-03-24,28.64,32.52,33.8,30.97,30.97,4131400.0
2008-03-25,28.74,32.63,33.05,32.4,32.47,2287200.0
2008-03-26,28.09,31.9,32.89,31.75,32.67,2022000.0
2008-03-27,27.52,31.25,31.82,30.76,31.4,1428200.0
2008-03-28,27.35,31.05,31.58,30.95,31.36,1112400.0
2008-03-31,27.68,31.43,31.75,30.57,30.95,1897100.0
2008-04-01,29.15,33.1,33.3,31.69,31.8,2228700.0
2008-04-02,28.66,32.54,32.8,31.97,32.16,3088400.0
2008-04-03,28.72,32.61,32.86,32.0,32.02,1445100.0
2008-04-04,28.43,32.28,32.8,32.15,32.5,2050400.0
2008-04-07,28.17,31.99,32.57,31.82,32.53,1791000.0
2008-04-08,27.98,31.77,31.87,31.43,31.83,1382500.0
2008-04-09,26.29,29.85,31.56,29.7,31.53,3143400.0
2008-04-10,26.47,30.06,30.47,29.63,29.73,1706600.0
2008-04-11,25.95,29.46,29.96,29.21,29.7,2343200.0
2008-04-14,25.67,29.15,29.96,28.93,29.49,2636900.0
2008-04-15,26.98,30.64,30.79,29.5,29.85,2843000.0
2008-04-16,28.53,32.4,32.52,30.76,30.76,3177700.0
2008-04-17,27.25,30.94,31.7,30.31,31.31,3850500.0
2008-04-18,28.79,32.69,32.79,31.4,31.51,2109700.0
2008-04-21,28.65,32.53,32.71,32.06,32.33,3021100.0
2008-04-22,28.19,32.01,32.59,31.59,32.43,1395700.0
2008-04-23,28.12,31.93,32.18,31.59,32.03,1083900.0
2008-04-24,29.01,32.94,33.2,31.69,32.08,2272400.0
2008-04-25,29.41,33.39,33.61,32.76,33.0,1942600.0
2008-04-28,29.89,33.94,34.22,33.06,33.33,1722000.0
2008-04-29,30.33,34.44,34.44,33.62,33.96,1535100.0
2008-04-30,29.92,33.97,34.64,33.73,34.53,2903000.0
2008-05-01,30.82,34.99,35.36,33.57,33.75,3616200.0
2008-05-02,30.55,34.69,35.36,34.07,35.36,1609900.0
2008-05-05,30.25,34.35,34.85,34.03,34.7,1711200.0
2008-05-06,31.39,35.64,36.32,33.95,33.95,3204700.0
2008-05-07,29.87,33.92,35.76,33.8,35.76,2508100.0
2008-05-08,30.16,34.15,34.54,33.57,34.1,1360300.0
2008-05-09,29.89,33.84,34.0,33.36,34.0,1183400.0
2008-05-12,30.43,34.45,34.51,33.17,33.75,1758400.0
2008-05-13,30.55,34.59,34.65,33.85,34.53,1330900.0
2008-05-14,31.39,35.54,35.86,34.54,34.67,1478700.0
2008-05-15,31.83,36.04,36.04,35.14,35.48,1430100.0
2008-05-16,31.22,35.35,36.05,34.84,36.05,1866700.0
2008-05-19,31.37,35.52,36.18,35.03,35.23,1543300.0
2008-05-20,30.45,34.47,35.25,34.13,35.25,1697100.0
2008-05-21,29.01,32.84,35.63,32.45,34.6,4211000.0
2008-05-22,29.8,33.74,34.2,32.66,32.84,2683300.0
2008-05-23,29.34,33.22,33.66,32.7,33.6,1714800.0
2008-05-27,30.29,34.29,34.29,32.93,33.22,2197400.0
2008-05-28,31.71,35.9,36.0,34.83,35.34,3748100.0
2008-05-29,31.42,35.57,36.11,35.29,35.77,2883900.0
2008-05-30,30.77,34.84,35.44,34.6,35.28,3739300.0
2008-06-02,29.96,33.92,34.54,33.6,34.51,2501300.0
2008-06-03,29.88,33.83,34.27,33.31,34.08,2853700.0
2008-06-04,30.8,34.87,35.03,33.31,33.54,3536000.0
2008-06-05,31.7,35.89,35.89,34.47,35.0,1992300.0
2008-06-06,30.26,34.26,35.44,34.08,35.44,2496200.0
2008-06-09,30.19,34.18,34.49,33.54,34.49,1839700.0
2008-06-10,30.67,34.72,34.81,33.5,33.88,2705800.0
2008-06-11,29.5,33.4,34.63,33.32,34.63,2934700.0
2008-06-12,29.51,33.41,34.41,32.88,33.45,2989300.0
2008-06-13,29.96,33.92,34.52,33.53,33.87,2516000.0
2008-06-16,30.16,34.15,34.53,33.71,33.8,1733300.0
2008-06-17,30.03,34.0,34.76,33.8,34.76,1582100.0
2008-06-18,29.25,33.11,33.87,32.84,33.87,3774000.0
2008-06-19,30.69,34.74,34.79,33.07,33.07,2316200.0
2008-06-20,30.5,34.53,34.64,33.8,34.43,2016800.0
2008-06-23,29.72,33.65,34.76,33.32,34.76,2201700.0
2008-06-24,29.43,33.32,34.15,32.81,33.49,2694800.0
2008-06-25,30.16,34.14,34.69,33.41,33.41,2055300.0
2008-06-26,28.94,32.76,33.89,32.55,33.68,2308400.0
2008-06-27,29.15,33.0,33.16,31.94,32.76,2785100.0
2008-06-30,29.4,33.28,33.67,32.2,33.0,1849000.0
2008-07-01,29.26,33.13,33.42,32.0,32.91,2396700.0
2008-07-02,28.07,31.78,33.25,31.7,33.11,2077500.0
2008-07-03,28.5,32.27,32.92,31.98,31.98,1642600.0
2008-07-07,28.52,32.29,33.27,31.81,32.51,2444100.0
2008-07-08,29.81,33.75,33.79,31.94,32.01,2739800.0
2008-07-09,29.48,33.38,34.03,33.15,33.75,1909200.0
2008-07-10,29.29,33.16,33.6,32.61,33.27,1844100.0
2008-07-11,28.69,32.48,33.09,31.63,32.6,2378200.0
2008-07-14,28.72,32.51,33.26,32.04,32.96,2477000.0
2008-07-15,29.16,33.01,33.92,32.13,32.88,8336100.0
2008-07-16,31.9,36.12,36.13,33.41,33.62,7009800.0
2008-07-17,32.45,36.74,37.27,35.06,36.0,5210200.0
2008-07-18,32.43,36.72,37.8,36.37,37.22,3914300.0
2008-07-21,31.7,35.89,36.93,35.48,36.85,2841000.0
2008-07-22,33.63,38.07,38.28,35.52,35.97,4704500.0
2008-07-23,33.79,38.25,38.58,37.41,37.8,4950800.0
2008-07-24,32.25,36.51,38.25,36.18,38.02,3503700.0
2008-07-25,32.11,36.35,37.25,36.08,36.86,3110300.0
2008-07-28,31.87,36.08,36.59,35.82,36.3,1445600.0
2008-07-29,33.17,37.55,37.6,36.11,36.28,2350400.0
2008-07-30,32.82,37.06,38.28,36.23,37.7,2109800.0
2008-07-31,32.75,36.98,37.47,36.65,36.65,1405000.0
2008-08-01,32.19,36.35,37.49,35.81,37.4,1373000.0
2008-08-04,32.08,36.22,36.78,35.62,36.42,1263600.0
2008-08-05,34.44,38.89,38.91,36.19,36.83,3470200.0
2008-08-06,34.41,38.85,39.14,38.04,38.74,1798200.0
2008-08-07,33.63,37.97,38.82,37.78,38.4,1784900.0
2008-08-08,35.38,39.95,40.07,37.68,38.0,2303100.0
2008-08-11,34.72,39.2,40.25,38.97,39.75,2945800.0
2008-08-12,34.26,38.68,39.89,37.9,38.94,3266300.0
2008-08-13,34.02,38.41,38.92,37.63,38.21,2200700.0
2008-08-14,34.4,38.84,39.04,38.18,38.33,2261600.0
2008-08-15,34.95,39.46,39.78,38.83,38.83,1827400.0
2008-08-18,34.21,38.63,39.73,38.09,39.63,2794500.0
2008-08-19,32.66,36.88,38.4,36.55,38.4,2757600.0
2008-08-20,31.87,35.98,36.91,35.14,36.91,3149900.0
2008-08-21,31.17,35.19,35.87,34.5,35.5,3851800.0
2008-08-22,32.65,36.87,36.92,35.35,35.48,2060200.0
2008-08-25,31.53,35.6,36.71,35.32,36.32,1536700.0
2008-08-26,31.46,35.52,35.64,34.99,35.01,2314800.0
2008-08-27,31.14,35.16,35.76,34.99,35.3,1571900.0
2008-08-28,32.25,36.41,36.61,35.3,35.41,2049700.0
2008-08-29,32.28,36.45,36.88,35.9,36.11,1648000.0
2008-09-02,32.5,36.7,38.65,36.54,37.23,2040400.0
2008-09-03,32.93,37.18,37.81,36.5,36.54,2744500.0
2008-09-04,32.9,37.15,37.57,36.28,36.76,2850600.0
2008-09-05,32.85,37.09,37.25,36.17,36.74,2953200.0
2008-09-08,33.19,37.48,39.29,36.63,38.39,2364200.0
2008-09-09,32.44,36.63,37.68,36.35,37.42,2915000.0
2008-09-10,32.66,36.88,37.24,35.61,36.85,3202000.0
2008-09-11,33.42,37.73,37.93,36.04,36.56,2116400.0
2008-09-12,33.6,37.94,38.05,36.75,37.31,1462300.0
2008-09-15,34.2,38.62,39.65,36.1,36.1,3877700.0
2008-09-16,33.54,37.87,38.57,37.18,38.08,3350200.0
2008-09-17,31.46,35.52,38.33,34.9,37.31,3358400.0
2008-09-18,32.25,36.41,36.41,34.1,35.97,3917000.0
2008-09-19,32.18,36.33,39.38,35.9,37.76,3815100.0
2008-09-22,30.85,34.83,36.2,34.6,36.08,2270000.0
2008-09-23,30.25,34.15,35.47,33.75,34.76,2038100.0
2008-09-24,29.85,33.7,34.93,32.9,34.92,2409800.0
2008-09-25,29.7,33.53,33.97,32.93,33.59,1866000.0
2008-09-26,30.0,33.87,33.95,32.26,33.01,3246000.0
2008-09-29,27.68,31.25,33.85,30.63,33.23,3750300.0
2008-09-30,29.55,33.37,33.45,30.79,31.94,3779000.0
2008-10-01,29.54,33.35,33.69,32.67,33.12,2289700.0
2008-10-02,25.68,28.99,32.28,28.4,32.11,4919600.0
2008-10-03,25.52,28.82,30.12,28.42,29.26,3192500.0
2008-10-06,24.97,28.19,28.35,25.91,28.05,6965400.0
2008-10-07,23.65,26.7,29.32,26.58,26.93,3111300.0
2008-10-08,24.78,27.98,28.99,24.91,25.59,5114800.0
2008-10-09,23.04,26.02,29.0,25.7,28.5,3488900.0
2008-10-10,24.53,27.7,28.49,23.47,24.69,3709400.0
2008-10-13,25.46,28.75,29.02,27.79,28.53,2147700.0
2008-10-14,27.92,31.53,33.64,30.56,30.98,8043800.0
2008-10-15,26.56,29.99,31.52,29.72,31.52,4204600.0
2008-10-16,26.96,30.44,31.79,28.3,29.88,4076200.0
2008-10-17,25.33,28.6,31.85,28.33,29.08,3584000.0
2008-10-20,26.45,29.86,30.27,28.57,29.01,1657200.0
2008-10-21,25.0,28.23,29.58,27.92,28.62,2831500.0
2008-10-22,23.35,26.37,28.3,25.69,27.81,2296100.0
2008-10-23,22.63,25.55,26.72,24.38,26.12,2462800.0
2008-10-24,21.91,24.74,25.23,23.31,23.75,2454500.0
2008-10-27,21.61,24.4,25.31,23.51,24.2,1809700.0
2008-10-28,22.98,25.95,25.98,23.12,24.96,2393300.0
2008-10-29,24.1,27.21,28.57,25.54,26.07,2803400.0
2008-10-30,24.73,27.92,28.3,27.12,27.98,2057700.0
