,Adj Close,Close,High,Low,Open,Volume
2008-01-02,93.91,96.62,98.7,95.61,95.61,1582200.0
2008-01-03,98.73,101.58,103.29,97.21,97.77,2381700.0
2008-01-04,93.9,96.61,100.52,96.02,100.52,2003600.0
2008-01-07,88.72,91.28,97.73,90.0,97.37,2941200.0
2008-01-08,85.44,87.9,93.67,87.68,92.4,2754900.0
2008-01-09,83.89,86.31,88.39,81.74,87.51,3809000.0
2008-01-10,87.99,90.53,92.8,84.7,86.18,2986000.0
2008-01-11,86.22,88.71,91.38,87.87,89.6,1485600.0
2008-01-14,86.93,89.44,90.35,87.22,89.78,1317200.0
2008-01-15,79.83,82.13,88.8,82.02,88.8,2606500.0
2008-01-16,74.59,76.74,82.96,74.18,79.57,3888600.0
2008-01-17,70.16,72.18,77.74,71.73,77.12,2744800.0
2008-01-18,72.13,74.21,75.86,71.7,73.31,2573200.0
2008-01-22,75.92,78.11,79.63,67.25,67.48,3790100.0
2008-01-23,74.83,76.99,77.25,70.72,76.88,3377800.0
2008-01-24,77.56,79.8,81.38,77.07,77.2,2173800.0
2008-01-25,75.02,77.18,83.0,76.33,82.2,2166100.0
2008-01-28,74.44,76.59,77.5,74.44,77.5,1959300.0
2008-01-29,74.31,76.45,79.75,76.0,78.02,1989400.0
2008-01-30,71.86,73.93,76.33,73.26,75.98,2405200.0
2008-01-31,74.21,76.35,77.58,72.07,72.91,2362200.0
2008-02-01,77.97,80.22,80.46,76.78,77.5,2009700.0
2008-02-04,75.83,78.02,80.99,77.81,80.99,1360400.0
2008-02-05,71.68,73.75,77.09,73.75,76.49,1372700.0
2008-02-06,70.78,72.82,75.77,72.4,74.4,1361500.0
2008-02-07,69.82,71.83,72.96,70.0,72.28,1690300.0
2008-02-08,70.8,72.84,74.37,70.96,71.31,1331300.0
2008-02-11,72.85,74.95,75.24,71.94,72.96,1547900.0
2008-02-12,73.58,75.7,77.8,74.56,76.0,1579900.0
2008-02-13,76.33,78.53,78.8,75.48,76.13,1486500.0
2008-02-14,74.64,76.79,79.4,76.3,78.76,1432700.0
2008-02-15,73.7,75.82,76.99,74.28,76.35,1454700.0
2008-02-19,75.14,77.31,78.74,76.44,77.99,1240100.0
2008-02-20,75.66,77.84,78.08,75.0,76.51,1878500.0
2008-02-21,77.06,79.28,80.58,77.77,78.73,2637300.0
2008-02-22,78.8,81.07,81.4,78.57,79.99,1774000.0
2008-02-25,82.4,84.78,84.99,80.25,81.67,2015700.0
2008-02-26,80.88,83.21,84.79,81.58,83.26,2800400.0
2008-02-27,80.71,83.04,84.44,81.36,82.75,2251800.0
2008-02-28,81.35,83.7,84.99,81.11,83.5,2448000.0
2008-02-29,78.04,80.29,83.68,79.95,83.68,2148400.0
2008-03-03,79.02,81.3,81.46,79.12,80.89,1829900.0
2008-03-04,77.9,80.15,81.75,78.23,81.0,2897600.0
2008-03-05,77.57,79.81,80.62,78.47,80.5,2617400.0
2008-03-06,76.27,78.47,80.2,78.36,78.82,2042200.0
2008-03-07,73.89,76.02,78.3,74.81,77.99,2319700.0
2008-03-10,68.77,70.75,76.85,70.34,76.85,2955500.0
2008-03-11,73.35,75.46,75.55,71.85,72.97,2131100.0
2008-03-12,72.67,74.76,76.67,74.37,76.27,1612800.0
2008-03-13,73.21,75.32,75.49,71.4,73.57,2570500.0
2008-03-14,70.99,73.04,76.66,71.2,76.03,2168600.0
2008-03-17,67.93,69.89,71.96,67.18,71.15,2854600.0
2008-03-18,71.43,73.49,74.31,70.49,71.67,2528700.0
2008-03-19,68.5,70.47,75.76,70.47,74.0,2236700.0
2008-03-20,69.64,71.65,71.89,67.4,70.55,2678400.0
2008-03-24,72.25,74.33,76.57,71.0,71.0,2083300.0
2008-03-25,74.02,76.15,76.51,74.03,74.59,1742100.0
2008-03-26,73.36,75.47,76.6,74.82,76.44,1335200.0
2008-03-27,71.87,73.94,76.5,73.5,76.36,1265200.0
2008-03-28,72.01,74.09,75.95,73.73,74.16,1292400.0
2008-03-31,71.53,73.59,74.52,72.68,74.0,1664000.0
2008-04-01,74.41,76.56,76.56,72.82,74.97,2171500.0
2008-04-02,75.64,77.82,78.99,76.5,76.78,1685400.0
2008-04-03,76.91,79.13,79.41,77.08,77.8,1123200.0
2008-04-04,78.48,80.74,81.66,79.04,79.4,1228000.0
2008-04-07,77.43,79.66,82.79,79.57,81.89,1473700.0
2008-04-08,77.7,79.94,80.15,78.0,79.37,1224900.0
2008-04-09,76.15,78.35,80.22,77.91,80.13,1061000.0
