,Adj Close,Close,High,Low,Open,Volume
2008-01-02,46.18,65.91,67.0,65.72,66.56,11970500.0
2008-01-03,46.19,65.93,66.4,65.36,65.75,9277600.0
2008-01-04,46.13,65.84,66.4,65.72,65.72,12714800.0
2008-01-07,46.84,66.86,67.21,65.75,65.76,12352700.0
2008-01-08,46.9,66.94,67.75,66.6,67.05,13478500.0
2008-01-09,47.5,67.8,68.29,66.99,66.99,19489900.0
2008-01-10,47.58,67.91,68.23,67.35,67.43,13043400.0
2008-01-11,47.56,67.88,68.03,67.34,67.34,15541800.0
2008-01-14,47.61,67.95,68.29,67.31,68.29,11661600.0
2008-01-15,47.47,67.76,68.17,67.45,67.7,11545300.0
2008-01-16,47.86,68.31,68.85,67.33,67.33,18310300.0
2008-01-17,47.52,67.83,68.56,66.0,68.37,18336600.0
2008-01-18,46.44,66.29,68.16,66.01,68.16,22716600.0
2008-01-22,45.73,65.27,66.75,64.5,64.67,29488900.0
2008-01-23,44.98,64.2,65.57,62.13,65.0,22843600.0
2008-01-24,44.5,63.51,64.54,63.34,64.54,18084400.0
2008-01-25,43.76,62.46,63.99,62.34,63.54,23938400.0
2008-01-28,44.19,63.07,63.13,62.5,62.66,10182000.0
2008-01-29,44.12,62.97,63.39,62.83,63.34,10074000.0
2008-01-30,43.56,62.18,63.0,62.0,62.97,13653300.0
2008-01-31,44.24,63.14,63.39,61.72,61.86,21274200.0
2008-02-01,44.39,63.36,63.59,62.75,63.35,11780400.0
2008-02-04,44.47,63.47,63.71,63.0,63.38,7976200.0
2008-02-05,44.05,62.87,63.75,62.8,63.72,11320400.0
2008-02-06,44.17,63.05,63.37,62.78,63.18,9556900.0
2008-02-07,44.01,62.81,63.18,62.5,62.81,13693300.0
2008-02-08,43.46,62.03,63.19,61.94,62.85,13338800.0
2008-02-11,43.35,61.88,62.14,61.36,62.13,11133400.0
2008-02-12,44.12,62.97,63.15,62.01,62.14,11421300.0
2008-02-13,44.43,63.41,63.75,62.59,62.59,11190600.0
2008-02-14,43.99,62.79,63.63,62.62,63.3,10864100.0
2008-02-15,44.07,62.9,63.1,62.45,62.67,11916000.0
2008-02-19,44.6,63.66,63.83,63.05,63.25,10392600.0
2008-02-20,44.3,63.23,63.71,63.11,63.66,13772900.0
2008-02-21,44.12,62.98,63.57,62.75,63.38,11085000.0
2008-02-22,44.56,63.18,63.28,62.5,62.76,10142300.0
2008-02-25,45.03,63.85,63.94,63.21,63.34,9979000.0
2008-02-26,44.94,63.72,64.07,63.4,63.67,9219200.0
2008-02-27,44.46,63.04,63.85,62.96,63.21,9569700.0
2008-02-28,44.23,62.71,63.49,62.5,63.1,8545200.0
2008-02-29,43.7,61.96,62.75,61.88,62.7,12028300.0
2008-03-03,43.89,62.23,62.3,61.62,62.0,8841200.0
2008-03-04,44.18,62.64,62.8,62.01,62.1,14347700.0
2008-03-05,44.52,63.13,63.28,62.64,62.76,13654600.0
2008-03-06,44.17,62.63,63.3,62.51,62.95,12137700.0
2008-03-07,43.38,61.51,62.42,61.4,62.06,14935800.0
2008-03-10,43.25,61.33,61.74,61.17,61.69,14229400.0
2008-03-11,44.04,62.44,62.53,61.49,61.76,13635600.0
2008-03-12,44.11,62.55,63.13,62.14,62.45,13132300.0
2008-03-13,44.3,62.81,63.44,61.66,62.52,15810500.0
2008-03-14,44.18,62.65,63.37,62.25,63.37,20835000.0
2008-03-17,45.16,64.04,64.29,61.64,61.64,21927300.0
2008-03-18,46.06,65.31,65.31,64.43,64.74,15062200.0
2008-03-19,45.76,64.88,65.81,64.82,65.39,15845800.0
2008-03-20,46.11,65.38,65.5,64.89,64.97,16276300.0
2008-03-24,45.76,64.89,65.54,64.64,65.16,9887900.0
2008-03-25,45.52,64.55,65.14,64.35,64.93,9511900.0
2008-03-26,45.63,64.7,64.85,64.21,64.21,11354700.0
2008-03-27,45.57,64.62,65.25,64.52,64.82,10772200.0
2008-03-28,45.26,64.18,65.0,64.06,64.84,8755200.0
2008-03-31,45.75,64.87,65.01,63.72,64.29,13668500.0
2008-04-01,46.46,65.87,65.92,64.51,65.13,11204700.0
2008-04-02,46.06,65.31,65.97,65.15,65.85,9791500.0
2008-04-03,46.03,65.27,65.58,64.8,64.8,7651200.0
2008-04-04,46.36,65.73,65.95,65.03,65.24,8079600.0
2008-04-07,46.65,66.14,66.24,65.5,65.65,8901900.0
2008-04-08,46.77,66.32,66.61,65.75,65.98,8861100.0
2008-04-09,46.75,66.29,66.5,65.94,66.22,8589900.0
2008-04-10,46.78,66.33,66.57,66.15,66.26,8272100.0
2008-04-11,46.55,66.0,66.75,65.94,66.2,9234800.0
2008-04-14,46.36,65.74,66.42,65.74,65.99,10326800.0
2008-04-15,46.3,65.65,66.02,64.99,65.63,17362000.0
2008-04-16,46.34,65.7,65.91,65.13,65.79,12617900.0
2008-04-17,46.38,65.76,66.0,65.55,65.64,8841500.0
2008-04-18,46.91,66.51,66.8,65.94,66.07,10741100.0
2008-04-21,46.77,66.32,66.57,66.05,66.25,8975600.0
2008-04-22,47.25,66.99,67.16,65.79,66.06,13185600.0
2008-04-23,47.44,67.26,67.49,66.75,67.12,10643000.0
2008-04-24,47.51,67.37,67.74,67.02,67.21,9613100.0
2008-04-25,47.47,67.31,67.7,66.94,67.57,9182200.0
2008-04-28,47.48,67.32,67.67,67.17,67.3,9071600.0
2008-04-29,47.39,67.19,67.49,67.13,67.25,7706800.0
2008-04-30,47.32,67.09,67.67,66.92,67.45,13098400.0
2008-05-01,47.82,67.81,67.88,66.95,67.13,13165100.0
2008-05-02,48.14,68.26,68.32,67.51,67.51,12562300.0
2008-05-05,47.89,67.9,68.32,67.71,68.04,10550400.0
2008-05-06,47.66,67.58,67.98,67.31,67.7,9487600.0
2008-05-07,47.19,66.91,67.68,66.79,67.48,12628400.0
2008-05-08,47.18,66.9,67.16,66.7,67.03,9444500.0
2008-05-09,46.93,66.55,66.97,66.35,66.52,8758400.0
2008-05-12,47.05,66.71,66.89,66.3,66.59,7707900.0
2008-05-13,46.84,66.41,67.0,66.3,66.75,9532400.0
2008-05-14,47.12,66.81,67.11,66.41,66.58,9022000.0
2008-05-15,47.03,66.68,66.99,66.34,66.98,8407900.0
2008-05-16,47.03,66.68,66.91,66.3,66.91,9764900.0
2008-05-19,46.99,66.63,66.79,66.26,66.6,8748300.0
2008-05-20,46.65,66.15,66.94,66.04,66.44,12612400.0
2008-05-21,46.36,65.73,66.7,65.58,66.39,11216800.0
2008-05-22,46.46,65.41,65.75,65.21,65.69,9882700.0
