,Adj Close,Close,High,Low,Open,Volume
2008-01-02,28.96,32.1,33.3,32.0,33.2,7635900.0
2008-01-03,29.26,32.43,32.89,31.8,32.07,5185100.0
2008-01-04,28.07,31.12,32.5,31.01,32.4,8003300.0
2008-01-07,27.7,30.7,31.25,29.88,31.18,9258400.0
2008-01-08,27.42,30.4,31.79,30.32,30.92,8647000.0
2008-01-09,27.8,30.82,30.88,29.42,30.61,9637700.0
2008-01-10,27.67,30.67,31.12,29.39,30.28,12145900.0
2008-01-11,24.0,26.6,27.43,25.77,26.95,37340000.0
2008-01-14,25.43,28.19,28.5,27.09,27.19,17205000.0
2008-01-15,24.85,27.55,27.86,27.05,27.56,12187500.0
2008-01-16,24.71,27.39,28.19,26.9,27.73,11105300.0
2008-01-17,24.0,26.6,28.0,26.56,27.85,15258000.0
2008-01-18,23.91,26.5,27.2,26.1,26.62,13045100.0
2008-01-22,23.1,25.61,26.41,25.14,25.66,15883000.0
2008-01-23,21.98,24.37,25.61,23.98,24.39,19196500.0
2008-01-24,23.73,26.3,26.93,25.1,25.27,24376400.0
2008-01-25,23.41,25.95,27.35,25.94,26.99,27728300.0
2008-01-28,24.54,27.2,27.2,25.67,26.21,15798200.0
2008-01-29,24.15,26.77,27.79,26.73,27.6,17116000.0
2008-01-30,24.27,26.9,27.49,26.25,26.73,10745000.0
2008-01-31,24.49,27.15,27.51,26.41,26.54,11936200.0
2008-02-01,24.58,27.25,27.57,26.64,27.13,10139400.0
2008-02-04,23.82,26.4,27.55,26.05,27.34,9815600.0
2008-02-05,23.0,25.5,26.23,25.48,26.21,11268500.0
2008-02-06,22.65,25.11,26.17,25.03,25.74,11199300.0
2008-02-07,22.28,24.7,25.01,23.87,24.02,20455900.0
2008-02-08,22.97,25.46,25.8,24.54,24.58,8683400.0
2008-02-11,23.29,25.82,25.93,24.74,24.74,10082200.0
2008-02-12,23.39,25.93,26.69,25.77,25.84,9428000.0
2008-02-13,24.79,27.48,27.52,26.23,26.35,10744900.0
2008-02-14,24.19,26.81,27.86,26.67,27.49,9077200.0
2008-02-15,23.56,26.12,26.91,25.86,26.67,7238600.0
2008-02-19,23.58,26.14,26.94,26.08,26.61,8621400.0
2008-02-20,23.5,26.05,26.26,25.43,26.17,9377700.0
2008-02-21,23.15,25.66,26.4,25.56,26.14,6410000.0
2008-02-22,23.63,26.19,26.3,25.35,25.61,6848400.0
2008-02-25,24.89,27.59,27.67,26.54,26.91,12081800.0
2008-02-26,24.82,27.51,27.85,27.17,27.46,10640800.0
2008-02-27,26.42,29.29,29.38,27.18,27.21,14374100.0
2008-02-28,25.79,28.59,29.36,28.58,29.19,10780300.0
2008-02-29,24.19,26.82,28.25,26.72,28.2,15360200.0
2008-03-03,23.34,25.87,27.01,25.22,26.88,18767800.0
2008-03-04,23.72,26.29,26.56,25.57,25.84,13725000.0
2008-03-05,24.56,27.22,27.53,26.42,26.42,11034300.0
2008-03-06,23.3,25.83,27.37,25.27,26.92,17242300.0
2008-03-07,22.51,24.95,26.19,24.63,25.55,17528300.0
2008-03-10,22.19,24.6,25.51,24.52,24.98,8595000.0
2008-03-11,23.25,25.77,25.81,24.92,25.27,9999900.0
2008-03-12,23.07,25.57,26.22,25.47,25.94,6369400.0
2008-03-13,23.1,25.61,25.86,24.53,25.36,9884800.0
2008-03-14,22.26,24.68,25.89,24.09,25.62,15962200.0
2008-03-17,21.89,24.26,24.75,23.43,24.48,12392000.0
2008-03-18,22.99,25.48,25.6,24.63,24.72,9792000.0
2008-03-19,22.06,24.45,25.9,24.45,25.25,8343400.0
2008-03-20,22.7,25.16,25.16,23.79,24.65,12833300.0
2008-03-24,23.0,25.5,25.93,25.02,25.1,11435000.0
2008-03-25,23.98,26.58,26.91,25.51,25.81,12245800.0
2008-03-26,23.64,26.2,26.59,25.99,26.4,9891100.0
2008-03-27,22.46,24.9,26.05,24.74,26.01,15017900.0
2008-03-28,21.92,24.3,25.26,24.24,25.0,12426000.0
2008-03-31,22.55,25.0,25.36,24.23,24.46,13484000.0
2008-04-01,23.26,25.78,25.87,25.25,25.4,10410100.0
2008-04-02,22.16,24.56,25.87,24.19,25.87,15371000.0
2008-04-03,21.99,24.38,24.68,24.05,24.17,13562000.0
2008-04-04,21.68,24.03,24.54,23.69,24.3,9660700.0
2008-04-07,21.16,23.46,24.28,23.37,24.17,10231400.0
2008-04-08,21.14,23.43,23.67,23.14,23.3,12055000.0
2008-04-09,20.72,22.97,23.45,22.64,23.39,14001800.0
2008-04-10,21.03,23.31,23.44,22.98,22.98,13590800.0
2008-04-11,20.6,22.83,23.39,22.23,22.53,14510900.0
2008-04-14,20.85,23.11,23.52,22.68,22.87,12057800.0
2008-04-15,20.51,22.73,23.39,22.48,23.3,7421600.0
2008-04-16,21.3,23.61,23.79,22.88,23.07,11919300.0
2008-04-17,21.07,23.36,23.7,23.04,23.64,9838300.0
2008-04-18,22.08,24.48,24.67,23.75,24.06,12195900.0
2008-04-21,22.69,25.15,25.27,24.09,24.1,10372700.0
2008-04-22,21.96,24.34,25.0,24.11,24.89,9409300.0
2008-04-23,22.89,25.37,25.48,24.53,24.68,11153200.0
2008-04-24,23.21,25.73,26.31,25.03,25.45,23368000.0
2008-04-25,24.1,26.71,26.87,24.57,26.27,27065100.0
2008-04-28,24.39,27.04,27.69,26.57,26.7,16354500.0
2008-04-29,24.68,27.36,27.56,26.97,27.02,9432900.0
2008-04-30,24.92,27.62,28.25,27.2,27.23,13389000.0
2008-05-01,25.82,28.62,28.7,27.45,27.46,11080100.0
2008-05-02,25.97,28.79,29.49,28.27,28.89,11601800.0
2008-05-05,25.75,28.54,29.08,28.34,28.72,7937700.0
2008-05-06,25.92,28.73,28.96,27.88,28.21,8523800.0
2008-05-07,25.32,28.07,29.04,27.82,28.55,10116900.0
2008-05-08,24.93,27.64,28.38,27.23,28.38,10805300.0
2008-05-09,24.65,27.32,27.74,27.0,27.44,10190400.0
2008-05-12,25.0,27.71,27.83,27.32,27.5,6081000.0
2008-05-13,24.62,27.29,27.81,26.87,27.59,6929700.0
2008-05-14,24.56,27.22,27.81,27.05,27.36,8303800.0
2008-05-15,25.41,28.17,28.28,27.07,27.3,8852700.0
2008-05-16,26.06,28.89,29.04,27.74,28.09,15658000.0
2008-05-19,26.17,29.01,29.35,28.59,28.95,11464400.0
2008-05-20,25.31,28.06,28.8,27.77,28.77,8810300.0
2008-05-21,24.84,27.53,28.17,27.18,27.96,8189200.0
2008-05-22,24.86,27.56,28.25,27.29,27.73,12661200.0
2008-05-23,24.61,27.28,27.43,26.88,27.31,8926400.0
2008-05-27,25.28,28.02,28.16,27.4,27.44,8441200.0
2008-05-28,25.25,27.99,28.3,27.5,28.09,6647300.0
2008-05-29,24.91,27.61,27.82,27.36,27.52,7719900.0
2008-05-30,24.83,27.52,27.83,27.26,27.78,8441900.0
2008-06-02,24.4,27.05,27.48,26.57,27.44,8907700.0
2008-06-03,24.01,26.62,27.42,26.29,27.23,10316200.0
2008-06-04,24.34,26.98,27.29,26.62,26.62,10938900.0
2008-06-05,24.23,26.86,27.21,26.7,27.14,9106400.0
2008-06-06,24.04,26.65,26.88,26.35,26.65,19352400.0
2008-06-09,24.22,26.85,26.88,26.39,26.8,12702200.0
2008-06-10,23.9,26.49,26.86,26.23,26.55,11572000.0
2008-06-11,22.6,25.05,26.49,24.85,26.37,21768700.0
2008-06-12,22.17,24.57,25.35,24.33,25.18,21569000.0
2008-06-13,21.82,24.19,24.84,23.74,24.72,20587200.0
2008-06-16,21.75,24.11,24.62,23.9,24.02,15583600.0
2008-06-17,21.29,23.6,24.37,23.53,24.35,14858000.0
2008-06-18,20.41,22.63,23.31,22.55,23.28,20987500.0
2008-06-19,21.03,23.31,23.48,21.92,22.52,22295700.0
2008-06-20,20.51,22.74,23.39,22.52,23.37,15602000.0
2008-06-23,20.73,22.98,23.3,22.76,22.77,12300800.0
2008-06-24,20.84,23.1,23.62,22.88,22.88,12057700.0
2008-06-25,21.05,23.33,23.68,23.11,23.34,12657700.0
2008-06-26,20.21,22.4,23.14,22.33,23.14,10950000.0
2008-06-27,20.42,22.64,22.85,22.18,22.36,12628500.0
2008-06-30,20.01,22.18,22.8,22.08,22.57,10436700.0
2008-07-01,19.62,21.75,22.01,21.38,22.0,17362100.0
2008-07-02,19.73,21.87,22.4,21.47,21.7,15017900.0
2008-07-03,20.52,22.75,23.1,21.47,21.94,11098500.0
2008-07-07,20.9,23.17,23.99,22.72,23.36,19891500.0
2008-07-08,21.06,23.34,23.75,22.44,23.39,17321400.0
2008-07-09,19.78,21.93,23.05,21.86,23.05,13323300.0
2008-07-10,19.88,22.04,22.44,21.5,22.05,10486600.0
2008-07-11,19.63,21.76,22.3,21.23,21.54,12725400.0
2008-07-14,19.59,21.72,22.22,21.34,22.21,11677400.0
2008-07-15,19.78,21.93,22.34,20.79,21.64,16513900.0
2008-07-16,20.4,22.61,22.64,21.24,21.82,14259000.0
2008-07-17,20.89,23.16,23.8,22.65,22.87,12522500.0
2008-07-18,20.34,22.55,23.3,22.3,23.28,10163500.0
2008-07-21,21.19,23.49,23.59,22.71,22.84,12638100.0
