,Adj Close,Close,High,Low,Open,Volume
2008-01-02,24.31,35.42,37.0,35.39,36.75,3409300.0
2008-01-03,23.07,33.62,35.67,33.54,35.47,4372200.0
2008-01-04,21.62,31.5,33.09,30.73,32.82,12366800.0
2008-01-07,22.69,33.07,33.26,31.58,31.75,6602000.0
2008-01-08,21.67,31.58,33.3,31.46,33.3,5975600.0
2008-01-09,22.17,32.31,32.38,30.74,31.58,5344500.0
2008-01-10,22.72,33.1,33.69,31.1,32.0,5107700.0
2008-01-11,21.6,31.47,32.85,31.01,32.63,6088200.0
2008-01-14,21.8,31.76,32.01,31.09,31.66,4868500.0
2008-01-15,20.7,30.17,31.41,29.71,31.41,6566200.0
2008-01-16,20.62,30.04,30.68,29.75,29.75,7211000.0
2008-01-17,19.93,29.04,30.22,28.56,30.19,7672200.0
2008-01-18,20.5,29.87,31.02,29.41,29.97,7811500.0
2008-01-22,22.36,32.58,33.11,28.0,28.0,9010000.0
2008-01-23,24.88,36.25,36.37,30.25,31.56,12778200.0
2008-01-24,24.29,35.39,37.17,34.65,36.32,7326400.0
2008-01-25,24.02,35.0,36.23,34.62,35.39,6681200.0
2008-01-28,25.36,36.96,37.03,34.68,34.76,4563700.0
2008-01-29,26.19,38.17,38.27,36.63,37.13,5378300.0
2008-01-30,25.29,36.85,38.56,36.57,37.94,8837100.0
2008-01-31,26.66,38.85,39.95,36.39,36.9,8076000.0
2008-02-01,27.27,39.74,39.83,38.11,38.56,4513500.0
2008-02-04,27.11,39.5,40.59,38.92,39.99,6560000.0
2008-02-05,25.43,37.05,38.89,36.78,38.87,8292000.0
2008-02-06,24.93,36.33,38.18,35.83,37.26,7934000.0
2008-02-07,25.85,37.67,38.28,35.33,35.33,8555900.0
2008-02-08,25.46,37.1,38.07,36.87,37.51,4449300.0
2008-02-11,26.06,37.98,38.24,36.8,36.96,3850000.0
2008-02-12,26.0,37.89,38.92,37.48,38.14,4925400.0
2008-02-13,26.07,37.99,38.6,37.76,38.1,4159800.0
2008-02-14,24.83,36.18,37.5,36.03,37.5,5510600.0
2008-02-15,24.89,36.27,36.33,35.27,36.0,4078400.0
2008-02-19,23.91,34.84,36.64,34.59,36.61,4942900.0
2008-02-20,24.68,35.96,36.35,34.3,34.51,3867000.0
2008-02-21,24.18,35.24,37.31,34.41,37.31,4017300.0
2008-02-22,24.71,36.0,36.27,34.57,35.25,3612900.0
2008-02-25,25.38,36.98,37.46,35.36,35.36,8109600.0
2008-02-26,26.39,38.46,39.1,37.01,37.01,7041700.0
2008-02-27,26.58,38.57,39.23,37.84,38.0,5323400.0
2008-02-28,26.2,38.02,38.69,37.65,38.03,4954100.0
2008-02-29,25.52,37.03,38.64,36.75,37.7,5528400.0
2008-03-03,25.66,37.23,37.43,36.02,36.9,5343500.0
2008-03-04,26.21,38.03,38.24,36.17,36.17,4203300.0
2008-03-05,25.73,37.34,39.52,37.14,37.91,5563600.0
2008-03-06,24.12,35.0,36.74,34.19,36.22,9208600.0
2008-03-07,22.57,32.75,34.74,32.32,34.11,10034800.0
2008-03-10,22.61,32.81,34.22,32.57,33.57,6717600.0
2008-03-11,23.47,34.06,34.27,32.48,33.63,6899000.0
2008-03-12,23.2,33.67,35.07,33.56,34.07,4807800.0
2008-03-13,23.08,33.49,33.61,31.8,32.61,5876400.0
2008-03-14,22.75,33.02,34.16,32.21,33.8,4452200.0
2008-03-17,22.33,32.41,32.62,30.72,31.56,5840100.0
2008-03-18,23.15,33.6,34.0,32.79,32.97,4812300.0
2008-03-19,23.09,33.51,34.57,33.21,33.28,5189400.0
2008-03-20,24.27,35.22,35.64,33.53,33.54,6005400.0
2008-03-24,25.87,37.54,38.26,35.31,35.52,5556600.0
2008-03-25,25.5,37.0,37.62,36.16,37.4,3264500.0
2008-03-26,23.73,34.43,36.85,34.32,36.73,6410600.0
2008-03-27,23.84,34.59,35.72,34.02,34.58,6068100.0
2008-03-28,22.48,32.62,33.69,32.51,32.94,4703100.0
2008-03-31,22.47,32.6,33.0,32.21,33.0,7146100.0
2008-04-01,23.57,34.2,34.69,33.06,33.06,4861800.0
2008-04-02,23.89,34.67,35.54,34.0,34.2,4720800.0
2008-04-03,23.64,34.31,34.65,33.93,34.65,3112700.0
2008-04-04,23.4,33.96,34.42,33.2,33.93,4534200.0
2008-04-07,23.29,33.8,34.17,33.12,33.89,4249800.0
2008-04-08,23.44,34.01,34.25,33.51,33.62,3649400.0
2008-04-09,22.94,33.29,34.48,32.48,34.14,5939500.0
2008-04-10,23.7,34.39,34.83,32.39,32.39,6593400.0
2008-04-11,23.32,33.84,34.38,33.34,33.5,4098600.0
2008-04-14,23.42,33.99,34.39,33.53,33.8,3193700.0
2008-04-15,23.72,34.42,34.49,33.71,34.1,2067200.0
2008-04-16,23.49,34.08,34.75,33.75,34.65,3764400.0
2008-04-17,23.72,34.42,34.54,33.47,33.77,3550700.0
2008-04-18,24.94,36.19,36.25,35.25,35.26,3902600.0
2008-04-21,24.91,36.15,36.33,35.5,36.0,2129000.0
2008-04-22,23.88,34.66,36.0,34.13,36.0,4346100.0
2008-04-23,23.62,34.28,34.8,33.93,34.4,4310000.0
2008-04-24,24.51,35.57,35.98,34.26,34.27,4006900.0
2008-04-25,25.23,36.61,36.75,35.64,35.67,3706500.0
2008-04-28,25.5,37.0,37.5,35.96,36.49,2981800.0
2008-04-29,26.23,38.06,38.12,36.85,36.98,5247000.0
2008-04-30,24.3,35.26,37.95,34.96,37.95,8719400.0
2008-05-01,24.49,35.54,36.54,34.93,35.61,5388100.0
2008-05-02,25.13,36.46,37.21,35.94,36.99,7670100.0
2008-05-05,24.29,35.25,36.71,35.08,36.68,5254700.0
2008-05-06,24.86,36.07,36.18,34.78,35.23,4341000.0
2008-05-07,24.46,35.49,36.76,35.27,36.2,4269600.0
2008-05-08,23.89,34.67,35.82,34.19,35.01,6940300.0
2008-05-09,23.7,34.39,34.93,34.04,34.49,3727500.0
2008-05-12,24.6,35.7,35.87,34.38,34.53,4230300.0
2008-05-13,24.46,35.49,36.29,35.0,35.85,3797100.0
2008-05-14,24.9,36.14,36.94,35.49,35.65,4118500.0
2008-05-15,25.7,37.29,37.35,35.65,36.46,5452000.0
2008-05-16,26.49,38.44,38.51,37.07,37.62,10656100.0
