,Adj Close,Close,High,Low,Open,Volume
2008-01-02,17.95,20.97,21.74,20.75,21.7,3124500.0
2008-01-03,17.19,20.08,21.12,20.0,20.81,2879600.0
2008-01-04,15.98,18.67,19.73,18.36,19.59,5319100.0
2008-01-07,15.82,18.48,19.13,18.08,18.54,5288000.0
2008-01-08,14.36,16.78,18.86,16.67,17.76,9895400.0
2008-01-09,14.53,16.97,17.13,15.76,16.5,8751500.0
2008-01-10,15.29,17.86,18.68,16.37,16.51,9450300.0
2008-01-11,15.25,17.81,18.62,17.18,17.88,6501400.0
2008-01-14,15.59,18.21,18.37,17.5,18.21,4742300.0
2008-01-15,14.55,17.0,17.9,16.89,17.85,5211400.0
2008-01-16,15.52,18.13,18.72,16.47,16.47,7140500.0
2008-01-17,15.45,18.05,18.85,17.52,18.85,6088500.0
2008-01-18,15.85,18.52,18.9,17.76,18.14,6568400.0
2008-01-22,17.22,20.11,20.31,17.27,17.85,7132000.0
2008-01-23,19.59,22.88,23.96,19.36,19.87,12754700.0
2008-01-24,20.31,23.72,24.36,22.54,23.01,7403900.0
2008-01-25,20.25,23.65,25.75,23.28,24.06,7280400.0
2008-01-28,22.05,25.76,25.93,22.25,23.83,7726800.0
2008-01-29,22.41,26.18,26.53,24.75,25.88,6558700.0
2008-01-30,21.56,25.18,27.03,25.1,25.92,10012300.0
2008-01-31,23.54,27.5,28.25,24.0,24.81,11246900.0
2008-02-01,24.61,28.75,28.99,26.42,27.01,7152100.0
2008-02-04,22.61,26.41,28.68,25.62,28.68,8670800.0
2008-02-05,21.3,24.65,27.6,24.65,26.05,13571100.0
2008-02-06,20.93,24.22,25.97,24.02,25.13,9879000.0
2008-02-07,21.14,24.46,26.09,23.8,23.85,8908800.0
2008-02-08,20.92,24.21,24.99,23.52,24.37,5648800.0
2008-02-11,21.53,24.91,25.37,23.47,24.16,5044300.0
2008-02-12,21.14,24.46,25.54,24.05,25.17,4630100.0
2008-02-13,21.84,25.27,25.46,24.12,24.59,4813200.0
2008-02-14,21.14,24.46,25.75,24.22,25.75,4150600.0
2008-02-15,20.61,23.85,24.51,23.07,23.95,5279500.0
2008-02-19,20.5,23.72,24.24,23.31,24.07,6026500.0
2008-02-20,21.33,24.68,24.84,22.97,23.49,6854300.0
2008-02-21,21.19,24.52,25.55,24.19,24.99,6226400.0
2008-02-22,21.04,24.34,24.88,23.32,24.28,4426300.0
