,Adj Close,Close,High,Low,Open,Volume
2008-01-02,8.46,18.17,18.95,18.14,18.95,7126300.0
2008-01-03,8.04,17.27,18.28,17.26,18.18,7732300.0
2008-01-04,7.69,16.51,17.12,16.08,17.03,8745100.0
2008-01-07,7.49,16.09,16.98,15.98,16.37,7160600.0
2008-01-08,7.32,15.73,16.56,15.7,16.12,5661300.0
2008-01-09,7.31,15.69,15.98,15.05,15.98,8552400.0
2008-01-10,7.45,16.01,16.47,15.79,15.95,9954300.0
2008-01-11,7.01,15.05,15.84,14.82,15.84,6033300.0
2008-01-14,7.18,15.41,15.48,14.99,15.09,5672600.0
2008-01-15,7.09,15.23,15.34,14.88,15.25,4934500.0
2008-01-16,7.37,15.82,16.06,15.04,15.13,6532800.0
2008-01-17,7.36,15.81,16.06,15.63,15.9,6218800.0
2008-01-18,7.42,15.93,16.64,15.64,15.7,7613600.0
2008-01-22,7.72,16.59,16.79,15.02,15.15,8229600.0
2008-01-23,8.26,17.75,17.77,15.72,15.77,10946500.0
2008-01-24,8.15,17.51,17.83,17.02,17.81,7201600.0
2008-01-25,7.95,17.07,17.86,16.89,17.64,4906200.0
2008-01-28,8.33,17.9,17.9,16.85,17.0,4087800.0
2008-01-29,8.53,18.31,18.39,17.6,18.0,4235500.0
2008-01-30,8.43,18.11,18.68,17.98,18.29,4867600.0
2008-01-31,8.88,19.07,19.32,17.58,17.86,5919000.0
2008-02-01,9.0,19.33,19.39,18.78,19.07,5039000.0
2008-02-04,8.53,18.32,19.33,18.09,19.33,5188400.0
2008-02-05,8.32,17.86,18.61,17.8,18.07,4963400.0
2008-02-06,8.31,17.85,18.79,17.78,18.01,5485100.0
2008-02-07,8.6,18.46,18.8,17.66,17.74,5368500.0
2008-02-08,8.42,18.08,18.68,17.93,17.93,6354500.0
2008-02-11,8.48,18.21,18.31,17.86,18.11,5945300.0
2008-02-12,8.38,18.0,18.44,17.9,18.28,4134300.0
2008-02-13,8.4,18.03,18.3,17.83,18.15,5443000.0
2008-02-14,8.05,17.28,18.04,17.26,18.0,4443600.0
2008-02-15,8.17,17.55,17.62,17.07,17.18,3781300.0
