,Adj Close,Close,High,Low,Open,Volume
2008-01-02,15.29,16.91,17.72,16.83,17.43,3310100.0
2008-01-03,14.87,16.44,17.07,16.24,16.74,5162500.0
2008-01-04,14.06,15.55,16.11,15.31,16.11,7977000.0
2008-01-07,14.02,15.51,16.02,15.24,15.78,6841700.0
2008-01-08,13.0,14.38,15.88,14.26,15.15,7479000.0
2008-01-09,12.32,13.63,14.46,12.8,14.38,11854500.0
2008-01-10,13.08,14.46,14.92,13.03,13.55,13802600.0
2008-01-11,12.75,14.1,14.75,13.76,14.26,9441600.0
2008-01-14,13.27,14.67,14.76,13.67,14.19,10186100.0
2008-01-15,12.42,13.74,14.52,13.69,14.49,9196900.0
2008-01-16,12.67,14.01,14.62,13.51,13.52,10058900.0
2008-01-17,12.37,13.68,14.75,13.43,14.19,11433200.0
2008-01-18,11.55,12.77,13.9,12.59,13.9,11678800.0
2008-01-22,11.69,12.93,13.45,11.78,11.8,11340800.0
2008-01-23,13.28,14.69,14.91,12.28,12.53,20499100.0
2008-01-24,14.41,15.94,16.24,14.68,14.86,16508900.0
2008-01-25,15.1,16.7,19.23,16.22,16.22,17227700.0
2008-01-28,16.45,18.19,18.64,15.79,16.44,15425700.0
2008-01-29,16.72,18.5,18.92,17.42,18.45,9901200.0
2008-01-30,16.18,17.9,19.17,17.53,18.34,10723100.0
2008-01-31,18.26,20.2,20.72,17.15,17.15,14305700.0
2008-02-01,19.03,21.04,21.28,19.37,19.8,8569800.0
2008-02-04,17.62,19.49,20.85,19.25,20.72,7428000.0
2008-02-05,16.98,18.78,20.21,18.68,19.12,10903300.0
2008-02-06,17.28,18.95,19.37,18.14,18.9,9328500.0
2008-02-07,17.2,18.86,20.17,18.51,18.53,8904200.0
2008-02-08,17.33,19.01,19.41,18.44,18.58,5146900.0
2008-02-11,17.8,19.52,19.9,18.4,19.04,4704700.0
2008-02-12,17.54,19.23,20.04,18.94,19.89,4832600.0
2008-02-13,17.73,19.44,19.55,18.78,19.47,5054300.0
2008-02-14,17.19,18.85,19.52,18.68,19.48,3930200.0
2008-02-15,16.67,18.28,18.88,17.92,18.78,5613800.0
2008-02-19,16.4,17.98,18.52,17.81,18.47,3593300.0
2008-02-20,17.21,18.87,18.89,17.27,17.54,6372100.0
2008-02-21,16.5,18.09,19.36,17.94,18.83,6465300.0
2008-02-22,16.39,17.97,18.12,17.16,18.1,6587900.0
2008-02-25,16.84,18.47,18.49,17.43,18.05,5472900.0
2008-02-26,18.3,20.07,20.62,18.05,18.12,13876600.0
2008-02-27,19.01,20.85,21.08,19.72,19.76,9441200.0
2008-02-28,17.43,19.12,20.65,18.97,20.62,6291500.0
2008-02-29,16.69,18.3,19.07,18.19,18.86,5092500.0
2008-03-03,15.0,16.45,18.27,16.18,18.04,11927400.0
2008-03-04,15.4,16.88,17.14,15.92,16.25,9145800.0
2008-03-05,15.13,16.59,17.17,16.23,17.13,4988000.0
2008-03-06,14.39,15.78,16.45,15.43,16.26,7441200.0
2008-03-07,14.09,15.45,16.04,14.95,15.44,5808400.0
2008-03-10,13.43,14.73,15.96,14.65,15.25,5912300.0
2008-03-11,14.31,15.69,15.98,14.64,15.68,11488800.0
2008-03-12,13.75,15.07,16.18,14.97,15.44,7332400.0
2008-03-13,14.33,15.71,15.82,14.22,14.74,11996300.0
2008-03-14,13.93,15.27,16.22,14.51,16.22,8640100.0
2008-03-17,12.7,13.92,14.89,13.18,14.89,10163400.0
2008-03-18,14.4,15.79,15.81,14.6,14.64,11381900.0
2008-03-19,14.36,15.74,16.76,15.72,15.81,9274000.0
2008-03-20,15.89,17.42,17.5,15.75,15.75,8983700.0
2008-03-24,16.84,18.47,19.46,17.21,17.6,12408600.0
2008-03-25,16.92,18.55,18.91,17.97,18.51,9393100.0
2008-03-26,15.77,17.3,18.36,17.2,18.12,7853100.0
2008-03-27,16.05,17.6,18.62,17.13,17.95,9940500.0
2008-03-28,16.09,17.64,18.25,17.45,17.49,8848100.0
2008-03-31,16.87,18.5,18.68,17.29,17.57,7125600.0
2008-04-01,19.17,21.02,21.14,18.81,18.97,13430400.0
2008-04-02,19.17,21.02,22.32,20.54,21.05,18403400.0
2008-04-03,19.49,21.37,21.41,20.16,20.94,9674100.0
2008-04-04,19.39,21.26,21.61,20.45,21.36,7928400.0
2008-04-07,19.56,21.45,22.35,21.31,21.57,7190400.0
2008-04-08,17.94,19.67,21.33,19.17,21.33,13100600.0
