,Adj Close,Close,High,Low,Open,Volume
2008-01-02,55.32,72.0,73.88,71.61,73.25,2101200.0
2008-01-03,56.42,73.43,74.58,72.17,72.37,1942200.0
2008-01-04,53.62,69.79,71.85,69.26,71.85,2423700.0
2008-01-07,54.57,71.02,71.5,70.01,70.71,1776700.0
2008-01-08,52.87,68.81,72.51,68.72,71.24,3073200.0
2008-01-09,53.45,69.56,69.56,66.27,68.94,3168000.0
2008-01-10,55.81,72.63,73.9,68.4,69.18,2743900.0
2008-01-11,55.04,71.64,73.12,70.5,71.55,2588000.0
2008-01-14,55.6,72.36,72.74,71.55,72.36,1074200.0
2008-01-15,53.74,69.94,72.82,69.94,71.33,3369200.0
2008-01-16,53.51,69.64,71.64,68.95,69.65,2810400.0
2008-01-17,52.82,68.75,70.67,68.75,70.1,4374100.0
2008-01-18,53.1,69.11,71.44,68.36,69.51,4370800.0
2008-01-22,55.21,71.86,72.77,66.15,66.51,3437600.0
2008-01-23,57.23,74.49,75.33,69.49,70.61,3850900.0
2008-01-24,55.5,72.23,74.5,71.89,72.01,2694900.0
2008-01-25,53.75,69.96,73.42,69.51,72.79,2905600.0
2008-01-28,55.36,72.05,72.48,69.24,70.5,1778000.0
2008-01-29,54.75,71.26,72.34,70.32,72.2,2986900.0
2008-01-30,55.46,72.18,74.65,69.22,71.5,3140500.0
2008-01-31,55.28,71.95,73.3,70.51,71.43,3155800.0
2008-02-01,56.43,73.44,74.32,71.61,72.56,2666500.0
2008-02-04,56.13,73.05,73.46,70.8,73.35,1692800.0
2008-02-05,53.95,70.22,72.38,70.13,71.91,1799100.0
2008-02-06,53.74,69.94,71.84,69.79,70.8,1531100.0
2008-02-07,54.96,71.53,72.5,69.47,69.7,1916700.0
2008-02-08,53.29,69.36,71.21,69.14,70.8,2208900.0
2008-02-11,53.67,69.85,70.65,68.36,69.31,1625600.0
2008-02-12,54.22,70.57,71.58,69.93,70.34,1565500.0
2008-02-13,54.27,70.63,71.0,69.14,71.0,1487000.0
2008-02-14,53.55,69.7,70.94,69.46,70.19,987600.0
2008-02-15,53.08,69.08,69.72,68.3,69.49,1694900.0
2008-02-19,52.39,68.18,70.2,67.57,70.01,1835800.0
2008-02-20,53.69,69.88,70.46,66.7,67.05,2068000.0
2008-02-21,52.58,68.43,70.34,68.15,70.0,1463700.0
2008-02-22,53.76,69.97,69.97,67.51,68.58,1437400.0
2008-02-25,53.78,70.0,70.22,68.27,69.93,1803600.0
2008-02-26,53.96,70.23,71.25,69.3,69.6,1700700.0
2008-02-27,54.36,70.75,71.62,69.4,69.65,1537200.0
2008-02-28,52.82,68.75,70.05,68.62,70.05,1113800.0
2008-02-29,50.74,66.04,68.12,65.64,68.12,1742900.0
2008-03-03,49.92,64.97,66.02,64.4,66.02,1940200.0
2008-03-04,49.91,64.72,65.0,63.75,64.27,2163400.0
2008-03-05,49.73,64.49,66.44,63.87,66.44,2054500.0
2008-03-06,49.03,63.57,64.29,63.45,64.11,2409500.0
2008-03-07,48.76,63.23,65.25,61.89,62.01,1584600.0
2008-03-10,45.69,59.25,63.46,59.25,63.0,2739000.0
2008-03-11,49.33,63.96,64.05,60.62,61.93,2289300.0
2008-03-12,47.85,62.04,64.64,61.91,64.06,1419000.0
2008-03-13,47.68,61.83,62.44,59.2,60.49,2587200.0
2008-03-14,45.29,58.73,62.4,57.17,60.84,3317100.0
2008-03-17,40.66,52.72,55.81,51.51,53.06,6255600.0
2008-03-18,42.45,55.04,56.09,53.85,54.6,4797400.0
2008-03-19,40.9,53.04,56.49,52.93,55.46,2994600.0
2008-03-20,43.14,55.94,55.94,53.07,53.29,2376800.0
2008-03-24,45.18,58.58,59.98,56.15,56.29,3139400.0
2008-03-25,45.62,59.15,59.9,58.0,58.13,2366300.0
2008-03-26,44.53,57.74,58.96,57.28,58.96,1878200.0
2008-03-27,43.13,55.92,57.95,55.85,57.95,1720500.0
2008-03-28,41.74,54.12,56.96,53.9,56.18,3863500.0
2008-03-31,43.17,55.98,56.74,53.0,54.05,2427300.0
2008-04-01,45.25,58.67,59.0,56.8,57.0,2764000.0
2008-04-02,45.35,58.8,59.9,57.88,59.54,1899800.0
2008-04-03,45.82,59.41,59.97,57.96,58.64,1211400.0
2008-04-04,45.69,59.24,60.28,58.26,59.42,1168000.0
2008-04-07,46.37,60.13,61.01,58.98,60.1,1274600.0
2008-04-08,45.39,58.85,59.99,58.36,59.86,1270500.0
2008-04-09,44.14,57.24,58.84,57.21,58.84,1057200.0
2008-04-10,44.51,57.71,58.66,56.9,57.11,993400.0
