,Adj Close,Close,High,Low,Open,Volume
2008-01-02,12.77,20.14,20.43,20.06,20.28,763600.0
2008-01-03,12.69,20.02,20.29,20.0,20.15,600400.0
2008-01-04,12.67,19.98,20.12,19.78,19.95,690000.0
2008-01-07,12.92,20.38,20.6,19.95,20.03,1495400.0
2008-01-08,12.9,20.35,20.7,20.34,20.41,1406600.0
2008-01-09,13.14,20.73,20.77,20.28,20.28,1011800.0
2008-01-10,13.35,21.06,21.18,20.65,20.65,2551000.0
2008-01-11,13.19,20.8,21.06,20.73,20.93,811000.0
2008-01-14,13.05,20.58,21.08,20.53,20.99,1075800.0
2008-01-15,12.82,20.22,20.56,20.02,20.42,2004400.0
2008-01-16,12.57,19.83,20.44,19.79,20.3,2256000.0
2008-01-17,12.07,19.03,20.01,18.92,19.87,2809600.0
2008-01-18,11.67,18.41,19.14,18.33,19.07,3331400.0
2008-01-22,11.41,17.99,18.16,17.51,17.71,1967400.0
2008-01-23,11.81,18.62,18.67,17.59,17.59,1586400.0
2008-01-24,11.57,18.24,18.85,18.21,18.73,1449400.0
2008-01-25,11.31,17.83,18.36,17.8,18.36,1151800.0
2008-01-28,11.58,18.27,18.27,17.8,17.8,1157600.0
2008-01-29,11.68,18.25,18.42,18.1,18.33,1131000.0
2008-01-30,11.64,18.18,18.67,18.09,18.18,1233600.0
2008-01-31,11.81,18.45,18.52,17.8,17.94,1122600.0
2008-02-01,11.97,18.69,18.69,18.28,18.44,1264800.0
2008-02-04,12.16,19.0,19.11,18.67,18.69,882800.0
2008-02-05,11.89,18.58,18.92,18.51,18.89,1099000.0
2008-02-06,11.88,18.56,19.14,18.45,19.0,1432200.0
2008-02-07,11.83,18.48,18.66,18.32,18.58,1154000.0
2008-02-08,11.81,18.45,18.53,18.25,18.45,1091000.0
2008-02-11,11.81,18.45,18.55,18.3,18.5,1133000.0
2008-02-12,11.92,18.62,18.66,18.38,18.58,1342600.0
2008-02-13,11.7,18.27,18.81,18.08,18.74,3097400.0
2008-02-14,11.54,18.03,18.59,17.9,18.26,1988200.0
2008-02-15,11.56,18.05,18.14,17.89,18.01,2044400.0
2008-02-19,11.51,17.99,18.32,17.96,18.25,2174800.0
2008-02-20,11.5,17.97,18.03,17.73,17.93,1635600.0
2008-02-21,11.39,17.8,18.06,17.7,18.06,1392600.0
2008-02-22,11.56,18.05,18.08,17.63,17.83,1282400.0
2008-02-25,11.57,18.07,18.12,17.92,18.0,1075400.0
2008-02-26,11.75,18.35,18.36,18.03,18.03,1017000.0
2008-02-27,11.49,17.94,18.27,17.92,18.24,865600.0
2008-02-28,11.5,17.97,18.07,17.75,17.89,827200.0
2008-02-29,11.12,17.37,17.82,17.34,17.82,1258800.0
2008-03-03,11.22,17.52,17.57,17.22,17.37,1025800.0
2008-03-04,11.29,17.64,17.83,17.33,17.37,1513200.0
2008-03-05,11.25,17.57,17.65,17.4,17.65,1168600.0
2008-03-06,11.07,17.29,17.6,17.29,17.52,1335600.0
2008-03-07,11.03,17.24,17.33,17.07,17.27,974400.0
2008-03-10,11.01,17.19,17.4,17.0,17.3,1063600.0
2008-03-11,11.22,17.52,17.56,17.22,17.56,1021000.0
2008-03-12,11.16,17.43,17.78,17.43,17.61,1156000.0
2008-03-13,11.24,17.55,17.58,17.18,17.23,1038800.0
2008-03-14,11.1,17.34,17.62,17.17,17.62,1247800.0
2008-03-17,11.07,17.3,17.44,17.05,17.19,1222400.0
2008-03-18,11.24,17.55,17.64,17.31,17.55,996600.0
2008-03-19,11.07,17.3,17.9,17.3,17.66,1267200.0
2008-03-20,11.12,17.37,17.39,17.08,17.23,1558000.0
2008-03-24,11.13,17.39,17.53,17.25,17.37,912000.0
2008-03-25,11.22,17.52,17.65,17.42,17.43,701200.0
2008-03-26,11.23,17.54,17.67,17.14,17.34,638200.0
2008-03-27,11.22,17.52,17.75,17.52,17.56,943400.0
2008-03-28,11.1,17.34,17.69,17.28,17.67,574000.0
2008-03-31,11.21,17.5,17.56,17.28,17.4,1224600.0
2008-04-01,11.38,17.77,17.9,17.6,17.65,1187000.0
2008-04-02,11.6,18.11,18.2,17.8,17.87,786600.0
2008-04-03,11.48,17.93,18.19,17.92,18.06,1229800.0
2008-04-04,11.58,18.09,18.33,18.0,18.01,675400.0
2008-04-07,11.68,18.25,18.35,18.04,18.16,665600.0
2008-04-08,11.62,18.16,18.24,18.06,18.15,658200.0
2008-04-09,11.68,18.25,18.34,18.13,18.21,696600.0
2008-04-10,11.73,18.32,18.41,18.13,18.28,938600.0
2008-04-11,11.66,18.22,18.4,18.13,18.17,1101200.0
2008-04-14,11.78,18.41,18.41,18.17,18.28,1099800.0
2008-04-15,11.97,18.69,18.72,18.41,18.5,837800.0
2008-04-16,12.21,19.08,19.14,18.74,18.8,1094200.0
2008-04-17,12.16,18.99,19.15,18.92,19.04,706200.0
2008-04-18,12.17,19.01,19.23,18.92,19.23,932000.0
2008-04-21,12.13,18.94,19.02,18.76,18.93,519200.0
2008-04-22,11.91,18.61,18.86,18.55,18.82,873400.0
2008-04-23,12.16,19.0,19.05,18.66,18.66,1096400.0
2008-04-24,12.1,18.91,19.09,18.83,19.0,832400.0
2008-04-25,12.19,19.05,19.12,18.89,18.98,625000.0
2008-04-28,12.07,18.68,19.14,18.67,18.98,1039000.0
2008-04-29,12.11,18.75,18.84,18.6,18.72,933200.0
2008-04-30,12.17,18.83,19.16,18.5,19.16,1026600.0
2008-05-01,12.33,19.08,19.44,18.59,19.44,1265000.0
2008-05-02,12.23,18.92,19.2,18.79,19.18,2063200.0
2008-05-05,12.13,18.78,18.98,18.65,18.98,896800.0
2008-05-06,12.13,18.77,18.83,18.59,18.7,945400.0
2008-05-07,11.91,18.42,18.76,18.38,18.76,920800.0
2008-05-08,11.95,18.49,18.5,18.22,18.47,1028600.0
2008-05-09,11.88,18.39,18.44,18.18,18.42,710600.0
2008-05-12,12.1,18.73,18.75,18.36,18.44,1018600.0
2008-05-13,11.96,18.5,18.66,18.39,18.66,582200.0
2008-05-14,12.1,18.72,18.75,18.52,18.57,596600.0
2008-05-15,12.12,18.75,18.81,18.45,18.77,1045400.0
2008-05-16,12.1,18.73,18.84,18.61,18.75,702600.0
2008-05-19,12.17,18.84,18.87,18.73,18.73,724600.0
2008-05-20,12.13,18.77,18.96,18.68,18.78,681600.0
2008-05-21,12.12,18.76,19.0,18.72,18.76,794600.0
2008-05-22,12.19,18.87,19.08,18.75,18.75,991400.0
2008-05-23,12.0,18.58,18.88,18.5,18.84,1462200.0
2008-05-27,12.15,18.81,18.84,18.58,18.64,562600.0
2008-05-28,12.08,18.69,18.85,18.64,18.82,725400.0
2008-05-29,12.13,18.78,18.9,18.62,18.69,939400.0
2008-05-30,12.13,18.77,18.83,18.65,18.74,1233400.0
2008-06-02,11.97,18.52,18.77,18.48,18.75,1149400.0
2008-06-03,11.94,18.48,18.92,18.36,18.92,1743400.0
2008-06-04,11.96,18.51,18.58,18.24,18.38,988000.0
2008-06-05,12.13,18.77,18.77,18.42,18.66,1037600.0
2008-06-06,11.94,18.49,18.74,18.47,18.68,1056600.0
2008-06-09,12.07,18.68,18.77,18.44,18.57,770800.0
2008-06-10,12.12,18.75,18.83,18.52,18.53,1103400.0
2008-06-11,12.02,18.6,18.82,18.59,18.77,1825000.0
2008-06-12,11.96,18.51,18.7,18.47,18.67,1556000.0
2008-06-13,12.0,18.58,18.78,18.44,18.61,1765400.0
