,Adj Close,Close,High,Low,Open,Volume
2008-01-02,23.29,40.31,40.94,39.75,40.4,252800.0
2008-01-03,22.26,37.92,40.25,37.77,40.25,231900.0
2008-01-04,21.74,37.04,37.91,36.52,37.49,177400.0
2008-01-07,21.89,37.3,37.7,36.5,36.82,225700.0
2008-01-08,20.82,35.48,38.25,35.46,37.33,181800.0
2008-01-09,20.81,35.45,35.67,33.56,35.47,275800.0
2008-01-10,21.03,35.83,36.5,34.46,34.97,226400.0
2008-01-11,21.05,35.86,36.65,34.96,35.48,249400.0
2008-01-14,21.11,35.96,36.17,35.3,36.17,120600.0
2008-01-15,20.7,35.27,35.61,34.78,35.49,94400.0
2008-01-16,21.38,36.42,36.74,34.71,35.29,202500.0
2008-01-17,21.29,36.28,36.7,35.71,36.61,185000.0
2008-01-18,20.94,35.67,37.17,35.05,36.33,222600.0
2008-01-22,21.39,36.44,37.28,34.2,35.02,156500.0
2008-01-23,23.3,39.7,39.84,35.75,35.97,199800.0
2008-01-24,23.24,39.6,40.18,38.27,40.14,303500.0
2008-01-25,22.68,38.65,40.2,38.22,40.1,160800.0
2008-01-28,23.59,40.2,40.27,38.26,38.71,83900.0
2008-01-29,23.16,39.46,40.47,39.25,40.2,142100.0
2008-01-30,22.88,38.98,40.59,38.76,39.1,177700.0
2008-01-31,23.25,39.62,39.63,38.06,38.3,250100.0
2008-02-01,24.32,41.44,41.44,39.72,39.9,214600.0
2008-02-04,23.99,40.87,41.5,39.96,41.24,189400.0
2008-02-05,22.83,38.9,40.77,38.79,39.99,283900.0
2008-02-06,22.48,38.31,39.64,38.18,38.9,126900.0
2008-02-07,23.11,39.37,39.37,37.69,38.02,135700.0
2008-02-08,22.92,39.06,39.75,38.73,39.21,160600.0
2008-02-11,22.54,38.4,39.82,38.26,39.15,202200.0
2008-02-12,23.05,39.27,39.63,38.32,38.63,107200.0
2008-02-13,23.42,39.9,40.0,38.89,38.89,111500.0
2008-02-14,21.72,37.01,39.75,37.01,39.7,186800.0
2008-02-15,21.6,36.81,36.92,35.3,35.6,410600.0
2008-02-19,21.45,36.55,37.35,36.2,37.0,244200.0
2008-02-20,22.15,37.74,37.89,36.08,36.5,198100.0
2008-02-21,21.46,36.57,38.09,36.39,37.61,189600.0
2008-02-22,21.72,37.01,37.01,35.76,36.37,205600.0
2008-02-25,22.41,38.19,38.2,36.36,36.95,251100.0
2008-02-26,22.65,38.6,39.38,37.57,37.57,270300.0
2008-02-27,22.68,38.65,39.1,38.11,38.3,132500.0
2008-02-28,22.67,38.63,39.04,37.9,38.51,213300.0
2008-02-29,22.63,38.55,38.77,37.8,38.0,227700.0
2008-03-03,23.12,39.39,39.39,37.84,38.65,303400.0
2008-03-04,22.58,38.48,39.04,37.73,39.0,173900.0
2008-03-05,22.37,38.12,38.82,37.65,38.62,135500.0
2008-03-06,21.57,36.75,37.84,36.48,37.84,240500.0
2008-03-07,21.92,37.34,37.7,35.97,36.11,163800.0
2008-03-10,22.06,37.58,37.82,37.07,37.56,243000.0
2008-03-11,23.42,39.91,39.91,37.99,38.0,198300.0
2008-03-12,23.29,39.68,41.04,39.57,39.98,153000.0
2008-03-13,24.21,41.25,41.25,38.49,39.2,336400.0
2008-03-14,23.61,40.23,41.6,39.47,41.45,260000.0
2008-03-17,23.51,40.06,40.82,39.16,39.48,163900.0
2008-03-18,24.5,41.74,41.74,40.16,40.78,248500.0
2008-03-19,24.47,41.7,42.82,41.48,41.97,173100.0
2008-03-20,25.24,43.0,43.5,42.44,42.99,456000.0
2008-03-24,26.09,44.45,44.62,42.95,43.0,188100.0
2008-03-25,25.47,43.39,44.0,42.55,44.0,208500.0
2008-03-26,25.36,43.21,43.63,42.96,43.63,89800.0
2008-03-27,24.8,42.25,43.42,42.19,43.34,143700.0
2008-03-28,24.66,42.02,42.85,41.87,42.23,115000.0
2008-03-31,25.07,42.71,44.2,41.92,42.12,141500.0
2008-04-01,26.26,44.74,44.74,43.06,43.16,141200.0
2008-04-02,26.61,45.34,45.63,44.16,44.73,151100.0
2008-04-03,26.87,45.78,45.78,44.47,45.0,183400.0
2008-04-04,26.45,44.45,45.29,43.95,45.29,172700.0
2008-04-07,26.25,44.11,44.69,43.78,44.45,141400.0
2008-04-08,26.08,43.83,44.09,43.14,43.79,665100.0
2008-04-09,25.36,42.62,44.0,42.56,43.8,157500.0
2008-04-10,26.13,43.91,44.13,42.2,42.2,155500.0
2008-04-11,25.45,42.76,43.5,42.38,43.47,197500.0
2008-04-14,25.42,42.71,43.37,42.35,42.66,172600.0
2008-04-15,25.68,43.15,43.5,42.56,42.91,248400.0
2008-04-16,26.49,44.52,44.52,43.15,43.15,284200.0
2008-04-17,26.45,44.45,44.56,43.9,43.9,200100.0
2008-04-18,26.91,45.22,45.92,43.72,44.84,172200.0
2008-04-21,26.26,44.13,45.03,44.07,44.77,78800.0
2008-04-22,26.17,43.97,44.43,43.49,44.0,80100.0
2008-04-23,26.43,44.42,44.77,43.77,44.37,57300.0
2008-04-24,27.4,46.05,46.06,44.2,44.53,95800.0
2008-04-25,27.51,46.23,46.5,45.43,46.36,90500.0
2008-04-28,27.37,46.0,46.15,45.44,46.15,94000.0
2008-04-29,27.05,45.45,46.0,45.07,46.0,61900.0
