,Adj Close,Close,High,Low,Open,Volume
2008-01-02,34.39,65.31,66.24,64.44,65.55,690800.0
2008-01-03,33.31,63.26,65.9,63.07,65.9,972200.0
2008-01-04,31.63,60.05,62.95,59.96,62.5,1165200.0
2008-01-07,31.94,60.65,61.36,58.97,60.22,988800.0
2008-01-08,30.94,58.76,63.06,58.52,60.98,1035500.0
2008-01-09,30.68,58.27,59.12,55.32,58.52,1342500.0
2008-01-10,30.17,57.29,58.57,56.19,57.65,2167700.0
2008-01-11,30.0,56.96,57.93,55.38,56.68,1822600.0
2008-01-14,29.74,56.47,58.05,55.34,57.25,1572400.0
2008-01-15,29.21,55.47,56.19,54.55,55.55,1405200.0
2008-01-16,30.05,57.05,57.84,55.37,55.37,1573400.0
2008-01-17,29.44,55.9,57.76,55.43,57.18,1358700.0
2008-01-18,28.72,54.54,56.49,53.98,56.11,1491400.0
2008-01-22,29.63,56.27,56.55,53.24,53.71,1467700.0
2008-01-23,33.24,63.13,63.75,55.29,55.32,3015400.0
2008-01-24,32.88,62.43,63.74,61.57,63.74,1631600.0
2008-01-25,32.2,61.14,63.94,60.38,63.0,1024000.0
2008-01-28,33.5,63.61,63.61,60.18,60.9,1075100.0
2008-01-29,33.5,63.61,64.35,62.47,64.08,753700.0
2008-01-30,32.67,62.03,64.35,61.67,62.95,1039000.0
2008-01-31,33.28,63.19,63.94,61.21,61.57,819000.0
2008-02-01,35.17,66.78,67.02,62.68,64.27,1679100.0
2008-02-04,34.82,66.13,66.79,65.1,66.74,696300.0
2008-02-05,33.56,63.73,66.12,63.38,65.11,1134400.0
2008-02-06,32.32,61.37,64.21,61.31,63.93,1016800.0
2008-02-07,32.63,61.96,62.51,60.84,61.12,1202400.0
2008-02-08,31.24,59.32,61.95,58.78,61.57,947400.0
2008-02-11,30.9,58.67,59.71,58.01,59.16,710200.0
2008-02-12,31.81,60.4,61.22,58.69,59.4,845300.0
2008-02-13,32.28,61.3,61.48,59.69,60.82,793400.0
2008-02-14,31.71,60.22,61.59,60.02,61.2,597800.0
2008-02-15,31.97,60.7,60.7,59.72,60.29,1031200.0
2008-02-19,31.17,59.18,61.32,58.69,61.32,811700.0
2008-02-20,31.69,59.42,59.56,57.8,58.78,781500.0
2008-02-21,30.8,57.75,60.3,57.63,59.65,797300.0
2008-02-22,31.68,59.4,59.4,57.02,57.6,656900.0
2008-02-25,32.93,61.76,61.76,58.58,59.08,889400.0
2008-02-26,33.03,61.94,62.27,60.65,61.41,840500.0
2008-02-27,32.86,61.62,62.45,61.06,61.34,643900.0
2008-02-28,32.24,60.46,61.2,60.38,61.17,577300.0
2008-02-29,31.6,59.26,60.52,58.98,60.1,911300.0
2008-03-03,31.8,59.63,59.67,58.22,59.29,837000.0
2008-03-04,31.48,59.02,59.58,57.8,59.22,924300.0
2008-03-05,31.26,58.62,59.71,58.13,59.23,1040500.0
2008-03-06,29.67,55.63,58.38,55.63,58.19,1006100.0
2008-03-07,30.2,56.64,57.15,54.84,55.6,852600.0
2008-03-10,29.64,55.58,56.95,55.58,56.95,750400.0
2008-03-11,31.12,58.36,58.43,55.23,56.67,1413000.0
2008-03-12,30.81,57.77,58.91,57.64,58.0,1114500.0
2008-03-13,31.12,58.36,58.79,55.55,56.53,1004700.0
2008-03-14,30.42,57.03,58.85,55.25,58.56,930000.0
2008-03-17,31.27,58.64,59.17,55.83,56.38,1287900.0
2008-03-18,33.47,62.76,62.76,59.67,59.67,1632200.0
2008-03-19,32.66,61.24,63.15,61.13,62.94,1260300.0
2008-03-20,34.5,64.69,64.69,61.06,61.29,1114100.0
2008-03-24,34.86,65.36,66.63,64.64,64.84,1484500.0
2008-03-25,35.26,66.11,66.11,64.48,64.93,961300.0
2008-03-26,34.27,64.26,65.72,63.97,65.68,992800.0
2008-03-27,33.25,62.34,64.75,62.27,64.38,1211100.0
2008-03-28,33.86,63.49,64.28,62.36,62.67,1957600.0
2008-03-31,34.7,65.06,66.18,63.12,63.93,1501900.0
2008-04-01,36.93,69.26,69.27,65.74,66.14,1115800.0
2008-04-02,36.02,67.53,69.02,66.87,68.9,1414200.0
2008-04-03,36.79,68.98,68.98,66.66,67.12,816000.0
2008-04-04,35.97,67.45,69.27,67.25,69.07,764300.0
2008-04-07,35.78,67.09,68.39,66.47,68.05,755600.0
2008-04-08,35.64,66.83,67.6,66.2,67.03,810600.0
2008-04-09,34.9,65.44,66.99,65.24,66.99,1017000.0
2008-04-10,35.4,66.39,66.53,65.18,65.56,1184400.0
2008-04-11,34.49,64.67,65.97,64.47,65.36,682000.0
2008-04-14,34.07,63.89,65.6,63.68,64.77,519900.0
2008-04-15,34.5,64.7,64.77,63.88,64.51,647700.0
2008-04-16,36.31,68.09,68.1,65.0,65.38,739900.0
2008-04-17,36.54,68.52,68.75,67.18,67.65,661200.0
2008-04-18,36.18,67.84,70.31,67.38,69.38,708800.0
2008-04-21,35.7,66.95,67.61,66.34,67.33,581500.0
2008-04-22,35.67,66.88,67.32,66.21,66.85,524300.0
2008-04-23,35.99,67.48,68.26,66.68,66.94,520600.0
2008-04-24,36.7,68.81,68.87,67.27,67.49,983600.0
2008-04-25,36.91,69.21,69.21,67.25,67.25,487300.0
2008-04-28,36.99,69.36,69.78,68.48,69.46,658300.0
2008-04-29,36.7,68.81,69.39,68.18,69.39,709200.0
2008-04-30,36.11,67.71,69.44,67.71,69.1,844500.0
2008-05-01,37.21,69.77,69.77,67.48,68.05,1082300.0
2008-05-02,37.11,69.58,70.83,69.21,70.37,880400.0
2008-05-05,36.94,69.27,69.85,68.65,69.04,771300.0
2008-05-06,36.88,69.15,69.28,68.19,68.88,940100.0
2008-05-07,35.69,66.93,69.76,66.89,69.55,928800.0
2008-05-08,36.39,68.24,68.98,67.07,67.3,841500.0
2008-05-09,36.12,67.73,68.53,66.75,67.59,674800.0
2008-05-12,36.44,68.33,69.05,67.73,68.09,659500.0
2008-05-13,36.5,68.45,68.98,67.69,68.24,502500.0
2008-05-14,36.54,68.52,68.78,68.18,68.5,1137300.0
2008-05-15,36.81,68.28,68.82,67.68,67.84,848100.0
2008-05-16,36.81,68.27,68.45,67.81,68.25,728900.0
2008-05-19,36.89,68.42,68.65,68.02,68.37,832300.0
2008-05-20,36.56,67.81,68.63,67.29,68.26,768500.0
2008-05-21,36.23,67.2,68.58,66.4,67.64,1509300.0
2008-05-22,35.33,65.52,67.69,65.25,67.19,974900.0
2008-05-23,34.93,64.78,65.57,64.5,65.25,650900.0
2008-05-27,35.29,65.45,66.08,64.76,65.31,431300.0
2008-05-28,35.05,65.02,66.09,64.72,66.06,609900.0
2008-05-29,35.79,66.39,66.52,64.98,65.02,811400.0
2008-05-30,35.71,66.23,66.66,65.39,66.39,820800.0
2008-06-02,35.17,65.23,66.18,64.83,66.18,837500.0
2008-06-03,35.2,65.28,65.93,64.51,65.82,683900.0
2008-06-04,35.57,65.98,66.52,64.77,64.96,709600.0
2008-06-05,36.32,67.38,67.38,66.15,66.16,856700.0
2008-06-06,34.67,64.3,66.77,63.73,66.51,871100.0
2008-06-09,33.6,62.32,65.14,62.21,64.53,718000.0
2008-06-10,33.82,62.73,63.09,61.11,61.76,889400.0
2008-06-11,33.1,61.4,62.97,61.39,62.49,612200.0
2008-06-12,33.23,61.64,62.69,60.64,61.98,717800.0
2008-06-13,33.57,62.27,62.66,61.19,61.85,704400.0
2008-06-16,34.43,63.87,63.87,61.9,62.02,429700.0
2008-06-17,33.51,62.15,64.63,62.03,64.56,799600.0
2008-06-18,33.13,61.45,61.92,61.1,61.28,1456300.0
2008-06-19,33.79,62.68,62.7,61.11,61.62,909100.0
2008-06-20,33.03,61.27,62.76,60.77,61.99,1006000.0
2008-06-23,32.26,59.84,61.9,59.84,61.27,772300.0
2008-06-24,32.2,59.73,60.47,59.16,59.77,882300.0
2008-06-25,32.63,60.52,61.06,59.68,59.95,824000.0
2008-06-26,31.69,58.78,60.07,58.57,59.06,853500.0
2008-06-27,31.0,57.5,59.4,56.94,59.04,1028500.0
2008-06-30,31.01,57.52,58.1,56.03,56.6,1036100.0
