,Adj Close,Close,High,Low,Open,Volume
2008-01-02,14.15,18.23,18.97,18.15,18.97,4491700.0
2008-01-03,13.87,17.87,18.56,17.77,18.32,3429400.0
2008-01-04,13.48,17.37,17.73,17.16,17.69,6149100.0
2008-01-07,13.72,17.67,17.92,17.41,17.45,5499700.0
2008-01-08,13.1,16.88,17.93,16.85,17.75,6917900.0
2008-01-09,13.45,17.33,17.39,16.62,16.9,7206000.0
2008-01-10,13.69,17.64,18.01,17.03,17.14,7054800.0
2008-01-11,13.4,17.27,17.65,17.1,17.37,5671700.0
2008-01-14,13.5,17.4,17.61,17.15,17.44,3916500.0
2008-01-15,12.99,16.74,17.35,16.71,17.15,4985000.0
2008-01-16,13.26,17.08,17.6,16.51,16.63,7656900.0
2008-01-17,12.79,16.49,17.3,16.41,17.11,6971500.0
2008-01-18,12.86,16.56,17.4,16.26,16.63,7331700.0
2008-01-22,13.37,17.23,17.84,15.75,15.75,10157400.0
2008-01-23,14.84,19.12,19.19,16.45,16.74,13737700.0
2008-01-24,14.89,19.18,19.56,18.51,19.25,9056300.0
2008-01-25,14.59,18.8,20.1,18.64,19.44,8804100.0
2008-01-28,14.68,18.91,19.03,18.07,18.15,7441000.0
2008-01-29,14.97,19.29,19.39,18.81,19.03,6011500.0
2008-01-30,14.96,19.28,19.95,18.98,19.16,6307000.0
2008-01-31,15.64,20.15,20.65,18.73,18.89,14158700.0
2008-02-01,15.91,20.5,20.61,19.88,20.18,6565400.0
2008-02-04,15.11,19.46,20.42,19.35,20.42,4616800.0
2008-02-05,14.77,19.02,19.67,18.94,19.09,5413600.0
2008-02-06,14.69,18.93,19.55,18.82,19.16,4475700.0
2008-02-07,14.72,18.97,19.3,18.7,18.92,4484200.0
2008-02-08,14.36,18.51,19.0,18.3,18.84,4171500.0
2008-02-11,14.84,19.12,19.29,17.86,18.68,6848200.0
2008-02-12,13.21,17.02,17.56,16.74,16.87,23051300.0
2008-02-13,13.42,17.29,17.5,16.7,16.7,8840600.0
2008-02-14,13.16,16.95,17.49,16.8,17.27,5805100.0
2008-02-15,13.06,16.83,17.04,16.67,16.91,5163500.0
2008-02-19,12.71,16.37,17.16,16.32,17.16,8025200.0
2008-02-20,12.95,16.69,16.89,16.16,16.26,5717000.0
2008-02-21,12.86,16.56,16.82,16.48,16.76,7032600.0
2008-02-22,13.14,16.93,16.94,16.43,16.61,6606500.0
2008-02-25,13.37,17.22,17.28,16.72,16.96,6449600.0
2008-02-26,13.31,17.14,17.26,16.81,17.05,16939600.0
2008-02-27,13.57,17.49,17.58,17.05,17.07,7353700.0
2008-02-28,13.35,17.21,17.49,16.95,17.36,5718300.0
2008-02-29,12.75,16.42,17.09,16.33,17.0,7256400.0
2008-03-03,12.92,16.64,17.05,16.36,16.47,6098500.0
2008-03-04,13.01,16.76,16.9,16.38,16.46,6100100.0
2008-03-05,12.94,16.68,17.02,16.54,16.84,6110100.0
2008-03-06,12.43,16.01,16.58,15.99,16.57,4665200.0
2008-03-07,12.64,16.29,16.56,15.88,15.88,6560000.0
2008-03-10,12.45,16.04,16.41,15.89,16.34,4771900.0
2008-03-11,12.96,16.7,16.71,15.92,16.45,6707000.0
2008-03-12,12.67,16.33,16.76,16.23,16.76,7326400.0
2008-03-13,12.79,16.49,16.61,15.86,16.12,6569600.0
2008-03-14,12.45,16.04,16.63,15.76,16.63,4927700.0
2008-03-17,12.6,16.24,16.54,15.62,15.62,6093000.0
2008-03-18,13.5,17.39,17.42,16.54,16.66,8652300.0
2008-03-19,12.84,16.55,17.87,16.53,17.51,7622500.0
2008-03-20,13.32,17.16,17.2,16.49,16.62,7211700.0
2008-03-24,13.98,18.01,18.14,17.08,17.27,6917200.0
2008-03-25,13.89,17.89,18.21,17.69,17.96,3385600.0
2008-03-26,13.52,17.42,18.03,17.3,18.03,4588000.0
2008-03-27,13.5,17.4,17.73,17.29,17.29,5157500.0
2008-03-28,13.15,16.94,17.73,16.9,17.6,6824500.0
2008-03-31,13.52,17.43,17.53,16.92,17.03,6019600.0
2008-04-01,14.19,18.28,18.34,17.53,17.64,6014100.0
2008-04-02,14.15,18.23,18.58,18.15,18.4,7144500.0
2008-04-03,13.87,17.87,18.17,17.66,18.15,4434600.0
2008-04-04,13.61,17.53,17.89,17.48,17.86,3714600.0
2008-04-07,13.54,17.45,17.74,17.32,17.7,3605000.0
2008-04-08,13.27,17.1,17.41,16.98,17.41,5359600.0
2008-04-09,13.1,16.68,17.06,16.56,16.92,6456200.0
2008-04-10,13.29,16.92,17.07,16.58,16.82,4009800.0
2008-04-11,13.13,16.72,17.27,16.65,16.68,4143200.0
2008-04-14,13.0,16.55,16.79,16.49,16.74,2381800.0
2008-04-15,13.02,16.57,16.78,16.3,16.6,4056400.0
2008-04-16,13.68,17.42,17.42,16.69,16.78,4738500.0
2008-04-17,13.66,17.39,17.44,17.18,17.3,3594300.0
2008-04-18,13.9,17.7,17.88,17.57,17.64,4702100.0
2008-04-21,13.74,17.5,17.61,17.34,17.57,3050100.0
2008-04-22,13.41,17.07,17.48,16.98,17.48,3214200.0
2008-04-23,12.98,16.53,17.17,16.38,17.17,4835000.0
2008-04-24,13.09,16.66,16.75,16.22,16.58,5701700.0
2008-04-25,13.23,16.85,16.95,16.47,16.71,2865100.0
2008-04-28,13.6,17.31,17.48,16.66,16.77,6250400.0
2008-04-29,12.87,16.39,16.84,15.69,16.0,12108200.0
2008-04-30,12.57,16.0,16.5,15.95,16.3,5235300.0
2008-05-01,12.83,16.34,16.48,15.83,16.1,4788500.0
2008-05-02,12.84,16.34,16.59,16.2,16.59,3914400.0
2008-05-05,13.02,16.58,16.67,16.2,16.4,5368000.0
2008-05-06,13.07,16.64,16.72,16.3,16.54,5154100.0
