,Adj Close,Close,High,Low,Open,Volume
2008-01-02,12.09,18.52,19.06,18.5,19.06,3832900.0
2008-01-03,11.86,18.16,18.64,18.1,18.61,3984400.0
2008-01-04,11.56,17.71,18.09,17.62,18.0,3836500.0
2008-01-07,11.59,17.76,17.9,17.52,17.78,2923600.0
2008-01-08,11.33,17.36,18.12,17.29,18.0,4494100.0
2008-01-09,11.26,17.25,17.34,16.89,17.34,3842400.0
2008-01-10,11.47,17.57,17.68,16.8,17.24,3675400.0
2008-01-11,11.1,17.0,17.48,16.92,17.38,3211400.0
2008-01-14,11.17,17.11,17.18,16.86,17.15,3268300.0
2008-01-15,10.87,16.65,17.01,16.42,16.88,3862100.0
2008-01-16,11.74,17.99,18.27,16.93,16.93,6721500.0
2008-01-17,11.35,17.39,18.14,17.29,18.01,5580500.0
2008-01-18,11.56,17.71,17.94,17.48,17.5,4757100.0
2008-01-22,11.77,18.03,18.25,16.71,16.71,6174700.0
2008-01-23,12.26,18.78,18.84,17.42,17.54,6503200.0
2008-01-24,12.46,19.09,19.25,18.48,18.94,5242000.0
2008-01-25,12.42,19.02,19.5,18.81,19.34,3373300.0
2008-01-28,12.61,19.31,19.32,18.6,19.08,2557600.0
2008-01-29,12.45,19.07,19.39,18.75,19.39,3027300.0
2008-01-30,12.36,18.94,19.45,18.73,19.02,2833500.0
2008-01-31,13.72,21.01,21.35,18.41,19.28,7359600.0
2008-02-01,13.92,21.32,21.35,20.73,21.01,3653900.0
2008-02-04,14.0,21.45,21.73,21.13,21.32,3405200.0
2008-02-05,13.45,20.6,21.49,20.52,21.18,3520700.0
2008-02-06,13.55,20.76,21.15,20.58,20.7,3204700.0
2008-02-07,13.76,21.08,21.37,20.64,20.7,3138300.0
2008-02-08,13.47,20.64,21.07,20.56,20.93,2495000.0
2008-02-11,13.5,20.68,20.92,20.51,20.7,4519100.0
2008-02-12,13.85,21.21,21.38,20.74,20.84,3984600.0
2008-02-13,14.13,21.65,21.8,21.08,21.08,3809100.0
2008-02-14,13.77,21.1,21.81,21.08,21.81,2196500.0
2008-02-15,13.58,20.8,21.16,20.63,21.12,3779300.0
2008-02-19,13.35,20.45,21.0,20.29,21.0,2982500.0
2008-02-20,13.65,20.91,21.0,20.3,20.3,3059700.0
2008-02-21,13.37,20.48,21.17,20.44,20.96,1993200.0
2008-02-22,13.48,20.65,20.68,20.07,20.59,2768400.0
2008-02-25,13.79,21.12,21.16,20.46,20.65,2366200.0
2008-02-26,13.68,20.96,21.34,20.85,21.06,3292600.0
2008-02-27,13.47,20.64,21.05,20.57,20.93,2544000.0
2008-02-28,13.19,20.2,20.61,20.13,20.61,1741000.0
2008-02-29,12.61,19.32,20.17,19.27,20.13,3530700.0
2008-03-03,12.66,19.39,19.49,19.05,19.26,3877300.0
2008-03-04,12.89,19.74,19.83,19.17,19.4,4394000.0
2008-03-05,12.88,19.73,20.1,19.55,19.67,3532900.0
2008-03-06,12.54,19.21,19.73,19.17,19.66,2687600.0
2008-03-07,12.65,19.38,19.75,18.91,19.14,2837600.0
2008-03-10,12.5,19.15,19.71,19.13,19.53,2365300.0
2008-03-11,13.17,20.18,20.18,19.22,19.6,3329500.0
2008-03-12,13.23,20.27,20.67,20.15,20.2,3255100.0
2008-03-13,13.24,20.28,20.4,19.57,20.0,3444800.0
2008-03-14,12.93,19.81,20.5,19.42,20.4,2776500.0
2008-03-17,12.83,19.66,19.9,19.3,19.65,3212000.0
2008-03-18,13.12,20.09,20.13,19.56,20.0,2593800.0
2008-03-19,13.3,20.37,20.9,20.14,20.15,2988200.0
2008-03-20,13.96,21.38,21.39,20.39,20.39,4446200.0
2008-03-24,14.29,21.89,21.94,21.27,21.33,4141700.0
2008-03-25,14.09,21.58,21.94,21.45,21.94,3817300.0
2008-03-26,13.87,21.25,21.52,21.04,21.51,2682700.0
2008-03-27,13.26,20.31,21.49,20.22,21.3,4527400.0
2008-03-28,13.24,20.28,20.57,20.17,20.31,2073400.0
2008-03-31,12.99,19.9,20.33,19.78,20.28,5409000.0
2008-04-01,13.84,21.2,21.2,19.87,20.01,3451800.0
2008-04-02,13.54,20.74,21.23,20.63,21.2,3155700.0
2008-04-03,13.9,21.3,21.37,20.57,20.77,2879700.0
2008-04-04,14.13,21.64,21.85,21.14,21.26,3071600.0
2008-04-07,14.23,21.8,21.99,21.58,21.75,3185100.0
2008-04-08,13.9,21.29,21.8,21.03,21.72,2940800.0
2008-04-09,13.54,20.74,21.46,20.69,21.26,1544800.0
