,Adj Close,Close,High,Low,Open,Volume
2008-01-02,18.98,18.98,19.75,18.65,19.0,7602000.0
2008-01-03,18.55,18.55,19.16,18.03,19.11,5032800.0
2008-01-04,17.56,17.56,18.2,17.33,17.89,6219400.0
2008-01-07,17.62,17.62,18.15,17.25,17.47,7541600.0
2008-01-08,13.98,13.98,18.07,13.02,18.07,18859800.0
2008-01-09,13.4,13.4,15.0,11.11,15.0,32641800.0
2008-01-10,14.11,14.11,15.2,12.55,12.99,18831300.0
2008-01-11,16.59,16.59,17.5,13.65,14.52,20721000.0
2008-01-14,17.05,17.05,17.47,16.02,16.19,10853700.0
2008-01-15,16.05,16.05,16.64,15.55,16.5,7512000.0
2008-01-16,13.4,13.4,15.39,13.06,14.2,17361800.0
2008-01-17,9.22,9.22,11.0,7.63,10.52,33413800.0
2008-01-18,8.55,8.55,9.0,6.75,8.91,31006100.0
2008-01-22,12.53,12.53,13.2,9.0,9.54,30884400.0
2008-01-23,16.61,16.61,17.55,11.79,11.81,34265100.0
2008-01-24,14.4,14.4,18.3,12.83,17.96,33189200.0
2008-01-25,14.2,14.2,16.0,13.35,15.14,16332700.0
2008-01-28,14.85,14.85,14.85,12.61,13.55,8333400.0
2008-01-29,15.98,15.98,16.6,14.42,15.09,15589700.0
2008-01-30,13.96,13.96,15.69,12.73,15.69,15484200.0
2008-01-31,15.5,15.5,15.87,11.8,12.09,29078800.0
2008-02-01,16.36,16.36,17.35,14.84,17.21,22978500.0
2008-02-04,15.39,15.39,16.11,15.05,16.06,9484700.0
2008-02-05,14.9,14.9,16.48,14.37,14.75,19385400.0
2008-02-06,14.28,14.28,14.89,14.06,14.44,7568700.0
2008-02-07,14.2,14.2,15.4,14.11,14.26,12975200.0
2008-02-08,14.6,14.6,15.14,13.15,13.16,39775700.0
2008-02-11,13.58,13.58,14.96,13.36,14.96,11691200.0
2008-02-12,11.5,11.5,13.58,11.36,13.36,21059100.0
2008-02-13,11.64,11.64,12.19,11.28,11.69,10930900.0
2008-02-14,12.62,12.62,13.19,10.81,12.06,14926200.0
2008-02-15,12.24,12.24,12.66,11.75,12.31,9552700.0
2008-02-19,11.7,11.7,12.62,11.64,12.61,8004800.0
2008-02-20,12.18,12.18,12.38,11.51,11.56,6857100.0
2008-02-21,11.9,11.9,12.4,11.75,12.35,6259000.0
2008-02-22,12.18,12.18,12.4,10.75,11.61,14438400.0
2008-02-25,14.58,14.58,15.25,11.8,12.4,26437200.0
2008-02-26,15.28,15.28,15.45,13.88,14.33,23721400.0
2008-02-27,14.85,14.85,15.28,14.55,14.83,8050600.0
2008-02-28,14.06,14.06,14.88,13.72,14.88,8508400.0
2008-02-29,12.97,12.97,13.69,12.77,13.46,12889900.0
2008-03-03,12.62,12.62,12.98,12.1,12.78,7004800.0
2008-03-04,12.98,12.98,13.39,12.0,12.4,9569100.0
2008-03-05,12.18,12.18,14.65,11.75,13.12,21520700.0
2008-03-06,11.6,11.6,12.09,10.96,11.84,10509300.0
2008-03-07,11.99,11.99,12.2,11.1,11.15,7621000.0
2008-03-10,10.77,10.77,12.29,10.67,11.43,11622600.0
2008-03-11,12.14,12.14,12.14,10.82,11.81,8031700.0
2008-03-12,11.55,11.55,12.49,11.38,12.06,5756700.0
2008-03-13,11.57,11.57,11.67,10.95,11.15,6966100.0
2008-03-14,10.94,10.94,11.78,10.9,11.71,5960400.0
2008-03-17,10.8,10.8,11.6,9.81,10.39,7207600.0
2008-03-18,12.31,12.31,12.5,11.11,11.49,6858000.0
2008-03-19,12.03,12.03,12.95,11.81,11.81,8247600.0
2008-03-20,12.77,12.77,12.77,12.0,12.44,8518400.0
2008-03-24,14.17,14.17,14.39,12.84,12.88,8177900.0
2008-03-25,14.13,14.13,14.47,12.61,13.94,5585300.0
2008-03-26,13.24,13.24,14.21,13.22,14.13,3212000.0
2008-03-27,12.5,12.5,13.77,12.41,13.53,4175700.0
2008-03-28,11.99,11.99,12.86,11.92,12.54,3079700.0
2008-03-31,12.22,12.22,12.42,11.87,12.11,4542300.0
2008-04-01,13.48,13.48,13.51,12.67,12.67,8547300.0
2008-04-02,13.76,13.76,14.2,13.55,13.62,4761900.0
2008-04-03,14.29,14.29,14.5,13.35,13.55,3816600.0
2008-04-04,13.61,13.61,14.47,13.36,14.47,5047000.0
2008-04-07,13.59,13.59,14.0,13.0,13.78,3614600.0
2008-04-08,12.99,12.99,13.73,12.8,13.73,2701600.0
2008-04-09,11.97,11.97,13.26,11.76,12.9,4078800.0
2008-04-10,11.89,11.89,12.3,11.76,12.25,3160000.0
2008-04-11,11.8,11.8,12.15,11.51,11.54,2428500.0
2008-04-14,11.72,11.72,12.12,11.12,12.12,2676900.0
2008-04-15,11.53,11.53,12.0,11.21,11.83,3730800.0
2008-04-16,11.65,11.65,12.12,11.33,11.54,3363900.0
2008-04-17,12.71,12.71,12.92,11.46,11.46,5409600.0
2008-04-18,13.04,13.04,13.52,12.73,13.12,3448600.0
2008-04-21,12.98,12.98,13.14,12.42,13.09,2498200.0
2008-04-22,13.28,13.28,13.43,12.62,13.13,2891200.0
2008-04-23,8.79,8.79,12.4,8.63,11.98,24363700.0
2008-04-24,9.8,9.8,10.28,8.3,9.12,21464300.0
2008-04-25,9.84,9.84,10.1,9.26,9.94,6930000.0
2008-04-28,10.41,10.41,10.5,9.5,9.99,4546800.0
2008-04-29,10.75,10.75,10.93,10.39,10.4,5524000.0
2008-04-30,10.4,10.4,10.98,10.06,10.74,5045200.0
2008-05-01,11.74,11.74,11.98,10.18,10.25,6736700.0
2008-05-02,11.42,11.42,12.35,11.11,12.09,5102200.0
2008-05-05,11.05,11.05,11.63,10.83,11.22,3999200.0
2008-05-06,11.39,11.39,11.58,10.55,10.83,4068400.0
2008-05-07,10.65,10.65,11.74,10.56,11.7,4405900.0
2008-05-08,10.36,10.36,10.88,10.14,10.87,4884300.0
2008-05-09,9.43,9.43,10.29,9.24,9.82,10009100.0
2008-05-12,9.85,9.85,10.54,9.24,9.35,14730100.0
2008-05-13,9.32,9.32,10.09,8.91,9.98,12874500.0
2008-05-14,9.3,9.3,9.68,8.89,9.43,10124100.0
2008-05-15,9.68,9.68,9.68,9.04,9.56,7113000.0
2008-05-16,9.53,9.53,9.84,9.46,9.67,4622000.0
2008-05-19,9.53,9.53,9.79,9.25,9.57,4575800.0
2008-05-20,9.09,9.09,9.43,9.05,9.43,5169600.0
2008-05-21,8.12,8.12,9.19,8.06,9.15,9344200.0
2008-05-22,8.04,8.04,8.35,7.7,8.29,9459500.0
2008-05-23,7.37,7.37,8.21,7.35,8.21,10819100.0
2008-05-27,7.22,7.22,7.62,7.06,7.38,9038400.0
2008-05-28,7.05,7.05,7.51,6.82,7.45,11397200.0
2008-05-29,7.37,7.37,7.48,6.98,7.03,5809200.0
2008-05-30,6.96,6.96,7.37,6.95,7.37,5461200.0
2008-06-02,6.96,6.96,7.05,6.76,6.96,5003900.0
2008-06-03,6.69,6.69,7.13,6.58,7.04,7604300.0
2008-06-04,5.63,5.63,6.77,5.42,6.6,29814600.0
