,Adj Close,Close,High,Low,Open,Volume
2008-01-02,40.4,58.1,59.48,57.89,59.48,7858300.0
2008-01-03,40.28,57.93,58.8,57.74,58.4,6514700.0
2008-01-04,39.67,57.05,57.47,56.43,57.33,9687500.0
2008-01-07,40.35,58.03,58.25,56.87,57.36,10784500.0
2008-01-08,39.69,57.08,58.64,56.96,58.44,10080800.0
2008-01-09,39.96,57.47,57.53,56.1,57.06,11600400.0
2008-01-10,40.45,58.17,58.49,56.96,57.69,10767000.0
2008-01-11,37.77,54.32,56.9,53.32,56.9,33215200.0
2008-01-14,38.22,54.96,55.31,53.72,54.89,12932700.0
2008-01-15,37.38,53.76,55.19,53.44,54.39,10107000.0
2008-01-16,36.44,52.41,53.83,52.22,53.41,13246000.0
2008-01-17,36.14,51.98,53.04,51.92,52.67,12878400.0
2008-01-18,36.44,52.4,53.29,52.26,52.45,11754400.0
2008-01-22,36.47,52.45,52.62,49.37,49.37,16883500.0
2008-01-23,36.86,53.01,53.05,50.89,51.64,19158300.0
2008-01-24,37.55,54.0,54.19,52.99,53.8,10305400.0
2008-01-25,37.62,54.1,54.75,53.99,54.46,12779800.0
2008-01-28,35.51,51.07,51.43,49.36,51.1,49724500.0
2008-01-29,35.29,50.75,51.43,50.07,51.43,20685000.0
2008-01-30,35.47,51.01,51.78,50.8,50.84,13593900.0
2008-01-31,37.26,53.58,53.58,50.11,50.25,18338600.0
2008-02-01,37.7,54.22,54.37,52.85,53.67,11656900.0
2008-02-04,37.46,53.88,54.29,53.3,54.23,6079100.0
2008-02-05,37.44,53.84,54.5,52.88,53.37,13425000.0
2008-02-06,37.36,53.73,54.19,53.53,54.19,11636200.0
2008-02-07,37.87,54.46,54.86,53.3,53.37,11229000.0
2008-02-08,38.69,55.64,56.41,54.81,54.9,12940600.0
2008-02-11,38.92,55.98,56.34,55.19,55.73,5904900.0
2008-02-12,39.2,56.37,56.82,55.92,56.35,9506600.0
2008-02-13,39.38,56.64,57.07,55.85,57.07,7739000.0
2008-02-14,38.65,55.58,56.77,55.5,56.77,5610900.0
2008-02-15,38.45,55.3,55.47,54.84,55.35,6972300.0
2008-02-19,38.71,55.67,55.99,55.5,55.82,7853300.0
2008-02-20,39.08,56.2,56.4,55.01,55.27,8007600.0
2008-02-21,38.4,55.23,56.35,55.12,56.28,5764400.0
2008-02-22,38.72,55.69,55.69,54.39,55.35,5963300.0
2008-02-25,38.97,56.05,56.16,55.12,55.61,5236600.0
2008-02-26,39.25,56.45,56.82,55.68,55.68,9346700.0
2008-02-27,38.47,55.33,57.0,55.1,56.22,13814900.0
2008-02-28,38.24,54.62,55.1,54.3,55.0,6969500.0
2008-02-29,37.88,54.11,54.76,53.94,54.3,7461200.0
2008-03-03,37.22,53.16,54.74,52.67,53.98,7495800.0
2008-03-04,37.54,53.63,53.63,52.62,52.9,7887800.0
2008-03-05,37.76,53.94,54.17,53.27,53.83,7087700.0
2008-03-06,37.13,53.04,54.2,53.0,53.64,6526200.0
2008-03-07,36.59,52.27,52.78,52.0,52.55,8053000.0
2008-03-10,37.66,53.8,54.73,52.93,54.65,17599500.0
2008-03-11,37.98,54.25,54.8,53.45,54.8,9330900.0
2008-03-12,37.59,53.7,54.63,53.6,54.47,7407900.0
2008-03-13,38.43,54.89,55.12,53.4,53.4,11973500.0
2008-03-14,38.35,54.78,55.18,53.75,55.18,10275000.0
2008-03-17,38.0,54.28,54.8,53.01,53.37,10530900.0
2008-03-18,38.4,54.85,55.48,54.01,54.85,10415700.0
2008-03-19,37.57,53.66,55.49,53.59,55.01,8740500.0
2008-03-20,38.1,54.42,54.76,53.7,53.95,13075600.0
2008-03-24,39.04,55.77,56.0,54.4,54.58,7874100.0
2008-03-25,39.34,56.2,56.51,55.36,55.67,7557800.0
2008-03-26,38.92,55.6,56.3,55.2,55.83,5240900.0
2008-03-27,38.82,55.45,56.22,55.42,55.83,8198700.0
2008-03-28,38.84,55.48,55.94,55.23,55.69,4778800.0
2008-03-31,39.04,55.77,56.0,55.56,55.56,6452300.0
2008-04-01,39.84,56.91,57.05,56.0,56.04,13339900.0
2008-04-02,39.67,56.66,57.24,56.37,57.05,8375000.0
2008-04-03,39.37,56.24,56.85,55.77,56.44,6786400.0
2008-04-04,39.01,55.72,56.33,55.4,56.22,7419700.0
2008-04-07,38.96,55.65,56.24,55.45,56.02,6744800.0
2008-04-08,39.11,55.87,56.03,55.4,55.42,4893900.0
2008-04-09,39.02,55.74,56.1,55.39,55.79,7686800.0
2008-04-10,39.1,55.85,56.21,55.59,55.59,6762800.0
2008-04-11,38.78,55.4,55.85,55.14,55.41,5331500.0
2008-04-14,38.88,55.54,55.81,55.23,55.49,3883200.0
2008-04-15,39.18,55.96,56.14,55.67,55.79,6655700.0
2008-04-16,40.03,57.18,57.2,55.7,56.31,7441300.0
2008-04-17,40.14,57.33,57.42,56.86,57.11,5394100.0
2008-04-18,40.81,58.3,58.47,57.55,57.56,6762700.0
2008-04-21,41.07,58.67,58.68,58.05,58.59,6179000.0
2008-04-22,40.85,58.35,58.77,57.42,57.94,10915900.0
2008-04-23,41.09,58.69,59.44,58.1,58.41,8813400.0
2008-04-24,41.71,59.58,59.88,58.29,58.65,7197200.0
2008-04-25,41.77,59.67,59.98,59.26,59.75,7969600.0
2008-04-28,41.72,59.59,59.99,59.2,59.75,7705100.0
2008-04-29,42.14,60.2,60.5,59.15,59.15,7821800.0
2008-04-30,41.71,59.58,60.6,59.54,60.0,8486600.0
2008-05-01,42.65,60.92,60.93,59.35,59.54,6954300.0
2008-05-02,42.67,60.95,61.24,60.8,60.9,7353400.0
2008-05-05,42.61,60.87,60.99,60.3,60.96,5311900.0
2008-05-06,42.35,60.49,60.7,60.09,60.61,5146500.0
2008-05-07,41.57,59.38,60.69,59.25,60.4,6222700.0
2008-05-08,41.84,59.77,59.8,58.79,59.73,7987700.0
2008-05-09,41.47,59.24,59.58,59.06,59.06,5219400.0
2008-05-12,42.61,60.87,61.04,59.3,59.3,6268300.0
2008-05-13,42.82,61.17,61.76,60.76,60.9,6601200.0
2008-05-14,42.31,60.44,61.5,60.27,61.35,8562500.0
2008-05-15,42.61,60.86,60.88,59.66,60.4,6108400.0
2008-05-16,42.38,60.53,60.95,60.27,60.87,5691000.0
2008-05-19,42.32,60.45,60.87,60.4,60.76,4924600.0
2008-05-20,41.78,59.68,60.45,59.14,60.28,8618600.0
2008-05-21,41.15,58.78,59.96,58.41,59.77,7842600.0
2008-05-22,40.98,58.53,59.26,58.42,58.75,5111000.0
2008-05-23,40.42,57.73,58.37,57.31,58.37,5778800.0
2008-05-27,40.68,58.11,58.46,57.55,57.87,5896100.0
2008-05-28,41.09,58.69,59.05,58.35,58.37,5481600.0
2008-05-29,41.64,59.48,59.84,58.62,58.7,4506500.0
2008-05-30,41.53,59.32,59.64,58.8,59.54,5132200.0
2008-06-02,40.99,58.55,59.19,58.07,59.12,4930300.0
2008-06-03,40.3,57.56,58.91,57.21,58.7,9189000.0
2008-06-04,40.59,57.98,58.62,57.43,57.43,7601500.0
2008-06-05,40.9,58.05,58.5,57.77,57.96,7715900.0
2008-06-06,40.13,56.95,57.82,56.84,57.7,7365800.0
2008-06-09,41.79,59.31,59.56,58.0,58.37,11668400.0
2008-06-10,42.12,59.77,60.41,59.01,59.01,9083100.0
2008-06-11,41.4,58.75,59.77,58.64,59.77,6613400.0
2008-06-12,41.81,59.34,59.85,58.92,58.98,6261300.0
2008-06-13,42.24,59.95,60.33,59.4,59.61,5033700.0
2008-06-16,42.24,59.94,60.3,59.39,59.44,4520700.0
