,Adj Close,Close,High,Low,Open,Volume
2008-01-02,29.61,35.06,36.08,34.72,36.08,3337900.0
2008-01-03,28.94,34.27,35.46,34.12,35.46,3071600.0
2008-01-04,28.07,33.24,34.0,32.74,34.0,4892500.0
2008-01-07,28.96,34.29,34.65,33.25,33.5,4256200.0
2008-01-08,28.13,33.3,35.45,33.3,34.53,4363100.0
2008-01-09,28.02,33.18,34.03,32.42,33.45,4713800.0
2008-01-10,29.48,34.9,35.47,32.57,33.17,6035800.0
2008-01-11,29.57,35.01,35.21,33.96,34.65,4184700.0
2008-01-14,30.38,35.97,36.24,35.41,35.59,3663800.0
2008-01-15,30.2,35.76,37.45,34.9,36.06,6369600.0
2008-01-16,30.82,36.49,37.67,35.17,35.53,6360300.0
2008-01-17,29.45,34.87,37.26,34.61,36.53,6502500.0
2008-01-18,28.4,33.63,35.16,32.86,35.13,7357500.0
2008-01-22,29.02,34.36,34.51,31.64,32.16,9314500.0
2008-01-23,30.07,35.6,35.83,32.46,33.28,11343200.0
2008-01-24,30.95,36.64,38.0,35.89,35.89,6979600.0
2008-01-25,30.41,36.01,38.0,35.89,37.08,4060600.0
2008-01-28,29.87,35.37,36.43,34.92,36.32,4738900.0
2008-01-29,30.39,35.98,36.15,34.75,35.66,2800200.0
2008-01-30,29.59,35.04,36.58,34.95,35.9,4803000.0
2008-01-31,29.36,34.76,35.56,33.34,34.56,9475700.0
2008-02-01,30.39,35.98,36.32,34.84,34.93,4802200.0
2008-02-04,29.73,35.2,36.43,35.12,35.43,3302400.0
2008-02-05,28.68,33.96,35.32,33.9,35.26,4403300.0
2008-02-06,28.3,33.51,34.98,33.32,34.69,3800700.0
2008-02-07,31.25,37.0,37.13,34.09,34.09,12426300.0
2008-02-08,30.44,36.04,38.15,35.73,37.61,5702200.0
2008-02-11,30.68,36.33,36.71,34.93,35.96,3758500.0
2008-02-12,32.61,38.61,39.39,36.75,38.22,8443400.0
2008-02-13,33.38,39.52,39.82,38.57,38.83,5208400.0
2008-02-14,32.57,38.56,40.41,38.48,39.21,3624200.0
2008-02-15,32.85,38.79,39.14,37.86,38.55,2709000.0
2008-02-19,32.52,38.4,39.41,38.19,39.17,1762300.0
2008-02-20,33.1,39.09,39.09,37.49,38.14,2045700.0
2008-02-21,32.59,38.49,39.98,38.3,39.3,3424600.0
