,Adj Close,Close,High,Low,Open,Volume
2008-01-02,33.8,53.78,55.08,53.66,54.73,416200.0
2008-01-03,33.48,53.27,54.11,53.13,54.0,348300.0
2008-01-04,32.88,52.32,53.06,52.28,53.06,319400.0
2008-01-07,33.32,53.01,53.22,52.31,52.54,507600.0
2008-01-08,32.61,51.88,53.19,51.73,53.19,466300.0
2008-01-09,33.41,53.16,53.16,51.17,51.95,666000.0
2008-01-10,32.45,51.63,51.66,49.12,50.28,1717400.0
2008-01-11,31.82,50.63,51.14,49.08,51.14,1229200.0
2008-01-14,31.63,50.33,50.63,50.05,50.62,435100.0
2008-01-15,31.74,50.5,50.54,49.55,49.95,759400.0
2008-01-16,32.0,50.92,52.0,50.11,50.4,473000.0
2008-01-17,31.21,49.66,51.07,49.54,50.97,467100.0
2008-01-18,30.7,48.85,50.66,48.2,50.44,720800.0
2008-01-22,29.62,47.13,47.8,44.91,47.31,897800.0
2008-01-23,29.14,46.36,47.09,43.47,44.28,1649500.0
2008-01-24,29.16,46.4,46.84,45.6,46.28,795900.0
2008-01-25,29.04,46.21,46.82,45.88,46.73,589200.0
2008-01-28,29.7,47.26,47.28,45.58,45.94,441700.0
2008-01-29,29.29,46.61,47.5,46.61,47.46,743000.0
2008-01-30,29.38,46.75,47.63,46.22,46.57,662400.0
2008-01-31,29.53,46.99,47.34,46.15,46.15,860900.0
2008-02-01,29.63,47.14,47.34,46.69,46.92,661000.0
2008-02-04,30.14,47.95,48.04,46.6,47.27,504600.0
2008-02-05,29.53,46.99,47.61,46.92,47.54,618900.0
2008-02-06,29.33,46.67,47.88,46.43,47.16,566500.0
2008-02-07,29.15,46.38,47.18,45.77,46.5,754100.0
2008-02-08,28.88,45.95,46.36,45.77,46.23,510200.0
2008-02-11,29.31,46.63,46.63,45.62,45.69,526000.0
2008-02-12,29.51,46.96,47.0,46.32,46.76,460500.0
2008-02-13,29.79,47.4,47.5,46.75,47.18,393600.0
2008-02-14,29.43,46.82,47.48,46.82,47.46,486000.0
2008-02-15,29.36,46.72,46.88,46.21,46.87,281200.0
2008-02-19,29.4,46.78,47.37,46.61,47.15,281900.0
2008-02-20,28.95,46.06,46.48,45.62,46.48,786300.0
2008-02-21,28.58,45.47,46.42,45.33,46.02,791400.0
2008-02-22,28.79,45.81,45.84,45.1,45.64,535200.0
2008-02-25,29.34,46.68,46.79,45.49,45.62,519300.0
2008-02-26,29.36,46.72,46.91,46.39,46.68,385900.0
2008-02-27,29.42,46.59,46.72,46.2,46.38,369400.0
2008-02-28,28.24,44.72,46.45,44.72,46.45,477400.0
2008-02-29,27.37,43.35,44.35,43.32,44.35,761000.0
2008-03-03,27.41,43.41,43.63,43.03,43.29,599100.0
2008-03-04,26.85,42.52,43.16,42.3,43.12,630700.0
2008-03-05,27.05,42.85,43.18,42.45,42.74,704700.0
2008-03-06,26.23,41.54,42.85,41.53,42.73,434900.0
2008-03-07,25.91,41.04,41.77,40.91,41.32,500900.0
2008-03-10,25.28,40.04,41.35,39.97,40.85,859400.0
2008-03-11,24.86,39.38,40.82,38.18,40.82,1566200.0
2008-03-12,25.12,39.79,40.34,39.36,39.72,819800.0
2008-03-13,24.78,39.25,39.37,38.53,39.12,758200.0
2008-03-14,24.57,38.91,39.59,38.43,39.45,724000.0
2008-03-17,24.53,38.85,39.25,38.14,38.14,810700.0
2008-03-18,25.09,39.73,39.73,38.79,39.5,571700.0
2008-03-19,24.76,39.22,40.36,39.2,39.85,464200.0
2008-03-20,25.13,39.8,39.8,39.01,39.19,674700.0
2008-03-24,25.54,40.45,40.46,39.68,39.82,449700.0
2008-03-25,24.67,39.07,40.45,39.0,40.12,694500.0
2008-03-26,24.32,38.52,39.29,38.03,39.0,541500.0
2008-03-27,23.89,37.84,38.65,37.84,38.58,467000.0
2008-03-28,23.58,37.35,38.41,37.35,38.25,387100.0
2008-03-31,24.15,38.25,38.35,37.1,37.34,597100.0
