,Adj Close,Close,High,Low,Open,Volume
2008-01-02,38.69,52.8,54.73,52.59,54.59,12531600.0
2008-01-03,39.03,53.26,53.56,52.72,53.07,4510800.0
2008-01-04,38.49,52.52,52.96,51.81,52.75,5704300.0
2008-01-07,38.96,53.16,53.65,52.38,52.74,6839400.0
2008-01-08,37.72,51.47,53.55,51.23,53.32,6454500.0
2008-01-09,38.24,52.18,52.34,50.9,51.6,9041400.0
2008-01-10,39.21,53.51,54.07,51.64,51.69,6620200.0
2008-01-11,38.9,53.08,53.92,52.14,52.84,6366200.0
2008-01-14,39.25,53.57,53.68,52.71,53.62,3940800.0
2008-01-15,39.1,53.35,54.37,53.25,54.0,5195900.0
2008-01-16,39.61,54.06,55.11,53.48,53.48,8956200.0
2008-01-17,38.05,51.93,54.32,51.52,54.32,9473800.0
2008-01-18,37.51,51.19,52.58,48.81,52.48,16383700.0
2008-01-22,36.2,49.4,51.32,46.97,48.13,14753400.0
2008-01-23,36.11,49.28,49.57,46.76,48.13,12847300.0
2008-01-24,36.86,50.3,50.62,49.37,49.64,7061600.0
2008-01-25,35.67,48.68,51.62,48.47,50.89,6906300.0
2008-01-28,37.1,50.63,50.68,48.53,48.85,5358200.0
2008-01-29,38.14,52.04,52.08,50.54,51.11,4949200.0
2008-01-30,37.57,51.27,53.25,51.1,51.87,6936400.0
2008-01-31,38.46,52.48,53.31,50.23,50.54,8325400.0
2008-02-01,39.38,53.74,53.74,52.15,52.67,6159700.0
2008-02-04,38.83,52.99,53.74,52.64,53.55,4194800.0
2008-02-05,37.03,50.53,52.11,50.37,51.96,7685100.0
2008-02-06,36.8,50.22,51.44,49.8,51.12,7989900.0
2008-02-07,39.24,53.55,53.73,51.36,51.9,11628800.0
2008-02-08,37.7,51.44,53.37,51.19,53.37,8814800.0
2008-02-11,36.45,49.74,51.53,49.22,51.53,10595100.0
2008-02-12,37.93,51.76,52.0,50.22,50.25,8510000.0
2008-02-13,38.36,52.35,52.52,51.58,52.05,4711500.0
2008-02-14,37.84,51.63,52.66,51.5,52.26,4921500.0
2008-02-15,38.04,51.92,52.09,50.55,51.38,4806300.0
2008-02-19,38.47,52.5,53.11,51.78,52.42,4699300.0
2008-02-20,38.61,52.68,52.89,51.39,51.69,6437500.0
2008-02-21,38.63,52.72,53.72,52.67,52.83,5402800.0
2008-02-22,39.18,53.47,53.51,52.02,52.75,5310000.0
2008-02-25,39.16,53.43,53.79,52.42,53.44,8407300.0
2008-02-26,39.52,53.93,54.22,53.07,53.13,5941900.0
2008-02-27,40.13,54.77,55.2,53.38,53.49,5431700.0
2008-02-28,39.36,53.72,54.3,53.46,54.1,4540300.0
2008-02-29,38.05,51.93,53.24,51.68,53.02,7711000.0
2008-03-03,37.78,51.55,52.49,50.59,51.76,4956600.0
2008-03-04,37.59,51.29,51.55,50.37,50.87,5703100.0
2008-03-05,37.69,51.43,52.52,50.83,51.53,5236300.0
2008-03-06,37.01,50.51,51.16,50.36,51.16,6174100.0
2008-03-07,36.88,50.33,51.48,49.88,50.06,5924300.0
2008-03-10,36.84,50.27,51.0,49.91,50.47,11938600.0
2008-03-11,38.23,52.17,53.92,50.67,51.3,7876500.0
2008-03-12,37.69,51.43,52.97,51.32,52.39,5831200.0
2008-03-13,37.6,51.31,51.72,50.13,50.61,7271600.0
2008-03-14,36.9,50.35,51.79,49.99,51.43,9443200.0
2008-03-17,36.91,50.37,51.19,49.06,49.24,7743200.0
2008-03-18,38.91,53.1,53.11,50.68,51.22,8398600.0
2008-03-19,38.19,52.11,54.11,52.08,53.1,6570200.0
2008-03-20,39.32,53.65,54.14,52.09,52.1,13409600.0
2008-03-24,40.18,54.83,55.73,53.76,53.76,7171200.0
2008-03-25,40.01,54.6,55.15,53.92,54.92,5024400.0
2008-03-26,39.33,53.67,54.52,53.16,54.22,5855900.0
2008-03-27,39.4,53.76,54.78,53.41,54.35,4677000.0
2008-03-28,38.76,52.9,54.09,52.76,53.57,5364300.0
2008-03-31,39.36,53.71,54.14,52.63,53.24,5499400.0
2008-04-01,41.07,56.04,56.13,54.04,54.18,6685600.0
2008-04-02,40.61,55.42,56.32,55.28,55.87,4393800.0
2008-04-03,40.5,55.27,55.74,54.86,54.98,4956500.0
2008-04-04,40.34,55.04,55.57,54.9,55.27,4383300.0
2008-04-07,40.19,54.85,55.58,54.62,55.36,4488400.0
2008-04-08,40.5,55.27,55.83,54.57,54.57,4580400.0
2008-04-09,40.41,55.14,55.7,55.11,55.41,3751200.0
2008-04-10,40.36,55.08,55.54,54.59,55.22,3387400.0
2008-04-11,39.84,54.37,55.25,54.28,54.39,3727300.0
2008-04-14,39.53,53.95,54.45,53.74,54.24,4438800.0
2008-04-15,39.55,53.97,54.66,53.69,54.19,4334500.0
2008-04-16,40.54,55.32,55.37,54.5,54.57,4508400.0
2008-04-17,40.57,55.37,55.94,54.73,54.97,4620300.0
2008-04-18,40.27,54.96,56.68,54.57,55.95,6706300.0
2008-04-21,39.43,53.81,54.94,53.46,54.94,6504700.0
2008-04-22,38.95,53.15,53.83,52.85,53.55,4988100.0
2008-04-23,38.82,52.97,53.9,52.44,52.5,7054900.0
2008-04-24,39.32,53.65,54.06,53.08,53.16,6420500.0
2008-04-25,39.72,54.21,54.63,53.53,53.81,4877300.0
2008-04-28,40.02,54.61,55.14,53.91,54.17,5923000.0
2008-04-29,40.04,54.64,54.94,54.4,54.52,4164500.0
2008-04-30,39.74,54.23,55.14,54.1,54.63,4474600.0
2008-05-01,40.45,55.2,55.42,54.02,54.36,4348400.0
2008-05-02,40.6,55.41,56.6,55.19,55.7,4325700.0
2008-05-05,40.31,55.01,55.43,54.54,55.41,3300400.0
2008-05-06,40.73,55.58,56.04,53.77,54.47,4510300.0
2008-05-07,39.91,54.46,55.74,54.26,55.52,5404500.0
2008-05-08,39.43,53.81,54.89,53.54,54.86,3806200.0
2008-05-09,39.24,53.55,54.62,52.97,53.06,3306800.0
2008-05-12,40.53,55.3,55.32,53.64,53.8,4981500.0
2008-05-13,40.04,54.64,55.53,54.59,55.35,5441700.0
2008-05-14,40.35,55.06,56.02,54.64,55.11,3418500.0
2008-05-15,40.69,55.53,55.58,54.83,55.09,4058700.0
2008-05-16,40.34,55.05,55.67,54.96,55.57,4154800.0
2008-05-19,40.08,54.7,55.19,54.43,55.02,5035400.0
2008-05-20,39.38,53.73,54.55,53.46,54.55,4800800.0
2008-05-21,38.64,52.73,54.16,52.71,53.97,4342700.0
2008-05-22,38.93,53.13,55.49,52.75,52.85,5234000.0
2008-05-23,38.45,52.47,53.03,52.25,52.76,3102600.0
2008-05-27,38.65,52.74,52.98,52.31,52.58,3906600.0
2008-05-28,39.09,53.34,53.74,52.82,53.71,4766000.0
2008-05-29,39.56,53.98,54.13,53.07,53.24,4363700.0
2008-05-30,39.21,53.5,54.09,53.13,53.58,4197200.0
2008-06-02,38.72,52.83,53.36,52.15,53.19,4110600.0
2008-06-03,38.93,53.13,53.53,52.66,52.91,5335600.0
2008-06-04,38.58,52.65,53.53,52.36,52.91,4049700.0
