,Adj Close,Close,High,Low,Open,Volume
2008-01-02,19.67,26.98,27.37,26.27,26.5,5756500.0
2008-01-03,19.73,27.06,27.7,26.85,27.02,5565900.0
2008-01-04,19.69,27.0,27.31,26.69,26.86,4671900.0
2008-01-07,19.61,26.89,27.21,26.67,27.21,4019800.0
2008-01-08,19.2,26.33,27.2,26.19,26.89,3814100.0
2008-01-09,19.32,26.5,26.57,25.68,26.4,4999200.0
2008-01-10,19.39,26.6,26.97,26.02,26.44,5337700.0
2008-01-11,19.24,26.39,27.0,26.05,26.41,4540800.0
2008-01-14,19.28,26.44,26.65,26.17,26.65,2572600.0
2008-01-15,18.86,25.87,26.25,25.65,26.15,4759100.0
2008-01-16,19.28,26.45,26.97,25.85,25.85,3866200.0
2008-01-17,19.89,27.28,29.56,26.22,26.58,10058400.0
2008-01-18,19.81,27.17,27.9,26.61,27.46,5519100.0
2008-01-22,19.55,26.81,27.42,25.89,25.89,6182400.0
2008-01-23,20.36,27.93,27.98,24.09,26.08,5257300.0
2008-01-24,20.06,27.32,27.99,26.88,27.7,4552300.0
2008-01-25,19.92,27.12,27.98,26.5,27.24,6108000.0
2008-01-28,20.33,27.69,27.69,26.86,27.1,3316800.0
2008-01-29,20.09,27.36,27.96,27.29,27.82,3334500.0
2008-01-30,19.95,27.17,28.71,26.85,27.5,11895800.0
2008-01-31,20.23,27.55,27.87,26.53,26.82,7734200.0
2008-02-01,20.53,27.95,28.01,27.25,27.56,4501200.0
2008-02-04,20.19,27.49,27.96,27.44,27.96,3392700.0
2008-02-05,19.92,27.13,27.44,27.0,27.06,3607800.0
2008-02-06,19.72,26.85,27.42,26.28,26.28,2578100.0
2008-02-07,19.6,26.69,27.14,26.33,26.61,3705300.0
2008-02-08,19.26,26.23,26.6,26.1,26.5,3651800.0
2008-02-11,18.58,25.3,26.27,25.24,26.06,5679400.0
2008-02-12,19.09,25.99,26.5,24.95,24.96,7086900.0
2008-02-13,19.01,25.88,26.14,25.69,26.14,3347400.0
2008-02-14,18.82,25.63,26.08,25.5,25.84,3531600.0
2008-02-15,19.0,25.87,26.02,25.45,25.53,3448900.0
2008-02-19,18.77,25.56,26.25,25.35,26.12,2826400.0
2008-02-20,18.9,25.74,25.8,25.3,25.38,2912100.0
2008-02-21,18.89,25.72,26.02,25.68,25.74,3272200.0
2008-02-22,19.12,26.03,26.09,25.62,25.76,3456200.0
2008-02-25,19.33,26.32,26.4,25.73,26.03,2981300.0
2008-02-26,19.37,26.38,26.52,26.12,26.3,2379300.0
2008-02-27,19.47,26.51,26.75,26.01,26.15,2058400.0
2008-02-28,19.34,26.33,26.63,26.18,26.37,2544200.0
2008-02-29,18.7,25.47,26.15,25.4,26.04,4157300.0
2008-03-03,18.53,25.23,25.49,24.98,25.43,3832300.0
2008-03-04,18.71,25.48,25.59,25.02,25.03,3605200.0
2008-03-05,18.68,25.44,25.85,25.09,25.53,3055100.0
2008-03-06,18.29,24.9,25.4,24.87,25.27,2488200.0
2008-03-07,18.43,25.1,25.45,24.65,25.38,3226000.0
2008-03-10,18.11,24.66,25.28,24.59,25.07,2660400.0
2008-03-11,18.49,25.18,25.54,24.57,25.17,4504600.0
2008-03-12,18.73,25.5,25.97,25.12,25.3,5148600.0
2008-03-13,18.73,25.51,25.73,24.85,25.05,3553800.0
2008-03-14,18.15,24.71,25.59,24.53,25.55,4945700.0
2008-03-17,17.68,24.07,24.4,23.79,24.09,4899600.0
2008-03-18,18.56,25.27,25.31,23.94,24.49,4030600.0
2008-03-19,18.25,24.85,25.85,24.81,25.57,3368500.0
2008-03-20,18.65,25.4,25.48,24.86,24.88,4317800.0
2008-03-24,18.98,25.84,26.04,25.4,25.46,2729300.0
2008-03-25,19.03,25.92,26.11,25.48,25.78,2020000.0
2008-03-26,18.44,25.11,25.99,25.0,25.79,2986700.0
2008-03-27,17.84,24.29,25.39,24.27,25.23,3788400.0
2008-03-28,17.67,24.06,24.6,23.99,24.4,2865400.0
