,Adj Close,Close,High,Low,Open,Volume
2008-01-02,12.39,74.93,76.0,74.67,75.5,8757300.0
2008-01-03,12.47,75.39,75.98,74.93,75.08,10013800.0
2008-01-04,12.39,74.9,75.95,74.81,75.26,11110400.0
2008-01-07,12.77,77.23,77.4,75.22,75.22,16011400.0
2008-01-08,12.95,78.32,79.43,77.9,78.12,17342200.0
2008-01-09,13.1,79.21,79.56,78.54,79.36,16521700.0
2008-01-10,13.03,78.82,79.2,78.15,78.86,12825800.0
2008-01-11,13.07,79.02,79.59,78.35,78.35,10649000.0
2008-01-14,13.01,78.69,79.15,78.01,78.97,10363600.0
2008-01-15,12.98,78.46,79.0,78.02,78.37,10264100.0
2008-01-16,12.88,77.91,78.67,77.51,78.1,13961900.0
2008-01-17,12.7,76.8,79.14,76.74,79.0,23839000.0
2008-01-18,12.47,75.42,77.98,74.67,77.42,21979800.0
2008-01-22,12.14,73.38,74.57,71.28,72.0,22672800.0
2008-01-23,12.05,72.85,74.05,70.88,72.05,24435700.0
2008-01-24,12.39,74.89,75.32,72.5,73.27,13482500.0
2008-01-25,12.23,73.95,75.49,73.47,75.16,14953600.0
2008-01-28,12.4,75.01,75.04,73.65,74.19,8869900.0
2008-01-29,12.59,76.12,76.49,74.0,75.73,16818000.0
2008-01-30,12.65,76.5,77.89,75.63,75.86,20832800.0
2008-01-31,12.53,75.79,76.87,75.45,76.08,14890000.0
2008-02-01,12.48,75.44,76.31,74.48,75.99,11076300.0
2008-02-04,12.41,75.07,75.92,74.89,75.4,6238700.0
2008-02-05,12.09,73.13,75.22,73.05,74.59,12003700.0
2008-02-06,12.03,72.76,74.05,72.61,73.49,8761900.0
2008-02-07,12.25,74.1,74.35,72.2,72.51,15359900.0
2008-02-08,12.09,73.09,74.0,73.01,73.85,8907400.0
2008-02-11,11.98,72.42,73.36,71.89,72.71,11798900.0
2008-02-12,11.98,72.43,72.77,71.98,72.72,10715800.0
2008-02-13,12.05,72.85,72.97,72.37,72.84,10185600.0
2008-02-14,12.02,72.69,73.08,72.45,73.0,9320600.0
2008-02-15,11.99,72.53,73.45,72.42,72.55,29659800.0
2008-02-19,12.06,72.93,73.72,72.46,72.51,11310800.0
2008-02-20,12.06,72.94,73.21,72.09,72.44,8555900.0
