,Adj Close,Close,High,Low,Open,Volume
2008-01-02,28.29,36.63,36.95,36.39,36.39,9545100.0
2008-01-03,28.51,36.91,37.71,36.39,36.82,8039700.0
2008-01-04,27.45,35.53,36.6,35.46,36.6,10010500.0
2008-01-07,27.16,35.16,35.95,34.81,35.48,12575600.0
2008-01-08,26.99,34.94,36.14,34.82,35.74,14288100.0
2008-01-09,26.37,34.14,34.68,33.52,34.3,14044400.0
2008-01-10,25.79,33.39,34.0,32.49,33.71,12597300.0
2008-01-11,25.11,32.51,33.3,32.43,33.01,9816200.0
2008-01-14,25.29,32.74,32.98,32.07,32.83,9650600.0
2008-01-15,24.04,31.12,32.4,31.08,32.4,10225600.0
2008-01-16,23.25,30.09,31.57,29.85,31.04,13416400.0
2008-01-17,21.99,28.47,30.76,28.3,30.19,15795400.0
2008-01-18,21.88,28.33,29.33,27.42,28.68,17744600.0
2008-01-22,21.51,27.85,28.13,25.79,26.35,23830000.0
2008-01-23,21.76,28.17,28.17,25.84,27.03,17537800.0
2008-01-24,23.03,29.82,30.11,28.19,28.19,17924500.0
2008-01-25,22.59,29.24,30.17,29.13,30.03,15673500.0
2008-01-28,23.08,29.87,29.9,28.58,29.34,10472000.0
2008-01-29,24.02,31.1,31.48,30.43,30.43,14407500.0
2008-01-30,23.46,30.37,31.32,30.06,31.27,11665200.0
2008-01-31,21.69,28.08,29.65,27.82,29.65,22055900.0
2008-02-01,22.62,29.28,29.32,28.17,28.82,20279200.0
2008-02-04,22.55,29.19,29.7,28.83,29.37,11480800.0
2008-02-05,21.65,28.02,28.68,27.86,28.68,13520500.0
2008-02-06,21.14,27.37,28.46,27.23,28.46,12174800.0
2008-02-07,21.32,27.61,27.87,26.97,27.27,14721200.0
2008-02-08,22.75,29.46,29.67,27.92,28.19,19207000.0
2008-02-11,22.67,29.35,29.62,28.72,29.53,16633000.0
2008-02-12,22.74,29.44,30.25,29.11,29.47,12357900.0
2008-02-13,23.32,30.19,30.28,29.6,29.6,10151000.0
2008-02-14,23.37,30.25,30.93,30.2,30.42,11013500.0
2008-02-15,23.54,30.33,30.4,29.63,30.21,11363100.0
2008-02-19,24.32,31.33,31.7,30.79,31.17,14113800.0
2008-02-20,24.43,31.47,31.6,30.74,31.33,11151800.0
2008-02-21,23.52,30.3,31.58,30.12,31.38,9884800.0
2008-02-22,23.87,30.75,30.77,29.83,30.48,8277600.0
2008-02-25,24.27,31.27,31.48,30.46,30.75,7434800.0
