,Adj Close,Close,High,Low,Open,Volume
2008-01-02,26.69,35.22,35.96,35.0,35.79,63004200.0
2008-01-03,26.8,35.37,35.65,34.86,35.22,49599600.0
2008-01-04,26.05,34.38,35.2,34.09,35.19,72090800.0
2008-01-07,26.22,34.61,34.8,34.25,34.55,80164300.0
2008-01-08,25.35,33.45,34.71,33.4,34.71,79148300.0
2008-01-09,26.1,34.44,34.54,33.35,33.36,74305500.0
2008-01-10,26.01,34.33,34.5,33.78,34.35,72446000.0
2008-01-11,25.69,33.91,34.24,33.72,34.14,55187900.0
2008-01-14,26.06,34.39,34.57,34.08,34.46,52792200.0
2008-01-15,25.76,34.0,34.38,34.0,34.03,61606200.0
2008-01-16,25.18,33.23,33.65,32.51,33.42,120778500.0
2008-01-17,25.09,33.11,33.8,32.97,33.54,94247800.0
2008-01-18,25.01,33.01,34.0,32.97,33.16,117062000.0
2008-01-22,24.22,31.96,32.53,31.5,31.54,108521400.0
2008-01-23,24.19,31.93,32.05,31.04,31.48,137597400.0
2008-01-24,25.19,33.25,33.36,32.12,32.35,155640400.0
2008-01-25,24.96,32.94,35.0,32.87,34.9,196992300.0
2008-01-28,24.79,32.72,33.1,32.42,33.02,81019000.0
2008-01-29,24.7,32.6,32.89,32.35,32.85,68023000.0
2008-01-30,24.4,32.2,32.8,32.05,32.56,106432600.0
2008-01-31,24.7,32.6,32.74,31.72,31.91,103642200.0
2008-02-01,23.07,30.45,33.25,30.25,31.06,291138900.0
2008-02-04,22.87,30.19,30.72,30.11,30.49,119998600.0
2008-02-05,22.03,29.07,29.94,28.89,29.91,137534100.0
2008-02-06,21.61,28.52,29.35,28.29,29.28,138315600.0
2008-02-07,21.31,28.12,28.78,27.9,28.34,164964900.0
2008-02-08,21.64,28.56,29.08,28.24,28.29,124872000.0
2008-02-11,21.37,28.21,28.61,27.91,28.52,156814100.0
2008-02-12,21.47,28.34,28.62,28.11,28.43,84365900.0
2008-02-13,21.94,28.96,29.05,28.53,28.62,88986200.0
2008-02-14,21.59,28.5,29.04,28.46,28.88,69113500.0
2008-02-15,21.53,28.42,28.64,28.25,28.31,68166100.0
2008-02-19,21.43,28.17,28.84,28.07,28.8,68261200.0
2008-02-20,21.47,28.22,28.26,27.92,28.15,93056200.0
2008-02-21,21.37,28.1,28.96,27.96,28.62,98776500.0
2008-02-22,21.05,27.68,28.39,27.2,28.24,125705400.0
2008-02-25,21.18,27.84,28.24,27.48,27.65,109974300.0
2008-02-26,21.59,28.38,28.86,27.67,27.74,108923500.0
2008-02-27,21.5,28.26,28.68,28.1,28.19,75199500.0
2008-02-28,21.24,27.93,28.27,27.8,28.02,83002900.0
2008-02-29,20.69,27.2,27.83,27.02,27.69,117411400.0
