,Adj Close,Close,High,Low,Open,Volume
2008-01-02,16.85,26.02,26.83,25.72,26.46,2912600.0
2008-01-03,16.84,26.0,26.15,25.6,25.95,3236700.0
2008-01-04,15.9,24.55,26.8,23.95,25.75,6984000.0
2008-01-07,15.9,24.55,24.74,24.35,24.55,3871700.0
2008-01-08,15.75,24.32,25.5,24.27,24.52,4482000.0
2008-01-09,15.56,24.02,24.45,23.14,24.15,4406700.0
2008-01-10,15.15,23.4,24.04,23.37,23.75,2997500.0
2008-01-11,15.28,23.59,25.25,22.69,23.33,4655100.0
2008-01-14,15.5,23.94,24.0,23.54,23.91,1921300.0
2008-01-15,14.79,22.84,23.68,22.3,23.64,3600300.0
2008-01-16,15.3,23.63,24.29,22.2,22.34,2972900.0
2008-01-17,13.47,20.8,22.55,20.28,22.37,17550000.0
2008-01-18,12.52,19.33,20.6,18.96,20.54,16387400.0
2008-01-22,11.7,18.07,18.65,17.3,17.78,14634600.0
2008-01-23,12.38,19.12,19.3,17.5,17.67,11654900.0
2008-01-24,12.4,19.14,19.9,18.7,19.6,9037400.0
2008-01-25,12.48,19.27,19.9,19.15,19.6,8832600.0
2008-01-28,12.05,18.6,19.25,18.15,19.15,7221600.0
2008-01-29,11.87,18.33,19.23,17.97,18.99,7875400.0
2008-01-30,12.1,18.69,18.95,18.11,18.28,4914700.0
2008-01-31,12.73,19.66,19.75,18.3,18.33,3145300.0
2008-02-01,11.09,17.13,17.6,16.54,17.53,22536800.0
2008-02-04,11.52,17.79,17.98,16.85,16.9,9151500.0
2008-02-05,11.75,18.15,18.33,17.45,17.58,6281500.0
2008-02-06,11.94,18.43,18.83,18.05,18.12,7449900.0
2008-02-07,11.79,18.2,18.44,17.82,18.12,6693700.0
2008-02-08,11.99,18.52,19.01,18.05,18.1,4953400.0
2008-02-11,11.89,18.36,18.55,18.22,18.53,3438300.0
2008-02-12,12.05,18.41,18.55,18.15,18.15,2662900.0
2008-02-13,12.22,18.67,18.85,18.42,18.42,3712900.0
2008-02-14,12.2,18.65,18.82,18.6,18.69,1085300.0
2008-02-15,12.43,19.0,19.0,18.48,18.63,1432700.0
2008-02-19,12.15,18.57,19.23,18.5,18.84,1256500.0
2008-02-20,11.88,18.15,18.6,17.75,18.6,2697400.0
2008-02-21,11.95,18.26,18.65,18.02,18.29,901900.0
2008-02-22,12.01,18.35,18.4,17.96,18.26,857900.0
2008-02-25,12.26,18.73,18.85,18.3,18.3,1505100.0
2008-02-26,12.35,18.87,19.15,18.59,18.66,1709100.0
2008-02-27,12.39,18.94,18.98,18.6,18.79,1760000.0
2008-02-28,12.18,18.62,18.8,18.3,18.68,1570200.0
2008-02-29,11.95,18.27,18.59,17.97,18.53,1478700.0
2008-03-03,12.01,18.36,18.49,18.19,18.38,1453100.0
2008-03-04,11.85,18.11,18.33,17.83,18.31,2736700.0
2008-03-05,12.17,18.6,18.71,18.05,18.14,1299600.0
2008-03-06,12.18,18.61,18.8,18.5,18.6,1581300.0
2008-03-07,11.97,18.3,18.83,18.19,18.7,1280600.0
2008-03-10,11.82,18.07,18.58,17.9,18.3,1344500.0
2008-03-11,11.78,18.0,18.22,17.71,18.14,2400100.0
2008-03-12,11.75,17.95,18.17,17.85,18.0,2372700.0
2008-03-13,11.77,17.99,18.2,17.75,17.97,1423200.0
2008-03-14,11.64,17.79,18.07,17.58,18.07,1023300.0
2008-03-17,11.29,17.25,17.73,17.05,17.7,1796200.0
2008-03-18,11.32,17.3,17.55,17.08,17.3,952300.0
2008-03-19,11.42,17.46,17.7,17.3,17.35,2937700.0
2008-03-20,11.78,18.0,18.2,17.35,17.35,1319200.0
2008-03-24,11.98,18.31,18.94,18.05,18.08,2080300.0
2008-03-25,13.28,20.3,20.65,18.2,18.27,4098200.0
2008-03-26,13.09,20.0,20.3,19.8,20.03,2021900.0
2008-03-27,12.74,19.47,20.59,19.45,19.97,3345900.0
2008-03-28,13.26,20.27,21.0,19.72,19.72,3433800.0
2008-03-31,13.34,20.39,20.5,20.02,20.27,2120500.0
2008-04-01,13.25,20.25,20.74,20.1,20.57,3670500.0
2008-04-02,13.08,19.99,20.75,19.8,20.27,2164300.0
2008-04-03,13.07,19.97,20.15,19.71,19.8,1786900.0
2008-04-04,13.35,20.4,20.7,19.76,19.97,1133500.0
2008-04-07,13.17,20.12,20.7,20.1,20.38,1274800.0
2008-04-08,12.77,19.52,20.14,19.29,20.1,1035100.0
2008-04-09,12.56,19.19,19.59,18.9,19.59,995800.0
2008-04-10,13.05,19.94,19.94,19.2,19.3,996100.0
2008-04-11,13.05,19.94,20.04,19.35,19.85,530300.0
2008-04-14,12.92,19.75,20.22,19.55,19.96,714300.0
2008-04-15,12.75,19.48,19.8,18.87,19.66,1843200.0
2008-04-16,13.03,19.92,20.0,19.71,19.78,1999800.0
2008-04-17,13.28,20.3,20.3,19.83,19.94,424100.0
2008-04-18,13.27,20.28,20.9,20.2,20.45,1636500.0
2008-04-21,12.92,19.75,20.31,19.68,20.29,1160400.0
2008-04-22,12.55,19.18,19.68,19.08,19.65,1137600.0
2008-04-23,12.96,19.8,19.8,19.1,19.19,1313600.0
2008-04-24,13.25,20.25,20.3,19.35,19.71,1433600.0
2008-04-25,13.41,20.5,20.9,19.2,20.25,2311200.0
2008-04-28,13.74,21.0,21.15,20.3,20.5,1482000.0
2008-04-29,14.12,21.58,21.8,20.82,20.82,1905500.0
2008-04-30,13.76,21.03,21.68,20.9,21.56,1137600.0
2008-05-01,14.0,21.39,21.64,20.75,21.17,3905600.0
2008-05-02,13.74,21.0,21.1,20.1,21.0,4066000.0
2008-05-05,13.26,20.26,21.13,20.1,20.94,1270800.0
2008-05-06,13.17,20.12,20.7,20.11,20.3,1025200.0
2008-05-07,13.13,20.07,20.18,19.82,20.14,3112100.0
2008-05-08,13.37,20.44,20.45,19.9,20.06,1540600.0
2008-05-09,13.57,20.74,20.78,20.2,20.42,689200.0
2008-05-12,14.03,21.24,21.25,20.64,20.72,1295200.0
