,Adj Close,Close,High,Low,Open,Volume
2008-01-02,34.62,39.9,40.12,39.39,40.03,3333000.0
2008-01-03,34.84,40.16,40.34,39.97,40.08,3850400.0
2008-01-04,34.19,39.42,40.03,39.4,39.91,2777000.0
2008-01-07,34.28,39.51,39.72,38.92,39.54,3614800.0
2008-01-08,33.66,38.81,40.14,38.67,39.85,3670200.0
2008-01-09,34.35,39.6,39.76,38.76,38.85,3412000.0
2008-01-10,34.22,39.45,39.72,38.76,39.31,2578600.0
2008-01-11,34.55,39.83,40.44,38.99,39.01,3046200.0
2008-01-14,35.25,40.63,40.79,40.15,40.26,2893000.0
2008-01-15,34.47,39.73,40.64,39.71,40.31,3234000.0
2008-01-16,33.08,38.13,40.01,38.06,39.63,3546000.0
2008-01-17,31.51,36.33,38.78,36.26,38.19,3234200.0
2008-01-18,31.38,36.17,38.17,35.56,36.58,4422200.0
2008-01-22,30.45,35.1,35.99,32.49,33.6,4068600.0
2008-01-23,30.01,34.59,34.67,32.68,34.13,4153400.0
2008-01-24,30.73,35.42,35.74,34.69,34.75,3102000.0
2008-01-25,30.11,34.71,36.34,34.58,36.03,2657000.0
2008-01-28,30.8,35.5,35.7,34.15,34.88,2477200.0
2008-01-29,31.25,36.03,36.13,35.38,35.73,2528200.0
2008-01-30,31.36,36.15,37.07,35.8,35.8,2628400.0
2008-01-31,31.53,36.29,36.54,35.03,35.32,3128400.0
2008-02-01,31.94,36.76,36.87,36.06,36.53,2368800.0
2008-02-04,32.66,37.58,37.69,36.44,36.83,2497200.0
2008-02-05,31.05,35.74,37.1,35.74,36.95,2645400.0
2008-02-06,30.54,35.15,36.3,35.03,36.3,2413400.0
2008-02-07,30.65,35.28,35.5,34.81,35.03,2821200.0
2008-02-08,31.59,36.35,36.54,35.13,35.13,2380600.0
2008-02-11,32.51,37.42,37.44,36.34,36.5,2172800.0
2008-02-12,32.4,37.29,38.16,36.91,37.38,2415600.0
2008-02-13,33.34,38.37,38.37,37.37,37.37,2055600.0
2008-02-14,33.22,38.22,38.77,38.22,38.45,1931000.0
2008-02-15,32.72,37.65,38.26,37.17,38.24,1977800.0
2008-02-19,33.6,38.67,39.08,38.12,38.17,2245600.0
2008-02-20,34.45,39.65,39.74,38.25,38.25,2597000.0
2008-02-21,33.65,38.72,39.82,38.67,39.82,2433600.0
2008-02-22,34.23,39.39,39.47,38.53,39.1,2069000.0
2008-02-25,35.18,40.49,40.49,39.49,39.58,2573200.0
2008-02-26,35.15,40.46,40.83,39.49,40.01,2661000.0
2008-02-27,35.23,40.54,41.15,40.07,40.5,3013600.0
2008-02-28,35.34,40.67,41.41,40.38,40.97,3135600.0
2008-02-29,33.63,38.7,40.51,38.56,40.51,3439400.0
2008-03-03,35.14,40.44,40.55,38.72,38.72,4847000.0
2008-03-04,34.46,39.66,40.4,39.03,40.26,4048000.0
2008-03-05,35.07,40.36,40.64,39.69,39.99,3402200.0
2008-03-06,34.08,39.22,40.32,39.22,40.06,3131800.0
2008-03-07,33.27,38.28,39.27,37.83,38.92,3713600.0
2008-03-10,32.55,37.46,38.35,37.26,38.24,3848800.0
2008-03-11,33.93,39.05,39.1,37.34,38.15,3818000.0
2008-03-12,33.73,38.81,39.45,38.69,39.06,1744000.0
2008-03-13,33.9,39.01,39.31,37.83,38.03,4501400.0
