,Adj Close,Close,High,Low,Open,Volume
2008-01-02,4.52,7.42,7.55,7.35,7.36,5241100.0
2008-01-03,4.52,7.42,7.5,7.4,7.43,3551200.0
2008-01-04,4.46,7.32,7.44,7.32,7.41,3603400.0
2008-01-07,4.56,7.48,7.52,7.34,7.35,5030700.0
2008-01-08,4.51,7.41,7.57,7.41,7.5,6191700.0
2008-01-09,4.58,7.52,7.52,7.35,7.43,4517600.0
2008-01-10,4.57,7.5,7.55,7.41,7.46,5881200.0
2008-01-11,4.6,7.56,7.63,7.43,7.44,4059000.0
2008-01-14,4.58,7.53,7.61,7.5,7.57,7577200.0
2008-01-15,4.5,7.38,7.53,7.37,7.5,8255200.0
2008-01-16,4.45,7.31,7.46,7.31,7.38,6770900.0
2008-01-17,4.36,7.16,7.32,7.15,7.29,6698600.0
2008-01-18,4.24,6.97,7.23,6.94,7.17,7949800.0
2008-01-22,4.19,6.88,6.91,6.59,6.78,9061400.0
2008-01-23,4.45,7.31,7.33,6.61,6.69,11332600.0
2008-01-24,4.39,7.21,7.36,7.19,7.31,9312900.0
2008-01-25,4.3,7.06,7.31,7.02,7.26,9791300.0
2008-01-28,4.35,7.14,7.23,7.05,7.1,8850200.0
2008-01-29,4.51,7.31,7.32,7.08,7.1,8365100.0
2008-01-30,4.49,7.27,7.45,7.23,7.36,6584400.0
2008-01-31,4.59,7.45,7.53,7.1,7.17,8621600.0
2008-02-01,4.64,7.52,7.56,7.38,7.45,6395300.0
2008-02-04,4.77,7.74,7.79,7.5,7.54,6211300.0
2008-02-05,4.57,7.41,7.72,7.4,7.62,5110300.0
2008-02-06,4.58,7.42,7.57,7.41,7.49,4933400.0
2008-02-07,4.53,7.35,7.44,7.29,7.42,5890600.0
2008-02-08,4.5,7.3,7.37,7.27,7.28,3788700.0
2008-02-11,4.45,7.22,7.32,7.19,7.27,4122100.0
2008-02-12,4.49,7.28,7.34,7.2,7.27,4636400.0
2008-02-13,4.48,7.26,7.37,7.23,7.32,3843700.0
2008-02-14,4.4,7.13,7.36,7.11,7.25,5377500.0
2008-02-15,4.38,7.11,7.14,7.01,7.14,4515300.0
2008-02-19,4.4,7.14,7.25,7.1,7.19,9672500.0
2008-02-20,4.43,7.18,7.22,7.06,7.13,6747500.0
2008-02-21,4.33,7.02,7.23,7.01,7.23,4274000.0
2008-02-22,4.35,7.06,7.06,6.93,7.05,5124800.0
2008-02-25,4.39,7.12,7.13,7.01,7.07,4640000.0
2008-02-26,4.43,7.18,7.2,7.07,7.08,4758600.0
2008-02-27,4.36,7.08,7.2,7.06,7.18,4060500.0
2008-02-28,4.32,7.0,7.09,6.94,7.06,3255500.0
2008-02-29,4.17,6.75,6.97,6.73,6.93,6097800.0
2008-03-03,4.25,6.88,6.88,6.72,6.75,6367300.0
2008-03-04,4.33,7.01,7.02,6.81,6.83,8044400.0
2008-03-05,4.3,6.98,7.08,6.88,7.08,6428600.0
2008-03-06,4.18,6.78,6.98,6.77,6.98,5650100.0
2008-03-07,4.19,6.79,6.83,6.68,6.73,5405800.0
2008-03-10,4.16,6.75,6.85,6.73,6.77,4675100.0
2008-03-11,4.27,6.92,6.92,6.77,6.83,5937400.0
2008-03-12,4.23,6.86,7.01,6.84,6.92,4832700.0
