,Adj Close,Close,High,Low,Open,Volume
2008-01-02,13.37,15.82,16.17,15.68,16.08,9781600.0
2008-01-03,13.25,15.68,15.94,15.6,15.82,10636000.0
2008-01-04,13.04,15.44,15.72,15.43,15.56,22335200.0
2008-01-07,13.12,15.53,15.58,15.32,15.5,20808400.0
2008-01-08,13.06,15.46,15.74,15.39,15.6,16714400.0
2008-01-09,13.09,15.49,15.51,15.28,15.51,23320400.0
2008-01-10,13.21,15.64,15.8,15.32,15.48,22925600.0
2008-01-11,12.82,15.18,15.51,15.05,15.51,22223200.0
2008-01-14,12.83,15.18,15.37,14.96,15.27,14272400.0
2008-01-15,12.05,14.27,14.97,14.25,14.97,28277600.0
2008-01-16,12.18,14.42,14.56,14.03,14.23,23447600.0
2008-01-17,11.82,13.99,14.59,13.99,14.43,17617600.0
2008-01-18,11.93,14.12,14.97,14.0,14.11,17035600.0
2008-01-22,12.1,14.32,14.5,12.88,12.99,22090800.0
2008-01-23,12.15,14.38,14.52,13.5,13.88,31090000.0
2008-01-24,12.13,14.35,14.66,14.06,14.4,21211200.0
2008-01-25,11.83,14.0,14.55,13.9,14.55,18719200.0
2008-01-28,12.1,14.32,14.43,13.92,14.01,10897600.0
2008-01-29,12.11,14.34,14.39,14.07,14.39,14388800.0
2008-01-30,12.55,14.85,14.98,14.52,14.56,22191200.0
2008-01-31,12.95,15.33,15.55,14.8,14.85,29711600.0
2008-02-01,13.2,15.63,15.63,15.12,15.41,16319600.0
2008-02-04,12.83,15.19,15.66,15.06,15.63,12340000.0
2008-02-05,12.63,14.95,15.21,14.88,14.95,14421600.0
2008-02-06,12.68,15.01,15.35,14.96,15.08,15425200.0
2008-02-07,12.83,15.19,15.26,14.89,14.9,15486400.0
2008-02-08,12.81,15.16,15.35,14.95,15.14,11468000.0
2008-02-11,12.81,15.16,15.32,15.0,15.19,10993600.0
2008-02-12,12.96,15.34,15.49,15.14,15.2,12473600.0
2008-02-13,13.21,15.64,15.69,15.2,15.47,13797600.0
2008-02-14,13.16,15.57,15.75,15.52,15.72,12611600.0
2008-02-15,13.16,15.57,15.73,15.42,15.54,10672400.0
2008-02-19,12.91,15.28,15.75,15.23,15.72,9342800.0
2008-02-20,12.93,15.3,15.38,15.11,15.19,9100800.0
2008-02-21,12.74,15.08,15.29,14.91,14.91,13146400.0
2008-02-22,12.8,15.15,15.19,14.91,15.11,13349200.0
2008-02-25,13.01,15.4,15.43,15.07,15.18,9977600.0
2008-02-26,13.23,15.65,15.75,15.35,15.35,10002800.0
2008-02-27,13.18,15.6,15.73,15.51,15.53,9118800.0
2008-02-28,13.1,15.51,15.6,15.37,15.49,8518000.0
2008-02-29,12.72,15.05,15.43,14.99,15.33,11806800.0
2008-03-03,12.69,15.02,15.13,14.84,15.06,10357200.0
2008-03-04,12.76,15.11,15.23,14.88,14.91,16664000.0
2008-03-05,12.85,15.2,15.48,15.03,15.2,11769200.0
2008-03-06,12.63,14.9,15.16,14.86,15.15,18622000.0
2008-03-07,12.35,14.56,14.93,14.42,14.75,17196800.0
2008-03-10,12.08,14.24,14.74,14.19,14.55,16182400.0
2008-03-11,12.28,14.48,14.55,14.18,14.53,14697200.0
2008-03-12,12.67,14.94,15.07,14.5,14.5,18241200.0
2008-03-13,12.94,15.26,15.34,14.5,14.71,19245600.0
2008-03-14,12.71,14.99,15.4,14.83,15.4,18881600.0
2008-03-17,12.57,14.81,15.04,14.44,14.6,18276800.0
2008-03-18,13.08,15.42,15.44,14.89,15.07,13800800.0
2008-03-19,13.11,15.46,15.73,15.45,15.7,20753600.0
2008-03-20,14.26,16.82,16.84,15.46,16.18,43300400.0
2008-03-24,14.65,17.27,17.65,16.62,16.75,29827600.0
2008-03-25,14.5,17.09,17.33,17.0,17.31,20459600.0
2008-03-26,14.05,16.57,17.1,16.52,17.04,20653600.0
2008-03-27,13.99,16.5,16.83,16.5,16.64,15341200.0
2008-03-28,13.96,16.47,16.61,16.27,16.58,21333200.0
2008-03-31,14.42,17.0,17.07,16.44,16.44,23122800.0
2008-04-01,14.75,17.39,17.48,16.82,17.15,18046800.0
2008-04-02,14.41,16.99,17.5,16.89,17.22,15547600.0
2008-04-03,14.61,17.23,17.33,16.82,16.86,12903600.0
2008-04-04,14.53,17.13,17.31,16.99,17.29,12564800.0
2008-04-07,14.17,16.71,17.24,16.7,17.22,13005600.0
2008-04-08,14.11,16.63,16.86,16.56,16.56,13129200.0
2008-04-09,14.09,16.61,16.82,16.49,16.67,12546400.0
2008-04-10,14.28,16.84,17.0,16.48,16.58,17466000.0
2008-04-11,14.14,16.67,17.0,16.65,16.67,13063600.0
2008-04-14,14.01,16.51,16.69,16.46,16.58,8822000.0
2008-04-15,13.96,16.45,16.65,16.3,16.65,9449600.0
2008-04-16,14.01,16.52,16.64,16.37,16.54,11082000.0
2008-04-17,14.32,16.89,16.93,16.5,16.5,13870400.0
2008-04-18,14.4,16.97,17.04,16.81,17.04,16032800.0
2008-04-21,14.55,17.16,17.22,16.78,16.87,14613600.0
2008-04-22,14.42,17.01,17.19,16.83,17.11,11544400.0
2008-04-23,14.33,16.9,17.24,16.84,17.1,14086000.0
2008-04-24,14.43,17.01,17.15,16.85,16.95,14331600.0
2008-04-25,14.58,17.18,17.21,16.93,17.13,12367200.0
2008-04-28,14.38,16.95,17.26,16.9,17.26,11620800.0
2008-04-29,14.47,17.06,17.13,16.88,16.95,10004400.0
2008-04-30,14.16,16.7,17.17,16.65,17.06,16749600.0
2008-05-01,14.38,16.95,17.13,16.62,16.7,12510400.0
2008-05-02,14.35,16.92,17.15,16.75,17.15,11914000.0
2008-05-05,14.2,16.75,17.12,16.64,16.78,8763600.0
2008-05-06,14.33,16.9,16.95,16.55,16.74,7838800.0
2008-05-07,14.15,16.69,17.17,16.64,16.93,10034800.0
2008-05-08,13.74,16.2,16.75,16.08,16.72,18050800.0
2008-05-09,13.75,16.22,16.33,16.05,16.33,9467200.0
2008-05-12,13.85,16.33,16.48,16.21,16.29,33614800.0
2008-05-13,13.92,16.42,16.52,16.17,16.41,15700800.0
2008-05-14,14.3,16.86,17.1,16.42,16.5,15339200.0
2008-05-15,14.42,17.0,17.11,16.83,16.97,11500400.0
2008-05-16,14.32,16.88,17.07,16.7,17.07,8302800.0
2008-05-19,14.37,16.94,17.16,16.8,16.88,9700800.0
2008-05-20,14.21,16.76,17.04,16.68,16.8,14901200.0
2008-05-21,13.81,16.28,16.84,16.22,16.78,11214400.0
2008-05-22,13.78,16.25,16.37,16.15,16.27,10782800.0
2008-05-23,13.73,16.19,16.32,16.02,16.22,8026800.0
2008-05-27,14.0,16.5,16.67,16.03,16.23,10364000.0
2008-05-28,14.29,16.84,17.02,16.65,16.65,12643200.0
2008-05-29,14.5,17.1,17.22,16.73,16.85,11737200.0
2008-05-30,14.5,17.09,17.22,16.79,17.18,10415600.0
2008-06-02,14.24,16.78,17.07,16.5,17.07,11579600.0
2008-06-03,14.2,16.74,16.93,16.58,16.88,11148400.0
2008-06-04,14.41,16.99,17.1,16.68,16.74,14140000.0
2008-06-05,14.91,17.52,17.57,16.94,17.01,19548400.0
2008-06-06,14.45,16.98,17.4,16.98,17.34,12819600.0
2008-06-09,14.59,17.15,17.22,16.81,16.97,13671200.0
2008-06-10,14.57,17.12,17.25,17.0,17.01,15384800.0
2008-06-11,14.35,16.86,17.13,16.83,17.13,18232800.0
2008-06-12,14.21,16.69,17.15,16.61,16.92,12115600.0
2008-06-13,14.68,17.25,17.43,16.77,16.77,13591600.0
2008-06-16,14.55,17.09,17.22,16.97,17.21,12796000.0
2008-06-17,14.47,17.0,17.3,16.94,17.3,13029600.0
2008-06-18,14.44,16.97,17.24,16.86,16.92,12700000.0
2008-06-19,14.43,16.96,17.12,16.75,17.01,11810000.0
2008-06-20,14.2,16.68,16.88,16.47,16.81,16980000.0
2008-06-23,14.23,16.73,16.94,16.64,16.76,12956400.0
2008-06-24,14.04,16.49,16.85,16.48,16.77,14776800.0
2008-06-25,14.04,16.49,16.88,16.45,16.56,19211600.0
2008-06-26,12.66,14.88,15.5,14.41,15.21,74110000.0
2008-06-27,12.84,15.09,15.46,14.76,14.93,30551600.0
2008-06-30,12.68,14.9,15.14,14.87,15.11,19787200.0
2008-07-01,12.55,14.75,14.91,14.41,14.9,29830400.0
2008-07-02,12.36,14.52,14.98,14.49,14.83,19503200.0
2008-07-03,12.45,14.63,14.86,14.35,14.57,9906400.0
2008-07-07,12.01,14.11,14.81,13.88,14.64,33076400.0
2008-07-08,12.41,14.58,14.59,13.91,14.1,19264000.0
