,Adj Close,Close,High,Low,Open,Volume
2008-01-02,6.6,6.6,6.75,6.5,6.67,842500.0
2008-01-03,6.39,6.39,6.69,6.33,6.62,595100.0
2008-01-04,6.35,6.35,6.47,6.16,6.3,1111700.0
2008-01-07,6.51,6.51,6.8,6.26,6.38,1008400.0
2008-01-08,6.35,6.35,6.64,6.34,6.55,849600.0
2008-01-09,6.52,6.52,6.59,6.31,6.33,863300.0
2008-01-10,7.31,7.31,7.5,6.38,6.43,2069300.0
2008-01-11,7.13,7.13,7.4,7.01,7.24,893700.0
2008-01-14,7.04,7.04,7.25,6.79,7.19,1335900.0
2008-01-15,6.83,6.83,7.04,6.82,7.0,1106900.0
2008-01-16,7.32,7.32,7.55,6.83,6.83,1594200.0
2008-01-17,7.36,7.36,7.39,7.05,7.34,1158300.0
2008-01-18,7.15,7.15,7.41,7.03,7.3,1895600.0
2008-01-22,6.89,6.89,7.35,6.7,6.85,1578500.0
2008-01-23,7.09,7.09,7.29,6.72,6.72,2020100.0
2008-01-24,7.27,7.27,7.67,7.06,7.14,1554300.0
2008-01-25,7.29,7.29,7.48,7.22,7.4,706800.0
2008-01-28,7.5,7.5,7.5,7.22,7.26,765100.0
2008-01-29,7.37,7.37,7.57,7.34,7.51,912600.0
2008-01-30,7.25,7.25,7.5,7.16,7.42,1197600.0
2008-01-31,7.13,7.13,7.24,7.01,7.12,1068700.0
2008-02-01,7.25,7.25,7.4,7.07,7.14,1031500.0
2008-02-04,7.23,7.23,7.27,7.1,7.24,706000.0
2008-02-05,6.94,6.94,7.24,6.91,7.07,1876900.0
2008-02-06,6.92,6.92,7.25,6.91,7.01,883600.0
2008-02-07,6.86,6.86,6.92,6.69,6.92,860300.0
2008-02-08,6.8,6.8,6.91,6.64,6.83,775300.0
2008-02-11,6.45,6.45,6.81,6.41,6.79,1049600.0
2008-02-12,6.5,6.5,6.65,6.37,6.48,824700.0
2008-02-13,6.63,6.63,6.64,6.43,6.56,1379800.0
2008-02-14,6.32,6.32,6.72,6.3,6.63,1415700.0
2008-02-15,6.33,6.33,6.47,6.2,6.2,1137400.0
2008-02-19,6.36,6.36,6.48,6.29,6.43,556700.0
2008-02-20,6.42,6.42,6.42,6.25,6.3,616700.0
2008-02-21,6.12,6.12,6.55,6.09,6.45,1384500.0
2008-02-22,6.27,6.27,6.33,6.06,6.11,674200.0
2008-02-25,6.46,6.46,6.57,6.26,6.26,828500.0
2008-02-26,6.72,6.72,6.76,6.4,6.4,1171900.0
2008-02-27,6.46,6.46,6.8,6.43,6.62,1178200.0
2008-02-28,7.13,7.13,7.2,6.71,7.0,2178500.0
2008-02-29,6.95,6.95,7.08,6.85,7.02,815500.0
2008-03-03,6.95,6.95,7.23,6.82,6.95,1307300.0
2008-03-04,7.09,7.09,7.15,6.83,6.86,1241800.0
2008-03-05,7.07,7.07,7.25,7.03,7.12,867800.0
2008-03-06,6.83,6.83,7.16,6.82,7.05,824400.0
2008-03-07,6.27,6.27,7.01,6.17,6.75,2288200.0
2008-03-10,6.17,6.17,6.44,6.15,6.27,1053300.0
2008-03-11,6.4,6.4,6.73,6.28,6.38,2848200.0
2008-03-12,6.24,6.24,6.5,6.22,6.41,1286900.0
2008-03-13,6.62,6.62,6.67,6.08,6.16,2057600.0
2008-03-14,6.44,6.44,6.71,6.3,6.66,1690300.0
2008-03-17,6.31,6.31,6.5,6.1,6.25,2478800.0
2008-03-18,6.78,6.78,6.79,6.4,6.52,1673100.0
2008-03-19,6.72,6.72,6.9,6.67,6.85,1848100.0
2008-03-20,6.65,6.65,6.92,6.6,6.81,2026200.0
2008-03-24,7.0,7.0,7.22,6.63,6.67,1882100.0
2008-03-25,7.05,7.05,7.23,7.0,7.01,755100.0
2008-03-26,7.0,7.0,7.08,6.84,6.98,786300.0
2008-03-27,7.07,7.07,7.31,6.96,7.02,1482500.0
2008-03-28,6.94,6.94,7.27,6.91,7.11,749200.0
2008-03-31,6.94,6.94,7.14,6.78,6.93,1153400.0
2008-04-01,6.89,6.89,7.0,6.68,6.88,2448400.0
2008-04-02,6.94,6.94,7.05,6.91,6.92,1402700.0
2008-04-03,6.99,6.99,7.13,6.86,6.86,1177400.0
2008-04-04,7.0,7.0,7.1,6.97,7.03,856300.0
2008-04-07,7.35,7.35,7.45,7.06,7.06,913800.0
2008-04-08,7.19,7.19,7.34,7.19,7.28,640900.0
2008-04-09,5.39,5.39,5.71,4.92,5.26,13667100.0
2008-04-10,5.51,5.51,6.09,5.45,5.52,5594900.0
2008-04-11,5.28,5.28,5.51,5.22,5.5,1463900.0
2008-04-14,4.94,4.94,5.3,4.69,5.25,3337200.0
2008-04-15,4.76,4.76,5.0,4.69,4.95,2227000.0
2008-04-16,4.75,4.75,4.8,4.43,4.76,3934400.0
2008-04-17,4.75,4.75,4.88,4.61,4.73,1240000.0
2008-04-18,4.89,4.89,4.89,4.68,4.83,2627600.0
2008-04-21,4.69,4.69,4.85,4.65,4.85,899900.0
2008-04-22,4.74,4.74,4.82,4.56,4.67,1581200.0
2008-04-23,4.59,4.59,4.87,4.48,4.87,1607100.0
2008-04-24,4.57,4.57,4.65,4.53,4.6,1127500.0
2008-04-25,4.61,4.61,4.67,4.44,4.6,639700.0
2008-04-28,4.63,4.63,4.73,4.55,4.61,818700.0
2008-04-29,4.78,4.78,4.81,4.64,4.71,736100.0
2008-04-30,4.82,4.82,5.05,4.61,4.76,1183900.0
2008-05-01,5.09,5.09,5.1,4.82,4.83,768900.0
2008-05-02,5.23,5.23,5.26,5.1,5.14,1635100.0
2008-05-05,5.41,5.41,5.43,5.21,5.21,831700.0
2008-05-06,5.37,5.37,5.41,5.29,5.41,1136400.0
2008-05-07,5.22,5.22,5.47,5.22,5.37,840200.0
2008-05-08,4.62,4.62,5.08,4.47,5.08,2882900.0
2008-05-09,4.74,4.74,4.82,4.45,4.55,1577100.0
2008-05-12,4.82,4.82,4.88,4.71,4.74,1056600.0
2008-05-13,4.78,4.78,4.92,4.71,4.82,780300.0
2008-05-14,4.77,4.77,5.03,4.76,4.77,998400.0
2008-05-15,4.76,4.76,4.8,4.61,4.75,1099600.0
2008-05-16,4.64,4.64,5.12,4.58,5.07,2117800.0
2008-05-19,4.56,4.56,4.72,4.46,4.63,1360600.0
2008-05-20,4.47,4.47,4.72,4.38,4.52,794600.0
2008-05-21,4.37,4.37,4.59,4.27,4.49,927800.0
2008-05-22,4.44,4.44,4.54,4.33,4.37,797000.0
2008-05-23,4.33,4.33,4.46,4.33,4.4,579600.0
2008-05-27,4.29,4.29,4.41,4.26,4.33,511400.0
2008-05-28,4.28,4.28,4.44,4.21,4.3,400400.0
2008-05-29,4.52,4.52,4.52,4.22,4.28,914900.0
2008-05-30,4.46,4.46,4.51,4.31,4.51,625100.0
2008-06-02,4.54,4.54,4.8,4.51,4.6,1028100.0
2008-06-03,4.49,4.49,4.64,4.4,4.58,2775300.0
2008-06-04,4.51,4.51,4.56,4.43,4.45,583700.0
2008-06-05,4.69,4.69,4.73,4.45,4.51,900700.0
2008-06-06,4.45,4.45,4.65,4.42,4.65,850300.0
2008-06-09,4.21,4.21,4.54,4.19,4.43,1044100.0
2008-06-10,4.2,4.2,4.28,4.12,4.17,547700.0
2008-06-11,4.04,4.04,4.24,4.03,4.18,691400.0
2008-06-12,3.92,3.92,4.18,3.92,4.08,900800.0
2008-06-13,4.01,4.01,4.05,3.96,3.97,811100.0
2008-06-16,4.15,4.15,4.16,4.0,4.0,542300.0
2008-06-17,4.07,4.07,4.18,4.02,4.15,608100.0
2008-06-18,3.82,3.82,4.07,3.75,4.04,769900.0
2008-06-19,3.73,3.73,3.83,3.55,3.76,1004700.0
2008-06-20,3.72,3.72,3.89,3.42,3.74,2353100.0
2008-06-23,3.68,3.68,3.81,3.57,3.75,544200.0
2008-06-24,3.66,3.66,3.79,3.6,3.64,1168000.0
2008-06-25,3.7,3.7,3.77,3.62,3.66,616400.0
2008-06-26,3.48,3.48,3.68,3.46,3.67,474600.0
2008-06-27,3.44,3.44,3.59,3.3,3.47,2396100.0
2008-06-30,3.35,3.35,3.52,3.34,3.45,728400.0
2008-07-01,3.34,3.34,3.47,3.3,3.32,573300.0
2008-07-02,3.26,3.26,3.4,3.15,3.33,1195300.0
2008-07-03,3.1,3.1,3.38,3.07,3.25,985700.0
2008-07-07,3.15,3.15,3.25,3.08,3.12,555300.0
2008-07-08,3.62,3.62,3.67,3.15,3.16,1145000.0
2008-07-09,3.64,3.64,3.88,3.57,3.63,898300.0
2008-07-10,3.71,3.71,3.76,3.58,3.63,543900.0
2008-07-11,3.47,3.47,3.82,3.4,3.67,1144400.0
2008-07-14,3.51,3.51,3.66,3.34,3.52,834600.0
2008-07-15,3.51,3.51,3.68,3.43,3.48,640400.0
2008-07-16,3.5,3.5,3.8,3.46,3.51,1563000.0
2008-07-17,4.02,4.02,4.07,3.5,3.57,1238500.0
2008-07-18,4.15,4.15,4.24,3.39,4.01,2165400.0
2008-07-21,4.34,4.34,4.49,3.98,4.15,1214000.0
2008-07-22,4.63,4.63,4.65,4.28,4.35,729400.0
2008-07-23,4.44,4.44,4.71,4.41,4.63,963800.0
2008-07-24,5.36,5.36,5.43,4.46,4.46,4103200.0
2008-07-25,4.91,4.91,5.36,4.86,5.36,1360000.0
2008-07-28,4.68,4.68,5.15,4.64,4.88,845200.0
2008-07-29,4.69,4.69,4.92,4.66,4.71,913200.0
2008-07-30,4.66,4.66,4.83,4.44,4.68,762700.0
2008-07-31,4.98,4.98,5.17,4.43,4.59,1629800.0
2008-08-01,5.01,5.01,5.02,4.63,4.97,890400.0
2008-08-04,4.75,4.75,5.02,4.73,5.02,913000.0
2008-08-05,5.03,5.03,5.04,4.7,4.82,608400.0
2008-08-06,5.2,5.2,5.29,4.97,5.07,1352500.0
2008-08-07,4.41,4.41,5.19,4.31,5.06,3284100.0
2008-08-08,4.79,4.79,4.79,4.43,4.43,1031200.0
2008-08-11,4.83,4.83,4.93,4.64,4.81,704400.0
2008-08-12,4.67,4.67,4.83,4.6,4.81,935600.0
2008-08-13,4.72,4.72,4.77,4.48,4.66,1101000.0
2008-08-14,5.01,5.01,5.03,4.68,4.69,1123400.0
2008-08-15,4.62,4.62,5.21,4.6,5.21,1938000.0
2008-08-18,4.43,4.43,4.81,4.41,4.61,978000.0
2008-08-19,4.27,4.27,4.45,4.11,4.39,856500.0
2008-08-20,4.12,4.12,4.34,4.09,4.28,533000.0
2008-08-21,4.02,4.02,4.21,4.0,4.1,521800.0
2008-08-22,4.33,4.33,4.34,4.03,4.03,870700.0
2008-08-25,4.06,4.06,4.31,3.98,4.31,835800.0
2008-08-26,3.93,3.93,4.1,3.87,4.06,443000.0
