,Adj Close,Close,High,Low,Open,Volume
2008-01-02,57.85,67.95,68.19,65.58,66.95,5087900.0
2008-01-03,58.96,69.26,70.19,68.2,68.3,5001000.0
2008-01-04,57.04,67.01,68.79,66.87,68.17,4920300.0
2008-01-07,55.21,64.86,67.63,63.65,67.58,5444600.0
2008-01-08,54.62,64.16,67.33,64.16,65.19,6270300.0
2008-01-09,55.91,65.68,66.38,63.49,64.08,5461100.0
2008-01-10,55.38,65.06,65.44,63.03,65.18,5972600.0
2008-01-11,53.6,62.97,65.6,62.29,64.59,5531200.0
2008-01-14,55.73,65.46,65.6,63.57,63.57,3999100.0
2008-01-15,52.44,61.61,64.67,61.61,64.67,5838100.0
2008-01-16,49.23,57.84,60.73,56.09,60.14,8525800.0
2008-01-17,46.08,54.13,59.26,52.67,59.06,9612400.0
2008-01-18,45.71,53.7,55.27,50.32,53.58,10979900.0
2008-01-22,44.61,52.41,54.48,47.35,47.41,10661100.0
2008-01-23,44.8,52.62,52.96,48.35,49.99,11402000.0
2008-01-24,49.73,58.41,58.61,53.22,53.62,11874500.0
2008-01-25,48.8,57.32,61.24,56.17,59.85,8125000.0
2008-01-28,49.96,58.69,59.34,55.45,57.32,4838000.0
2008-01-29,49.21,57.81,59.42,56.7,59.18,5650100.0
2008-01-30,48.97,57.53,59.38,56.12,57.47,6621100.0
2008-01-31,46.21,54.28,55.83,53.97,55.83,12273400.0
2008-02-01,48.12,56.53,56.82,54.24,54.67,6419400.0
2008-02-04,49.37,58.0,59.14,56.51,57.41,5179800.0
2008-02-05,47.59,55.91,57.2,55.12,56.38,6792500.0
2008-02-06,44.41,52.16,57.84,51.45,56.81,11873300.0
2008-02-07,45.06,52.93,54.09,50.32,51.9,10281200.0
2008-02-08,43.96,51.64,54.48,50.96,53.56,9124200.0
2008-02-11,46.13,54.19,54.39,50.81,51.85,5527000.0
2008-02-12,46.69,54.84,56.37,54.05,54.1,7970400.0
