,Adj Close,Close,High,Low,Open,Volume
2008-01-02,57.2,74.06,76.86,73.93,76.45,1665200.0
2008-01-03,58.75,76.06,77.13,74.2,74.21,2661000.0
2008-01-04,56.51,73.16,76.0,73.16,75.58,2268700.0
2008-01-07,56.87,73.63,74.65,72.07,73.77,1754700.0
2008-01-08,54.95,71.15,74.89,71.04,74.14,2279700.0
2008-01-09,56.37,72.99,73.28,70.41,71.44,3815200.0
2008-01-10,57.62,74.6,76.2,71.9,72.06,2984500.0
2008-01-11,57.27,74.15,75.44,72.8,73.51,1836900.0
2008-01-14,57.16,74.0,74.72,73.24,73.48,2221400.0
2008-01-15,53.9,69.78,72.7,69.52,72.7,3033200.0
2008-01-16,56.02,72.53,74.8,69.1,69.11,3919600.0
2008-01-17,55.22,71.5,74.49,71.02,73.09,3181300.0
2008-01-18,53.46,69.21,73.29,68.28,71.48,3014700.0
2008-01-22,54.06,69.99,71.45,66.13,68.05,3628500.0
2008-01-23,55.01,71.22,72.85,66.31,68.16,3388800.0
2008-01-24,54.24,70.23,71.51,69.39,71.45,3868600.0
2008-01-25,53.63,69.44,71.87,68.68,71.07,2259500.0
2008-01-28,54.47,70.53,71.03,68.68,69.68,3024700.0
2008-01-29,55.43,71.77,71.86,69.47,70.76,1787400.0
2008-01-30,55.83,72.28,74.31,70.8,71.93,2831700.0
2008-01-31,56.66,73.36,74.05,70.19,71.28,3029100.0
2008-02-01,57.0,73.8,74.67,72.2,73.88,2643600.0
2008-02-04,56.03,72.54,73.59,72.16,73.59,1209400.0
2008-02-05,53.81,69.67,72.24,69.57,70.97,1582900.0
2008-02-06,53.91,69.8,71.2,69.02,71.12,2040300.0
2008-02-07,55.78,72.22,72.88,69.16,69.68,2074800.0
2008-02-08,54.47,70.53,71.91,69.64,71.48,1703100.0
2008-02-11,54.52,70.59,71.16,69.43,70.42,1073300.0
2008-02-12,55.64,72.04,72.77,70.52,70.82,1920400.0
2008-02-13,56.37,72.98,72.99,70.85,72.75,1867600.0
2008-02-14,56.19,72.75,74.1,72.3,73.3,1787700.0
2008-02-15,56.12,72.66,72.8,71.2,72.8,1484900.0
2008-02-19,55.02,71.23,74.0,71.02,73.86,1986500.0
2008-02-20,56.41,73.03,73.27,70.5,70.72,1983500.0
2008-02-21,55.15,71.4,73.49,71.26,73.44,1417900.0
2008-02-22,54.27,70.27,71.0,67.92,71.0,2921300.0
2008-02-25,55.83,72.28,72.65,69.55,70.09,2279400.0
2008-02-26,55.3,71.6,72.68,71.03,71.76,1659800.0
2008-02-27,55.11,71.35,72.38,70.35,71.31,1384300.0
2008-02-28,53.92,69.81,71.33,69.55,70.98,1147800.0
2008-02-29,52.24,67.63,69.22,67.29,69.2,2010000.0
2008-03-03,52.88,68.47,69.3,65.71,67.64,2805400.0
2008-03-04,53.19,68.86,69.09,66.96,68.64,2485000.0
2008-03-05,53.3,69.01,70.7,68.07,69.17,2076600.0
2008-03-06,51.53,66.44,68.71,66.4,68.71,1820800.0
2008-03-07,51.89,66.91,68.19,65.04,66.24,2182700.0
2008-03-10,50.64,65.3,67.99,65.25,66.57,2111900.0
2008-03-11,54.32,70.04,70.06,66.48,67.04,2162500.0
2008-03-12,52.83,68.12,71.24,67.96,70.18,2233900.0
2008-03-13,53.36,68.8,69.43,64.8,67.61,2471900.0
2008-03-14,51.25,66.08,69.9,65.16,67.97,2432600.0
2008-03-17,50.28,64.83,67.18,62.54,65.01,3951400.0
2008-03-18,54.46,70.23,70.23,66.11,66.71,4029300.0
2008-03-19,51.46,66.36,70.93,65.91,70.01,3305200.0
2008-03-20,53.98,69.6,69.74,65.43,66.8,3050400.0
2008-03-24,53.48,68.96,71.67,68.72,69.7,1892800.0
2008-03-25,54.3,70.02,70.51,67.54,69.07,1811300.0
2008-03-26,52.49,67.68,69.78,67.6,69.74,1447900.0
2008-03-27,51.77,66.76,68.42,65.9,68.1,1950600.0
2008-03-28,50.82,65.53,67.99,65.35,67.5,1421200.0
2008-03-31,51.55,66.47,67.7,65.04,67.13,1995000.0
2008-04-01,55.21,71.19,71.22,67.16,67.16,2547800.0
2008-04-02,54.89,70.78,72.49,70.19,71.22,2049400.0
2008-04-03,55.57,71.66,72.1,69.88,70.12,1592300.0
2008-04-04,54.21,69.9,71.99,69.76,71.67,1513700.0
2008-04-07,54.5,70.27,72.0,69.86,70.53,1661500.0
2008-04-08,53.39,68.85,70.48,68.25,70.19,1658300.0
2008-04-09,51.84,66.85,69.58,66.77,68.91,2743100.0
2008-04-10,51.78,66.77,67.7,65.66,66.8,2812200.0
2008-04-11,52.13,67.22,68.69,65.6,65.6,2249200.0
2008-04-14,50.41,65.0,67.5,64.9,66.89,2454900.0
2008-04-15,52.77,68.04,68.29,65.61,67.98,4036200.0
2008-04-16,56.05,72.28,72.28,69.5,69.86,3204700.0
2008-04-17,56.73,73.15,73.61,71.26,72.53,2872900.0
2008-04-18,56.54,72.91,74.97,72.57,74.73,2367300.0
2008-04-21,57.47,74.1,74.15,72.32,72.6,2075400.0
2008-04-22,56.95,73.43,74.22,72.3,73.44,2113200.0
2008-04-23,58.23,75.08,75.43,72.78,73.43,3465600.0
2008-04-24,58.09,74.91,76.11,74.42,74.99,2528500.0
2008-04-25,59.48,76.7,76.98,75.09,75.29,1726000.0
2008-04-28,58.12,74.95,75.66,73.86,74.45,1841200.0
2008-04-29,57.85,74.6,75.58,73.88,75.2,1558500.0
2008-04-30,57.47,74.11,75.91,73.93,74.45,2043500.0
2008-05-01,59.84,77.16,77.5,73.82,75.03,1666100.0
2008-05-02,58.88,75.92,78.0,75.4,77.47,1908000.0
2008-05-05,58.99,76.07,76.51,75.04,75.5,1276800.0
2008-05-06,59.44,76.65,77.13,75.0,75.57,1428800.0
2008-05-07,57.25,73.82,77.0,73.81,76.85,1222100.0
2008-05-08,57.59,74.26,75.17,73.46,74.5,1333700.0
2008-05-09,56.57,72.95,73.96,72.55,73.06,1322900.0
2008-05-12,58.81,75.84,76.0,73.28,73.46,1003700.0
2008-05-13,58.51,75.45,76.24,75.07,75.76,1876700.0
2008-05-14,58.99,76.06,76.99,75.45,76.5,1739800.0
2008-05-15,60.16,77.58,77.58,75.54,75.8,1612800.0
2008-05-16,58.99,76.06,77.49,75.33,77.31,1630800.0
2008-05-19,58.5,75.43,77.0,75.26,76.42,1425200.0
2008-05-20,57.9,74.66,75.08,74.12,74.61,1637300.0
2008-05-21,57.05,73.57,75.44,73.46,74.99,1575400.0
2008-05-22,58.17,75.01,75.24,73.25,73.49,1796100.0
2008-05-23,57.94,74.71,75.45,74.1,75.1,2281800.0
2008-05-27,58.31,75.19,76.2,74.29,74.54,1880500.0
2008-05-28,58.41,75.32,75.75,74.35,75.69,1617400.0
2008-05-29,59.16,76.29,76.93,74.92,75.33,1417600.0
2008-05-30,58.94,76.0,76.39,75.27,75.96,1322100.0
2008-06-02,57.81,74.54,75.96,73.06,75.96,1619600.0
2008-06-03,57.42,74.04,75.42,72.96,75.15,2010500.0
2008-06-04,55.81,71.97,73.99,71.42,73.81,3017100.0
2008-06-05,57.61,74.28,74.47,71.74,71.97,1941000.0
2008-06-06,55.56,71.37,74.57,71.36,72.98,1796500.0
2008-06-09,54.52,70.04,72.27,69.2,72.12,1788900.0
2008-06-10,55.11,70.79,72.12,69.3,69.31,1533800.0
2008-06-11,53.7,68.98,71.21,68.98,70.64,1837400.0
2008-06-12,54.81,70.41,71.76,69.48,69.85,1456200.0
2008-06-13,55.2,70.91,71.31,68.92,69.75,2606800.0
2008-06-16,55.54,71.35,72.01,69.77,70.54,1857200.0
2008-06-17,54.98,70.63,72.4,70.59,71.79,1984400.0
2008-06-18,55.69,71.54,72.65,69.45,70.39,2409300.0
2008-06-19,57.46,73.81,74.01,70.57,71.79,3095400.0
2008-06-20,56.59,72.69,74.94,71.3,71.73,4270100.0
2008-06-23,55.11,70.79,73.22,70.62,73.22,2236700.0
2008-06-24,55.23,70.95,71.83,69.45,70.67,3016600.0
2008-06-25,55.16,70.86,72.67,70.53,70.97,2081500.0
2008-06-26,54.17,69.59,70.68,68.92,69.74,1812600.0
2008-06-27,53.7,68.98,71.03,68.07,69.99,2432400.0
2008-06-30,53.38,68.57,69.63,67.84,68.52,1563400.0
2008-07-01,54.67,70.23,70.26,66.99,67.97,3194800.0
2008-07-02,53.35,68.53,71.31,68.28,70.99,2313900.0
2008-07-03,52.93,67.99,69.54,67.12,69.05,1174600.0
2008-07-07,51.6,66.29,69.07,64.98,67.82,2442000.0
2008-07-08,55.22,70.94,71.04,65.68,66.43,3386500.0
2008-07-09,52.96,68.03,71.94,67.48,71.32,2687700.0
2008-07-10,54.0,69.37,70.15,67.07,68.1,2966000.0
2008-07-11,54.29,69.74,71.3,67.35,68.4,3125500.0
2008-07-14,51.72,66.44,71.5,66.31,71.45,2731100.0
2008-07-15,52.3,67.19,71.45,65.01,67.13,5287300.0
2008-07-16,59.16,76.0,76.3,70.44,70.5,6129800.0
2008-07-17,61.09,78.48,79.22,72.03,76.58,5560200.0
2008-07-18,60.82,78.13,78.31,75.96,77.82,3890600.0
2008-07-21,60.0,77.08,79.26,76.21,77.28,2638200.0
2008-07-22,62.74,80.59,80.61,75.26,77.1,4362000.0
2008-07-23,61.25,78.68,81.45,76.8,80.68,4500700.0
