,Adj Close,Close,High,Low,Open,Volume
2008-01-02,40.0,57.97,59.95,57.06,59.3,5502300.0
2008-01-03,39.23,56.85,59.07,56.51,58.27,5148300.0
2008-01-04,37.83,54.82,56.25,54.33,55.59,5842400.0
2008-01-07,37.03,53.66,55.26,51.71,55.26,6792600.0
2008-01-08,36.31,52.62,55.06,52.54,54.64,7384000.0
2008-01-09,36.19,52.44,53.46,50.72,52.84,7638000.0
2008-01-10,38.42,55.67,56.55,50.93,52.15,7409300.0
2008-01-11,37.2,53.91,55.27,53.72,55.27,5394800.0
2008-01-14,38.57,55.9,55.92,54.1,54.45,5876000.0
2008-01-15,37.01,53.64,55.3,53.36,55.3,5121000.0
2008-01-16,36.6,53.04,55.62,51.5,53.49,7672500.0
2008-01-17,34.71,50.3,54.39,50.19,53.1,7417900.0
2008-01-18,35.34,51.22,52.21,49.39,50.55,6658800.0
2008-01-22,36.01,52.18,53.0,48.07,48.07,7774400.0
2008-01-23,36.19,52.45,52.52,47.72,50.86,10596100.0
2008-01-24,38.75,56.16,56.27,53.77,53.81,7758500.0
2008-01-25,37.93,54.97,57.8,53.76,57.48,5448400.0
2008-01-28,38.12,55.24,55.52,53.43,54.94,4972100.0
2008-01-29,38.64,55.99,56.67,54.33,54.65,4348200.0
2008-01-30,39.59,57.37,58.32,55.1,55.86,5099300.0
2008-01-31,39.91,57.84,58.45,55.6,56.58,5163200.0
2008-02-01,41.11,59.58,60.32,57.84,57.93,4428900.0
2008-02-04,40.26,58.34,59.89,58.02,59.16,2506700.0
2008-02-05,38.88,56.35,57.41,55.89,57.41,4071800.0
2008-02-06,38.63,55.98,57.86,55.75,56.84,3913800.0
2008-02-07,39.28,56.93,58.44,55.43,55.75,5247200.0
2008-02-08,41.4,60.0,60.35,56.65,57.89,7944400.0
2008-02-11,41.37,59.95,60.59,58.57,60.05,4876800.0
2008-02-12,41.5,60.14,62.15,59.34,60.2,5440000.0
2008-02-13,42.34,61.36,61.96,59.73,60.2,4029100.0
2008-02-14,42.89,62.16,63.34,61.28,62.0,5457500.0
2008-02-15,42.79,62.01,62.41,60.56,62.03,3709800.0
2008-02-19,44.09,63.89,65.09,63.0,63.0,5114300.0
2008-02-20,45.54,65.99,66.41,63.03,63.45,6253100.0
2008-02-21,44.27,64.15,66.5,63.9,66.09,4782700.0
2008-02-22,45.44,65.85,65.96,63.37,64.26,4204100.0
2008-02-25,46.08,66.78,67.0,64.71,65.8,4197700.0
2008-02-26,46.86,67.91,68.38,66.11,66.58,5164200.0
2008-02-27,46.99,68.09,68.78,66.1,67.36,4629300.0
2008-02-28,46.94,68.03,68.7,67.29,67.3,6520400.0
2008-02-29,44.56,64.57,67.58,64.3,67.41,5099700.0
2008-03-03,45.58,66.05,66.15,64.0,64.78,7348100.0
2008-03-04,46.01,66.68,68.4,65.31,65.31,6357100.0
2008-03-05,47.92,69.45,69.79,67.41,67.76,5539400.0
2008-03-06,47.27,68.5,69.85,68.0,69.24,5344400.0
2008-03-07,45.99,66.64,69.0,65.68,66.71,5733900.0
2008-03-10,43.68,63.3,66.57,62.78,66.57,5972300.0
2008-03-11,46.52,67.42,67.42,64.68,64.8,5850900.0
2008-03-12,46.58,67.5,68.29,65.97,67.42,4305100.0
2008-03-13,50.01,72.47,73.14,65.61,66.44,11068200.0
2008-03-14,49.13,71.2,73.25,69.5,72.85,7874400.0
2008-03-17,48.59,70.42,72.32,68.45,69.33,5799300.0
2008-03-18,51.37,74.45,75.67,71.01,71.75,10625500.0
2008-03-19,47.13,68.3,73.98,68.09,73.36,7564100.0
2008-03-20,47.59,68.96,70.01,65.0,68.19,6844200.0
2008-03-24,49.17,71.26,72.75,69.24,69.24,4644900.0
2008-03-25,50.3,72.89,73.75,71.5,71.95,5800400.0
2008-03-26,49.66,71.45,73.37,71.3,73.03,4990700.0
2008-03-27,48.1,69.21,71.53,69.03,71.53,4502900.0
2008-03-28,48.0,69.06,70.27,68.71,69.59,3984800.0
2008-03-31,47.08,67.74,70.09,66.95,69.17,5796700.0
2008-04-01,48.18,69.32,69.49,65.89,67.66,6642800.0
2008-04-02,48.8,70.21,71.06,69.32,69.44,4854400.0
2008-04-03,48.37,69.6,71.37,69.45,69.63,6011600.0
2008-04-04,49.03,70.54,71.46,69.1,70.0,7419900.0
2008-04-07,49.54,71.28,73.31,70.33,71.1,6316000.0
2008-04-08,49.6,71.37,72.46,69.75,70.64,4336300.0
2008-04-09,48.23,69.4,71.69,68.92,71.69,3647700.0
2008-04-10,49.8,71.65,71.95,69.12,69.54,4281800.0
2008-04-11,47.71,68.64,70.75,68.24,70.23,4137300.0
2008-04-14,47.34,68.11,69.01,67.6,68.5,3420200.0
2008-04-15,47.82,68.81,70.41,67.85,68.55,5173300.0
2008-04-16,50.46,72.61,72.95,70.0,70.39,6138100.0
2008-04-17,51.32,73.84,76.48,69.05,70.86,11772500.0
2008-04-18,51.38,73.92,74.98,72.71,73.89,4806800.0
2008-04-21,51.7,74.39,75.6,73.24,73.66,3865400.0
2008-04-22,51.87,74.63,74.78,73.11,74.2,4060100.0
2008-04-23,52.29,75.24,75.9,73.69,74.77,6256200.0
2008-04-24,51.05,73.45,75.91,72.81,75.15,5155900.0
2008-04-25,52.63,75.73,75.81,73.25,74.35,4541800.0
2008-04-28,53.52,77.0,77.64,74.93,75.99,5890300.0
2008-04-29,52.18,75.08,76.58,74.58,76.29,5275200.0
2008-04-30,52.47,75.5,76.9,74.96,75.27,4231400.0
2008-05-01,51.31,73.82,75.47,71.68,75.47,4657300.0
2008-05-02,51.64,74.3,75.54,73.21,74.39,4278600.0
2008-05-05,53.41,76.85,76.91,74.39,74.99,3844200.0
2008-05-06,54.91,79.01,79.05,76.03,76.3,5335800.0
2008-05-07,54.61,78.57,80.36,78.03,79.11,5205700.0
2008-05-08,56.9,81.87,81.93,78.82,78.82,4720700.0
2008-05-09,54.5,78.41,81.5,77.0,80.91,4428300.0
2008-05-12,56.53,81.34,81.56,78.23,78.79,4118000.0
2008-05-13,56.57,81.39,81.5,80.11,81.41,3688900.0
2008-05-14,55.59,79.99,82.4,79.84,80.49,3467400.0
2008-05-15,56.6,81.44,82.23,80.24,80.63,3629500.0
2008-05-16,57.04,82.07,83.1,81.09,81.45,3923900.0
2008-05-19,56.52,81.32,83.56,80.7,82.79,4617300.0
2008-05-20,55.49,79.84,80.18,77.38,79.13,6658700.0
2008-05-21,52.83,76.01,80.53,75.64,79.46,8232400.0
2008-05-22,51.77,74.49,77.67,74.33,76.25,9685800.0
2008-05-23,50.22,72.26,73.11,71.33,72.68,22103800.0
2008-05-27,50.37,72.47,72.77,71.26,72.24,9161400.0
2008-05-28,52.13,75.0,75.0,72.5,72.8,8645200.0
2008-05-29,50.67,72.9,74.91,72.0,74.75,7828900.0
2008-05-30,51.99,74.8,75.25,73.81,73.82,6774300.0
2008-06-02,52.04,74.88,75.72,74.05,74.6,5165000.0
2008-06-03,51.74,74.45,77.08,73.39,75.49,7754200.0
2008-06-04,51.53,74.14,75.87,73.81,74.08,5267500.0
2008-06-05,55.98,80.54,81.24,76.32,77.26,12706600.0
2008-06-06,54.35,78.2,81.25,78.16,80.01,7037500.0
2008-06-09,54.83,78.89,79.86,77.5,79.27,5592000.0
2008-06-10,52.89,76.1,77.87,75.38,77.5,7294600.0
2008-06-11,51.66,74.33,76.95,74.07,76.91,6197300.0
2008-06-12,51.38,73.92,76.27,73.08,74.43,5848600.0
2008-06-13,53.56,77.06,77.4,74.7,74.7,5312300.0
2008-06-16,54.29,78.11,78.76,76.23,77.14,6173400.0
2008-06-17,53.47,76.94,79.12,76.85,78.66,4330900.0
2008-06-18,53.11,76.42,77.34,75.93,77.0,5432200.0
2008-06-19,53.73,77.31,78.18,76.21,77.13,4510100.0
2008-06-20,52.51,75.56,77.93,75.04,77.33,5703900.0
2008-06-23,53.43,76.88,77.1,75.0,76.29,4474300.0
2008-06-24,53.61,77.13,79.24,76.58,78.0,7029100.0
2008-06-25,53.64,77.18,78.29,74.87,77.57,7138300.0
2008-06-26,51.69,73.87,76.87,72.66,76.14,6864700.0
2008-06-27,52.4,74.88,75.68,72.92,73.8,6035100.0
2008-06-30,52.25,74.67,77.36,74.6,75.5,7269100.0
2008-07-01,50.54,72.23,73.89,69.34,73.89,11357400.0
2008-07-02,43.34,61.94,72.82,61.7,72.78,21643900.0
2008-07-03,43.76,62.54,64.49,60.46,62.53,9919200.0
2008-07-07,46.23,66.07,67.25,62.76,63.1,14281900.0
2008-07-08,44.19,63.16,65.96,60.5,65.96,10556400.0
2008-07-09,45.89,65.59,69.45,65.21,65.6,11095100.0
2008-07-10,46.48,66.43,67.08,63.82,66.92,7796500.0
2008-07-11,45.74,65.37,65.69,63.18,65.5,7259700.0
2008-07-14,45.01,64.33,67.3,62.76,66.84,6627700.0
2008-07-15,44.69,63.87,65.09,61.19,63.18,8856900.0
2008-07-16,47.06,67.26,67.59,61.55,64.9,9691800.0
2008-07-17,41.85,59.81,67.32,56.56,64.49,21050900.0
2008-07-18,40.97,58.55,61.77,57.94,61.16,15525700.0
2008-07-21,42.7,61.03,61.09,58.9,59.75,8146000.0
