,Adj Close,Close,High,Low,Open,Volume
2008-01-02,11.61,19.58,19.68,19.41,19.56,2403100.0
2008-01-03,11.68,19.69,19.79,19.53,19.57,1737900.0
2008-01-04,11.51,19.41,19.62,19.37,19.47,1088900.0
2008-01-07,11.44,19.3,19.48,19.15,19.43,1257700.0
2008-01-08,11.4,19.23,19.59,18.99,19.32,2146600.0
2008-01-09,12.55,21.16,21.2,19.48,19.57,4977900.0
2008-01-10,12.72,21.45,21.57,20.97,20.97,2516400.0
2008-01-11,12.49,21.06,21.42,21.01,21.24,2290700.0
2008-01-14,12.78,21.54,21.62,21.12,21.19,1359200.0
2008-01-15,12.69,21.41,21.59,21.24,21.35,1549000.0
2008-01-16,12.69,21.41,21.59,21.16,21.42,2033800.0
2008-01-17,12.35,20.83,21.54,20.79,21.45,1772600.0
2008-01-18,12.23,20.62,21.09,20.51,21.08,1891000.0
2008-01-22,12.0,20.23,20.4,19.83,19.83,1872200.0
2008-01-23,11.92,20.09,20.15,19.47,19.78,2977400.0
2008-01-24,11.9,20.07,20.23,19.65,20.22,1673300.0
2008-01-25,11.74,19.79,20.38,19.74,20.25,1462700.0
2008-01-28,11.78,19.87,19.9,19.59,19.78,1468100.0
2008-01-29,11.92,19.94,20.06,19.8,19.98,1076400.0
2008-01-30,11.91,19.92,20.39,19.75,19.8,1071600.0
2008-01-31,12.3,20.57,20.68,19.63,19.65,2388300.0
2008-02-01,12.51,20.92,21.04,20.47,20.57,1411900.0
2008-02-04,12.79,21.38,21.6,20.92,20.92,1359200.0
2008-02-05,12.36,20.67,21.06,20.6,21.04,1544000.0
2008-02-06,12.12,20.26,20.79,20.18,20.73,1273000.0
2008-02-07,12.2,20.4,20.43,20.03,20.11,1695200.0
2008-02-08,12.29,20.54,20.6,20.22,20.31,932900.0
2008-02-11,12.38,20.71,20.9,20.54,20.6,1554300.0
2008-02-12,12.27,20.51,20.79,20.42,20.64,1184900.0
2008-02-13,12.38,20.71,20.84,20.47,20.64,1090500.0
2008-02-14,12.32,20.6,20.92,20.42,20.72,855900.0
2008-02-15,12.3,20.57,20.68,20.4,20.48,706100.0
2008-02-19,12.45,20.82,21.05,20.7,20.78,856600.0
2008-02-20,12.61,21.08,21.15,20.57,20.89,796100.0
2008-02-21,12.35,20.66,21.17,20.58,21.17,1110600.0
2008-02-22,12.47,20.86,20.92,20.46,20.75,1451200.0
2008-02-25,12.8,21.4,21.47,20.91,20.96,1193300.0
2008-02-26,12.72,21.27,21.75,21.16,21.45,1952700.0
2008-02-27,12.58,21.03,21.16,20.85,21.14,1811900.0
2008-02-28,12.63,21.12,21.27,20.94,20.97,1483900.0
2008-02-29,12.19,20.39,20.94,20.23,20.94,2455200.0
2008-03-03,12.39,20.71,20.79,20.36,20.39,2156400.0
2008-03-04,12.38,20.71,20.88,20.49,20.54,2838100.0
2008-03-05,12.55,20.98,20.99,20.57,20.74,1526400.0
2008-03-06,12.4,20.74,20.97,20.63,20.82,1378800.0
2008-03-07,12.37,20.69,20.78,20.41,20.62,1203100.0
2008-03-10,12.08,20.2,20.68,20.18,20.68,1240400.0
2008-03-11,12.19,20.39,20.63,20.05,20.63,1932300.0
2008-03-12,12.5,20.89,21.01,20.37,20.39,2902700.0
2008-03-13,12.64,21.13,21.26,20.57,20.6,2148700.0
2008-03-14,12.33,20.61,21.3,20.37,21.3,1679700.0
2008-03-17,11.94,19.97,20.31,19.65,20.12,2107300.0
2008-03-18,12.23,20.45,20.66,20.07,20.26,1512500.0
2008-03-19,11.79,19.72,20.67,19.72,20.44,1471300.0
2008-03-20,11.62,19.43,19.7,19.21,19.7,3463300.0
2008-03-24,11.72,19.59,19.73,19.43,19.43,1437500.0
2008-03-25,11.79,19.72,19.87,19.59,19.59,1379700.0
2008-03-26,11.83,19.78,19.83,19.63,19.66,1207500.0
2008-03-27,11.75,19.66,20.04,19.62,19.82,1073200.0
2008-03-28,11.52,19.26,19.75,19.09,19.71,2473700.0
2008-03-31,11.68,19.54,19.55,19.19,19.26,2713600.0
2008-04-01,11.94,19.97,20.03,19.56,19.69,1616400.0
2008-04-02,11.99,20.05,20.21,19.85,19.94,1173000.0
2008-04-03,12.03,20.12,20.24,19.96,19.96,1253400.0
2008-04-04,12.05,20.14,20.79,20.05,20.12,2070100.0
2008-04-07,12.12,20.26,20.44,20.18,20.27,687600.0
2008-04-08,12.27,20.52,20.57,20.16,20.26,879000.0
2008-04-09,12.47,20.85,20.92,20.58,20.58,1622100.0
2008-04-10,12.23,20.45,20.81,20.31,20.81,1206100.0
2008-04-11,12.05,20.15,20.57,20.08,20.51,1311000.0
2008-04-14,12.31,20.59,20.71,20.1,20.1,1262300.0
2008-04-15,12.49,20.88,20.9,20.6,20.74,1085000.0
2008-04-16,12.83,21.45,21.5,20.95,20.99,1780000.0
2008-04-17,12.78,21.38,21.49,21.2,21.42,1277200.0
2008-04-18,12.82,21.44,21.73,21.34,21.73,1000300.0
2008-04-21,12.74,21.31,21.55,21.16,21.47,823000.0
2008-04-22,12.72,21.27,21.36,21.12,21.19,1057200.0
2008-04-23,12.93,21.62,21.67,21.27,21.37,966300.0
2008-04-24,12.82,21.44,21.65,21.09,21.59,1107700.0
2008-04-25,12.84,21.48,21.62,21.28,21.5,712000.0
2008-04-28,12.85,21.32,21.47,21.23,21.47,1070400.0
2008-04-29,12.7,21.07,21.3,20.97,21.27,1453500.0
2008-04-30,12.7,21.06,21.27,20.77,21.23,1390200.0
2008-05-01,12.54,20.81,21.16,20.39,20.65,2133800.0
2008-05-02,12.6,20.9,21.17,20.76,20.92,1411700.0
2008-05-05,12.91,21.41,21.46,20.8,20.9,1979600.0
2008-05-06,12.91,21.42,21.64,21.29,21.33,1055100.0
