,Adj Close,Close,High,Low,Open,Volume
2008-01-02,34.4,46.38,47.59,46.25,47.59,2135700.0
2008-01-03,34.5,46.51,46.9,46.25,46.44,1633900.0
2008-01-04,33.75,45.5,46.25,45.34,46.04,1718900.0
2008-01-07,33.82,45.59,45.85,45.07,45.69,3229700.0
2008-01-08,33.77,45.53,46.31,44.92,45.56,3601100.0
2008-01-09,34.25,46.17,46.17,45.0,45.5,3339500.0
2008-01-10,34.0,45.83,46.17,45.14,45.91,2612800.0
2008-01-11,33.38,45.0,45.76,44.28,45.33,3767800.0
2008-01-14,33.11,44.63,45.33,44.38,45.19,2586200.0
2008-01-15,32.5,43.81,44.19,43.6,44.0,3934500.0
2008-01-16,32.56,43.9,44.52,43.68,43.83,4255200.0
2008-01-17,31.97,43.1,44.2,42.97,44.12,3381200.0
2008-01-18,31.71,42.75,44.0,42.46,43.17,3168700.0
2008-01-22,31.39,42.32,43.45,41.71,41.9,4730500.0
2008-01-23,32.19,43.4,44.2,40.86,41.17,5705900.0
2008-01-24,32.64,44.0,44.28,43.05,43.65,3123300.0
2008-01-25,32.56,43.89,45.34,43.76,44.6,3139800.0
2008-01-28,33.0,44.49,44.55,43.44,44.03,3054800.0
2008-01-29,33.23,44.8,44.95,44.4,44.67,2779300.0
2008-01-30,33.09,44.61,45.49,44.45,44.7,1997000.0
2008-01-31,33.66,45.37,45.75,43.76,43.76,3749200.0
2008-02-01,34.43,46.41,46.57,45.37,45.62,2898000.0
2008-02-04,34.87,47.01,47.29,45.92,46.39,3113200.0
2008-02-05,33.46,45.11,46.28,45.11,46.28,3733200.0
2008-02-06,33.55,45.23,45.65,45.0,45.33,3555000.0
2008-02-07,33.83,45.61,45.9,44.99,45.06,2488100.0
2008-02-08,33.81,45.58,45.77,45.1,45.42,1898000.0
2008-02-11,33.72,45.46,45.63,44.45,45.58,2112300.0
2008-02-12,34.93,47.09,47.59,45.75,47.0,5471200.0
2008-02-13,35.09,47.3,47.56,46.69,46.75,3789600.0
2008-02-14,34.42,46.4,47.96,46.26,47.63,3293300.0
2008-02-15,34.55,46.58,46.7,45.8,46.38,2040000.0
2008-02-19,34.4,46.37,47.02,46.21,47.02,1775400.0
2008-02-20,34.12,46.0,46.4,45.62,46.06,2649500.0
2008-02-21,33.83,45.6,46.4,45.49,46.4,2875700.0
2008-02-22,34.4,46.37,46.37,45.22,45.6,2800200.0
2008-02-25,34.71,46.79,46.93,45.72,46.37,2617200.0
2008-02-26,34.71,46.79,47.15,46.42,46.66,2553900.0
2008-02-27,34.04,45.89,46.6,45.89,46.55,2912600.0
2008-02-28,33.65,45.36,45.92,45.28,45.65,1876400.0
2008-02-29,33.14,44.67,45.45,44.47,44.95,2723300.0
2008-03-03,33.23,44.8,45.36,44.57,44.66,2892600.0
