,Adj Close,Close,High,Low,Open,Volume
2008-01-02,19.67,22.49,22.82,22.38,22.55,42775700.0
2008-01-03,20.21,23.11,23.11,22.43,22.43,42045400.0
2008-01-04,19.27,22.03,22.88,21.79,22.77,44738600.0
2008-01-07,19.46,22.25,22.48,21.79,21.96,40045600.0
2008-01-08,18.5,21.15,22.32,21.14,22.24,43551600.0
2008-01-09,18.9,21.61,21.69,21.15,21.34,47973000.0
2008-01-10,18.96,21.68,21.8,21.07,21.46,42107400.0
2008-01-11,18.45,21.1,21.69,21.06,21.53,46251400.0
2008-01-14,19.29,22.06,22.12,21.1,21.44,48826100.0
2008-01-15,18.64,21.31,22.05,21.3,21.76,39579500.0
2008-01-16,19.17,21.92,22.33,20.85,21.03,76869400.0
2008-01-17,18.72,21.41,21.95,21.3,21.9,52783800.0
2008-01-18,18.87,21.58,21.83,21.17,21.35,51486500.0
2008-01-22,17.68,20.22,20.79,19.68,20.28,66962800.0
2008-01-23,18.03,20.61,20.68,19.52,19.58,56349500.0
2008-01-24,18.03,20.61,20.97,20.15,20.6,43764900.0
2008-01-25,17.74,20.28,21.08,20.22,21.0,42303500.0
2008-01-28,17.72,20.26,20.4,20.01,20.13,29189600.0
2008-01-29,17.55,20.07,20.28,19.69,20.23,35571800.0
2008-01-30,17.73,20.27,20.6,19.81,20.02,42369000.0
2008-01-31,17.97,20.55,20.73,19.88,19.95,52510400.0
2008-02-01,18.09,20.68,20.78,20.22,20.78,41937100.0
2008-02-04,17.67,20.2,20.68,20.15,20.68,26668700.0
2008-02-05,16.84,19.26,19.88,19.21,19.78,55269500.0
2008-02-06,17.21,19.68,20.09,19.4,19.54,50356200.0
2008-02-07,16.79,19.2,19.6,19.03,19.26,59196500.0
2008-02-08,16.78,19.19,19.39,18.94,19.16,38131800.0
2008-02-11,17.0,19.44,19.57,19.17,19.21,44115100.0
2008-02-12,16.98,19.41,19.89,19.3,19.55,36472700.0
2008-02-13,17.19,19.66,19.93,19.46,19.7,33598000.0
2008-02-14,16.7,19.09,19.72,19.0,19.65,36483300.0
2008-02-15,16.7,19.09,19.22,18.94,19.02,25070700.0
2008-02-19,16.63,19.02,19.4,18.99,19.31,34260000.0
2008-02-20,16.99,19.43,19.5,18.98,19.02,36662000.0
2008-02-21,16.52,18.89,19.6,18.81,19.49,55583400.0
2008-02-22,16.53,18.9,19.02,18.18,18.93,61623500.0
2008-02-25,16.59,18.97,19.12,18.61,18.85,56319700.0
2008-02-26,16.8,19.21,19.35,18.87,18.9,48428800.0
2008-02-27,16.78,19.19,19.45,18.81,19.12,37850700.0
2008-02-28,16.98,19.41,19.6,18.92,19.1,42274100.0
2008-02-29,16.44,18.8,19.19,18.73,19.18,43803100.0
2008-03-03,16.57,18.95,19.18,18.66,18.76,41836600.0
2008-03-04,16.13,18.44,18.98,18.2,18.82,71509100.0
2008-03-05,16.44,18.8,18.98,18.62,18.71,58178200.0
2008-03-06,16.82,19.23,19.6,19.07,19.09,69112300.0
2008-03-07,16.62,19.0,19.55,18.87,19.13,46510200.0
2008-03-10,16.86,19.28,19.5,19.08,19.17,36576100.0
2008-03-11,17.06,19.51,19.95,19.1,19.65,48217800.0
2008-03-12,17.21,19.68,20.17,19.43,19.58,48200300.0
2008-03-13,17.35,19.84,19.99,19.36,19.57,43684900.0
2008-03-14,17.07,19.52,20.05,19.27,20.01,43595500.0
2008-03-17,16.86,19.28,19.49,18.93,18.93,41039200.0
2008-03-18,17.51,20.02,20.05,19.39,19.64,38445300.0
2008-03-19,17.11,19.56,20.49,19.55,20.26,43142100.0
2008-03-20,17.56,20.08,20.17,19.56,19.86,45441300.0
2008-03-24,18.16,20.77,20.91,20.37,20.42,34487700.0
2008-03-25,18.44,21.08,21.16,20.72,21.03,43212600.0
2008-03-26,18.31,20.94,21.3,20.63,21.29,85438700.0
2008-03-27,16.99,19.43,19.7,19.25,19.45,117082800.0
