,Adj Close,Close,High,Low,Open,Volume
2008-01-02,29.61,43.25,43.68,42.68,43.15,2921000.0
2008-01-03,29.71,43.39,43.89,43.13,43.47,2368900.0
2008-01-04,29.68,43.35,43.81,43.0,43.24,3378100.0
2008-01-07,30.17,44.07,44.11,43.5,43.53,3495300.0
2008-01-08,29.99,43.8,44.7,43.8,44.15,3316800.0
2008-01-09,30.23,44.15,44.22,43.73,43.9,2636500.0
2008-01-10,30.28,44.22,44.61,43.81,43.81,1823200.0
2008-01-11,30.77,44.95,45.26,43.88,43.88,3350700.0
2008-01-14,30.35,44.33,45.68,44.15,45.21,2399300.0
2008-01-15,29.8,43.52,44.22,43.32,43.88,3335700.0
2008-01-16,29.98,43.79,44.28,43.14,43.25,3008200.0
2008-01-17,29.44,43.0,44.06,42.85,43.83,2898700.0
2008-01-18,29.19,42.64,43.56,42.49,43.37,4519800.0
2008-01-22,28.34,41.39,42.29,40.67,40.97,3623300.0
2008-01-23,29.0,42.36,42.4,39.55,39.55,4485500.0
2008-01-24,28.02,40.92,42.53,40.83,42.53,3183000.0
2008-01-25,27.49,40.15,41.23,40.01,41.23,3863300.0
2008-01-28,27.87,40.7,41.26,40.09,40.14,3529300.0
2008-01-29,27.82,40.64,41.11,40.45,40.97,2026900.0
2008-01-30,27.95,40.82,41.46,40.5,40.55,2685600.0
2008-01-31,28.07,41.0,41.32,40.39,40.4,3458800.0
2008-02-01,28.48,41.6,41.6,40.63,41.14,1673000.0
2008-02-04,28.69,41.9,42.35,41.52,41.61,1693000.0
2008-02-05,27.78,40.57,41.78,40.57,41.26,1587200.0
2008-02-06,27.77,40.56,41.22,40.45,40.72,1646900.0
2008-02-07,27.31,39.89,40.38,39.53,40.22,2348600.0
2008-02-08,27.21,39.75,40.04,39.5,39.8,1833600.0
2008-02-11,27.43,40.07,40.31,39.48,39.81,2438400.0
2008-02-12,27.47,40.12,40.52,39.81,40.15,1771400.0
2008-02-13,27.46,40.11,40.69,39.84,40.35,1683900.0
2008-02-14,27.16,39.67,40.54,39.45,40.03,1714300.0
2008-02-15,27.28,39.85,39.86,39.19,39.7,1679900.0
2008-02-19,27.19,39.71,40.14,39.46,40.0,1435100.0
2008-02-20,27.23,39.77,39.81,39.17,39.32,1535000.0
