,Adj Close,Close,High,Low,Open,Volume
2008-01-02,30.15,48.05,49.1,47.87,48.28,3115000.0
2008-01-03,30.29,48.28,48.79,48.1,48.12,2374600.0
2008-01-04,30.72,48.96,49.47,48.1,48.1,3056000.0
2008-01-07,32.0,51.0,51.0,49.16,49.16,4263600.0
2008-01-08,31.64,50.44,52.3,50.44,50.85,5142000.0
2008-01-09,32.39,51.62,51.62,50.15,50.42,3801600.0
2008-01-10,31.66,50.46,51.88,49.96,51.15,3594200.0
2008-01-11,31.32,49.92,50.6,49.74,49.9,3231800.0
2008-01-14,31.58,50.34,50.67,49.77,50.22,1636600.0
2008-01-15,31.15,49.65,50.95,49.65,49.81,3490400.0
2008-01-16,30.87,49.2,50.51,49.04,49.53,4248400.0
2008-01-17,29.82,47.53,49.51,47.44,49.44,4791000.0
2008-01-18,29.63,47.22,47.96,46.26,47.96,5852800.0
2008-01-22,28.61,45.6,46.88,42.83,44.85,5684600.0
2008-01-23,29.81,47.51,47.62,44.51,45.28,4356400.0
2008-01-24,29.06,46.32,47.51,45.64,47.51,3540400.0
2008-01-25,28.51,45.44,46.95,45.29,46.67,3608400.0
2008-01-28,28.92,46.1,46.3,45.19,45.61,2448800.0
2008-01-29,28.91,46.08,46.67,45.72,46.35,2401800.0
2008-01-30,28.95,46.15,46.75,45.47,45.97,4267600.0
2008-01-31,30.12,48.0,48.06,45.46,45.81,4203200.0
2008-02-01,30.07,47.92,48.54,47.38,48.21,3464000.0
2008-02-04,30.12,48.0,48.69,47.42,47.92,5482400.0
2008-02-05,28.68,45.71,47.9,45.49,47.34,3081200.0
2008-02-06,28.73,45.79,46.77,45.51,46.11,1923300.0
2008-02-07,28.75,45.83,46.23,45.23,45.45,2278400.0
2008-02-08,28.64,45.65,45.88,44.99,45.67,2756400.0
2008-02-11,28.54,45.48,45.75,45.04,45.73,2669400.0
2008-02-12,29.11,46.4,46.5,45.5,45.85,2402600.0
2008-02-13,29.5,47.02,47.21,46.51,46.68,3057200.0
2008-02-14,29.26,46.64,47.72,46.3,47.13,3085900.0
2008-02-15,29.39,46.84,46.95,46.1,46.64,2299100.0
2008-02-19,28.99,46.2,47.46,46.01,47.44,2173100.0
2008-02-20,29.16,46.47,46.57,45.42,46.01,2480200.0
2008-02-21,28.62,45.62,46.87,45.5,46.55,2215000.0
2008-02-22,28.84,45.97,46.3,45.26,46.11,2515600.0
2008-02-25,28.98,46.19,46.48,45.74,46.08,2662900.0
2008-02-26,29.49,47.0,47.0,45.89,46.06,2611200.0
2008-02-27,28.79,45.88,46.99,45.82,46.81,3602000.0
2008-02-28,28.69,45.72,45.9,45.28,45.47,2111100.0
2008-02-29,27.67,44.1,45.44,43.85,45.29,2711200.0
2008-03-03,27.84,44.37,44.72,43.68,44.0,3219200.0
2008-03-04,28.78,45.87,46.0,44.0,44.05,4038900.0
2008-03-05,28.83,45.95,46.09,45.25,45.87,2559700.0
2008-03-06,28.45,45.02,45.78,44.87,45.78,2984000.0
2008-03-07,28.4,44.94,45.21,44.05,44.69,3456100.0
2008-03-10,27.95,44.24,45.2,44.11,45.07,3113600.0
2008-03-11,28.83,45.62,45.91,44.63,45.15,2697100.0
2008-03-12,28.53,45.16,46.64,45.13,45.64,2704100.0
2008-03-13,28.36,44.89,45.2,43.84,44.63,3390200.0
2008-03-14,27.9,44.15,45.45,43.66,45.14,3398700.0
2008-03-17,28.1,44.47,44.77,43.03,43.03,2982500.0
2008-03-18,29.02,45.92,45.97,44.9,45.15,2896400.0
2008-03-19,28.16,44.57,47.5,44.57,45.86,2751800.0
2008-03-20,26.01,41.17,42.0,39.22,41.8,10354600.0
2008-03-24,25.57,40.47,41.5,40.11,41.42,5287800.0
2008-03-25,25.44,40.26,40.87,40.15,40.57,4500900.0
2008-03-26,24.84,39.31,40.13,39.08,40.13,5064600.0
2008-03-27,25.08,39.7,40.23,39.33,39.33,4109600.0
2008-03-28,25.03,39.61,40.4,39.56,39.91,3269100.0
2008-03-31,25.39,40.19,40.42,39.37,39.67,4201000.0
2008-04-01,26.18,41.43,41.56,40.18,40.65,3951400.0
