,Adj Close,Close,High,Low,Open,Volume
2008-01-02,14.25,22.91,23.03,22.7,22.76,45983700.0
2008-01-03,14.42,23.18,23.35,22.91,22.98,45470800.0
2008-01-04,14.2,22.83,23.2,22.74,23.18,42023200.0
2008-01-07,14.45,23.23,23.34,22.9,22.92,48116800.0
2008-01-08,14.6,23.47,23.92,23.3,23.3,51898900.0
2008-01-09,14.88,23.92,24.01,23.5,23.5,60159600.0
2008-01-10,14.98,24.08,24.21,23.61,23.98,54642700.0
2008-01-11,14.95,24.02,24.14,23.76,23.95,45206000.0
2008-01-14,14.91,23.97,24.24,23.8,24.24,35165200.0
2008-01-15,14.68,23.59,23.9,23.52,23.81,33677900.0
2008-01-16,14.56,23.4,23.81,23.35,23.47,54900400.0
2008-01-17,14.29,22.96,23.4,22.88,23.4,53311400.0
2008-01-18,14.0,22.5,23.03,22.46,22.97,54017400.0
2008-01-22,13.83,22.23,22.35,21.56,21.68,71222600.0
2008-01-23,14.22,22.86,22.9,22.02,22.44,99969400.0
2008-01-24,14.34,23.05,23.06,22.63,22.94,58728300.0
2008-01-25,14.07,22.61,23.25,22.4,23.17,60284800.0
2008-01-28,14.3,22.99,23.01,22.56,22.69,37972500.0
2008-01-29,14.42,23.18,23.25,22.93,23.14,34883800.0
2008-01-30,14.37,23.1,23.48,22.96,23.13,40964300.0
2008-01-31,14.53,23.36,23.52,22.76,23.03,52726200.0
2008-02-01,14.68,23.59,23.79,23.12,23.4,52094000.0
2008-02-04,14.7,23.63,23.78,23.5,23.55,29595600.0
2008-02-05,14.29,22.96,23.55,22.96,23.5,39340900.0
2008-02-06,14.25,22.59,23.03,22.58,22.9,42342900.0
2008-02-07,14.3,22.67,22.9,22.45,22.6,33036200.0
2008-02-08,14.07,22.3,22.67,22.18,22.65,30280000.0
2008-02-11,14.01,22.2,22.41,22.03,22.37,31223100.0
2008-02-12,14.31,22.68,22.73,22.25,22.3,43140200.0
2008-02-13,14.35,22.74,22.88,22.62,22.7,51143300.0
2008-02-14,14.17,22.45,22.84,22.31,22.73,44713300.0
2008-02-15,14.09,22.33,22.62,22.31,22.43,56372200.0
2008-02-19,14.12,22.37,22.67,22.33,22.5,34401800.0
2008-02-20,14.18,22.47,22.55,22.17,22.33,33700700.0
2008-02-21,14.13,22.4,22.67,22.31,22.67,39630100.0
2008-02-22,14.2,22.5,22.59,22.16,22.5,32657100.0
2008-02-25,14.37,22.78,22.82,22.5,22.5,38616400.0
2008-02-26,14.41,22.83,22.92,22.63,22.64,47132200.0
2008-02-27,14.36,22.75,22.88,22.6,22.79,26355700.0
2008-02-28,14.23,22.55,22.8,22.43,22.75,26693000.0
2008-02-29,14.06,22.28,22.67,22.2,22.65,47228300.0
2008-03-03,14.04,22.25,22.42,22.12,22.42,32751100.0
2008-03-04,14.03,22.24,22.28,22.05,22.15,36042600.0
2008-03-05,13.91,22.05,22.44,21.8,22.42,46774400.0
2008-03-06,13.62,21.59,22.02,21.57,21.98,34523600.0
2008-03-07,13.47,21.35,21.66,21.2,21.46,42330100.0
2008-03-10,13.35,21.15,21.42,21.14,21.37,34350200.0
2008-03-11,13.71,21.72,21.98,21.22,21.34,37230200.0
2008-03-12,13.43,21.28,21.8,21.16,21.77,41597400.0
2008-03-13,13.38,21.21,21.37,20.79,21.16,44043600.0
2008-03-14,13.02,20.64,21.32,20.5,21.32,46927800.0
2008-03-17,12.98,20.57,20.85,20.19,20.38,46566200.0
2008-03-18,13.25,21.0,21.09,20.69,20.83,47203100.0
2008-03-19,13.0,20.61,21.05,20.55,20.85,45845300.0
2008-03-20,12.99,20.59,20.7,20.48,20.7,54784100.0
2008-03-24,13.0,20.61,20.82,20.48,20.82,35726500.0
2008-03-25,13.11,20.78,20.81,20.65,20.68,44065600.0
2008-03-26,13.06,20.69,20.75,20.59,20.72,31719900.0
2008-03-27,12.97,20.56,20.89,20.55,20.76,34595400.0
2008-03-28,12.94,20.5,20.72,20.47,20.68,31202900.0
2008-03-31,13.21,20.93,20.97,20.48,20.69,52814300.0
2008-04-01,13.49,21.38,21.38,20.84,21.05,37475500.0
2008-04-02,13.57,21.51,21.6,21.18,21.22,31872600.0
2008-04-03,13.47,21.34,21.46,20.93,21.41,35939100.0
2008-04-04,13.47,21.35,21.46,21.24,21.33,29779600.0
2008-04-07,13.55,21.48,21.57,21.28,21.43,25584500.0
2008-04-08,13.25,21.0,21.42,20.9,21.35,38193300.0
2008-04-09,13.18,20.89,21.08,20.72,21.0,37392700.0
2008-04-10,13.2,20.92,21.1,20.8,20.86,36285200.0
2008-04-11,12.9,20.45,20.9,20.44,20.86,30204100.0
2008-04-14,12.97,20.56,20.63,20.45,20.54,37025100.0
2008-04-15,13.07,20.71,20.92,20.57,20.6,33428400.0
2008-04-16,13.31,21.1,21.1,20.74,20.83,38516800.0
2008-04-17,12.87,20.4,20.54,20.22,20.5,77501500.0
2008-04-18,12.92,20.47,20.61,20.3,20.59,56608800.0
2008-04-21,12.75,20.2,20.49,20.13,20.36,50296900.0
2008-04-22,12.49,19.79,20.24,19.79,20.23,66491800.0
2008-04-23,12.54,19.88,20.0,19.81,19.88,53366600.0
2008-04-24,12.65,20.04,20.16,19.88,19.95,39099500.0
2008-04-25,12.89,20.43,20.45,20.16,20.17,54993000.0
2008-04-28,12.77,20.23,20.5,20.2,20.49,56431100.0
2008-04-29,12.77,20.24,20.3,20.0,20.26,49709200.0
2008-04-30,12.69,20.11,20.34,20.02,20.3,44018900.0
2008-05-01,12.9,20.44,20.45,20.1,20.17,48479400.0
2008-05-02,13.0,20.61,20.65,20.36,20.48,48641900.0
2008-05-05,12.95,20.52,20.6,20.45,20.6,34754200.0
2008-05-06,12.88,20.42,20.58,20.26,20.52,41020400.0
2008-05-07,12.77,19.92,20.3,19.88,20.25,54534900.0
2008-05-08,12.8,19.97,20.04,19.88,19.98,46832000.0
2008-05-09,12.69,19.79,19.93,19.7,19.91,35319800.0
2008-05-12,12.76,19.91,19.97,19.78,19.85,36211000.0
