,Adj Close,Close,High,Low,Open,Volume
2008-01-02,12.84,18.48,19.12,18.41,19.03,2975100.0
2008-01-03,12.86,18.51,18.79,18.46,18.56,2803000.0
2008-01-04,13.02,18.73,19.22,18.36,18.5,4904500.0
2008-01-07,13.18,18.96,19.17,18.78,18.87,3965000.0
2008-01-08,12.67,18.23,19.25,18.18,19.03,4163400.0
2008-01-09,12.8,18.42,18.45,17.81,18.33,5143600.0
2008-01-10,13.39,19.26,19.39,18.14,18.2,6618900.0
2008-01-11,13.09,18.83,19.18,18.75,19.01,6255000.0
2008-01-14,13.02,18.74,19.24,18.48,19.02,4384800.0
2008-01-15,12.98,18.67,18.85,18.3,18.72,5344000.0
2008-01-16,12.9,18.56,19.0,18.5,18.81,8008900.0
2008-01-17,12.61,18.0,18.59,17.91,18.3,6283700.0
2008-01-18,12.44,17.76,18.31,17.42,18.19,7155500.0
2008-01-22,12.73,18.17,18.69,16.98,16.99,7020800.0
2008-01-23,13.42,19.16,19.19,17.68,17.72,6253400.0
2008-01-24,13.23,18.89,19.32,18.67,19.19,4843400.0
2008-01-25,12.85,18.34,19.27,18.33,19.16,5333600.0
2008-01-28,13.36,19.07,19.08,18.25,18.42,3585100.0
2008-01-29,13.48,19.24,19.37,18.74,19.16,3584000.0
2008-01-30,12.91,18.43,19.34,18.35,19.31,6197700.0
2008-01-31,12.99,18.55,18.79,18.03,18.03,7129900.0
2008-02-01,13.18,18.82,18.88,18.4,18.53,4064600.0
2008-02-04,12.98,18.53,18.84,18.44,18.84,2329700.0
2008-02-05,12.95,18.49,18.75,18.14,18.44,5043900.0
2008-02-06,12.99,18.54,18.8,18.46,18.58,3811500.0
2008-02-07,13.06,18.65,19.0,18.35,18.48,4009900.0
2008-02-08,12.95,18.49,18.67,18.39,18.49,4087200.0
2008-02-11,12.78,18.25,18.44,18.04,18.4,6154700.0
2008-02-12,12.89,18.4,18.58,18.25,18.41,4722000.0
2008-02-13,12.92,18.45,18.64,18.18,18.48,3663300.0
2008-02-14,12.87,18.37,18.71,18.32,18.43,4849400.0
2008-02-15,13.03,18.6,18.68,18.18,18.34,4844800.0
2008-02-19,12.92,18.44,18.83,18.4,18.78,3000300.0
2008-02-20,13.07,18.66,18.68,18.24,18.24,4499400.0
2008-02-21,12.97,18.52,18.85,18.52,18.7,4158000.0
2008-02-22,13.22,18.87,18.91,18.38,18.64,5103300.0
2008-02-25,13.51,19.29,19.34,18.71,18.84,4199900.0
2008-02-26,13.67,19.52,19.55,19.17,19.17,3999400.0
2008-02-27,13.57,19.37,19.84,19.2,19.36,4419700.0
2008-02-28,13.26,18.93,19.42,18.88,19.42,3899400.0
2008-02-29,12.84,18.33,18.81,18.24,18.66,5460700.0
2008-03-03,12.55,17.92,18.3,17.7,18.27,4874500.0
2008-03-04,12.44,17.76,17.91,17.45,17.71,7044300.0
2008-03-05,12.47,17.81,18.13,17.61,17.85,4129700.0
2008-03-06,12.15,17.35,17.77,17.32,17.69,4123100.0
2008-03-07,12.22,17.45,17.75,17.09,17.25,3806700.0
2008-03-10,12.0,17.13,17.66,17.1,17.43,4026200.0
2008-03-11,12.27,17.52,17.84,16.9,17.65,5824900.0
2008-03-12,11.21,16.0,17.01,15.91,16.95,10207600.0
2008-03-13,11.1,15.84,16.01,15.4,15.77,8533500.0
2008-03-14,10.84,15.47,16.0,15.16,15.84,9257800.0
2008-03-17,10.95,15.64,16.43,15.0,15.14,8049900.0
2008-03-18,11.43,16.32,16.32,15.77,15.97,6583000.0
2008-03-19,11.12,15.88,16.49,15.87,16.37,5988000.0
2008-03-20,11.39,16.26,16.28,15.83,15.9,7202400.0
2008-03-24,11.47,16.38,16.59,16.2,16.36,4466500.0
2008-03-25,11.52,16.44,16.57,16.07,16.34,5920100.0
2008-03-26,11.3,16.13,16.34,16.08,16.26,3697900.0
2008-03-27,11.23,16.03,16.34,16.0,16.14,5022700.0
2008-03-28,11.18,15.96,16.27,15.94,16.04,2795300.0
2008-03-31,11.26,16.07,16.28,15.83,15.99,3987200.0
2008-04-01,11.86,16.93,16.96,16.27,16.37,9291800.0
2008-04-02,11.67,16.66,17.13,16.63,17.0,6389600.0
2008-04-03,11.48,16.39,16.77,16.36,16.72,8291600.0
2008-04-04,11.44,16.33,16.53,16.11,16.39,5320100.0
2008-04-07,11.68,16.67,16.8,16.31,16.54,4815200.0
2008-04-08,11.63,16.6,16.89,16.51,16.65,7595700.0
2008-04-09,11.91,17.01,17.39,16.7,16.7,6755700.0
2008-04-10,11.91,17.01,17.1,16.65,17.0,6419500.0
2008-04-11,11.91,17.01,17.31,16.85,16.89,5452600.0
2008-04-14,11.96,17.08,17.14,16.9,16.97,4461200.0
2008-04-15,12.17,17.37,17.41,17.09,17.25,4158000.0
2008-04-16,12.52,17.87,17.9,17.42,17.58,5306200.0
2008-04-17,12.66,18.07,18.14,17.69,17.69,4687900.0
2008-04-18,12.56,17.93,18.44,17.87,18.25,4909500.0
2008-04-21,12.54,17.9,18.05,17.2,17.25,6550500.0
2008-04-22,12.59,17.97,18.01,17.77,17.79,6712400.0
2008-04-23,12.58,17.96,19.02,17.77,18.77,5878800.0
2008-04-24,12.83,18.31,18.41,17.76,17.89,5001300.0
2008-04-25,13.06,18.64,18.64,18.24,18.43,3459100.0
2008-04-28,13.16,18.79,18.85,18.53,18.6,6206400.0
2008-04-29,13.18,18.82,18.9,18.71,18.78,3310300.0
2008-04-30,12.74,18.19,18.84,18.15,18.82,5926300.0
2008-05-01,13.22,18.87,18.93,18.09,18.25,5046800.0
2008-05-02,13.14,18.76,19.14,18.63,18.99,4363800.0
2008-05-05,12.88,18.39,18.67,18.35,18.67,2766300.0
2008-05-06,12.92,18.44,18.48,18.11,18.2,4175000.0
2008-05-07,12.65,18.06,18.61,18.01,18.37,4285200.0
2008-05-08,12.54,17.91,18.2,17.81,18.2,2359500.0
2008-05-09,12.5,17.85,18.09,17.62,17.66,2906800.0
2008-05-12,12.61,18.0,18.03,17.75,17.94,3037800.0
2008-05-13,12.6,17.99,18.14,17.86,18.14,3083000.0
2008-05-14,13.05,18.63,18.77,17.57,18.39,3907000.0
2008-05-15,12.99,18.55,18.63,18.2,18.63,2918300.0
2008-05-16,13.25,18.91,18.93,18.49,18.54,4996800.0
2008-05-19,13.19,18.83,19.06,18.74,18.96,4424300.0
2008-05-20,13.54,19.33,19.4,18.87,19.16,5717900.0
2008-05-21,13.25,18.91,19.44,18.9,19.4,3816100.0
2008-05-22,13.53,19.31,19.35,18.82,19.0,2738700.0
2008-05-23,13.33,19.03,19.33,18.94,19.33,3062500.0
2008-05-27,13.54,19.33,19.47,18.89,19.08,3557100.0
2008-05-28,13.96,19.93,19.93,19.44,19.77,3743900.0
2008-05-29,14.11,20.15,20.38,19.8,19.85,4829200.0
2008-05-30,14.05,20.06,20.15,19.87,20.1,3150200.0
2008-06-02,14.3,20.42,20.62,20.1,20.44,7054300.0
