,Adj Close,Close,High,Low,Open,Volume
2008-01-02,57.23,71.28,76.03,71.2,75.12,2120300.0
2008-01-03,57.68,71.84,72.86,71.54,71.66,2001600.0
2008-01-04,56.38,70.22,72.1,70.09,71.29,2139400.0
2008-01-07,54.5,67.88,71.5,67.37,70.51,3808200.0
2008-01-08,53.0,66.01,69.97,65.94,68.09,2996100.0
2008-01-09,53.49,66.61,66.61,63.61,66.59,4069800.0
2008-01-10,52.74,65.68,66.66,63.57,64.19,3015800.0
2008-01-11,51.77,64.47,66.01,64.0,65.21,1956200.0
2008-01-14,54.04,67.3,67.54,65.12,65.12,3187700.0
2008-01-15,53.08,66.1,66.9,65.3,66.6,2502800.0
2008-01-16,52.89,65.87,67.27,64.04,65.78,3473000.0
2008-01-17,49.07,61.11,68.28,61.07,68.12,4071900.0
2008-01-18,49.59,61.76,63.98,61.26,62.56,3735300.0
2008-01-22,50.05,62.33,63.08,58.74,58.9,2876700.0
2008-01-23,50.14,62.45,62.54,58.1,60.58,3157300.0
2008-01-24,50.12,62.42,62.85,61.51,62.22,2091200.0
2008-01-25,51.41,64.03,64.54,62.62,63.75,2439900.0
2008-01-28,51.39,64.0,64.48,62.55,64.2,1443600.0
2008-01-29,52.09,64.87,65.13,63.94,64.53,1190500.0
2008-01-30,52.72,65.66,66.96,64.43,64.72,2055600.0
2008-01-31,54.29,67.61,68.0,64.22,64.9,1899600.0
2008-02-01,55.32,68.89,69.25,67.5,67.61,1619700.0
2008-02-04,54.59,67.98,69.31,67.38,69.31,1423800.0
2008-02-05,53.12,66.15,66.91,65.65,66.91,1931500.0
2008-02-06,52.75,65.7,67.18,65.6,66.61,1626300.0
2008-02-07,52.26,65.08,65.95,64.29,65.21,1563700.0
2008-02-08,52.16,64.96,65.84,64.38,64.62,1328300.0
2008-02-11,51.81,64.53,65.11,63.31,64.82,1688200.0
2008-02-12,52.32,65.16,66.02,64.54,65.06,1193200.0
2008-02-13,54.63,68.03,68.17,65.75,66.28,1947800.0
2008-02-14,53.12,66.16,68.05,65.87,67.67,1949800.0
2008-02-15,52.89,65.87,65.98,64.68,65.98,1730800.0
2008-02-19,53.29,66.16,67.85,65.83,66.81,1011900.0
2008-02-20,53.68,66.64,66.75,64.67,65.45,1220800.0
2008-02-21,52.09,64.66,67.67,64.51,66.75,1947300.0
2008-02-22,52.29,64.91,65.25,63.07,64.99,2239400.0
2008-02-25,53.05,65.86,66.17,64.55,64.83,1723200.0
2008-02-26,53.24,66.09,66.5,65.19,65.65,1213300.0
2008-02-27,54.09,67.15,67.5,65.74,65.79,2195000.0
2008-02-28,53.72,66.69,67.85,66.25,66.8,1776600.0
2008-02-29,52.06,64.63,66.22,64.36,66.02,1776300.0
2008-03-03,52.15,64.74,65.1,63.98,64.62,1215600.0
2008-03-04,51.86,64.38,64.7,63.55,64.01,1670200.0
2008-03-05,52.21,64.82,65.24,64.0,64.12,1739900.0
2008-03-06,50.59,62.8,64.62,62.76,64.37,1118400.0
2008-03-07,50.26,62.39,63.66,61.96,62.42,1974100.0
2008-03-10,48.89,60.69,62.32,60.65,62.32,2052500.0
2008-03-11,51.21,63.57,63.72,61.68,61.93,2131300.0
2008-03-12,51.06,63.39,64.44,63.27,63.83,1228500.0
2008-03-13,51.96,64.5,64.86,62.11,62.66,1212800.0
2008-03-14,50.65,62.88,65.43,61.89,64.69,1702000.0
2008-03-17,50.26,62.39,63.27,61.44,61.44,1679200.0
2008-03-18,52.89,65.66,65.7,63.21,63.7,2339000.0
2008-03-19,52.01,64.57,66.77,64.57,66.4,1981500.0
2008-03-20,52.46,65.13,65.29,63.64,64.77,1491800.0
2008-03-24,54.17,67.25,67.74,65.27,65.33,1340700.0
2008-03-25,55.45,68.84,69.19,66.91,67.51,1992100.0
2008-03-26,54.87,68.12,68.45,67.26,68.34,1297900.0
2008-03-27,53.65,66.6,68.71,66.59,68.71,1376300.0
2008-03-28,54.42,67.56,68.31,66.63,67.11,1406200.0
2008-03-31,55.8,69.27,69.59,67.35,67.4,1894200.0
2008-04-01,58.91,73.13,73.13,69.9,69.98,2265900.0
2008-04-02,58.47,72.58,73.64,72.25,73.06,1836500.0
2008-04-03,57.49,71.37,72.29,71.06,71.59,1975500.0
2008-04-04,59.38,73.71,74.11,71.5,71.5,2363500.0
2008-04-07,58.22,72.28,73.91,72.1,73.91,1599600.0
2008-04-08,58.26,72.32,72.46,71.42,71.91,1024900.0
2008-04-09,57.89,71.86,72.49,71.1,72.49,1553900.0
2008-04-10,59.11,73.38,73.48,71.34,72.29,1906800.0
2008-04-11,57.77,71.72,72.84,71.45,72.5,1340700.0
2008-04-14,58.0,72.0,73.0,71.13,72.02,1653000.0
2008-04-15,58.71,72.88,73.3,71.5,72.31,1537900.0
2008-04-16,60.44,75.03,75.23,73.43,73.43,1383000.0
2008-04-17,59.86,74.31,75.17,73.45,74.9,1300300.0
2008-04-18,61.48,76.32,76.44,74.89,75.29,1143100.0
2008-04-21,62.0,76.97,77.38,75.33,75.57,1219800.0
2008-04-22,65.3,81.06,83.41,79.76,79.76,4301600.0
2008-04-23,64.02,79.47,81.79,78.64,81.61,2461900.0
2008-04-24,63.81,79.21,80.13,78.19,80.03,1841800.0
2008-04-25,64.0,79.45,79.91,78.23,79.6,1117000.0
2008-04-28,63.83,79.24,79.94,78.88,79.23,1459500.0
2008-04-29,63.53,78.87,80.39,78.64,78.85,1341700.0
2008-04-30,64.32,79.85,80.81,79.0,80.01,2525200.0
2008-05-01,65.46,81.26,81.52,79.38,80.67,1469100.0
2008-05-02,66.04,81.98,82.42,80.71,82.14,1814100.0
2008-05-05,65.96,81.89,82.2,81.33,82.15,984100.0
2008-05-06,65.46,81.26,81.8,80.1,81.74,1555600.0
2008-05-07,64.8,80.44,82.26,80.34,81.0,1530100.0
2008-05-08,66.92,83.07,83.34,80.61,81.06,1497700.0
2008-05-09,67.33,83.59,84.0,81.99,81.99,1383200.0
2008-05-12,68.24,84.72,84.76,82.97,83.91,725700.0
2008-05-13,69.2,85.69,86.22,83.72,85.1,1517200.0
2008-05-14,69.01,85.46,86.91,85.28,85.28,1467800.0
2008-05-15,68.72,85.1,85.5,84.12,85.46,1476000.0
2008-05-16,68.64,85.0,85.39,84.04,84.95,1447100.0
2008-05-19,69.0,85.44,86.5,84.84,85.4,1203800.0
2008-05-20,67.99,84.19,85.23,83.83,85.21,1519300.0
2008-05-21,66.99,82.96,85.58,82.6,84.65,1429300.0
2008-05-22,65.98,81.71,83.26,81.53,83.26,1587500.0
2008-05-23,65.06,80.57,81.51,79.69,81.51,1368500.0
2008-05-27,65.93,81.64,81.87,79.81,80.76,1701700.0
2008-05-28,66.9,82.84,82.92,81.33,82.24,1493000.0
2008-05-29,67.4,83.46,84.16,81.44,82.74,1340500.0
2008-05-30,68.37,84.67,85.08,83.27,83.9,1519500.0
2008-06-02,67.1,83.09,84.76,82.46,84.51,1595300.0
2008-06-03,66.64,82.52,83.71,81.62,83.55,1965700.0
2008-06-04,66.17,81.94,82.36,81.23,82.12,1987100.0
2008-06-05,64.42,79.78,80.42,78.39,80.42,3643400.0
2008-06-06,63.12,78.17,80.61,78.02,79.51,2359900.0
2008-06-09,62.74,77.69,79.01,77.25,78.35,2314400.0
2008-06-10,62.14,76.95,77.64,76.65,77.28,1676300.0
2008-06-11,60.41,74.81,76.75,74.56,76.74,2485000.0
2008-06-12,61.78,76.5,77.86,75.04,75.04,2014800.0
2008-06-13,63.53,78.67,79.96,77.16,77.16,2654300.0
2008-06-16,62.82,77.79,78.64,76.82,78.64,1500600.0
2008-06-17,62.13,76.94,78.32,76.89,77.73,1149600.0
2008-06-18,61.61,76.3,76.59,75.54,76.59,1665300.0
2008-06-19,63.43,78.55,78.88,75.95,76.3,2072600.0
2008-06-20,61.36,75.99,78.38,75.71,78.35,1920200.0
2008-06-23,60.81,75.31,76.51,74.96,76.26,1956800.0
2008-06-24,59.93,74.21,75.18,73.75,75.18,2193900.0
2008-06-25,58.62,72.59,74.6,71.27,74.6,3727000.0
2008-06-26,56.57,70.05,71.92,69.46,71.88,3076400.0
2008-06-27,57.29,70.94,71.52,69.66,69.99,4892500.0
2008-06-30,57.59,71.32,71.76,70.33,70.93,2391200.0
2008-07-01,58.35,72.26,72.45,70.0,70.0,4184500.0
2008-07-02,56.72,70.24,72.26,70.02,72.26,3458700.0
2008-07-03,56.95,70.53,71.13,69.12,70.67,1545300.0
2008-07-07,56.93,70.5,72.14,69.34,70.69,2362400.0
2008-07-08,58.41,72.33,72.69,69.1,70.06,3486400.0
2008-07-09,56.55,70.03,72.67,70.0,72.53,2349900.0
2008-07-10,55.76,69.05,70.93,66.44,70.05,3316500.0
2008-07-11,55.69,68.96,70.24,67.66,68.38,1868500.0
2008-07-14,55.64,68.9,69.93,68.04,69.93,1429200.0
2008-07-15,53.91,66.76,67.48,63.4,65.49,3581600.0
2008-07-16,55.08,68.21,68.41,65.53,66.98,4358100.0
2008-07-17,54.67,67.7,68.46,66.53,68.46,3217800.0
2008-07-18,54.01,66.88,68.16,66.38,68.04,2352800.0
2008-07-21,55.25,68.42,68.44,66.89,67.28,2188400.0
