,Adj Close,Close,High,Low,Open,Volume
2008-01-02,,,,,,
2008-01-03,,,,,,
2008-01-04,,,,,,
2008-01-07,,,,,,
2008-01-08,,,,,,
2008-01-09,,,,,,
2008-01-10,,,,,,
2008-01-11,,,,,,
2008-01-14,,,,,,
2008-01-15,,,,,,
2008-01-16,,,,,,
2008-01-17,,,,,,
2008-01-18,,,,,,
2008-01-22,,,,,,
2008-01-23,,,,,,
2008-01-24,,,,,,
2008-01-25,,,,,,
2008-01-28,,,,,,
2008-01-29,,,,,,
2008-01-30,,,,,,
2008-01-31,,,,,,
2008-02-01,,,,,,
2008-02-04,,,,,,
2008-02-05,,,,,,
2008-02-06,,,,,,
2008-02-07,,,,,,
2008-02-08,,,,,,
2008-02-11,,,,,,
2008-02-12,,,,,,
2008-02-13,,,,,,
2008-02-14,,,,,,
2008-02-15,,,,,,
2008-02-19,,,,,,
2008-02-20,,,,,,
2008-02-21,,,,,,
2008-02-22,,,,,,
2008-02-25,,,,,,
2008-02-26,,,,,,
2008-02-27,,,,,,
2008-02-28,,,,,,
2008-02-29,,,,,,
2008-03-03,,,,,,
2008-03-04,,,,,,
2008-03-05,,,,,,
2008-03-06,,,,,,
2008-03-07,,,,,,
2008-03-10,,,,,,
2008-03-11,,,,,,
2008-03-12,,,,,,
2008-03-13,,,,,,
2008-03-14,,,,,,
2008-03-17,29.29,49.39,52.65,49.24,50.0,1988000.0
2008-03-18,29.42,49.6,52.0,47.75,49.85,8067600.0
2008-03-19,29.71,50.1,51.0,46.9,49.6,3007700.0
2008-03-20,29.15,49.15,50.2,48.87,50.2,3007700.0
2008-03-24,30.25,51.0,51.0,49.81,49.81,1437000.0
2008-03-25,30.69,51.75,51.75,50.6,51.4,1100800.0
2008-03-26,29.83,50.3,52.47,50.3,51.7,2023200.0
2008-03-27,30.06,50.68,52.03,50.0,50.95,8653300.0
2008-03-28,30.28,51.06,52.5,50.56,50.95,9961200.0
2008-03-31,30.0,50.58,54.7,50.0,52.4,19408900.0
2008-04-01,30.0,50.58,52.19,49.01,51.1,23322500.0
2008-04-02,30.37,51.21,52.07,50.15,51.16,12944700.0
2008-04-03,30.28,51.05,51.5,50.4,51.0,12439100.0
2008-04-04,30.47,51.37,51.48,50.8,51.48,6651000.0
2008-04-07,30.05,50.67,51.6,50.5,51.6,7099300.0
2008-04-08,30.01,50.6,51.01,50.21,50.41,8283300.0
2008-04-09,29.29,49.38,50.59,49.15,50.5,8916200.0
2008-04-10,28.86,48.66,49.91,48.5,49.49,14321900.0
2008-04-11,28.66,48.33,48.89,48.08,48.49,11400700.0
2008-04-14,28.47,48.0,48.35,47.43,48.3,11532500.0
2008-04-15,28.59,48.2,48.35,47.78,47.78,9603400.0
2008-04-16,29.33,49.46,49.61,48.35,48.41,14837600.0
2008-04-17,29.56,49.85,50.0,49.42,49.72,6660700.0
2008-04-18,29.63,49.96,50.94,49.38,50.49,9630700.0
2008-04-21,30.03,50.63,50.89,49.13,50.2,6528300.0
2008-04-22,29.7,50.07,50.9,49.92,50.6,5504900.0
2008-04-23,30.84,52.0,52.34,50.9,51.0,13532300.0
2008-04-24,30.84,52.0,52.43,51.5,52.0,5847500.0
2008-04-25,30.42,51.3,52.18,50.75,52.14,11399700.0
2008-04-28,30.29,51.07,51.3,50.75,50.94,8382500.0
2008-04-29,30.85,52.01,52.2,50.26,51.44,12325300.0
2008-04-30,30.26,51.03,52.01,50.91,51.7,8733100.0
2008-05-01,30.1,50.75,51.17,50.62,50.83,7120800.0
2008-05-02,30.26,51.02,51.1,50.4,50.9,9291100.0
2008-05-05,30.13,50.81,51.63,50.63,50.87,8398500.0
2008-05-06,30.77,51.88,51.95,50.85,50.9,7588300.0
2008-05-07,30.66,51.69,52.2,51.31,51.97,6391400.0
2008-05-08,30.96,52.2,52.21,51.5,51.65,6669700.0
2008-05-09,30.74,51.83,52.46,51.53,51.9,5491700.0
2008-05-12,31.12,52.47,52.54,51.3,51.98,5851300.0
2008-05-13,31.11,52.46,52.84,52.04,52.42,5986600.0
2008-05-14,31.24,52.67,52.85,52.4,52.51,5381500.0
2008-05-15,31.58,53.25,53.31,52.1,52.51,8376500.0
2008-05-16,31.66,53.38,53.5,52.35,53.23,7172600.0
2008-05-19,31.81,53.63,53.95,52.93,53.49,6580200.0
2008-05-20,31.38,52.91,53.94,52.82,53.3,6887400.0
2008-05-21,30.83,51.98,53.18,51.83,53.04,6784200.0
2008-05-22,31.01,52.28,52.77,51.78,51.82,5135200.0
2008-05-23,30.72,51.8,52.98,51.75,52.1,5197400.0
2008-05-27,30.62,51.63,51.94,51.12,51.92,6505400.0
2008-05-28,30.34,51.16,51.9,50.83,51.7,13524100.0
2008-05-29,30.85,52.02,52.16,50.93,50.96,7386900.0
2008-05-30,31.23,52.66,52.99,51.81,52.07,7047800.0
2008-06-02,30.91,52.11,52.7,51.92,52.15,8668100.0
2008-06-03,30.64,51.67,52.62,51.67,52.1,6552400.0
2008-06-04,30.81,51.95,52.27,51.5,51.69,6407400.0
2008-06-05,30.73,51.81,52.24,51.54,52.03,6407400.0
2008-06-06,29.95,50.5,51.51,50.4,51.5,10198500.0
2008-06-09,29.35,49.49,50.95,49.18,50.8,9937000.0
2008-06-10,29.35,49.49,49.65,48.53,49.01,8847000.0
2008-06-11,29.57,49.86,50.6,49.12,49.49,12367200.0
2008-06-12,30.42,51.29,51.38,49.87,49.87,11782900.0
2008-06-13,30.61,51.61,51.88,50.7,51.28,7365600.0
