,Adj Close,Close,High,Low,Open,Volume
2008-01-02,48.97,64.73,66.18,64.53,65.51,2212600.0
2008-01-03,48.41,64.0,65.17,63.65,64.82,2072900.0
2008-01-04,47.32,62.55,63.57,62.45,63.32,3029200.0
2008-01-07,48.01,63.47,64.03,61.66,63.05,2774500.0
2008-01-08,46.51,61.48,65.01,61.35,63.91,3462100.0
2008-01-09,47.46,62.1,62.16,59.52,61.43,3899300.0
2008-01-10,47.8,62.54,63.77,60.81,61.75,4686500.0
2008-01-11,47.78,62.52,63.66,61.33,62.09,3569900.0
2008-01-14,47.23,61.8,63.06,61.36,62.91,2306200.0
2008-01-15,45.51,59.54,61.0,59.5,61.0,3890400.0
2008-01-16,46.61,60.99,61.83,59.23,59.32,4305500.0
2008-01-17,43.28,56.63,61.45,56.49,60.6,4668600.0
2008-01-18,43.85,57.37,57.85,55.63,56.91,5538800.0
2008-01-22,43.73,57.21,58.89,54.49,54.49,8291400.0
2008-01-23,45.86,60.0,60.88,53.1,53.1,8394700.0
2008-01-24,47.37,61.98,62.22,60.35,60.35,6825100.0
2008-01-25,46.36,60.66,65.0,60.06,62.7,5526500.0
2008-01-28,47.16,61.7,61.91,59.85,60.62,3626100.0
2008-01-29,48.94,64.03,64.04,62.05,62.29,4817700.0
2008-01-30,48.3,63.19,65.6,62.36,63.76,4087100.0
2008-01-31,50.14,65.6,66.24,61.31,61.33,4500800.0
2008-02-01,50.76,66.42,67.23,65.01,65.77,3996000.0
2008-02-04,49.2,64.37,65.96,63.87,65.56,2713400.0
2008-02-05,48.32,63.22,64.44,62.43,63.36,3228100.0
2008-02-06,48.59,63.57,64.69,62.47,63.53,4084400.0
2008-02-07,49.28,64.48,64.91,62.98,63.31,3716700.0
2008-02-08,48.37,63.29,64.37,62.5,64.08,2302700.0
2008-02-11,47.67,62.37,63.34,61.79,63.15,2343100.0
2008-02-12,48.71,63.73,64.36,62.56,62.99,2983200.0
2008-02-13,48.59,63.57,64.58,62.49,64.25,2586300.0
2008-02-14,47.97,62.76,64.43,62.2,63.47,2440400.0
2008-02-15,48.58,63.56,63.64,61.68,62.7,2667800.0
2008-02-19,47.68,62.39,64.83,62.14,64.17,3108300.0
2008-02-20,48.17,63.03,63.27,61.16,61.8,3041000.0
2008-02-21,47.26,61.83,63.58,61.66,63.24,1753100.0
2008-02-22,48.13,62.97,63.07,60.73,62.03,2568200.0
2008-02-25,48.33,63.24,63.42,61.31,62.75,3011700.0
2008-02-26,48.43,63.37,63.96,62.53,62.82,1924400.0
2008-02-27,48.61,63.6,64.7,62.34,62.62,2354500.0
2008-02-28,48.0,62.8,63.29,61.98,62.86,3726700.0
2008-02-29,46.95,61.43,62.93,61.05,61.81,4940800.0
2008-03-03,45.91,60.07,61.4,59.5,61.25,3034300.0
2008-03-04,46.32,60.6,61.08,58.3,59.4,4474100.0
2008-03-05,45.87,60.01,61.86,59.41,60.37,3169700.0
2008-03-06,44.44,58.15,59.6,58.05,59.6,3031500.0
