,Adj Close,Close,High,Low,Open,Volume
2008-01-02,17.97,22.96,23.49,22.79,23.28,598400.0
2008-01-03,17.94,22.92,23.1,22.75,22.95,792200.0
2008-01-04,17.33,22.14,22.74,21.99,22.66,1142300.0
2008-01-07,17.36,22.18,22.46,22.07,22.32,1624200.0
2008-01-08,16.59,21.19,22.26,21.19,22.22,881100.0
2008-01-09,16.08,20.54,21.15,19.93,21.1,2346800.0
2008-01-10,16.19,20.68,20.79,20.09,20.43,1928400.0
2008-01-11,16.18,20.67,20.92,20.36,20.46,1865100.0
2008-01-14,15.94,20.36,20.91,20.33,20.91,1260800.0
2008-01-15,15.51,19.81,20.29,19.64,20.21,2744200.0
2008-01-16,15.3,19.54,19.96,19.54,19.76,1948800.0
2008-01-17,14.74,18.83,20.09,18.71,19.58,3058700.0
2008-01-18,14.6,18.66,19.38,18.45,18.87,3117900.0
2008-01-22,14.62,18.67,18.89,17.47,17.68,2523100.0
2008-01-23,15.06,19.12,19.13,18.02,18.35,2218600.0
2008-01-24,15.33,19.46,19.72,18.98,19.25,2108700.0
2008-01-25,15.77,20.03,20.43,19.53,19.56,1827000.0
2008-01-28,16.36,20.77,20.79,19.83,19.97,1816700.0
2008-01-29,16.49,20.94,21.01,20.5,20.77,1364800.0
2008-01-30,16.39,20.81,21.34,20.6,20.86,683500.0
2008-01-31,16.8,21.33,21.46,20.44,20.5,1220000.0
2008-02-01,17.05,21.65,21.67,21.03,21.33,1015400.0
2008-02-04,17.24,21.89,22.06,21.48,21.48,1204400.0
2008-02-05,17.41,22.1,23.35,20.05,21.34,2938500.0
2008-02-06,17.33,22.01,22.48,21.9,22.18,1696800.0
2008-02-07,17.59,22.33,22.61,21.81,21.96,1460400.0
2008-02-08,17.79,22.59,22.73,22.1,22.24,1888900.0
2008-02-11,17.89,22.71,22.75,22.2,22.53,979100.0
2008-02-12,17.85,22.66,22.87,22.48,22.79,897200.0
2008-02-13,18.11,23.0,23.06,22.83,22.83,1224200.0
2008-02-14,17.91,22.73,23.09,22.63,22.94,846100.0
2008-02-15,17.8,22.6,22.67,22.24,22.64,830800.0
2008-02-19,17.76,22.55,22.89,22.41,22.79,818500.0
2008-02-20,18.12,23.0,23.05,22.26,22.46,688600.0
2008-02-21,17.54,22.27,23.17,22.22,23.02,920400.0
2008-02-22,17.71,22.49,22.56,21.93,22.37,1085100.0
2008-02-25,18.04,22.91,22.91,22.1,22.48,1099000.0
2008-02-26,18.26,23.18,23.28,22.62,22.78,1252100.0
2008-02-27,18.14,23.03,23.34,22.77,22.77,636800.0
2008-02-28,18.1,22.98,23.12,22.53,22.8,932800.0
2008-02-29,17.25,21.91,22.74,21.86,22.69,1170800.0
2008-03-03,17.14,21.76,22.02,21.48,21.92,1105500.0
2008-03-04,16.85,21.39,21.76,21.06,21.57,1259000.0
2008-03-05,16.98,21.56,21.91,21.47,21.51,1382900.0
