,Adj Close,Close,High,Low,Open,Volume
2008-01-02,28.65,38.39,39.8,38.12,38.23,28963200.0
2008-01-03,28.28,37.9,38.39,37.73,38.27,15127300.0
2008-01-04,27.63,37.03,38.22,36.9,37.39,29638500.0
2008-01-07,27.2,36.45,37.31,35.78,37.05,27665700.0
2008-01-08,26.86,35.99,37.45,35.97,36.46,27124200.0
2008-01-09,28.2,37.79,37.87,36.0,36.06,27370900.0
2008-01-10,28.35,37.99,38.79,37.0,37.54,22563300.0
2008-01-11,28.83,38.63,39.07,37.33,37.84,32469400.0
2008-01-14,29.85,40.0,40.58,39.05,39.1,29197700.0
2008-01-15,29.37,39.35,40.0,39.0,39.61,19677400.0
2008-01-16,29.82,39.96,40.27,39.58,39.95,29029200.0
2008-01-17,29.15,39.06,40.2,38.9,40.06,23282800.0
2008-01-18,28.62,38.35,39.74,38.0,38.28,29243100.0
2008-01-22,27.56,36.93,38.35,35.17,37.33,29688500.0
2008-01-23,27.34,36.63,37.59,35.66,35.89,40732800.0
2008-01-24,30.16,40.41,40.95,38.88,39.38,46049200.0
2008-01-25,29.85,40.0,41.0,39.74,40.15,24946200.0
2008-01-28,30.22,40.5,40.68,39.6,39.75,13363300.0
2008-01-29,30.07,40.3,40.62,39.84,40.61,14903800.0
2008-01-30,30.06,40.28,41.06,39.89,40.3,16149000.0
2008-01-31,31.66,42.42,42.66,40.27,40.44,31506500.0
2008-02-01,31.49,42.2,42.55,41.52,42.27,21233700.0
2008-02-04,31.23,41.85,42.5,41.38,42.04,12059100.0
2008-02-05,30.39,40.72,41.73,40.57,41.05,20432600.0
2008-02-06,29.59,39.65,41.0,39.5,40.94,19952800.0
2008-02-07,30.55,40.94,41.47,38.95,39.12,29025900.0
2008-02-08,31.28,41.92,41.95,40.56,40.57,20466300.0
2008-02-11,31.24,41.86,42.4,41.66,41.93,18786600.0
2008-02-12,30.55,40.94,42.31,40.75,42.25,22978800.0
2008-02-13,31.35,42.01,42.35,41.32,41.44,17547200.0
2008-02-14,30.5,40.87,41.98,40.74,41.94,15620700.0
2008-02-15,31.49,42.2,42.27,40.21,40.31,21906900.0
2008-02-19,31.31,41.95,43.19,41.72,42.55,18927600.0
2008-02-20,32.37,43.37,43.49,41.75,42.0,18768800.0
2008-02-21,31.66,42.42,43.59,42.14,43.36,17283500.0
2008-02-22,32.44,43.47,44.85,42.35,42.76,25326600.0
2008-02-25,32.63,43.72,44.26,43.02,43.37,18324800.0
2008-02-26,32.57,43.64,44.39,43.12,43.68,17222600.0
2008-02-27,32.78,43.79,44.22,43.02,43.45,14583900.0
2008-02-28,32.43,43.32,43.93,43.0,43.4,11547800.0
2008-02-29,31.74,42.39,42.9,42.11,42.62,19701800.0
2008-03-03,30.78,41.12,42.12,40.6,42.01,22835700.0
2008-03-04,30.85,41.21,41.32,40.34,40.89,20366500.0
2008-03-05,31.07,41.5,42.11,40.97,41.27,15091200.0
2008-03-06,30.27,40.43,41.51,40.29,41.31,13658400.0
2008-03-07,30.13,40.24,40.69,39.5,40.21,17413000.0
2008-03-10,29.32,39.17,40.25,39.02,40.09,16535900.0
2008-03-11,29.51,39.42,39.92,37.86,39.54,29063000.0
2008-03-12,29.76,39.75,40.75,39.56,40.52,23217300.0
2008-03-13,30.13,40.25,40.52,38.98,39.5,17828200.0
2008-03-14,29.37,39.23,40.51,38.73,40.36,27294200.0
2008-03-17,28.82,38.5,39.58,38.46,38.6,20573300.0
2008-03-18,30.04,40.13,40.19,38.86,39.25,17890800.0
2008-03-19,28.34,37.85,39.71,37.85,39.51,27989800.0
2008-03-20,28.65,38.27,38.29,36.91,38.11,37463300.0
2008-03-24,29.86,39.89,40.07,38.35,38.35,19831400.0
2008-03-25,30.55,40.8,41.0,39.8,40.55,22108900.0
