,Adj Close,Close,High,Low,Open,Volume
2008-01-02,76.03,98.62,100.86,98.21,100.66,360800.0
2008-01-03,77.54,100.58,100.58,97.88,98.85,353300.0
2008-01-04,78.52,101.85,102.74,99.43,99.43,583000.0
2008-01-07,79.45,103.05,103.65,100.38,102.36,670600.0
2008-01-08,78.62,101.98,103.59,101.63,103.37,567500.0
2008-01-09,80.98,105.04,105.34,101.73,101.75,550500.0
2008-01-10,80.2,104.03,104.85,102.75,104.5,569700.0
2008-01-11,79.39,102.98,104.2,102.07,103.1,379000.0
2008-01-14,79.66,103.32,103.96,102.15,103.91,197400.0
2008-01-15,78.0,101.17,102.15,100.47,102.03,350700.0
2008-01-16,77.46,100.47,101.51,100.19,100.97,406500.0
2008-01-17,75.86,98.4,101.1,98.4,100.68,382000.0
2008-01-18,73.24,95.0,98.4,94.11,97.91,934200.0
2008-01-22,73.19,94.94,95.5,90.27,93.26,988500.0
2008-01-23,74.12,96.14,96.33,92.0,92.79,709700.0
2008-01-24,74.58,96.74,97.34,95.48,96.55,610300.0
2008-01-25,72.81,94.44,97.94,94.22,97.78,299700.0
2008-01-28,76.71,99.5,99.5,93.4,94.25,537900.0
2008-01-29,74.98,97.26,99.66,96.88,98.5,654900.0
2008-01-30,74.94,97.21,100.63,97.1,97.21,629400.0
2008-01-31,78.4,101.69,104.28,95.01,95.01,1132900.0
2008-02-01,79.84,103.56,103.69,101.47,101.75,662700.0
2008-02-04,78.74,102.13,103.65,101.98,103.16,436800.0
2008-02-05,76.79,99.6,102.84,99.52,101.43,522900.0
2008-02-06,76.22,98.87,100.39,98.26,100.3,382800.0
2008-02-07,76.97,99.84,100.28,97.98,98.1,395600.0
2008-02-08,76.42,99.12,100.3,98.49,99.78,356900.0
2008-02-11,74.69,96.88,99.38,96.02,99.01,621700.0
2008-02-12,76.56,99.31,99.75,97.02,97.75,433100.0
2008-02-13,76.8,99.61,100.66,98.52,100.5,423100.0
2008-02-14,76.03,98.62,99.95,98.56,99.3,294700.0
2008-02-15,78.26,101.51,101.52,97.53,98.04,407200.0
2008-02-19,76.67,99.45,102.4,99.29,101.75,274900.0
2008-02-20,77.35,100.33,100.7,98.7,99.17,288100.0
2008-02-21,77.06,99.95,101.37,99.91,100.73,316500.0
2008-02-22,78.01,101.19,101.31,98.96,100.05,393700.0
2008-02-25,75.6,98.06,101.87,96.9,100.92,1036700.0
2008-02-26,76.64,99.41,99.55,97.44,97.9,1153700.0
2008-02-27,76.69,99.48,100.32,98.4,98.4,313700.0
2008-02-28,75.87,97.93,99.49,97.74,99.15,438300.0
2008-02-29,75.05,96.88,98.2,96.52,97.36,456500.0
2008-03-03,73.78,95.24,96.82,94.56,96.82,424300.0
2008-03-04,73.77,95.23,95.88,94.24,94.9,672900.0
2008-03-05,73.44,94.8,95.51,94.25,94.81,489700.0
2008-03-06,72.56,93.66,95.13,93.66,94.48,426800.0
2008-03-07,72.71,93.85,94.38,92.5,92.66,575000.0
2008-03-10,72.16,93.14,95.08,93.14,94.0,472800.0
2008-03-11,73.62,95.03,95.51,93.13,94.91,447900.0
2008-03-12,72.42,93.48,95.51,93.47,95.39,416500.0
2008-03-13,72.33,93.37,93.86,92.45,92.53,574400.0
2008-03-14,69.59,89.83,93.37,89.36,93.21,1575800.0
2008-03-17,67.41,87.02,88.76,86.63,88.08,1088500.0
2008-03-18,67.55,87.2,89.4,85.41,88.97,1325800.0
2008-03-19,68.5,88.42,90.66,87.92,87.92,986900.0
2008-03-20,69.54,89.77,89.91,88.4,88.66,715700.0
2008-03-24,68.92,88.97,90.88,88.84,90.11,339300.0
2008-03-25,70.69,91.25,91.65,88.9,89.3,573100.0
2008-03-26,69.48,89.69,91.58,89.69,90.95,654700.0
2008-03-27,68.8,88.81,90.37,88.79,89.69,852800.0
2008-03-28,68.65,88.61,89.53,88.41,89.0,377300.0
2008-03-31,69.36,89.53,89.6,88.35,88.98,702500.0
2008-04-01,72.6,93.71,93.71,90.25,90.53,699100.0
2008-04-02,72.44,93.51,94.19,90.6,94.19,692300.0
2008-04-03,72.98,94.21,94.56,93.06,93.73,329900.0
2008-04-04,71.87,92.77,94.55,92.58,94.43,187700.0
2008-04-07,72.88,94.07,94.18,92.95,93.49,393000.0
2008-04-08,71.92,92.83,93.68,92.55,93.23,512900.0
2008-04-09,71.82,92.71,93.55,92.59,93.14,395000.0
2008-04-10,73.45,94.81,95.07,92.53,92.53,598300.0
2008-04-11,74.16,95.73,96.98,94.21,94.21,589200.0
2008-04-14,74.18,95.76,96.48,95.17,95.53,582800.0
2008-04-15,73.94,95.44,96.55,94.73,96.48,428100.0
2008-04-16,74.25,95.84,96.0,94.78,96.0,486100.0
2008-04-17,74.63,96.34,96.69,95.32,95.73,459700.0
2008-04-18,74.91,96.69,98.19,95.71,97.45,499400.0
2008-04-21,73.2,94.49,96.01,94.38,95.89,464900.0
2008-04-22,71.35,92.1,92.32,89.31,90.15,1898100.0
2008-04-23,70.61,91.14,92.86,90.68,92.27,889300.0
2008-04-24,71.04,91.7,92.74,91.0,91.8,839000.0
2008-04-25,71.08,91.75,91.9,90.23,91.45,475800.0
2008-04-28,70.54,91.05,91.72,90.77,91.45,416700.0
2008-04-29,70.1,90.49,90.87,90.04,90.77,699700.0
2008-04-30,69.99,90.35,91.36,90.02,90.79,656600.0
2008-05-01,71.79,92.67,92.94,90.4,90.4,361300.0
2008-05-02,71.61,92.43,93.11,91.85,93.11,354800.0
2008-05-05,70.65,91.2,92.39,90.5,91.64,522200.0
2008-05-06,70.78,91.36,91.6,90.43,90.67,270600.0
2008-05-07,68.45,88.36,91.97,88.36,90.85,521000.0
2008-05-08,69.27,89.42,90.1,87.52,88.47,446000.0
2008-05-09,69.95,90.29,90.38,88.36,88.37,317400.0
2008-05-12,70.99,91.63,91.93,90.04,90.33,285100.0
2008-05-13,70.32,90.77,91.4,90.37,91.25,326500.0
2008-05-14,70.94,91.57,91.79,90.83,91.13,705900.0
