,Adj Close,Close,High,Low,Open,Volume
2008-01-02,17.75,23.28,23.82,23.13,23.77,5969700.0
2008-01-03,17.75,23.28,23.6,23.13,23.45,3954300.0
2008-01-04,15.86,20.8,22.34,20.71,22.05,10403700.0
2008-01-07,15.89,20.85,21.35,20.37,20.97,9490200.0
2008-01-08,14.87,19.5,21.07,19.46,21.0,11255300.0
2008-01-09,14.93,19.58,19.65,18.61,19.58,10257700.0
2008-01-10,15.29,20.06,20.47,18.93,19.39,10915000.0
2008-01-11,15.6,20.47,20.9,19.42,19.92,7530200.0
2008-01-14,15.56,20.41,20.68,19.86,20.68,6360800.0
2008-01-15,15.51,20.34,20.66,19.75,20.15,9606900.0
2008-01-16,16.13,21.16,21.6,20.27,20.28,9617300.0
2008-01-17,14.92,19.57,21.29,19.52,21.26,9467400.0
2008-01-18,14.63,19.19,19.96,19.02,19.71,8426300.0
2008-01-22,15.35,20.13,20.44,17.9,17.95,11302800.0
2008-01-23,16.65,21.84,22.6,18.5,18.5,11130700.0
2008-01-24,17.13,22.47,22.8,21.68,22.02,9926600.0
2008-01-25,17.37,22.79,23.75,22.21,22.73,10424700.0
2008-01-28,18.14,23.79,23.79,22.47,22.69,7168400.0
2008-01-29,19.0,24.93,25.05,23.53,23.99,7482800.0
2008-01-30,18.55,24.34,25.26,24.18,24.77,8153800.0
2008-01-31,19.19,25.17,25.59,23.03,23.95,10774600.0
2008-02-01,19.61,25.73,25.84,25.08,25.51,5922900.0
2008-02-04,19.13,25.1,25.73,24.94,25.73,6979300.0
2008-02-05,18.48,24.24,24.86,24.15,24.3,5551500.0
2008-02-06,18.06,23.69,24.29,23.08,23.9,8174200.0
2008-02-07,18.45,24.2,24.41,23.09,23.09,6105300.0
2008-02-08,17.69,23.21,24.22,22.82,24.11,8180800.0
2008-02-11,17.54,23.01,23.32,22.54,23.25,4879200.0
2008-02-12,18.07,23.71,24.13,23.12,23.12,5168900.0
2008-02-13,17.98,23.59,24.15,23.07,23.94,5097800.0
2008-02-14,17.4,22.82,23.56,22.75,23.56,5208400.0
2008-02-15,17.48,22.93,23.07,22.32,22.79,5488000.0
2008-02-19,17.16,22.51,23.37,22.33,23.16,4595600.0
2008-02-20,17.71,23.23,23.4,22.09,22.27,5551000.0
2008-02-21,17.14,22.48,23.49,22.44,23.27,4036900.0
2008-02-22,17.62,23.11,23.14,22.13,22.6,4300300.0
2008-02-25,17.62,23.11,23.23,22.34,23.03,7002000.0
2008-02-26,17.68,23.19,23.49,22.79,22.98,5801800.0
2008-02-27,17.7,23.22,23.67,22.8,23.0,4138900.0
2008-02-28,16.73,21.94,23.2,21.9,23.01,6011400.0
2008-02-29,16.16,21.2,21.77,21.1,21.77,10053800.0
2008-03-03,15.7,20.59,21.16,20.42,21.13,6726500.0
2008-03-04,15.86,20.81,20.92,19.84,20.43,9506000.0
2008-03-05,15.96,20.94,21.51,20.73,21.09,7444200.0
2008-03-06,15.22,19.97,20.82,19.93,20.65,5834900.0
2008-03-07,15.52,20.36,20.88,19.65,19.85,6611400.0
2008-03-10,15.22,19.96,20.6,19.62,20.42,8819600.0
2008-03-11,16.71,21.92,21.92,20.54,21.49,8975500.0
2008-03-12,16.29,21.37,22.85,21.37,22.0,8096000.0
2008-03-13,16.4,21.51,21.71,20.25,20.41,9345300.0
2008-03-14,15.71,20.25,21.68,19.94,21.15,12038800.0
2008-03-17,15.13,19.5,20.53,18.94,19.73,14821400.0
2008-03-18,15.53,20.01,20.5,19.34,20.08,15082600.0
2008-03-19,15.83,20.4,20.95,20.08,20.19,14170100.0
2008-03-20,16.86,21.72,21.77,20.33,20.43,10573300.0
2008-03-24,17.18,22.14,23.12,21.77,21.77,7998100.0
2008-03-25,17.15,22.1,22.31,21.57,22.27,6019700.0
2008-03-26,16.44,21.18,21.95,20.5,20.5,6444000.0
2008-03-27,15.96,20.57,21.5,20.51,21.19,7423000.0
2008-03-28,15.25,19.65,20.9,19.59,20.63,6204800.0
2008-03-31,15.33,19.75,20.28,19.54,19.82,6079400.0
2008-04-01,16.65,21.45,21.59,20.13,20.13,10598500.0
2008-04-02,16.85,21.71,22.69,21.56,21.72,8086600.0
2008-04-03,16.92,21.81,21.92,20.83,21.53,6445000.0
2008-04-04,16.23,20.91,21.88,20.84,21.88,4861600.0
2008-04-07,16.41,21.15,21.54,20.91,21.26,5477200.0
2008-04-08,15.92,20.52,21.01,20.35,20.96,4712800.0
2008-04-09,15.66,20.18,20.79,20.11,20.55,3402600.0
2008-04-10,15.49,19.96,20.6,19.67,20.0,7811900.0
2008-04-11,15.34,19.77,20.28,19.61,19.75,7380900.0
2008-04-14,14.4,18.56,19.77,18.53,19.41,11666500.0
2008-04-15,15.61,20.12,20.59,19.45,19.71,15211100.0
2008-04-16,15.75,20.3,20.57,19.84,20.48,8958600.0
2008-04-17,16.83,21.69,21.86,20.21,20.21,8427100.0
2008-04-18,16.76,21.6,22.64,21.53,22.13,10126800.0
2008-04-21,16.29,20.99,21.53,20.68,21.52,6526600.0
2008-04-22,16.16,20.82,21.04,20.5,20.7,6153400.0
2008-04-23,15.85,20.43,20.93,20.23,20.71,6374500.0
2008-04-24,16.96,21.86,22.0,20.39,20.57,10758900.0
2008-04-25,17.24,22.22,22.3,21.43,22.16,8702800.0
2008-04-28,17.29,22.28,22.5,21.88,22.32,5011000.0
2008-04-29,17.34,22.35,22.49,22.04,22.34,5264300.0
