,Adj Close,Close,High,Low,Open,Volume
2008-01-02,50.45,66.68,69.72,66.62,69.05,1861100.0
2008-01-03,50.54,66.8,67.07,66.17,66.77,1479700.0
2008-01-04,48.49,64.09,66.34,63.97,65.87,1484400.0
2008-01-07,47.82,63.2,64.59,61.49,64.29,2153300.0
2008-01-08,46.11,60.94,62.68,60.66,61.83,3050800.0
2008-01-09,45.91,60.68,60.68,59.03,60.42,2891200.0
2008-01-10,46.26,61.15,61.48,59.89,60.17,2253700.0
2008-01-11,44.77,59.18,60.69,58.67,60.69,1463700.0
2008-01-14,46.37,61.29,61.51,59.72,59.94,1603300.0
2008-01-15,43.77,57.85,60.55,57.85,60.55,1781100.0
2008-01-16,43.89,58.01,59.01,56.13,57.4,2290600.0
2008-01-17,41.95,55.45,59.1,55.36,58.07,1901400.0
2008-01-18,41.66,55.06,56.75,54.0,55.79,2483700.0
2008-01-22,42.38,56.02,57.11,53.2,53.5,4256900.0
2008-01-23,42.81,56.58,56.8,50.0,54.65,3188000.0
2008-01-24,42.5,56.18,56.78,53.9,56.78,2555100.0
2008-01-25,42.95,56.77,58.7,56.56,56.76,1834200.0
2008-01-28,43.26,57.18,57.42,56.09,56.95,1160900.0
2008-01-29,43.5,57.49,57.75,56.4,57.64,1094300.0
2008-01-30,43.87,57.99,59.45,57.12,57.4,1448800.0
2008-01-31,43.05,56.9,57.81,56.26,57.19,2327800.0
2008-02-01,43.88,58.0,58.28,56.56,56.93,2398800.0
2008-02-04,44.03,58.19,58.84,57.82,58.07,1130600.0
2008-02-05,42.09,55.63,58.24,55.63,57.6,1295600.0
2008-02-06,41.44,54.77,56.08,54.57,55.99,1309400.0
2008-02-07,41.29,54.57,54.98,53.85,54.36,1830500.0
2008-02-08,40.95,54.13,54.84,53.96,54.08,936500.0
2008-02-11,41.25,54.52,54.97,53.74,54.97,901000.0
2008-02-12,42.05,55.58,56.43,55.0,55.16,1440400.0
2008-02-13,44.58,58.92,59.16,55.8,55.8,2322800.0
2008-02-14,44.41,58.41,60.1,58.29,59.05,2283000.0
2008-02-15,44.34,58.32,58.48,57.24,58.07,1565700.0
2008-02-19,44.7,58.79,60.23,58.57,59.11,1421900.0
2008-02-20,44.62,58.68,58.83,57.12,58.16,1615700.0
2008-02-21,43.68,57.45,59.21,57.26,59.01,1134000.0
2008-02-22,43.85,57.67,57.91,56.3,57.57,809800.0
2008-02-25,44.49,58.52,58.69,57.23,58.07,1124800.0
2008-02-26,44.65,58.73,59.41,58.1,58.35,1256900.0
2008-02-27,44.44,58.45,59.32,58.01,58.46,914100.0
2008-02-28,43.37,57.04,58.38,56.91,58.01,1411000.0
2008-02-29,41.6,54.71,56.74,54.53,56.51,1569100.0
2008-03-03,41.48,54.56,55.04,53.98,54.38,1422600.0
2008-03-04,40.81,53.68,54.26,52.91,54.02,2271000.0
2008-03-05,41.23,54.23,55.09,53.74,54.04,1454600.0
2008-03-06,40.29,52.99,54.32,52.96,54.2,1421100.0
2008-03-07,39.57,52.04,53.3,51.62,52.55,1420200.0
2008-03-10,39.35,51.75,52.64,51.44,52.04,2099800.0
2008-03-11,40.69,53.52,53.52,51.85,52.81,1949000.0
2008-03-12,41.04,53.98,55.09,53.2,53.53,1524400.0
2008-03-13,40.86,53.74,53.97,52.15,53.13,1237400.0
2008-03-14,40.03,52.65,54.2,51.79,53.87,1168600.0
2008-03-17,40.36,53.08,53.69,51.35,51.75,1590700.0
2008-03-18,42.05,55.31,55.31,53.09,53.78,1531700.0
2008-03-19,40.94,53.85,55.92,53.75,55.92,1698400.0
2008-03-20,41.38,54.43,54.63,53.14,53.14,1501800.0
2008-03-24,42.86,56.37,56.7,54.59,54.77,1521200.0
2008-03-25,43.43,57.12,57.5,55.96,56.28,1401500.0
2008-03-26,42.74,56.21,56.97,55.97,56.9,1628000.0
2008-03-27,43.19,56.8,57.62,56.07,56.59,1909900.0
2008-03-28,43.36,57.03,57.94,56.64,57.0,2000700.0
2008-03-31,43.66,57.42,57.73,56.8,57.13,1571900.0
2008-04-01,45.39,59.7,59.72,58.17,58.45,1464600.0
2008-04-02,45.43,59.75,60.35,59.22,59.64,1303300.0
2008-04-03,44.89,59.04,59.6,58.59,59.4,1143100.0
2008-04-04,45.63,60.02,60.42,58.96,59.27,1210300.0
2008-04-07,45.17,59.41,60.64,59.16,60.4,893700.0
2008-04-08,44.97,59.15,59.29,58.49,58.91,796500.0
2008-04-09,43.89,57.72,59.26,57.51,59.0,1112100.0
2008-04-10,44.25,58.2,58.62,56.93,57.74,1341900.0
2008-04-11,43.23,56.86,57.68,56.64,57.5,1096500.0
2008-04-14,43.04,56.61,57.16,56.42,56.47,592300.0
2008-04-15,43.16,56.77,57.12,56.2,56.66,585400.0
2008-04-16,44.96,59.13,59.3,57.02,57.15,1356000.0
2008-04-17,44.94,59.11,59.49,58.61,58.85,1380500.0
2008-04-18,46.65,61.35,61.49,59.71,60.21,1239500.0
2008-04-21,46.14,60.69,61.17,60.45,61.14,1479400.0
2008-04-22,46.37,60.99,61.37,60.17,60.48,1304400.0
2008-04-23,42.14,55.43,58.87,54.26,58.11,4478500.0
2008-04-24,42.78,56.27,56.79,55.1,55.32,2086200.0
2008-04-25,42.6,56.03,56.82,54.86,56.4,1623100.0
2008-04-28,42.05,55.3,55.86,54.7,55.86,1825800.0
2008-04-29,41.76,54.92,55.53,54.72,55.12,1027300.0
2008-04-30,41.23,54.23,56.0,54.1,55.31,2086200.0
2008-05-01,42.48,55.87,56.13,54.19,54.39,2132400.0
2008-05-02,43.19,56.81,57.54,55.87,56.52,1853700.0
2008-05-05,42.27,55.59,56.65,55.3,56.12,2554600.0
2008-05-06,42.41,55.78,56.62,54.68,55.57,2017100.0
2008-05-07,41.39,54.44,56.13,54.37,55.34,2174200.0
2008-05-08,41.62,54.45,55.09,53.97,54.53,1803800.0
2008-05-09,41.36,54.11,54.38,53.71,53.85,1138500.0
2008-05-12,42.38,55.44,55.74,53.91,54.02,1427300.0
2008-05-13,42.31,55.35,55.7,54.7,55.48,2712800.0
2008-05-14,42.89,56.11,56.73,55.35,55.49,1268300.0
2008-05-15,43.79,57.29,57.29,55.89,56.49,1363000.0
2008-05-16,43.85,57.36,57.94,56.75,57.38,1441700.0
2008-05-19,44.2,57.83,58.52,57.22,57.22,1641900.0
2008-05-20,44.3,57.95,58.34,57.4,57.8,2728100.0
2008-05-21,43.88,57.4,58.84,57.09,58.11,1619700.0
2008-05-22,44.27,57.92,58.63,57.46,57.56,1714300.0
2008-05-23,43.84,57.35,57.8,56.81,57.61,1898900.0
2008-05-27,43.89,57.42,57.49,56.49,57.25,927800.0
2008-05-28,44.43,58.13,58.46,57.7,57.97,1191100.0
2008-05-29,44.4,58.08,58.32,57.33,58.09,1090700.0
2008-05-30,44.76,58.55,58.8,57.69,57.69,823000.0
2008-06-02,43.61,57.05,58.31,56.63,58.09,1807500.0
2008-06-03,42.7,55.86,57.35,55.4,57.1,2288900.0
2008-06-04,42.46,55.55,56.15,55.25,55.81,1975000.0
2008-06-05,43.51,56.92,56.92,55.5,55.65,1532100.0
2008-06-06,41.2,53.9,56.24,53.9,56.11,1903000.0
2008-06-09,41.12,53.8,54.43,53.26,54.12,1675300.0
2008-06-10,41.31,54.04,54.69,53.43,53.52,1158500.0
2008-06-11,40.16,52.54,53.97,52.5,53.72,1304100.0
2008-06-12,40.08,52.43,53.61,52.1,52.99,1893500.0
2008-06-13,41.4,54.16,54.18,52.93,52.93,1055100.0
2008-06-16,42.52,55.63,56.03,53.59,53.91,1995500.0
2008-06-17,41.74,54.61,56.12,54.61,56.12,1139900.0
2008-06-18,41.1,53.77,54.7,53.77,53.9,1346700.0
2008-06-19,41.0,53.64,53.92,53.06,53.54,1640300.0
2008-06-20,40.26,52.67,53.52,52.36,53.42,1657600.0
2008-06-23,40.41,52.87,53.02,52.34,52.79,960700.0
2008-06-24,39.89,52.19,52.92,51.7,52.84,945900.0
2008-06-25,34.99,45.77,48.0,44.89,47.9,7637700.0
