,Adj Close,Close,High,Low,Open,Volume
2008-01-02,56.73,61.01,62.7,60.59,62.5,417600.0
2008-01-03,56.35,60.6,61.3,60.31,61.3,487600.0
2008-01-04,53.65,57.7,60.64,57.33,60.24,699000.0
2008-01-07,50.59,54.4,58.03,53.94,57.9,1365200.0
2008-01-08,48.41,52.06,55.08,52.05,54.23,1213300.0
2008-01-09,48.84,52.45,52.73,51.0,51.83,1542000.0
2008-01-10,48.9,52.51,53.73,51.3,51.73,1085900.0
2008-01-11,47.19,50.68,52.29,50.1,52.04,994300.0
2008-01-14,48.83,52.44,52.56,50.52,50.94,1150900.0
2008-01-15,47.37,50.87,52.53,50.62,52.3,1398000.0
2008-01-16,48.11,51.66,53.0,51.1,52.05,2000700.0
2008-01-17,46.61,50.05,52.61,49.76,51.78,958600.0
2008-01-18,47.35,50.85,51.88,50.41,50.51,1111800.0
2008-01-22,47.78,51.31,52.04,48.45,48.9,1337700.0
2008-01-23,48.89,52.5,52.62,48.94,50.15,1142200.0
2008-01-24,50.91,54.67,54.93,52.63,53.52,1161200.0
2008-01-25,50.78,54.53,55.89,54.43,55.0,887500.0
2008-01-28,50.96,54.73,54.73,53.15,54.53,731600.0
2008-01-29,51.04,54.81,55.12,53.92,55.08,726700.0
2008-01-30,50.66,54.4,55.66,53.5,54.26,811200.0
2008-01-31,52.07,55.92,56.2,53.41,53.7,749600.0
2008-02-01,53.31,57.25,57.53,55.53,55.85,640600.0
2008-02-04,53.05,56.97,57.5,56.45,57.36,407700.0
2008-02-05,51.63,55.45,56.17,55.28,56.05,600100.0
2008-02-06,51.31,55.1,56.26,54.95,55.96,601600.0
2008-02-07,50.19,53.9,54.7,53.61,54.5,1097200.0
2008-02-08,50.85,54.61,54.85,53.64,53.67,487600.0
2008-02-11,50.79,54.54,54.8,53.76,54.75,496400.0
2008-02-12,51.36,55.15,55.74,54.36,54.71,972100.0
2008-02-13,52.78,56.68,56.73,55.45,55.72,586000.0
2008-02-14,52.34,56.21,56.87,56.0,56.87,581600.0
2008-02-15,51.42,55.22,56.11,55.07,55.84,555300.0
2008-02-19,50.82,54.58,55.9,54.29,55.85,563500.0
2008-02-20,52.19,56.05,56.3,54.0,54.22,737600.0
2008-02-21,52.77,56.67,57.07,56.04,56.5,761100.0
2008-02-22,55.38,59.47,60.93,57.28,58.0,1875600.0
2008-02-25,54.55,58.58,58.89,56.3,57.62,1254100.0
2008-02-26,55.15,59.22,60.04,58.19,58.48,1186800.0
2008-02-27,55.23,59.31,59.99,58.63,58.63,780000.0
2008-02-28,54.56,58.59,59.41,58.21,59.11,435100.0
2008-02-29,52.52,56.4,57.89,56.12,57.79,612600.0
2008-03-03,53.27,57.21,57.41,55.91,56.4,509500.0
2008-03-04,52.4,56.27,57.6,55.28,56.74,742400.0
2008-03-05,52.78,56.68,57.6,56.22,56.25,702800.0
2008-03-06,52.34,56.21,57.19,56.13,56.5,934000.0
2008-03-07,50.91,54.67,56.29,54.17,55.64,588000.0
2008-03-10,49.42,53.07,54.59,53.01,54.59,746300.0
2008-03-11,51.22,55.0,55.27,54.04,54.42,715600.0
2008-03-12,52.18,56.03,56.82,55.17,55.25,811300.0
2008-03-13,52.78,56.68,57.13,54.35,55.33,674700.0
2008-03-14,51.58,55.39,57.08,54.52,57.04,686100.0
2008-03-17,51.04,54.81,55.49,54.04,54.86,722300.0
2008-03-18,52.98,56.89,57.43,55.18,55.63,704500.0
2008-03-19,52.31,56.18,58.35,56.18,57.28,836600.0
2008-03-20,52.78,56.68,57.06,55.51,56.08,1184700.0
2008-03-24,54.4,58.42,58.8,56.89,56.89,600400.0
2008-03-25,55.5,59.6,59.89,58.33,58.48,730200.0
2008-03-26,55.53,59.63,59.82,58.44,59.3,632000.0
2008-03-27,55.11,59.18,59.9,58.79,59.75,633900.0
2008-03-28,54.71,58.75,59.15,58.35,59.0,666700.0
2008-03-31,55.35,59.44,59.9,58.39,58.7,1108800.0
2008-04-01,57.7,61.96,61.96,59.55,59.6,765900.0
2008-04-02,57.58,61.83,62.34,61.34,61.98,514000.0
2008-04-03,57.51,61.76,62.17,60.99,61.54,412100.0
2008-04-04,57.61,61.87,62.11,61.2,61.8,728000.0
2008-04-07,57.7,61.96,62.58,61.64,62.35,505700.0
2008-04-08,57.73,61.99,62.0,61.1,61.64,442600.0
2008-04-09,57.59,61.77,62.23,61.47,61.91,720200.0
2008-04-10,57.98,62.19,62.49,61.23,61.6,411400.0
2008-04-11,55.84,59.89,61.7,59.59,61.66,754600.0
2008-04-14,55.37,59.39,60.18,59.2,59.89,631000.0
2008-04-15,55.37,59.39,59.98,58.89,59.75,535400.0
2008-04-16,57.51,61.69,62.17,59.96,59.96,630300.0
2008-04-17,56.94,61.08,61.79,60.57,61.33,404700.0
2008-04-18,57.79,61.99,62.45,61.31,61.85,565100.0
2008-04-21,58.74,63.01,63.15,61.38,61.89,455900.0
2008-04-22,58.26,62.49,63.2,61.74,62.65,596200.0
2008-04-23,58.0,62.21,62.74,61.76,62.67,651100.0
2008-04-24,57.99,62.2,62.46,60.71,62.3,533600.0
2008-04-25,57.87,62.07,63.6,60.49,63.6,833900.0
2008-04-28,57.79,61.99,62.44,61.31,62.44,531700.0
2008-04-29,56.91,61.04,62.04,60.35,62.03,613700.0
2008-04-30,57.91,62.12,63.12,61.37,61.43,806400.0
