,Adj Close,Close,High,Low,Open,Volume
2008-01-02,5.53,6.25,6.43,6.24,6.37,5923200.0
2008-01-03,5.36,6.07,6.25,6.05,6.25,4152400.0
2008-01-04,5.11,5.78,6.02,5.73,6.01,10352000.0
2008-01-07,5.02,5.68,5.85,5.6,5.78,11090000.0
2008-01-08,4.75,5.37,5.72,5.37,5.71,9110800.0
2008-01-09,4.88,5.52,5.53,5.31,5.38,9247600.0
2008-01-10,5.43,6.14,6.29,5.57,5.57,18081200.0
2008-01-11,5.38,6.09,6.13,5.93,6.11,13412800.0
2008-01-14,5.43,6.14,6.22,6.1,6.12,8600800.0
2008-01-15,5.29,5.99,6.11,5.93,6.08,7033600.0
2008-01-16,5.47,6.19,6.3,5.93,5.95,10075200.0
2008-01-17,5.54,6.27,6.42,6.18,6.2,11010400.0
2008-01-18,5.53,6.26,6.55,6.24,6.29,11842400.0
2008-01-22,5.86,6.63,6.66,6.07,6.16,12585200.0
2008-01-23,6.07,6.86,6.94,6.41,6.47,16274000.0
2008-01-24,6.2,7.01,7.07,6.72,6.87,14272800.0
2008-01-25,5.84,6.61,7.06,6.55,7.06,10860000.0
2008-01-28,6.22,7.03,7.03,6.54,6.6,7781600.0
2008-01-29,6.35,7.19,7.2,6.79,7.04,8864800.0
2008-01-30,6.24,7.05,7.26,7.03,7.16,9442800.0
2008-01-31,6.44,7.29,7.4,6.88,6.95,10848400.0
2008-02-01,6.61,7.47,7.47,7.16,7.27,9440800.0
2008-02-04,6.22,7.04,7.46,6.94,7.46,8343600.0
2008-02-05,6.08,6.88,7.1,6.87,6.97,11177200.0
2008-02-06,5.99,6.77,7.07,6.76,6.93,8423600.0
2008-02-07,6.18,6.99,7.12,6.88,6.95,16202000.0
2008-02-08,6.08,6.88,7.01,6.84,7.01,9474400.0
2008-02-11,6.17,6.98,7.03,6.84,6.9,8748000.0
2008-02-12,6.23,7.05,7.16,7.0,7.03,6933600.0
2008-02-13,6.21,7.02,7.18,6.92,7.12,6094800.0
2008-02-14,6.08,6.88,7.05,6.81,7.05,6868000.0
2008-02-15,6.08,6.88,6.93,6.7,6.73,11909200.0
2008-02-19,6.03,6.82,6.95,6.78,6.95,5402800.0
2008-02-20,6.28,7.08,7.13,6.73,6.73,9480400.0
2008-02-21,6.21,6.99,7.21,6.97,7.11,6408800.0
2008-02-22,6.28,7.08,7.11,6.89,7.03,4545600.0
2008-02-25,6.42,7.24,7.29,7.01,7.09,5680000.0
2008-02-26,6.53,7.36,7.44,7.14,7.22,5310000.0
2008-02-27,6.47,7.29,7.45,7.24,7.3,7102000.0
2008-02-28,6.29,7.09,7.29,7.05,7.24,6668400.0
2008-02-29,6.18,6.96,7.18,6.93,7.0,6143200.0
2008-03-03,6.26,7.05,7.06,6.81,6.97,9709200.0
2008-03-04,6.38,7.19,7.2,6.96,6.97,9132000.0
2008-03-05,6.43,7.25,7.37,7.14,7.22,9188400.0
