,Adj Close,Close,High,Low,Open,Volume
2008-01-02,33.09,33.14,34.04,32.57,33.77,607500.0
2008-01-03,32.24,32.29,33.14,32.0,33.01,1372000.0
2008-01-04,31.13,31.17,32.0,30.8,31.95,1564300.0
2008-01-07,30.29,30.33,31.6,30.05,31.37,1093400.0
2008-01-08,29.52,29.56,31.43,29.45,30.5,1554100.0
2008-01-09,28.46,28.5,29.44,27.86,29.33,2257200.0
2008-01-10,28.55,28.59,29.11,28.02,28.28,1408300.0
2008-01-11,28.23,28.27,28.66,27.5,28.46,1345400.0
2008-01-14,29.45,29.49,29.86,28.65,28.7,2986100.0
2008-01-15,28.94,28.98,29.34,28.74,29.01,1893300.0
2008-01-16,27.73,27.77,29.14,27.51,28.83,1850300.0
2008-01-17,26.61,26.65,28.2,26.4,27.98,1956000.0
2008-01-18,26.13,26.17,27.15,24.88,26.83,4968000.0
2008-01-22,25.69,25.73,26.11,24.56,25.42,2970800.0
2008-01-23,25.46,25.5,25.78,23.93,25.05,3213600.0
2008-01-24,27.46,27.5,27.52,25.55,25.56,2160000.0
2008-01-25,26.33,26.37,27.74,26.19,27.56,1709200.0
2008-01-28,26.73,26.77,27.02,26.03,26.34,942200.0
2008-01-29,29.18,29.22,29.79,26.79,26.97,2976000.0
2008-01-30,28.46,28.5,29.89,28.42,29.42,2106000.0
2008-01-31,29.57,29.61,29.8,27.76,28.06,1529000.0
2008-02-01,30.96,31.0,31.2,29.41,29.78,2065300.0
2008-02-04,30.41,30.45,31.25,30.33,30.87,787000.0
2008-02-05,28.72,28.76,30.35,28.56,30.16,1569600.0
2008-02-06,28.89,28.93,29.97,28.9,28.9,1293500.0
2008-02-07,29.06,29.1,29.3,28.0,28.69,1583200.0
2008-02-08,30.8,30.84,31.18,28.52,28.98,2455100.0
2008-02-11,30.8,30.84,31.06,29.86,30.9,1295700.0
2008-02-12,30.96,31.0,31.88,30.81,31.0,1309700.0
2008-02-13,30.8,30.84,31.12,30.49,30.95,1321400.0
2008-02-14,30.68,30.72,31.55,30.42,31.11,2852900.0
2008-02-15,30.31,30.35,30.65,30.05,30.49,769800.0
2008-02-19,31.0,31.04,31.13,30.62,30.88,961700.0
2008-02-20,30.7,30.74,31.14,30.01,30.93,1280200.0
2008-02-21,29.53,29.57,30.96,29.21,30.88,1894700.0
2008-02-22,32.16,32.2,32.43,30.27,30.33,3286100.0
2008-02-25,32.77,32.82,33.03,31.48,31.97,1855800.0
2008-02-26,33.17,33.22,33.71,32.53,32.94,1518700.0
2008-02-27,32.42,32.47,33.72,32.22,33.34,1638100.0
2008-02-28,32.34,32.39,33.42,32.02,32.36,1373100.0
2008-02-29,31.01,31.05,32.5,30.51,32.5,1528500.0
2008-03-03,30.18,30.22,31.12,29.84,30.87,1235800.0
2008-03-04,29.2,29.24,30.06,28.57,29.86,2510400.0
2008-03-05,29.56,29.6,30.27,29.26,29.3,1399800.0
2008-03-06,28.68,28.72,29.9,28.64,29.49,917100.0
2008-03-07,28.31,28.35,29.04,27.77,28.58,1424600.0
2008-03-10,27.11,27.15,28.52,27.05,28.52,1265600.0
2008-03-11,28.53,28.57,28.61,27.31,28.01,1460900.0
2008-03-12,28.31,28.35,28.91,28.23,28.86,867700.0
2008-03-13,29.11,29.15,29.45,27.42,28.0,2314100.0
2008-03-14,28.06,28.1,29.47,27.68,29.29,1858700.0
2008-03-17,27.18,27.22,27.92,26.57,27.46,1255800.0
2008-03-18,28.67,28.71,28.85,27.75,27.92,2024500.0
2008-03-19,27.98,28.02,29.49,27.98,29.25,1618800.0
2008-03-20,28.36,28.4,28.47,27.42,28.29,1053500.0
2008-03-24,29.73,29.77,30.35,28.29,28.52,2019100.0
2008-03-25,30.32,30.36,31.13,28.94,29.83,2612600.0
2008-03-26,31.17,31.21,31.71,30.36,30.51,2391700.0
2008-03-27,31.23,31.27,31.59,30.7,30.96,1585400.0
2008-03-28,30.06,30.1,31.27,29.88,31.04,1580400.0
2008-03-31,29.79,29.83,30.27,29.56,30.01,1784600.0
2008-04-01,30.01,30.05,30.3,29.37,30.0,2125800.0
2008-04-02,31.17,31.21,31.33,29.77,29.77,3132400.0
2008-04-03,31.5,31.54,32.13,30.89,31.28,2260200.0
2008-04-04,30.98,31.02,31.92,30.86,31.49,1520400.0
2008-04-07,30.62,30.66,31.45,30.5,31.36,1155700.0
2008-04-08,31.05,31.09,31.5,30.42,30.42,1172300.0
2008-04-09,29.86,29.9,31.22,29.5,31.2,1235900.0
2008-04-10,30.0,30.04,30.09,29.37,29.91,1363900.0
2008-04-11,29.53,29.57,30.9,29.38,30.8,1488900.0
2008-04-14,29.33,29.37,29.98,29.14,29.37,605000.0
2008-04-15,30.21,30.25,30.34,29.02,29.57,914400.0
2008-04-16,30.76,30.8,30.98,30.4,30.4,1475300.0
2008-04-17,30.37,30.41,30.88,30.03,30.76,896500.0
2008-04-18,31.51,31.55,31.98,30.86,31.0,1447700.0
2008-04-21,31.79,31.83,32.16,31.39,31.39,796200.0
2008-04-22,31.37,31.41,31.89,31.03,31.72,653800.0
2008-04-23,31.69,31.73,32.07,31.34,31.51,1460900.0
2008-04-24,32.69,32.74,32.92,31.6,31.82,2189100.0
2008-04-25,33.1,33.15,33.32,32.26,32.75,1218500.0
2008-04-28,33.08,33.13,33.32,32.88,33.25,1669700.0
2008-04-29,32.88,32.93,33.13,32.36,32.96,849000.0
2008-04-30,32.29,32.34,33.26,32.19,32.84,1469400.0
2008-05-01,33.46,33.51,34.07,32.08,32.29,2194900.0
2008-05-02,33.38,33.43,34.37,32.9,33.89,1289200.0
2008-05-05,33.17,33.22,33.63,32.44,33.44,1295400.0
2008-05-06,34.44,34.49,34.63,33.03,33.29,1770600.0
2008-05-07,34.35,34.4,36.1,34.28,34.79,2912300.0
2008-05-08,34.19,34.24,34.59,33.89,34.59,790900.0
2008-05-09,33.92,33.97,34.55,33.86,33.98,991400.0
2008-05-12,34.5,34.55,34.8,32.61,32.68,3500800.0
2008-05-13,34.95,35.0,35.08,34.27,34.51,8170300.0
2008-05-14,35.01,35.06,35.65,34.92,35.05,1604100.0
2008-05-15,35.19,35.24,35.32,34.7,35.12,1493000.0
2008-05-16,35.72,35.77,35.83,35.01,35.33,2584800.0
2008-05-19,36.52,36.57,36.97,35.72,35.84,2335100.0
2008-05-20,36.04,36.09,36.57,35.74,36.5,1679500.0
2008-05-21,35.77,35.82,36.3,35.56,36.28,1908500.0
2008-05-22,35.71,35.76,35.91,35.22,35.85,1238700.0
2008-05-23,35.59,35.64,35.92,35.43,35.68,622700.0
2008-05-27,36.02,36.07,36.58,35.58,35.58,893900.0
2008-05-28,36.47,36.52,36.71,36.02,36.39,795700.0
2008-05-29,36.99,37.04,37.16,36.39,36.51,851900.0
2008-05-30,37.17,37.22,37.43,36.96,37.07,1366400.0
