,Adj Close,Close,High,Low,Open,Volume
2008-01-02,21.2,24.58,25.69,24.44,25.55,12670200.0
2008-01-03,21.37,24.78,24.94,24.59,24.77,6936300.0
2008-01-04,20.65,23.95,24.65,23.78,24.55,7963100.0
2008-01-07,21.08,24.44,24.52,23.91,24.08,9959700.0
2008-01-08,19.59,22.72,24.54,22.67,24.5,12751500.0
2008-01-09,19.58,22.7,22.95,21.55,22.79,23305100.0
2008-01-10,20.49,23.76,24.01,22.09,22.52,12094000.0
2008-01-11,19.45,22.55,23.61,22.37,23.39,12076900.0
2008-01-14,19.99,23.18,23.4,22.63,22.85,9335800.0
2008-01-15,19.37,22.46,22.95,22.34,22.82,9305700.0
2008-01-16,19.67,22.81,23.29,21.88,22.32,14779600.0
2008-01-17,18.93,21.95,23.2,21.76,22.54,14425400.0
2008-01-18,18.93,21.95,22.65,20.9,21.98,15696400.0
2008-01-22,18.62,21.59,22.49,20.71,20.77,15313000.0
2008-01-23,19.43,22.53,22.6,20.8,21.08,17288300.0
2008-01-24,19.21,22.28,22.87,22.08,22.35,12688500.0
2008-01-25,18.29,21.21,22.54,21.09,22.54,16428900.0
2008-01-28,18.62,21.59,21.61,20.79,21.02,16113700.0
2008-01-29,18.39,21.32,21.85,20.93,21.65,12867700.0
2008-01-30,18.52,21.48,22.77,20.98,21.14,17599500.0
2008-01-31,19.23,22.3,22.43,20.76,21.05,16837700.0
2008-02-01,19.01,22.04,22.26,21.56,22.26,13537300.0
2008-02-04,18.78,21.78,22.19,21.6,22.1,11512800.0
2008-02-05,17.49,20.28,21.6,20.28,21.31,17046000.0
2008-02-06,17.45,20.18,20.85,20.07,20.58,12506500.0
2008-02-07,17.64,20.41,20.74,19.89,20.04,12426200.0
2008-02-08,17.08,19.76,20.48,19.74,20.48,15261700.0
2008-02-11,17.56,20.31,20.49,19.7,19.75,14720100.0
2008-02-12,17.3,20.01,20.73,19.93,20.51,15360800.0
2008-02-13,17.6,20.36,20.5,19.87,20.27,14334000.0
2008-02-14,17.44,20.17,20.68,20.1,20.35,12370800.0
2008-02-15,17.59,20.35,20.38,19.89,20.31,11603900.0
2008-02-19,16.76,19.39,20.78,19.33,20.56,15036600.0
2008-02-20,16.9,19.55,19.7,18.63,19.11,21593500.0
2008-02-21,17.22,19.92,20.48,19.87,19.98,17268100.0
2008-02-22,17.33,20.05,20.08,19.2,20.08,11841500.0
2008-02-25,17.77,20.55,20.86,19.82,20.1,17077000.0
2008-02-26,17.74,20.52,20.76,20.13,20.49,14249300.0
2008-02-27,17.89,20.69,20.96,20.29,20.44,11564700.0
2008-02-28,17.47,20.21,20.75,19.99,20.69,11937900.0
2008-02-29,16.95,19.61,20.14,19.5,19.91,14111600.0
2008-03-03,16.69,19.3,19.53,19.05,19.5,13247600.0
2008-03-04,16.91,19.56,19.67,19.0,19.28,14525800.0
2008-03-05,17.12,19.8,20.13,19.59,19.74,11887100.0
2008-03-06,16.39,18.96,19.76,18.92,19.2,19194100.0
2008-03-07,16.46,19.04,19.46,18.5,19.15,13831500.0
2008-03-10,16.1,18.62,19.29,18.62,19.19,10904400.0
2008-03-11,17.71,20.49,20.49,19.17,19.17,18683200.0
2008-03-12,17.26,19.97,20.79,19.89,20.75,13409800.0
2008-03-13,17.72,20.5,20.73,19.39,19.96,18103500.0
2008-03-14,17.11,19.79,20.79,19.39,19.77,24686900.0
2008-03-17,16.23,18.77,19.67,18.34,19.43,26887900.0
2008-03-18,16.64,19.25,19.46,18.57,19.45,30031900.0
2008-03-19,15.81,18.29,19.31,18.22,19.22,18944300.0
2008-03-20,16.82,19.46,19.51,18.29,18.51,21561700.0
2008-03-24,17.08,19.76,20.46,19.42,19.53,15887400.0
2008-03-25,17.43,20.16,20.44,19.61,19.98,13401800.0
2008-03-26,16.81,19.45,20.09,19.38,20.02,11449600.0
2008-03-27,15.93,18.43,19.59,18.42,19.5,14882100.0
2008-03-28,15.6,18.04,18.73,18.02,18.54,10216200.0
2008-03-31,16.28,18.83,19.08,17.86,18.01,15060000.0
2008-04-01,17.2,19.9,19.96,19.16,19.32,23375400.0
2008-04-02,17.16,19.85,20.5,19.66,20.0,15363600.0
2008-04-03,17.13,19.81,20.08,19.46,19.79,12122700.0
2008-04-04,16.46,19.04,19.84,18.9,19.81,15017800.0
2008-04-07,16.79,19.42,19.65,19.15,19.15,9836300.0
2008-04-08,16.81,19.44,19.47,19.11,19.24,15458100.0
2008-04-09,16.43,19.01,19.58,18.97,19.39,15169400.0
2008-04-10,16.3,18.86,19.85,18.74,18.98,15657000.0
2008-04-11,15.85,18.33,19.06,18.26,18.79,12947300.0
2008-04-14,15.83,18.31,18.45,18.1,18.31,8167300.0
2008-04-15,17.25,19.95,19.97,18.72,18.73,23822500.0
2008-04-16,17.36,20.08,20.24,19.65,19.96,16249700.0
2008-04-17,18.14,20.98,21.07,19.65,20.04,17370300.0
2008-04-18,18.76,21.7,22.3,21.26,21.88,25776900.0
2008-04-21,18.32,21.19,21.63,21.06,21.44,10912000.0
2008-04-22,18.27,21.13,21.48,20.8,21.15,11995700.0
2008-04-23,18.81,21.76,21.95,21.07,21.14,15426800.0
