,Adj Close,Close,High,Low,Open,Volume
2008-01-02,52.44,79.71,81.33,78.46,80.72,2229300.0
2008-01-03,51.25,77.9,80.93,77.58,80.02,2477300.0
2008-01-04,48.58,73.84,77.44,73.25,77.31,5350600.0
2008-01-07,49.59,75.38,76.18,72.48,74.44,3047100.0
2008-01-08,47.25,71.82,77.93,71.63,75.64,3529500.0
2008-01-09,48.7,74.02,74.09,70.07,71.73,4065500.0
2008-01-10,49.91,75.87,77.8,71.43,73.32,4233000.0
2008-01-11,50.09,76.14,77.29,73.81,75.32,4071200.0
2008-01-14,49.88,75.82,77.52,73.81,76.91,2234200.0
2008-01-15,48.34,73.48,74.83,72.62,74.28,2731800.0
2008-01-16,49.05,74.56,76.07,72.96,73.04,2984600.0
2008-01-17,48.57,73.82,75.64,72.49,74.64,3616800.0
2008-01-18,47.75,72.58,75.58,70.94,74.48,3393300.0
2008-01-22,51.04,77.58,78.65,69.43,69.65,6413000.0
2008-01-23,55.07,83.71,84.07,76.11,76.55,5879300.0
2008-01-24,53.61,81.49,83.72,80.44,82.74,3666100.0
2008-01-25,52.87,80.37,83.34,79.7,82.11,2867200.0
2008-01-28,54.09,82.21,82.37,78.37,80.32,2814200.0
2008-01-29,53.56,81.42,82.76,79.91,82.58,2564100.0
2008-01-30,53.03,80.61,84.61,79.82,81.23,3029100.0
2008-01-31,54.58,82.96,82.96,78.85,80.46,3000100.0
2008-02-01,58.31,88.64,88.88,82.92,82.92,4223600.0
2008-02-04,57.5,87.39,88.91,86.03,88.65,2992400.0
2008-02-05,54.28,82.51,86.02,82.35,86.02,3348100.0
2008-02-06,52.57,79.9,83.1,79.82,82.79,3060000.0
2008-02-07,53.47,81.27,81.27,78.22,79.31,3122300.0
2008-02-08,51.21,77.83,80.85,76.19,80.52,2746400.0
2008-02-11,51.05,77.59,79.2,76.2,77.96,1988500.0
2008-02-12,52.56,79.89,80.28,77.95,78.27,1931600.0
2008-02-13,52.56,79.06,81.44,77.33,80.34,2789400.0
2008-02-14,52.19,78.5,79.69,77.82,79.63,2686500.0
2008-02-15,52.15,78.44,78.91,76.53,78.34,1981900.0
2008-02-19,51.44,77.38,79.88,76.52,78.66,1546400.0
2008-02-20,52.43,78.86,78.86,76.24,76.55,1471500.0
2008-02-21,51.67,77.71,79.63,77.06,78.9,2764700.0
2008-02-22,52.99,79.71,79.71,76.63,78.19,2056500.0
2008-02-25,55.02,82.75,82.88,78.21,79.59,2707900.0
2008-02-26,54.52,82.01,82.82,81.32,82.26,2684800.0
2008-02-27,54.15,81.44,82.48,80.67,81.67,1686000.0
2008-02-28,52.94,79.63,81.08,79.56,80.6,1497000.0
2008-02-29,51.71,77.78,79.4,77.45,78.88,2067800.0
2008-03-03,52.4,78.82,78.82,76.53,77.54,3158100.0
2008-03-04,52.85,79.5,80.17,77.52,77.94,3071000.0
