,Adj Close,Close,High,Low,Open,Volume
2008-01-02,32.49,42.72,43.97,42.64,43.87,2343400.0
2008-01-03,31.92,41.97,42.65,41.9,42.6,2482100.0
2008-01-04,31.03,40.81,42.0,40.47,41.7,2894500.0
2008-01-07,32.23,42.38,42.64,40.94,40.98,3151300.0
2008-01-08,30.81,40.52,42.4,40.49,42.4,2586200.0
2008-01-09,32.21,42.36,42.36,40.0,40.0,2889500.0
2008-01-10,32.31,42.49,43.09,41.04,42.13,2958700.0
2008-01-11,32.48,42.71,43.13,41.78,42.18,2063200.0
2008-01-14,32.66,42.95,43.34,42.48,42.76,1850100.0
2008-01-15,31.81,41.83,42.68,41.72,42.5,2437900.0
2008-01-16,30.62,40.27,41.97,40.16,41.8,5099300.0
2008-01-17,30.14,39.64,41.3,39.56,40.32,4389800.0
2008-01-18,29.34,38.58,39.93,37.67,39.8,6768800.0
2008-01-22,29.6,38.92,39.44,36.93,37.0,3577500.0
2008-01-23,30.2,39.71,39.86,36.93,36.93,4107500.0
2008-01-24,32.47,42.7,44.76,39.24,39.24,5382000.0
2008-01-25,31.94,42.0,43.54,41.42,43.2,4745400.0
2008-01-28,31.78,41.79,43.22,40.96,41.97,2961300.0
2008-01-29,31.68,41.66,42.14,40.74,42.14,2808800.0
2008-01-30,32.19,42.33,43.53,41.5,41.55,3401700.0
2008-01-31,32.52,42.76,43.2,41.43,41.75,2496300.0
2008-02-01,33.5,44.06,44.2,42.86,42.86,2575800.0
2008-02-04,33.14,43.58,44.3,42.83,43.41,1742700.0
2008-02-05,32.65,42.94,43.34,42.6,42.61,2002200.0
2008-02-06,31.54,41.48,42.94,41.39,42.5,2002400.0
2008-02-07,32.71,43.01,43.92,41.17,41.17,4752100.0
2008-02-08,30.92,40.66,43.55,39.79,42.66,3739500.0
2008-02-11,31.28,41.14,41.32,40.03,40.68,1746200.0
2008-02-12,31.63,41.6,42.34,40.81,41.31,1999700.0
2008-02-13,31.95,42.01,42.54,41.49,42.13,2209600.0
2008-02-14,31.82,41.85,42.45,41.64,42.11,1859800.0
2008-02-15,31.13,40.94,41.72,40.82,41.72,1781300.0
2008-02-19,31.17,40.99,41.83,40.38,41.4,2044100.0
2008-02-20,31.94,42.0,42.04,40.29,40.89,2519600.0
2008-02-21,31.7,41.69,42.82,41.51,42.08,2755900.0
2008-02-22,31.26,41.11,41.96,40.56,41.53,2693900.0
2008-02-25,31.95,41.79,41.92,40.09,41.0,3015800.0
2008-02-26,33.41,43.7,44.08,41.7,41.7,2736200.0
2008-02-27,33.23,43.46,43.7,42.83,43.36,1616900.0
2008-02-28,32.14,42.04,43.35,41.84,43.05,1936600.0
2008-02-29,31.29,40.93,41.83,40.86,41.57,1959700.0
2008-03-03,31.12,40.71,41.07,40.12,40.95,1525000.0
2008-03-04,30.93,40.46,41.04,39.83,40.47,2246900.0
2008-03-05,30.88,40.39,40.91,39.69,40.49,1301900.0
2008-03-06,29.63,38.75,40.59,38.58,40.24,3165900.0
2008-03-07,29.73,38.89,39.64,38.28,38.51,2855900.0
2008-03-10,29.04,37.99,39.21,37.94,38.86,1925600.0
