,Adj Close,Close,High,Low,Open,Volume
2008-01-02,64.83,78.88,81.09,78.21,80.79,2643700.0
2008-01-03,70.16,85.37,86.46,82.41,82.64,11043000.0
2008-01-04,67.24,81.82,86.55,81.63,83.53,7661900.0
2008-01-07,67.71,82.39,83.83,80.72,82.48,5477300.0
2008-01-08,66.87,81.37,84.57,81.25,82.52,6376900.0
2008-01-09,68.98,83.93,83.94,79.35,81.28,5440900.0
2008-01-10,68.5,83.35,84.65,80.24,83.14,5760700.0
2008-01-11,68.05,82.8,85.0,81.57,82.43,5639500.0
2008-01-14,69.74,84.86,85.4,81.3,83.42,5316300.0
2008-01-15,65.6,79.82,82.19,78.11,81.04,8211900.0
2008-01-16,66.93,81.44,83.41,78.0,79.3,5086300.0
2008-01-17,61.64,75.0,83.02,74.63,81.84,8616500.0
2008-01-18,60.88,74.08,76.87,72.32,75.67,8461100.0
2008-01-22,61.55,74.89,77.53,70.01,70.01,7648000.0
2008-01-23,65.3,79.45,80.72,71.77,74.55,8159900.0
2008-01-24,67.1,81.64,82.43,78.65,80.06,7905000.0
2008-01-25,64.53,78.52,82.58,77.88,82.58,5293100.0
2008-01-28,65.44,79.63,79.63,77.0,78.52,3561000.0
2008-01-29,65.71,79.95,80.55,78.25,80.0,3842000.0
2008-01-30,65.8,80.07,83.09,77.77,79.54,5153200.0
2008-01-31,67.49,82.12,82.88,77.62,78.19,5432600.0
2008-02-01,69.01,83.97,84.5,81.66,81.66,4337100.0
2008-02-04,67.97,82.71,83.91,82.05,83.5,4155700.0
2008-02-05,66.36,80.75,82.66,80.48,81.64,4459300.0
2008-02-06,65.69,79.93,82.17,79.06,79.84,4187100.0
2008-02-07,68.27,83.07,83.96,79.38,79.83,4664800.0
2008-02-08,67.83,82.54,83.69,81.09,82.24,3089400.0
2008-02-11,68.62,83.49,84.7,81.24,83.0,4160800.0
2008-02-12,68.4,83.23,85.1,81.85,83.91,3276600.0
2008-02-13,68.25,83.04,84.25,81.36,83.95,3219000.0
2008-02-14,67.36,81.96,83.95,81.9,82.91,3317000.0
2008-02-15,68.97,83.92,83.93,81.06,82.43,2939900.0
2008-02-19,68.27,83.07,85.76,82.18,84.58,2759900.0
2008-02-20,69.77,84.9,85.0,81.8,82.47,4183300.0
2008-02-21,67.63,82.29,85.25,82.24,85.14,3258100.0
2008-02-22,67.13,81.68,82.49,79.02,82.0,4909800.0
2008-02-25,68.36,83.18,83.67,80.06,80.77,4146900.0
2008-02-26,68.05,82.8,83.65,82.06,82.46,3788400.0
2008-02-27,68.31,83.12,84.25,81.92,82.14,3451000.0
2008-02-28,67.15,81.71,83.12,81.32,82.36,2147800.0
2008-02-29,64.56,78.55,80.96,77.96,80.96,3435800.0
2008-03-03,63.85,77.69,78.78,75.95,77.76,3502500.0
2008-03-04,64.19,78.1,78.65,76.1,77.12,4883900.0
2008-03-05,64.42,78.39,80.05,77.14,78.5,3694600.0
2008-03-06,62.48,76.03,78.13,75.95,77.96,3997600.0
2008-03-07,62.66,76.24,77.99,74.3,75.42,4216300.0
2008-03-10,59.77,72.73,77.07,72.67,76.17,5808600.0
2008-03-11,64.07,77.96,78.2,74.32,75.06,6001900.0
2008-03-12,63.66,77.46,80.01,77.08,77.6,3115000.0
