,Adj Close,Close,High,Low,Open,Volume
2008-01-02,35.17,46.56,48.54,46.29,48.54,1296600.0
2008-01-03,34.58,45.77,46.92,45.61,46.62,768100.0
2008-01-04,33.5,44.35,45.43,43.69,45.43,1166800.0
2008-01-07,33.87,44.84,45.22,44.27,44.69,1041400.0
2008-01-08,33.71,44.62,47.28,44.62,46.88,2302400.0
2008-01-09,34.37,45.49,45.55,43.93,44.48,2249400.0
2008-01-10,35.1,46.46,46.87,45.02,45.17,1626400.0
2008-01-11,34.77,46.03,46.67,45.66,46.59,980000.0
2008-01-14,35.2,46.6,46.81,46.01,46.48,881700.0
2008-01-15,35.02,46.36,46.8,45.79,45.89,928200.0
2008-01-16,35.39,46.85,47.34,45.98,45.98,1619900.0
2008-01-17,35.0,46.33,47.5,46.23,46.9,1613300.0
2008-01-18,35.23,46.63,47.24,45.99,47.24,1445900.0
2008-01-22,34.94,46.25,46.56,44.37,44.37,1840500.0
2008-01-23,35.11,46.48,46.74,44.5,44.99,3831500.0
2008-01-24,34.8,46.06,46.77,45.35,46.42,2041700.0
2008-01-25,35.19,46.58,47.31,46.17,46.2,1545100.0
2008-01-28,36.95,48.91,48.91,45.75,46.3,1725400.0
2008-01-29,36.77,48.67,49.01,48.16,49.0,742400.0
2008-01-30,36.65,48.51,49.93,48.2,48.4,927800.0
2008-01-31,38.8,51.36,51.75,47.58,47.84,1769900.0
2008-02-01,38.77,51.32,52.18,50.71,51.64,1212600.0
2008-02-04,38.21,50.58,51.33,49.7,51.33,1149100.0
2008-02-05,36.99,48.97,49.82,48.9,49.79,862500.0
2008-02-06,36.73,48.62,49.9,48.59,49.25,821800.0
2008-02-07,37.09,49.1,49.63,48.25,48.46,877600.0
2008-02-08,36.81,48.73,49.42,48.58,48.9,848100.0
2008-02-11,37.58,49.75,49.95,48.13,48.68,806000.0
2008-02-12,37.45,49.57,50.28,49.17,49.8,1213200.0
2008-02-13,38.29,50.68,50.69,49.59,49.85,817700.0
2008-02-14,37.52,49.66,50.85,49.38,50.7,587000.0
2008-02-15,37.33,49.41,49.63,48.8,49.5,582400.0
2008-02-19,37.52,49.66,50.13,49.36,49.88,834300.0
2008-02-20,38.08,50.41,50.61,49.2,49.2,868600.0
2008-02-21,37.66,49.85,51.13,49.7,50.54,539700.0
2008-02-22,37.78,50.01,50.11,48.98,49.96,848400.0
2008-02-25,38.32,50.73,50.8,49.49,49.94,692900.0
2008-02-26,38.84,51.42,51.81,50.36,50.36,707700.0
2008-02-27,38.64,51.15,51.81,50.97,51.25,640900.0
2008-02-28,37.59,49.76,50.99,49.49,50.89,672400.0
2008-02-29,36.67,48.54,49.3,48.25,49.14,996300.0
2008-03-03,37.01,48.68,48.74,47.6,48.57,615100.0
2008-03-04,37.13,48.84,49.01,47.91,48.29,796800.0
2008-03-05,36.95,48.6,49.15,47.95,48.76,903900.0
2008-03-06,36.18,47.58,48.4,47.51,48.4,853400.0
2008-03-07,35.75,47.02,48.0,46.69,47.31,708400.0
2008-03-10,35.0,46.03,47.02,46.0,47.02,639600.0
2008-03-11,36.38,47.85,47.85,46.57,46.57,823800.0
2008-03-12,37.0,48.66,48.99,47.45,48.2,1222000.0
2008-03-13,36.84,48.46,48.62,47.51,47.96,983300.0
2008-03-14,36.06,47.43,48.73,46.7,48.59,1029400.0
2008-03-17,35.5,46.69,47.6,46.25,46.39,1143300.0
2008-03-18,36.62,48.16,48.16,46.91,47.84,975300.0
2008-03-19,35.99,47.34,49.0,47.34,48.67,1053400.0
2008-03-20,36.68,48.25,48.44,47.08,47.08,1031400.0
2008-03-24,37.86,49.8,50.03,48.6,48.65,577600.0
2008-03-25,37.99,49.97,50.14,49.25,50.05,482000.0
2008-03-26,37.34,49.11,49.98,48.72,49.81,429600.0
2008-03-27,36.45,47.94,49.3,47.76,49.06,835500.0
2008-03-28,35.83,47.12,48.22,47.11,48.08,639800.0
2008-03-31,36.21,47.62,48.05,46.8,47.11,753300.0
2008-04-01,37.92,49.88,49.88,48.15,48.26,1023200.0
2008-04-02,38.51,50.65,51.05,49.97,50.19,1078900.0
2008-04-03,38.43,50.55,50.7,50.0,50.15,733300.0
2008-04-04,38.49,50.62,50.95,49.62,50.86,586000.0
2008-04-07,38.27,50.34,51.08,50.04,51.08,539700.0
2008-04-08,37.73,49.63,50.07,49.06,50.07,755100.0
2008-04-09,37.17,48.89,50.04,48.73,49.8,391500.0
2008-04-10,37.44,49.25,49.47,48.63,49.06,566600.0
2008-04-11,36.57,48.1,48.79,47.96,48.76,591200.0
2008-04-14,36.07,47.44,48.06,47.42,48.04,550600.0
2008-04-15,36.75,48.34,48.34,47.54,47.76,549700.0
2008-04-16,37.77,49.68,49.69,48.54,48.76,495000.0
2008-04-17,37.84,49.77,49.99,49.21,49.51,460700.0
2008-04-18,38.36,50.45,50.99,50.19,50.43,712800.0
2008-04-21,38.35,50.44,50.53,49.45,50.2,506400.0
2008-04-22,37.84,49.77,50.33,49.26,50.3,551300.0
2008-04-23,38.03,50.02,50.86,49.44,50.04,595100.0
2008-04-24,36.74,48.32,49.28,46.42,48.94,1484300.0
