,Adj Close,Close,High,Low,Open,Volume
2008-01-02,29.305,29.305,29.315,27.9,28.0,8891400.0
2008-01-03,29.565,29.565,29.615,29.0,29.495,4006200.0
2008-01-04,28.31,28.31,29.57,28.125,29.34,5772800.0
2008-01-07,27.955,27.955,28.715,27.42,28.31,5167200.0
2008-01-08,27.985,27.985,28.57,27.845,28.11,7035000.0
2008-01-09,28.795,28.795,29.23,27.71,27.78,6044400.0
2008-01-10,29.525,29.525,29.555,28.315,28.72,5239000.0
2008-01-11,28.99,28.99,29.785,28.935,29.225,6238400.0
2008-01-14,30.01,30.01,30.09,29.38,29.555,5466000.0
2008-01-15,28.345,28.345,29.68,28.325,29.68,5296000.0
2008-01-16,26.585,26.585,28.285,25.705,28.285,7826000.0
2008-01-17,24.82,24.82,26.975,24.705,26.64,7460600.0
2008-01-18,25.42,25.42,25.61,24.205,24.87,7762800.0
2008-01-22,25.41,25.41,25.505,23.91,24.33,5822200.0
2008-01-23,25.46,25.46,25.8,23.77,24.995,9030200.0
2008-01-24,25.85,25.85,26.035,25.13,25.7,7650200.0
2008-01-25,25.525,25.525,26.71,25.305,26.085,3979400.0
2008-01-28,26.475,26.475,26.48,25.05,25.48,4636000.0
2008-01-29,26.67,26.67,27.19,26.145,26.675,3908400.0
2008-01-30,26.975,26.975,27.48,26.35,26.45,4191600.0
2008-01-31,28.05,28.05,28.125,26.15,26.635,6541200.0
2008-02-01,28.055,28.055,28.545,27.405,28.0,5805000.0
2008-02-04,28.585,28.585,28.94,27.79,27.795,3784200.0
2008-02-05,27.115,27.115,28.34,27.115,28.125,4136400.0
2008-02-06,26.55,26.55,27.91,26.54,27.9,3769800.0
2008-02-07,27.135,27.135,27.255,25.775,26.44,4875400.0
2008-02-08,29.035,29.035,29.125,27.02,27.025,5947400.0
2008-02-11,30.935,30.935,31.0,29.035,29.035,7386800.0
2008-02-12,30.485,30.485,31.48,29.755,31.04,9737600.0
2008-02-13,31.7,31.7,31.885,30.68,30.68,6010200.0
2008-02-14,30.895,30.895,32.22,30.81,31.76,6369800.0
