,Adj Close,Close,High,Low,Open,Volume
2008-01-02,11.35,16.06,16.3,15.88,16.11,18084900.0
2008-01-03,11.37,16.09,16.33,16.05,16.08,6773300.0
2008-01-04,11.11,15.72,16.06,15.67,15.85,15318900.0
2008-01-07,10.91,15.44,15.79,15.32,15.76,11953800.0
2008-01-08,11.08,15.67,16.03,15.15,15.51,22429800.0
2008-01-09,11.02,15.59,15.92,15.42,15.67,15052400.0
2008-01-10,11.0,15.57,15.61,15.2,15.42,12756300.0
2008-01-11,10.79,15.27,15.62,15.17,15.38,10327400.0
2008-01-14,11.08,15.67,15.69,15.21,15.35,9261700.0
2008-01-15,10.88,15.4,15.62,15.36,15.38,9436500.0
2008-01-16,11.3,15.99,16.4,15.57,15.73,19998800.0
2008-01-17,10.79,15.27,15.96,15.23,15.93,19229100.0
2008-01-18,10.73,15.18,15.42,15.0,15.01,18142600.0
2008-01-22,10.62,15.02,15.22,14.67,14.71,18351100.0
2008-01-23,10.79,15.26,15.4,14.54,14.54,19797700.0
2008-01-24,11.97,16.93,16.96,16.0,16.51,33093800.0
2008-01-25,11.58,16.38,17.1,16.31,17.1,14758500.0
2008-01-28,11.92,16.86,16.9,16.23,16.4,17105400.0
2008-01-29,11.92,16.87,17.15,16.78,16.97,19735400.0
2008-01-30,12.05,17.05,17.49,16.85,16.88,18888100.0
2008-01-31,12.67,17.93,18.07,17.01,17.12,27885500.0
2008-02-01,13.19,18.66,18.67,17.8,17.97,22176300.0
2008-02-04,13.08,18.51,18.72,18.46,18.56,17120600.0
2008-02-05,12.62,17.85,18.51,17.79,18.21,20796200.0
2008-02-06,12.57,17.78,18.25,17.77,17.91,16551300.0
2008-02-07,12.78,18.08,18.21,17.7,17.8,17057800.0
2008-02-08,12.65,17.9,18.26,17.69,17.96,9917400.0
2008-02-11,12.52,17.72,18.0,17.68,17.9,10232000.0
2008-02-12,12.55,17.76,18.01,17.7,17.86,15232900.0
2008-02-13,12.81,18.13,18.19,17.73,17.96,11871100.0
2008-02-14,12.35,17.48,18.2,17.36,18.2,11800900.0
2008-02-15,12.4,17.54,17.61,17.31,17.39,8987100.0
2008-02-19,12.25,17.33,17.65,17.25,17.61,13041500.0
2008-02-20,12.64,17.88,17.91,17.25,17.3,12578200.0
2008-02-21,12.33,17.44,17.95,17.39,17.88,10699500.0
2008-02-22,12.35,17.48,17.61,17.11,17.57,8647400.0
2008-02-25,12.62,17.86,17.91,17.42,17.59,14837900.0
2008-02-26,12.42,17.57,17.84,17.37,17.75,9522000.0
2008-02-27,12.37,17.5,17.69,17.35,17.41,6923000.0
2008-02-28,12.22,17.29,17.51,17.12,17.37,11022400.0
2008-02-29,11.9,16.84,17.17,16.74,17.09,13291100.0
2008-03-03,11.91,16.85,17.11,16.69,16.79,11950600.0
2008-03-04,12.1,17.12,17.14,16.65,16.77,14054100.0
2008-03-05,12.03,17.02,17.38,16.82,17.05,11439200.0
2008-03-06,12.05,17.05,17.17,16.88,16.95,10128300.0
2008-03-07,11.97,16.94,17.35,16.8,16.96,11293100.0
2008-03-10,11.85,16.76,17.11,16.7,17.09,12550500.0
2008-03-11,12.18,17.23,17.23,16.77,16.94,16516600.0
2008-03-12,12.16,17.2,17.62,17.08,17.08,10726900.0
2008-03-13,12.2,17.26,17.39,16.97,17.09,14399800.0
2008-03-14,11.63,16.46,17.26,16.32,16.76,18068000.0
2008-03-17,11.66,16.5,16.9,16.24,16.9,15118000.0
2008-03-18,11.92,16.87,16.87,16.54,16.6,14098500.0
2008-03-19,11.65,16.49,17.23,16.49,16.68,13077900.0
2008-03-20,12.08,17.09,17.11,16.42,16.68,16521700.0
2008-03-24,12.11,17.14,17.25,16.88,17.01,8618500.0
2008-03-25,12.08,17.09,17.5,17.01,17.25,9688800.0
2008-03-26,12.04,17.04,17.14,16.66,16.93,10287500.0
2008-03-27,12.03,17.02,17.26,16.85,16.97,15831800.0
2008-03-28,11.89,16.82,17.34,16.8,17.18,9823400.0
2008-03-31,11.75,16.62,16.92,16.53,16.72,10350200.0
2008-04-01,12.31,17.42,17.42,16.81,16.94,11480000.0
2008-04-02,12.38,17.51,17.64,17.35,17.42,9710800.0
2008-04-03,12.14,17.17,17.59,17.05,17.55,9048900.0
2008-04-04,12.26,17.34,17.5,17.09,17.27,7556900.0
2008-04-07,12.32,17.43,17.61,17.28,17.35,7035800.0
2008-04-08,12.39,17.53,17.7,17.22,17.35,10525500.0
2008-04-09,12.21,17.28,17.46,17.15,17.31,6984400.0
2008-04-10,12.33,17.45,17.58,17.16,17.25,11208100.0
2008-04-11,11.92,16.87,17.42,16.85,17.4,7520800.0
2008-04-14,11.93,16.88,17.11,16.84,16.9,8532400.0
2008-04-15,11.97,16.93,17.0,16.75,17.0,5181900.0
2008-04-16,12.1,17.12,17.17,16.77,16.97,8214600.0
2008-04-17,12.43,17.59,17.63,17.27,17.28,11841700.0
2008-04-18,12.5,17.69,17.93,17.61,17.87,8826300.0
2008-04-21,12.42,17.57,17.78,17.33,17.62,8785500.0
2008-04-22,12.27,17.36,17.64,17.27,17.41,8703900.0
2008-04-23,12.3,17.4,17.6,17.26,17.53,10565400.0
2008-04-24,12.21,17.27,17.46,17.06,17.4,12246800.0
2008-04-25,12.35,17.47,17.51,17.1,17.33,8676400.0
2008-04-28,12.23,17.3,17.6,17.3,17.53,7348200.0
2008-04-29,12.33,17.44,17.53,16.97,17.08,11361100.0
2008-04-30,12.17,17.22,17.54,17.11,17.5,10974200.0
2008-05-01,13.67,19.34,19.38,18.11,18.32,31533900.0
2008-05-02,13.75,19.45,19.45,19.05,19.25,12215400.0
2008-05-05,13.6,19.24,19.5,19.16,19.26,8973100.0
2008-05-06,14.07,19.91,20.0,19.0,19.03,20444500.0
2008-05-07,13.93,19.71,19.98,19.46,19.57,22308600.0
2008-05-08,14.02,19.83,19.94,19.53,19.73,12579500.0
2008-05-09,14.13,19.99,20.02,19.51,19.51,8327300.0
2008-05-12,14.21,20.1,20.24,19.74,19.86,11211200.0
2008-05-13,14.58,20.63,20.73,20.03,20.05,16805000.0
2008-05-14,14.55,20.59,20.97,20.4,20.67,16751800.0
2008-05-15,14.69,20.79,20.96,20.2,20.25,11765200.0
2008-05-16,14.67,20.76,20.83,20.29,20.77,12657700.0
2008-05-19,14.75,20.87,21.13,20.52,20.79,18749000.0
2008-05-20,14.55,20.59,20.88,20.53,20.7,12842300.0
2008-05-21,14.51,20.53,20.87,20.49,20.54,11586300.0
2008-05-22,14.72,20.82,20.97,20.52,20.61,10128100.0
2008-05-23,14.6,20.66,20.78,20.52,20.54,11100100.0
2008-05-27,14.98,21.2,21.21,20.4,20.51,14573400.0
2008-05-28,15.11,21.38,21.38,20.94,21.3,13945400.0
2008-05-29,15.21,21.52,21.64,21.31,21.42,17987900.0
2008-05-30,15.36,21.73,21.95,21.45,21.7,25340800.0
2008-06-02,14.81,20.96,21.49,20.77,21.3,17314200.0
2008-06-03,14.67,20.76,21.22,20.5,21.0,15877800.0
2008-06-04,14.92,21.11,21.24,20.48,20.57,15617700.0
2008-06-05,14.81,20.95,21.16,20.79,21.11,11927800.0
2008-06-06,14.28,20.21,20.84,20.21,20.84,14606400.0
2008-06-09,14.46,20.46,20.6,19.98,20.2,12148700.0
2008-06-10,14.35,20.3,20.45,20.17,20.17,14606800.0
2008-06-11,13.99,19.8,20.35,19.76,20.25,15297600.0
2008-06-12,14.09,19.94,20.28,19.7,20.03,17194400.0
2008-06-13,14.28,20.21,20.25,19.94,20.19,14562000.0
